id,poNumber,vendorId,requestId,amount,status,category,itemName,quantity,orderDate,expectedDeliveryDate,actualDeliveryDate
72,PO-2026-000072,84,300,137976,Ordered,Office Supplies,Supply Item 157,574,2024-09-24,2024-11-04,
73,PO-2026-000073,88,204,400822,Delivered,Maintenance Services,Supply Item 46,768,2024-07-27,2024-08-29,2024-09-01
74,PO-2026-000074,72,285,258629,Delivered,Industrial Equipment,Supply Item 189,292,2024-09-16,2024-10-12,2024-10-12
75,PO-2026-000075,85,61,397070,Cancelled,Logistics,Supply Item 26,449,2024-08-23,2024-09-27,
76,PO-2026-000076,66,206,417132,Delivered,Raw Materials,Supply Item 42,806,2024-12-12,2025-02-08,2025-02-09
77,PO-2026-000077,82,3,426721,Pending Approval,Maintenance Services,Supply Item 154,901,2024-04-03,2024-06-01,
78,PO-2026-000078,12,33,142935,Draft,Raw Materials,Supply Item 186,797,2024-08-15,2024-09-14,
79,PO-2026-000079,52,315,349024,Completed,Raw Materials,Supply Item 199,1689,2025-06-17,2025-07-12,2025-07-26
80,PO-2026-000080,23,328,264191,Pending Approval,IT Services,Supply Item 50,78,2025-03-25,2025-04-01,
81,PO-2026-000081,77,262,275434,Delivered,Raw Materials,Supply Item 93,499,2025-12-16,2026-01-06,2026-01-06
82,PO-2026-000082,84,1,87546,Cancelled,Industrial Equipment,Supply Item 91,1381,2024-03-29,2024-04-22,
83,PO-2026-000083,51,208,312274,Draft,Electronics,Supply Item 24,1135,2024-07-24,2024-09-02,
84,PO-2026-000084,37,372,440035,Approved,Office Supplies,Supply Item 71,473,2025-07-26,2025-09-08,
85,PO-2026-000085,78,494,106987,Delivered,Logistics,Supply Item 105,1046,2025-04-10,2025-05-12,2025-05-12
86,PO-2026-000086,14,287,42951,Approved,Electronics,Supply Item 132,1969,2025-05-30,2025-06-24,
87,PO-2026-000087,33,449,287016,Delivered,Maintenance Services,Supply Item 97,1163,2026-04-12,2026-06-08,2026-06-08
88,PO-2026-000088,62,395,132545,Cancelled,Maintenance Services,Supply Item 175,953,2026-02-14,2026-03-14,
89,PO-2026-000089,76,442,19339,Approved,Electronics,Supply Item 98,1307,2025-05-08,2025-05-22,
90,PO-2026-000090,29,347,372618,Approved,Industrial Equipment,Supply Item 91,1067,2024-08-23,2024-10-20,
91,PO-2026-000091,69,5,372430,Pending Approval,IT Services,Supply Item 24,827,2026-05-02,2026-05-25,
92,PO-2026-000092,87,384,435479,Delivered,Maintenance Services,Supply Item 81,734,2024-12-16,2024-12-27,2025-01-10
93,PO-2026-000093,28,458,305790,Completed,Packaging,Supply Item 128,1519,2024-10-02,2024-10-20,2024-10-21
94,PO-2026-000094,26,121,390576,Pending Approval,Packaging,Supply Item 52,1719,2024-09-04,2024-09-27,
95,PO-2026-000095,32,429,329322,Cancelled,Electronics,Supply Item 31,1894,2024-12-30,2025-01-15,
96,PO-2026-000096,11,347,352825,Draft,Raw Materials,Supply Item 124,770,2025-05-19,2025-07-04,
97,PO-2026-000097,80,162,263128,Cancelled,IT Services,Supply Item 126,384,2026-07-08,2026-08-20,
98,PO-2026-000098,98,469,272981,Pending Approval,Logistics,Supply Item 14,1086,2024-10-13,2024-11-14,
99,PO-2026-000099,55,245,288518,Approved,Industrial Equipment,Supply Item 176,1599,2024-02-03,2024-03-13,
100,PO-2026-000100,23,235,68107,Ordered,Office Supplies,Supply Item 177,27,2025-12-16,2026-01-25,
101,PO-2026-000101,2,346,115494,Draft,Office Supplies,Supply Item 93,1264,2025-01-23,2025-03-08,
102,PO-2026-000102,34,96,292605,Approved,Maintenance Services,Supply Item 157,712,2024-09-26,2024-10-18,
103,PO-2026-000103,47,95,266499,Ordered,Office Supplies,Supply Item 94,1759,2025-03-10,2025-03-30,
104,PO-2026-000104,52,144,241311,Pending Approval,Packaging,Supply Item 26,1486,2024-07-03,2024-08-15,
105,PO-2026-000105,35,412,128629,Cancelled,Industrial Equipment,Supply Item 51,308,2025-07-22,2025-08-25,
106,PO-2026-000106,95,77,252981,Pending Approval,Industrial Equipment,Supply Item 128,285,2026-04-05,2026-04-12,
107,PO-2026-000107,81,265,284960,Cancelled,Maintenance Services,Supply Item 77,523,2026-01-07,2026-02-03,
108,PO-2026-000108,72,440,302708,Draft,Logistics,Supply Item 16,451,2024-02-18,2024-03-21,
109,PO-2026-000109,33,244,444862,Ordered,Office Supplies,Supply Item 67,749,2025-10-06,2025-10-19,
110,PO-2026-000110,47,287,297286,Approved,Office Supplies,Supply Item 6,853,2026-08-12,2026-10-09,
111,PO-2026-000111,16,180,361298,Delivered,Logistics,Supply Item 200,592,2025-09-12,2025-10-01,2025-10-02
112,PO-2026-000112,46,167,357946,Cancelled,Maintenance Services,Supply Item 21,790,2025-06-06,2025-07-14,
113,PO-2026-000113,79,147,248139,Cancelled,Logistics,Supply Item 164,1664,2025-10-08,2025-10-24,
114,PO-2026-000114,44,216,335969,Ordered,Electronics,Supply Item 21,341,2025-09-19,2025-11-01,
115,PO-2026-000115,44,117,169354,Approved,IT Services,Supply Item 155,1330,2024-11-20,2025-01-07,
116,PO-2026-000116,51,139,238254,Completed,Maintenance Services,Supply Item 106,352,2026-03-10,2026-04-09,2026-04-10
117,PO-2026-000117,24,438,17111,Pending Approval,IT Services,Supply Item 191,1445,2024-05-08,2024-06-30,
118,PO-2026-000118,96,41,115400,Draft,Electronics,Supply Item 17,1928,2024-06-19,2024-07-21,
119,PO-2026-000119,61,281,33220,Ordered,Electronics,Supply Item 27,547,2024-01-27,2024-03-23,
120,PO-2026-000120,80,80,49203,Approved,Packaging,Supply Item 64,1520,2025-11-01,2025-12-02,
121,PO-2026-000121,37,227,333456,Delivered,Raw Materials,Supply Item 9,1368,2024-05-09,2024-05-24,2024-05-31
122,PO-2026-000122,46,441,175499,Ordered,IT Services,Supply Item 141,921,2026-06-03,2026-07-10,
123,PO-2026-000123,18,497,370755,Delivered,Industrial Equipment,Supply Item 135,1320,2025-07-06,2025-07-24,2025-07-25
124,PO-2026-000124,82,274,167351,Ordered,Packaging,Supply Item 23,914,2026-07-19,2026-08-17,
125,PO-2026-000125,40,188,221113,Approved,Raw Materials,Supply Item 1,1081,2024-09-23,2024-10-09,
126,PO-2026-000126,98,435,76460,Ordered,Raw Materials,Supply Item 177,1898,2024-12-18,2025-01-12,
127,PO-2026-000127,63,485,401085,Draft,Industrial Equipment,Supply Item 75,1232,2025-05-03,2025-05-29,
128,PO-2026-000128,30,408,8784,Pending Approval,Industrial Equipment,Supply Item 144,905,2025-07-15,2025-08-14,
129,PO-2026-000129,51,128,90600,Completed,Industrial Equipment,Supply Item 57,548,2026-01-02,2026-02-25,2026-02-25
130,PO-2026-000130,11,217,332849,Cancelled,IT Services,Supply Item 73,1338,2024-09-02,2024-10-12,
131,PO-2026-000131,96,273,429048,Pending Approval,Electronics,Supply Item 47,289,2024-10-02,2024-11-04,
132,PO-2026-000132,38,57,338915,Ordered,IT Services,Supply Item 180,1285,2025-04-11,2025-05-27,
133,PO-2026-000133,63,97,173109,Draft,Raw Materials,Supply Item 48,219,2024-01-20,2024-02-05,
134,PO-2026-000134,37,138,70556,Completed,Electronics,Supply Item 39,40,2026-01-02,2026-02-06,2026-02-06
135,PO-2026-000135,64,112,184260,Cancelled,Maintenance Services,Supply Item 96,959,2025-03-06,2025-04-01,
136,PO-2026-000136,90,406,21639,Cancelled,Logistics,Supply Item 15,555,2024-12-04,2024-12-16,
137,PO-2026-000137,100,201,42426,Pending Approval,Packaging,Supply Item 65,1683,2025-07-10,2025-08-16,
138,PO-2026-000138,49,425,11614,Completed,Maintenance Services,Supply Item 64,1520,2024-05-04,2024-06-29,2024-06-29
139,PO-2026-000139,5,102,246610,Draft,Packaging,Supply Item 122,806,2026-01-22,2026-03-19,
140,PO-2026-000140,88,493,168635,Pending Approval,Raw Materials,Supply Item 191,1929,2026-08-16,2026-09-12,
141,PO-2026-000141,71,267,69037,Completed,Office Supplies,Supply Item 14,1778,2024-09-16,2024-10-23,2024-10-23
142,PO-2026-000142,86,112,64207,Ordered,Office Supplies,Supply Item 4,352,2024-08-29,2024-10-15,
143,PO-2026-000143,36,300,67730,Pending Approval,Raw Materials,Supply Item 11,1200,2025-02-09,2025-04-07,
144,PO-2026-000144,89,244,365923,Approved,Electronics,Supply Item 64,332,2025-09-02,2025-09-18,
145,PO-2026-000145,64,47,364632,Cancelled,Raw Materials,Supply Item 16,738,2025-09-25,2025-10-23,
146,PO-2026-000146,83,79,372697,Draft,Logistics,Supply Item 125,486,2025-07-03,2025-08-29,
147,PO-2026-000147,41,286,418433,Approved,Maintenance Services,Supply Item 188,405,2025-10-22,2025-12-16,
148,PO-2026-000148,3,353,203059,Pending Approval,IT Services,Supply Item 11,1003,2025-01-01,2025-02-23,
149,PO-2026-000149,91,225,298089,Completed,Logistics,Supply Item 140,722,2024-10-28,2024-12-08,2024-12-08
150,PO-2026-000150,42,375,250573,Delivered,Logistics,Supply Item 18,1097,2024-10-08,2024-12-07,2024-12-14
151,PO-2026-000151,20,231,160017,Delivered,Raw Materials,Supply Item 199,1316,2026-04-19,2026-05-12,2026-05-12
152,PO-2026-000152,65,195,389647,Delivered,Packaging,Supply Item 83,1486,2024-07-08,2024-07-16,2024-07-23
153,PO-2026-000153,9,338,287568,Pending Approval,Maintenance Services,Supply Item 197,1139,2026-04-18,2026-05-19,
154,PO-2026-000154,20,314,153441,Completed,Electronics,Supply Item 134,1359,2024-11-26,2024-12-29,2024-12-29
155,PO-2026-000155,9,23,442881,Pending Approval,Raw Materials,Supply Item 52,229,2026-08-18,2026-09-02,
156,PO-2026-000156,63,99,56775,Completed,Maintenance Services,Supply Item 135,1287,2024-02-02,2024-03-16,2024-03-23
157,PO-2026-000157,90,303,139185,Pending Approval,Electronics,Supply Item 4,1915,2024-02-20,2024-03-21,
158,PO-2026-000158,27,336,262638,Draft,Maintenance Services,Supply Item 164,134,2026-08-08,2026-10-07,
159,PO-2026-000159,47,286,394796,Cancelled,Office Supplies,Supply Item 182,129,2026-08-18,2026-09-20,
160,PO-2026-000160,79,137,282359,Draft,IT Services,Supply Item 20,1944,2024-02-11,2024-04-04,
161,PO-2026-000161,28,492,277359,Completed,Industrial Equipment,Supply Item 49,405,2024-04-09,2024-04-22,2024-04-22
162,PO-2026-000162,68,337,135423,Pending Approval,Industrial Equipment,Supply Item 192,226,2025-08-06,2025-09-22,
163,PO-2026-000163,99,327,307285,Ordered,Industrial Equipment,Supply Item 27,351,2025-01-01,2025-02-20,
164,PO-2026-000164,24,282,215531,Completed,Maintenance Services,Supply Item 91,1858,2025-05-31,2025-06-28,2025-06-28
165,PO-2026-000165,41,282,175212,Ordered,Industrial Equipment,Supply Item 186,672,2026-05-15,2026-06-14,
166,PO-2026-000166,78,124,300250,Ordered,IT Services,Supply Item 93,1979,2025-07-12,2025-08-01,
167,PO-2026-000167,58,230,213189,Draft,IT Services,Supply Item 153,43,2024-01-01,2024-02-23,
168,PO-2026-000168,67,70,163251,Pending Approval,Packaging,Supply Item 81,54,2024-01-07,2024-02-02,
169,PO-2026-000169,99,421,366611,Delivered,Logistics,Supply Item 25,87,2026-04-22,2026-05-16,2026-05-16
170,PO-2026-000170,59,183,86845,Approved,Packaging,Supply Item 60,534,2024-05-21,2024-06-13,
171,PO-2026-000171,39,48,304099,Pending Approval,Electronics,Supply Item 186,674,2025-02-13,2025-03-28,
172,PO-2026-000172,62,89,260997,Completed,Electronics,Supply Item 153,1325,2026-04-25,2026-06-15,2026-06-16
173,PO-2026-000173,39,20,388144,Ordered,Electronics,Supply Item 200,124,2026-04-07,2026-05-20,
174,PO-2026-000174,99,172,187415,Ordered,Industrial Equipment,Supply Item 31,1791,2026-06-19,2026-08-17,
175,PO-2026-000175,99,117,396998,Draft,Industrial Equipment,Supply Item 14,634,2025-10-30,2025-12-14,
176,PO-2026-000176,68,22,172413,Pending Approval,Office Supplies,Supply Item 129,1439,2025-07-06,2025-08-18,
177,PO-2026-000177,29,79,31486,Ordered,Maintenance Services,Supply Item 193,1228,2025-11-20,2026-01-12,
178,PO-2026-000178,74,259,52229,Approved,Industrial Equipment,Supply Item 38,280,2024-08-15,2024-09-18,
179,PO-2026-000179,44,43,254484,Draft,Industrial Equipment,Supply Item 68,184,2025-08-08,2025-10-01,
180,PO-2026-000180,52,257,232798,Pending Approval,Logistics,Supply Item 124,1155,2026-03-03,2026-04-23,
181,PO-2026-000181,26,250,212260,Pending Approval,Packaging,Supply Item 63,156,2025-10-29,2025-12-11,
182,PO-2026-000182,35,398,230478,Delivered,Industrial Equipment,Supply Item 109,758,2024-11-27,2025-01-16,2025-01-16
183,PO-2026-000183,45,98,173159,Completed,IT Services,Supply Item 44,726,2024-12-18,2025-02-01,2025-02-01
184,PO-2026-000184,79,421,425896,Pending Approval,Maintenance Services,Supply Item 12,1902,2025-03-28,2025-05-13,
185,PO-2026-000185,30,103,364325,Cancelled,Electronics,Supply Item 29,1524,2025-01-17,2025-02-02,
186,PO-2026-000186,7,125,330584,Cancelled,IT Services,Supply Item 4,713,2026-08-06,2026-08-22,
187,PO-2026-000187,89,412,63341,Ordered,Raw Materials,Supply Item 85,438,2024-11-08,2024-12-13,
188,PO-2026-000188,95,276,116083,Delivered,Maintenance Services,Supply Item 160,1504,2024-07-27,2024-09-06,2024-09-09
189,PO-2026-000189,19,356,371348,Ordered,Raw Materials,Supply Item 66,358,2025-11-15,2025-11-23,
190,PO-2026-000190,8,146,110222,Delivered,Maintenance Services,Supply Item 168,1945,2026-03-19,2026-05-09,2026-05-09
191,PO-2026-000191,2,35,208761,Completed,Office Supplies,Supply Item 28,49,2025-11-07,2025-12-01,2025-12-08
192,PO-2026-000192,38,445,345478,Ordered,Electronics,Supply Item 81,1002,2025-01-30,2025-02-20,
193,PO-2026-000193,77,273,51148,Delivered,Raw Materials,Supply Item 11,516,2024-07-09,2024-07-28,2024-08-11
194,PO-2026-000194,68,157,179886,Completed,Office Supplies,Supply Item 176,730,2025-05-16,2025-06-17,2025-06-17
195,PO-2026-000195,46,321,163506,Approved,Raw Materials,Supply Item 161,537,2024-08-29,2024-10-07,
196,PO-2026-000196,50,456,432220,Approved,Packaging,Supply Item 39,709,2024-01-31,2024-03-13,
197,PO-2026-000197,51,337,76964,Ordered,Packaging,Supply Item 107,502,2024-03-30,2024-05-22,
198,PO-2026-000198,74,79,228590,Approved,Maintenance Services,Supply Item 139,279,2024-11-15,2024-12-30,
199,PO-2026-000199,27,335,77654,Completed,Logistics,Supply Item 80,1420,2025-08-17,2025-09-27,2025-09-30
200,PO-2026-000200,91,461,279624,Ordered,Logistics,Supply Item 168,1920,2026-07-20,2026-08-04,
201,PO-2026-000201,73,470,87862,Delivered,Electronics,Supply Item 48,660,2024-11-21,2024-12-02,2024-12-02
202,PO-2026-000202,19,373,20457,Ordered,Industrial Equipment,Supply Item 78,917,2026-02-22,2026-03-21,
203,PO-2026-000203,96,479,435806,Completed,Packaging,Supply Item 28,279,2026-07-04,2026-08-20,2026-08-20
204,PO-2026-000204,24,14,404742,Approved,Packaging,Supply Item 153,485,2025-09-18,2025-11-03,
205,PO-2026-000205,30,352,18675,Completed,Logistics,Supply Item 129,1742,2025-01-02,2025-01-14,2025-01-17
206,PO-2026-000206,78,241,378303,Pending Approval,Industrial Equipment,Supply Item 126,980,2025-10-27,2025-11-26,
207,PO-2026-000207,18,84,106323,Ordered,Raw Materials,Supply Item 70,1956,2024-08-19,2024-08-28,
208,PO-2026-000208,53,114,394213,Cancelled,Packaging,Supply Item 17,372,2025-11-18,2025-12-07,
209,PO-2026-000209,57,444,328516,Approved,Maintenance Services,Supply Item 64,885,2025-05-16,2025-07-06,
210,PO-2026-000210,52,398,26929,Cancelled,Industrial Equipment,Supply Item 185,650,2025-09-14,2025-11-07,
211,PO-2026-000211,51,314,394266,Delivered,Raw Materials,Supply Item 134,233,2025-08-08,2025-09-22,2025-09-22
212,PO-2026-000212,58,234,438591,Pending Approval,Industrial Equipment,Supply Item 189,90,2026-06-17,2026-06-26,
213,PO-2026-000213,72,199,275599,Draft,Packaging,Supply Item 75,910,2026-02-22,2026-04-10,
214,PO-2026-000214,51,453,164674,Approved,Maintenance Services,Supply Item 43,875,2026-03-03,2026-05-01,
215,PO-2026-000215,38,314,33598,Pending Approval,Maintenance Services,Supply Item 166,935,2025-12-07,2026-01-16,
216,PO-2026-000216,12,370,267488,Cancelled,Logistics,Supply Item 101,856,2024-04-25,2024-05-13,
217,PO-2026-000217,42,231,18061,Delivered,Packaging,Supply Item 117,194,2024-07-02,2024-08-07,2024-08-14
218,PO-2026-000218,33,166,367659,Cancelled,Logistics,Supply Item 184,1511,2025-10-26,2025-12-17,
219,PO-2026-000219,16,47,64855,Completed,Industrial Equipment,Supply Item 187,1630,2025-12-24,2026-01-28,2026-01-28
220,PO-2026-000220,66,314,88833,Ordered,Raw Materials,Supply Item 197,359,2025-01-22,2025-03-05,
221,PO-2026-000221,43,290,350783,Pending Approval,Logistics,Supply Item 46,1585,2026-06-02,2026-06-18,
222,PO-2026-000222,92,27,224981,Completed,Maintenance Services,Supply Item 74,1292,2024-11-11,2024-12-07,2024-12-10
223,PO-2026-000223,24,61,73981,Delivered,Raw Materials,Supply Item 118,1029,2024-07-26,2024-08-02,2024-08-05
224,PO-2026-000224,64,279,428338,Ordered,Packaging,Supply Item 56,1215,2024-01-06,2024-02-20,
225,PO-2026-000225,85,244,242889,Draft,Raw Materials,Supply Item 63,1816,2025-02-23,2025-03-30,
226,PO-2026-000226,71,143,329935,Cancelled,Packaging,Supply Item 13,388,2025-10-05,2025-11-16,
227,PO-2026-000227,19,29,347505,Pending Approval,Raw Materials,Supply Item 171,1193,2024-12-23,2025-01-01,
228,PO-2026-000228,78,153,178597,Draft,Electronics,Supply Item 107,375,2026-07-31,2026-08-12,
229,PO-2026-000229,21,345,154097,Completed,Logistics,Supply Item 117,1544,2025-09-17,2025-11-05,2025-11-06
230,PO-2026-000230,75,185,23790,Approved,Office Supplies,Supply Item 95,1848,2024-04-05,2024-05-31,
231,PO-2026-000231,49,420,40476,Cancelled,Electronics,Supply Item 75,974,2026-02-15,2026-03-21,
232,PO-2026-000232,18,63,369180,Approved,Industrial Equipment,Supply Item 135,439,2026-05-30,2026-06-23,
233,PO-2026-000233,90,108,325892,Delivered,Electronics,Supply Item 124,1492,2024-02-29,2024-03-13,2024-03-16
234,PO-2026-000234,89,310,418235,Ordered,Office Supplies,Supply Item 67,1086,2025-12-24,2026-01-18,
235,PO-2026-000235,74,320,190521,Delivered,Maintenance Services,Supply Item 127,1664,2026-08-07,2026-08-22,2026-08-23
236,PO-2026-000236,24,453,324504,Approved,Packaging,Supply Item 1,252,2024-08-26,2024-10-17,
237,PO-2026-000237,4,239,332921,Completed,Industrial Equipment,Supply Item 106,103,2026-03-26,2026-04-09,2026-04-16
238,PO-2026-000238,43,180,298819,Pending Approval,Raw Materials,Supply Item 164,422,2026-04-05,2026-05-22,
239,PO-2026-000239,89,145,138388,Approved,IT Services,Supply Item 130,1136,2026-03-20,2026-03-31,
240,PO-2026-000240,42,393,8214,Approved,Office Supplies,Supply Item 102,1493,2024-04-26,2024-06-15,
241,PO-2026-000241,73,316,20265,Pending Approval,Office Supplies,Supply Item 87,1898,2026-05-02,2026-05-20,
242,PO-2026-000242,87,246,253774,Completed,Logistics,Supply Item 161,953,2026-03-27,2026-04-05,2026-04-05
243,PO-2026-000243,69,459,180693,Cancelled,Industrial Equipment,Supply Item 191,124,2025-04-18,2025-06-14,
244,PO-2026-000244,67,154,301192,Approved,Raw Materials,Supply Item 54,1192,2026-01-12,2026-03-03,
