id,vendorId,date,reliabilityScore,riskLevel,deliveryScore,qualityScore,communicationScore,complianceScore
67,88,2025-07-05,90.54,Low,59.42,82.34,69.43,84.67
68,97,2026-04-30,64.95,High,58.05,99.56,44.28,64.68
69,97,2025-10-24,58.22,High,57.25,54.67,84.92,91.57
70,7,2024-07-19,80.57,Medium,59.38,61.05,41.14,90.39
71,3,2026-05-20,85.8,Low,85.85,66.36,74.69,76.06
72,11,2025-09-17,96.24,Low,78.91,40.09,57.64,95.24
73,48,2026-06-08,52.81,High,94.22,69.38,61.02,62.56
74,61,2024-08-09,47.58,Critical,63.24,64.9,43.1,51.66
75,55,2024-11-07,56.43,High,80.8,52.68,75.71,64.18
76,100,2026-02-04,76.68,Medium,84.32,54.68,46.3,44.32
77,20,2025-01-14,55.4,High,66.38,65.3,68.61,90.53
78,7,2024-08-13,68.77,High,90.29,93.15,58.09,91.98
79,60,2025-03-14,69.46,High,50.38,64.81,48.15,54.7
80,51,2024-11-16,68.56,High,81.8,70.57,94.1,73.26
81,78,2025-05-22,70.88,Medium,55.9,69.75,86.4,62.46
82,35,2025-10-27,81.26,Medium,54.37,57.12,70.15,60.06
83,76,2024-07-13,63.77,High,66.77,67.58,55.22,89.55
84,4,2026-03-13,96.0,Low,54.4,63.36,65.19,68.52
85,4,2024-06-02,59.05,High,41.35,91.99,65.28,61.28
86,40,2024-12-25,76.63,Medium,51.98,45.3,59.03,68.27
87,27,2024-07-31,79.54,Medium,43.56,75.3,87.33,78.6
88,6,2024-10-11,75.26,Medium,84.31,87.78,62.36,61.42
89,65,2026-02-01,52.95,High,57.43,55.8,54.65,98.99
90,43,2025-03-08,79.7,Medium,61.93,60.52,50.82,52.02
91,87,2025-02-25,51.9,High,65.79,41.91,81.01,94.93
92,98,2024-02-07,45.71,Critical,55.61,41.73,99.97,84.21
93,9,2024-09-08,48.18,Critical,88.9,75.09,85.21,61.7
94,54,2025-09-06,49.12,Critical,81.37,75.87,74.06,84.14
95,41,2024-03-29,97.66,Low,72.86,80.97,59.1,52.9
96,58,2024-10-10,86.74,Low,64.11,44.59,83.81,68.22
97,55,2025-06-06,93.94,Low,78.57,78.87,70.67,80.14
98,36,2026-01-20,83.19,Medium,75.01,63.99,79.05,86.92
99,50,2024-05-30,74.02,Medium,82.49,40.95,62.37,47.99
100,52,2025-09-06,63.18,High,75.17,41.01,78.51,44.07
101,92,2024-08-26,53.7,High,81.5,40.22,50.83,82.26
102,64,2024-10-19,67.41,High,91.32,58.93,90.29,80.82
103,80,2024-06-27,73.36,Medium,94.88,44.03,43.29,44.03
104,12,2025-01-20,73.19,Medium,41.93,69.07,67.06,54.62
105,71,2024-04-02,76.31,Medium,55.2,83.99,70.02,50.06
106,59,2024-11-05,60.86,High,89.66,40.16,59.64,55.75
107,14,2026-07-07,45.88,Critical,84.78,80.33,94.98,53.56
108,65,2024-08-19,70.49,Medium,90.3,99.53,72.24,84.86
109,90,2025-02-20,85.0,Low,64.82,95.54,91.87,68.74
110,13,2024-07-27,55.8,High,95.12,44.58,80.46,40.52
111,46,2024-07-19,72.25,Medium,56.05,96.68,65.1,59.1
112,11,2026-08-31,63.51,High,77.32,71.63,72.28,78.26
113,89,2025-07-17,51.3,High,76.14,60.62,77.36,77.19
114,74,2025-12-23,72.69,Medium,93.17,87.62,44.56,50.25
115,71,2024-12-04,96.9,Low,61.66,71.13,93.23,91.92
116,49,2026-02-15,69.42,High,77.25,52.91,52.33,91.23
117,76,2025-06-29,56.68,High,85.73,74.32,72.86,82.99
118,6,2024-07-19,83.81,Medium,97.63,43.9,55.49,63.11
119,34,2025-09-13,51.74,High,98.92,50.38,94.88,46.17
120,78,2025-08-11,91.44,Low,67.8,90.47,98.68,90.82
121,76,2024-04-14,83.98,Medium,50.4,70.9,49.28,94.28
122,38,2024-03-30,49.81,Critical,57.74,64.09,51.8,45.03
123,83,2024-07-19,63.89,High,90.94,97.14,59.24,42.34
124,8,2024-10-30,87.85,Low,40.62,66.46,45.28,82.73
125,7,2026-06-28,77.68,Medium,84.42,61.63,72.94,79.82
126,41,2025-02-20,61.95,High,84.49,82.48,54.24,88.01
127,42,2024-11-06,97.36,Low,47.18,73.5,98.43,75.86
128,13,2026-08-19,52.49,High,76.83,94.29,56.01,49.16
129,54,2024-03-25,61.26,High,96.1,95.04,88.22,41.37
130,14,2026-02-05,93.64,Low,62.95,78.44,81.4,45.6
131,8,2026-06-28,92.44,Low,90.41,82.14,71.59,47.94
132,86,2026-03-30,58.25,High,84.4,64.27,48.48,89.45
133,17,2024-03-26,53.05,High,77.97,69.95,95.67,64.13
134,84,2026-05-05,86.45,Low,77.1,86.75,97.28,41.83
135,25,2025-05-23,78.47,Medium,74.38,95.94,45.18,40.23
136,45,2024-05-22,75.14,Medium,79.72,78.05,95.35,96.83
137,46,2026-02-17,71.09,Medium,47.96,77.64,42.95,52.07
138,19,2025-10-22,46.62,Critical,79.66,94.77,56.04,60.38
139,64,2024-09-17,83.96,Medium,88.3,73.39,96.36,48.68
140,45,2024-12-08,49.68,Critical,51.18,83.03,42.68,80.61
141,66,2026-04-02,91.88,Low,78.55,82.39,48.85,77.91
142,67,2026-04-05,66.17,High,62.81,57.28,41.72,87.48
143,24,2025-03-04,58.89,High,86.99,90.83,93.18,55.81
144,52,2025-09-13,81.71,Medium,97.96,42.5,74.77,55.43
145,11,2026-01-16,78.63,Medium,75.07,59.83,63.53,81.27
146,27,2026-07-11,46.87,Critical,63.34,77.62,61.27,88.32
147,29,2025-05-18,72.29,Medium,71.85,95.6,66.57,92.8
148,45,2026-07-22,67.56,High,98.6,77.41,54.26,52.36
149,85,2025-03-02,95.83,Low,78.83,93.1,48.28,75.49
150,12,2026-03-29,97.59,Low,83.61,51.61,62.93,95.33
151,62,2024-10-10,89.03,Low,79.92,66.83,92.93,85.22
152,79,2025-06-05,45.82,Critical,41.0,59.76,85.6,83.82
153,67,2026-02-22,76.1,Medium,59.36,54.75,50.11,83.1
154,38,2025-08-26,61.33,High,82.68,47.32,67.58,73.8
155,7,2024-08-26,95.72,Low,58.46,47.69,54.36,61.5
156,12,2025-02-22,95.74,Low,68.45,78.38,89.2,59.88
157,29,2026-01-17,51.68,High,63.63,40.47,73.4,91.87
158,98,2026-04-14,72.4,Medium,77.61,84.89,64.83,87.98
159,49,2024-06-01,81.5,Medium,75.58,50.01,86.46,96.36
160,69,2026-06-12,80.17,Medium,93.15,71.53,49.88,72.19
161,1,2024-04-23,85.29,Low,71.62,49.26,62.41,42.5
162,66,2025-03-13,72.25,Medium,72.11,57.88,96.53,65.34
163,53,2025-05-29,78.87,Medium,41.11,96.95,56.71,88.1
164,29,2024-10-02,70.42,Medium,84.04,74.47,89.86,68.5
165,19,2024-12-31,49.21,Critical,78.17,44.87,68.65,93.83
166,88,2024-12-03,86.73,Low,75.98,49.52,70.18,77.36
167,36,2025-04-13,73.48,Medium,97.92,45.22,81.15,82.35
168,38,2025-01-30,96.45,Low,81.03,98.97,49.39,66.63
169,98,2026-02-05,51.38,High,79.11,87.39,77.13,65.46
170,43,2025-09-19,56.87,High,64.38,87.23,44.32,61.49
171,83,2026-06-27,68.1,High,46.7,64.2,71.76,65.61
172,93,2026-04-08,45.42,Critical,42.99,97.32,61.06,70.26
173,24,2024-04-22,48.23,Critical,63.76,51.5,42.26,85.52
174,42,2025-10-29,75.51,Medium,78.36,50.35,56.85,47.58
175,36,2026-03-21,85.24,Low,84.71,58.32,79.77,50.04
176,49,2024-02-19,66.74,High,74.06,71.19,55.24,79.29
177,7,2026-04-03,95.61,Low,78.03,70.37,42.02,40.49
178,27,2024-11-03,55.42,High,73.21,44.32,91.26,92.23
179,57,2025-01-18,84.63,Medium,87.67,71.62,64.01,84.81
180,14,2024-11-30,94.21,Low,55.67,65.01,40.95,54.7
181,20,2024-02-11,92.3,Low,76.9,66.25,91.35,95.88
182,52,2024-05-21,78.55,Medium,69.75,42.88,59.97,52.37
183,90,2024-11-02,90.19,Low,77.44,43.78,75.96,49.19
184,68,2024-12-23,88.51,Low,64.53,84.33,95.53,49.21
185,65,2024-02-13,64.31,High,50.24,45.13,92.87,61.45
186,42,2026-05-20,83.3,Medium,87.08,90.31,53.05,54.75
187,3,2025-04-09,80.7,Medium,60.41,59.2,48.33,94.85
188,50,2024-09-23,54.67,High,53.05,76.44,63.86,78.48
189,35,2025-02-08,60.29,High,40.15,73.67,86.61,41.34
190,62,2024-03-25,89.0,Low,79.98,93.62,81.82,96.29
191,78,2025-04-12,71.76,Medium,69.0,62.22,49.19,80.66
192,36,2026-03-23,60.84,High,58.41,86.85,60.34,80.33
193,55,2025-09-26,93.64,Low,72.49,71.2,80.38,54.67
194,100,2025-11-09,79.14,Medium,74.22,56.33,66.7,61.03
195,100,2026-07-08,61.92,High,42.2,41.12,59.57,83.52
196,34,2025-12-26,79.38,Medium,52.61,90.12,53.36,85.95
197,69,2025-05-19,69.95,High,46.11,91.59,88.04,50.48
198,19,2026-04-29,83.47,Medium,74.94,86.06,91.52,43.23
199,52,2025-12-11,95.17,Low,54.46,91.91,60.75,61.6
200,60,2024-02-22,69.73,High,79.84,46.59,96.98,78.61
201,60,2024-08-22,69.11,High,85.99,76.87,55.77,79.79
202,85,2025-07-03,58.91,High,69.03,50.38,96.56,68.1
203,65,2024-09-17,62.85,High,46.23,60.56,78.89,83.87
204,63,2025-02-06,61.38,High,72.04,92.53,62.45,52.84
205,86,2024-08-31,61.65,High,91.64,72.18,98.0,60.97
206,3,2025-11-21,89.2,Low,84.99,87.15,90.2,69.16
207,77,2025-05-14,60.97,High,61.73,70.1,79.22,64.15
208,20,2026-07-20,86.73,Low,71.85,94.54,77.68,47.05
209,25,2024-09-01,66.76,High,52.8,84.16,87.23,78.29
210,57,2024-01-19,45.1,Critical,67.9,55.1,88.41,99.83
211,57,2024-04-08,78.58,Medium,55.27,98.74,80.17,69.35
212,89,2024-10-24,58.01,High,47.47,60.96,59.16,60.4
213,6,2024-08-09,72.46,Medium,69.96,57.0,82.83,64.15
214,16,2024-07-14,69.46,High,76.51,63.3,41.16,67.61
215,79,2025-11-05,80.92,Medium,90.78,85.48,66.3,42.12
216,50,2026-03-20,69.38,High,78.77,74.48,69.33,65.95
217,77,2025-06-25,54.44,High,58.76,80.79,63.87,82.22
218,15,2025-01-08,84.71,Medium,74.7,86.84,79.87,86.24
219,75,2025-02-15,67.48,High,80.61,61.18,51.88,65.71
220,31,2025-11-20,64.5,High,87.74,82.19,75.66,42.73
221,8,2024-05-16,69.09,High,72.04,52.86,86.75,98.02
222,30,2026-04-19,87.44,Low,46.39,51.63,40.44,56.33
223,7,2026-07-21,76.99,Medium,91.44,49.9,78.12,98.53
224,30,2026-05-21,67.91,High,80.34,53.5,68.79,86.31
225,73,2026-02-26,66.94,High,89.21,43.75,81.67,71.21
226,3,2026-02-25,55.39,High,91.25,93.48,40.66,43.09
227,59,2024-08-21,80.7,Medium,88.28,86.45,66.22,61.89
228,20,2024-01-26,65.66,High,70.82,98.46,60.56,96.92
229,86,2026-07-07,67.0,High,83.77,88.59,96.76,82.45
230,9,2025-06-02,52.5,High,91.84,71.39,65.75,75.0
231,12,2025-11-19,87.94,Low,47.71,51.77,88.14,44.53
232,81,2024-11-26,79.86,Medium,92.0,88.31,44.96,46.49
233,63,2025-07-13,86.86,Low,74.06,98.71,90.57,88.6
234,40,2026-02-15,65.9,High,85.53,67.09,55.85,77.75
235,49,2025-12-17,93.48,Low,52.89,62.49,89.14,56.81
236,10,2024-04-09,50.8,High,87.84,81.25,79.94,85.87
237,90,2024-08-06,63.16,High,62.92,67.01,70.67,41.1
238,44,2024-07-30,52.65,High,73.16,78.88,72.39,81.4
239,28,2026-01-09,68.56,High,65.73,58.05,45.98,86.72
240,36,2026-08-19,90.68,Low,44.82,62.92,48.07,41.67
241,10,2025-06-18,58.83,High,54.63,54.58,56.02,43.58
242,13,2025-03-29,50.9,High,50.14,52.42,63.35,51.74
243,66,2026-03-07,70.53,Medium,63.69,57.46,94.48,42.77
244,74,2025-03-07,45.56,Critical,79.68,68.99,46.5,72.61
245,100,2024-05-27,69.65,High,84.43,62.39,68.99,79.25
246,89,2025-10-13,89.43,Low,64.96,97.51,69.94,42.51
247,70,2025-06-12,72.75,Medium,63.69,42.96,57.99,70.06
248,74,2024-08-19,56.79,High,93.16,80.28,63.23,57.84
249,43,2024-09-19,87.18,Low,76.89,68.04,46.55,76.77
250,52,2026-01-05,46.96,Critical,94.37,85.16,76.55,41.23
251,33,2025-08-05,87.19,Low,41.99,73.87,82.58,69.19
252,2,2024-05-13,57.16,High,60.18,79.72,46.87,97.68
253,58,2024-05-06,81.18,Medium,73.14,84.24,62.43,74.43
254,25,2025-07-11,66.05,High,48.53,63.48,97.27,67.74
255,23,2024-12-06,51.25,High,95.34,44.02,54.94,94.08
256,94,2026-06-14,52.34,High,60.46,50.31,87.75,48.44
257,15,2026-01-22,67.44,High,95.75,41.51,82.47,67.33
258,36,2024-05-24,72.26,Medium,91.89,95.68,53.91,86.36
259,48,2026-02-13,73.9,Medium,70.21,57.88,80.95,77.29
260,11,2025-01-05,45.23,Critical,66.92,93.12,59.58,45.07
261,40,2024-09-16,62.92,High,62.64,53.06,81.42,60.71
262,4,2026-01-22,91.43,Low,44.89,42.83,88.47,45.31
263,70,2024-03-29,57.96,High,74.28,62.06,97.09,74.97
264,62,2024-01-13,75.01,Medium,95.9,60.33,85.5,76.17
265,13,2025-05-19,71.12,Medium,44.89,69.16,41.61,41.96
266,53,2026-07-18,71.52,Medium,43.42,74.39,44.42,55.22
267,90,2024-12-03,65.25,High,45.59,63.53,72.45,53.91
268,82,2025-08-27,78.45,Medium,59.25,54.34,63.11,55.53
269,97,2026-02-21,74.54,Medium,89.96,67.45,91.94,66.13
270,8,2024-10-13,45.5,Critical,53.47,59.48,97.25,90.57
271,76,2025-04-10,87.35,Low,80.58,80.1,53.99,44.8
272,98,2024-08-30,70.04,Medium,42.68,53.55,55.85,87.47
273,96,2026-01-12,88.92,Low,67.07,94.74,99.02,93.77
274,34,2024-12-14,97.71,Low,46.98,40.02,72.57,93.81
275,6,2025-12-18,76.09,Medium,92.39,66.33,88.12,90.62
276,70,2024-12-18,49.91,Critical,63.22,91.39,90.71,49.73
277,7,2026-03-09,69.12,High,90.92,93.46,61.59,74.78
278,39,2025-02-27,87.55,Low,89.92,46.31,43.07,97.2
279,74,2024-11-10,70.05,Medium,92.87,61.72,80.42,61.07
280,44,2025-06-08,69.45,High,73.92,67.36,49.99,80.99
281,27,2024-12-11,60.69,High,56.1,99.34,41.48,52.19
282,2,2024-09-21,77.27,Medium,97.4,62.81,91.5,84.5
283,2,2025-01-23,89.67,Low,83.41,83.73,50.92,91.93
284,84,2025-02-21,83.04,Medium,44.06,71.16,95.89,86.91
285,61,2026-02-24,46.79,Critical,91.74,92.99,93.42,66.34
286,48,2026-02-14,69.82,High,79.26,74.17,93.58,64.38
287,49,2025-04-24,56.81,High,75.36,92.76,88.47,95.37
288,9,2024-03-28,80.51,Medium,43.31,66.27,54.3,61.46
289,17,2025-03-05,74.36,Medium,50.34,79.64,41.95,72.38
290,84,2024-10-21,93.56,Low,52.1,53.91,81.06,86.58
291,7,2024-08-08,86.75,Low,77.01,95.74,55.13,62.75
292,52,2026-06-29,88.16,Low,41.65,90.89,96.86,73.96
293,34,2025-11-27,82.51,Medium,95.03,63.93,60.63,47.83
294,44,2026-06-20,68.2,High,63.51,86.71,75.93,45.42
295,65,2025-05-08,63.21,High,82.92,42.91,87.13,91.69
296,34,2026-06-26,58.45,High,89.68,60.18,71.9,86.79
297,44,2024-04-29,58.01,High,97.71,77.91,85.88,71.22
298,2,2025-01-05,58.56,High,61.0,58.66,48.59,88.13
299,42,2025-03-30,58.12,High,64.61,99.6,98.24,61.91
300,4,2026-05-30,70.42,Medium,98.26,65.46,71.8,97.64
301,70,2025-11-26,66.04,High,50.83,53.72,75.41,47.8
302,16,2024-03-17,58.2,High,95.02,42.05,93.96,77.29
303,92,2025-07-27,92.89,Low,64.08,64.88,52.53,75.51
304,74,2025-07-06,80.08,Medium,88.67,73.95,86.6,49.57
305,67,2026-04-26,71.34,Medium,87.85,44.58,88.09,88.33
306,73,2025-02-22,64.2,High,50.42,89.05,68.43,79.99
307,51,2024-04-27,61.41,High,65.63,54.07,85.61,72.51
308,65,2024-01-05,45.35,Critical,41.16,44.71,42.48,71.62
309,40,2024-03-22,62.94,High,49.0,41.27,80.87,83.84
310,84,2024-03-25,84.86,Medium,83.39,69.35,57.85,96.83
311,9,2025-06-26,66.11,High,69.9,48.25,91.89,44.09
312,35,2024-05-14,66.51,High,92.47,59.17,84.38,86.8
313,46,2025-11-28,54.07,High,80.83,66.84,56.55,89.51
314,30,2025-02-11,90.99,Low,43.32,72.07,86.02,57.54
315,70,2026-04-04,94.4,Low,51.32,40.8,98.06,70.46
316,64,2024-08-31,52.51,High,81.33,52.97,72.09,78.66
317,55,2024-03-31,47.6,Critical,91.87,60.13,98.67,49.21
318,18,2024-03-18,66.27,High,56.07,79.82,60.53,82.22
319,80,2024-01-08,78.62,Medium,45.74,42.66,46.41,65.94
320,78,2025-05-09,97.0,Low,80.16,41.66,47.75,44.42
321,17,2026-05-18,47.45,Critical,73.74,72.98,83.25,47.58
322,30,2025-08-01,82.37,Medium,67.0,40.23,56.12,78.85
323,26,2025-08-22,84.96,Medium,60.43,49.69,94.57,60.62
324,81,2026-07-25,93.15,Low,59.36,47.49,65.76,52.66
325,78,2024-03-26,79.23,Medium,56.95,49.89,41.16,87.25
326,43,2025-04-15,89.02,Low,58.16,91.55,99.7,97.79
327,24,2026-04-10,60.85,High,68.06,54.29,64.72,63.13
328,45,2025-06-13,76.87,Medium,95.54,54.26,44.21,58.02
329,74,2026-03-21,95.48,Low,94.9,83.66,54.14,95.44
330,56,2025-04-17,82.54,Medium,68.8,92.91,55.47,51.48
331,40,2026-06-23,55.47,High,60.56,58.26,93.8,71.13
332,22,2026-06-06,76.99,Medium,62.58,68.59,60.25,64.37
333,92,2024-08-16,90.12,Low,93.66,91.99,78.86,90.1
334,79,2024-02-18,93.54,Low,85.77,53.58,95.69,78.84
335,83,2024-10-27,60.73,High,68.25,91.85,97.66,77.59
336,93,2024-10-20,47.64,Critical,40.57,43.95,81.94,68.98
337,62,2024-10-21,67.01,High,92.74,64.33,81.67,98.14
338,18,2024-09-24,51.67,High,75.63,95.37,53.25,86.91
339,30,2026-02-17,47.81,Critical,45.07,97.45,95.38,77.77
340,8,2025-11-26,93.36,Low,59.93,68.01,46.52,82.64
341,97,2026-04-19,69.39,High,50.94,58.64,43.95,69.48
342,43,2026-03-17,67.32,High,40.76,40.69,43.95,55.95
343,79,2024-08-10,87.25,Low,98.73,76.65,99.1,56.37
344,40,2025-08-12,53.67,High,72.32,54.54,87.64,85.7
345,98,2025-03-03,62.12,High,81.06,94.7,68.88,68.6
346,11,2024-09-12,97.1,Low,91.78,41.19,50.13,65.88
347,21,2025-04-21,84.31,Medium,83.72,54.18,59.47,42.56
348,26,2025-07-30,52.59,High,40.95,42.28,98.28,43.34
349,39,2025-02-20,89.65,Low,44.05,90.44,58.71,48.74
350,65,2026-05-12,70.91,Medium,84.25,59.49,55.59,96.3
351,92,2024-06-29,93.82,Low,78.48,47.5,77.15,75.92
352,93,2024-03-03,82.38,Medium,84.08,66.57,61.82,91.78
353,74,2024-07-20,56.91,High,58.35,53.87,74.47,75.25
354,36,2024-08-05,61.93,High,84.36,80.31,91.91,87.47
355,89,2025-06-09,63.38,High,68.13,81.63,60.06,51.89
356,66,2024-08-14,50.23,High,54.78,96.06,53.95,60.42
357,81,2025-11-26,92.6,Low,52.49,50.85,53.8,58.61
358,23,2026-02-15,53.08,High,68.54,55.21,78.01,72.32
359,25,2025-04-14,82.87,Medium,49.44,54.5,60.81,59.45
360,10,2024-05-08,66.19,High,54.91,47.92,45.75,41.7
361,91,2026-08-27,49.76,Critical,61.39,72.06,69.92,88.24
362,35,2025-12-16,78.6,Medium,43.14,49.11,93.72,89.07
363,87,2024-12-15,60.86,High,63.6,44.27,75.62,49.38
364,48,2024-05-14,90.36,Low,59.24,70.64,88.76,96.48
365,99,2025-08-23,72.39,Medium,45.47,54.97,98.64,98.42
366,45,2024-12-23,92.88,Low,82.93,53.39,81.32,76.67
367,33,2024-03-11,94.37,Low,76.99,92.47,46.6,81.52
368,97,2025-05-23,61.65,High,96.96,93.65,63.54,87.85
369,23,2025-10-08,95.82,Low,78.98,98.84,64.57,41.05
370,56,2025-02-24,51.38,High,48.05,91.12,80.28,92.36
371,85,2026-08-29,64.33,High,82.97,54.25,47.89,92.44
372,1,2026-08-20,69.28,High,44.39,42.49,49.23,58.86
373,72,2025-05-27,79.96,Medium,88.52,80.06,65.2,66.72
374,10,2025-12-03,61.22,High,52.95,97.86,41.44,96.0
375,6,2025-08-30,84.49,Medium,42.28,42.65,94.99,85.92
376,54,2026-05-19,83.83,Medium,43.0,52.99,48.93,89.86
377,68,2024-04-10,71.54,Medium,72.28,52.43,56.86,98.43
378,51,2025-01-30,79.79,Medium,96.3,73.29,46.83,98.01
379,61,2026-01-21,82.51,Medium,61.14,71.65,81.1,95.96
380,77,2024-12-24,47.42,Critical,77.66,79.65,62.91,99.6
381,98,2026-02-15,74.51,Medium,49.62,68.72,71.44,40.72
382,20,2024-06-09,82.87,Medium,89.45,83.44,99.01,46.74
383,86,2024-10-24,95.01,Low,66.85,77.94,67.49,61.1
384,37,2025-06-12,45.94,Critical,53.4,83.47,86.86,97.57
385,29,2025-02-13,47.63,Critical,76.22,97.14,71.23,75.9
386,81,2025-01-15,97.4,Low,46.19,55.32,98.62,76.45
387,27,2026-07-02,66.82,High,44.77,63.25,55.81,42.12
388,56,2025-06-11,65.08,High,83.39,66.97,44.1,73.67
389,98,2024-04-13,71.05,Medium,45.04,58.26,65.87,61.07
390,78,2026-04-20,87.17,Low,64.13,99.81,54.94,85.03
391,65,2025-10-02,47.59,Critical,79.35,52.57,95.92,40.98
392,5,2025-06-25,52.14,High,90.09,60.77,59.88,87.46
393,31,2025-12-21,85.84,Low,68.61,87.68,41.11,52.0
394,49,2025-07-24,71.24,Medium,68.86,75.51,49.65,64.94
395,48,2025-05-07,60.01,High,80.4,40.76,46.21,55.76
396,8,2025-01-18,52.34,High,97.32,57.4,59.27,79.49
397,44,2024-02-02,60.68,High,70.44,84.66,42.19,73.82
398,71,2025-08-04,89.68,Low,90.8,64.09,67.49,71.23
399,62,2025-01-21,52.16,High,45.84,52.87,52.13,87.61
400,37,2024-08-13,58.18,High,86.35,43.57,41.79,44.77
401,29,2025-09-21,61.58,High,58.43,96.21,99.15,69.5
402,92,2025-03-24,59.73,High,99.5,73.98,78.63,58.85
403,35,2025-01-31,66.91,High,49.16,77.15,81.59,61.55
404,67,2025-01-21,77.1,Medium,49.41,60.21,67.14,59.64
405,52,2024-06-18,47.95,Critical,47.64,42.24,53.47,97.24
406,5,2026-01-31,64.73,High,68.09,91.19,98.54,46.13
407,47,2025-01-12,49.18,Critical,71.12,84.19,89.56,46.14
408,67,2024-06-18,90.09,Low,86.33,70.41,94.49,60.21
409,53,2024-02-14,66.33,High,82.58,88.06,90.99,53.05
