id,item_code,item_name,category,quantity,minimum_stock,maximum_stock,unit_price,status,created_at,updated_at,reorder_point,warehouse_id
206,DC-PROD-216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Strength Training,64,3,12,189.0,Inactive,2026-09-14 13:02:41.793778,2026-09-14 13:02:41.793781,3,
123,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,62956,3147,12591,50.0,Inactive,2026-09-14 13:02:41.789069,2026-09-14 13:02:41.789071,3147,
149,DC-PROD-1363,Summer dresses,Women's Clothing,650,32,130,215.82,Inactive,2026-09-14 13:02:41.790745,2026-09-14 13:02:41.790747,32,
171,DC-PROD-37,adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,781,39,156,34.99,Inactive,2026-09-14 13:02:41.791591,2026-09-14 13:02:41.791592,39,
172,DC-PROD-172,Nike Women's Tempo Shorts,Cardio Equipment,907,45,181,30.0,Inactive,2026-09-14 13:02:41.791629,2026-09-14 13:02:41.791630,45,
189,DC-PROD-1355,Lawn mower,Garden,484,24,96,532.58,Inactive,2026-09-14 13:02:41.792458,2026-09-14 13:02:41.792459,24,
195,DC-PROD-1359,Adult dog supplies,Pet Supplies,492,24,98,84.4,Inactive,2026-09-14 13:02:41.792890,2026-09-14 13:02:41.792893,24,
198,DC-PROD-1358,Rock music,Music,434,21,86,260.65,Inactive,2026-09-14 13:02:41.793085,2026-09-14 13:02:41.793087,21,
134,DC-PROD-44,adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,939,46,187,59.99,Inactive,2026-09-14 13:02:41.790167,2026-09-14 13:02:41.790169,46,
135,DC-PROD-251,Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,212,10,42,89.99,Inactive,2026-09-14 13:02:41.790209,2026-09-14 13:02:41.790211,10,
162,DC-PROD-804,Glove It Women's Imperial Golf Glove,Golf Balls,941,47,188,19.99,Inactive,2026-09-14 13:02:41.791231,2026-09-14 13:02:41.791232,47,
163,DC-PROD-822,Titleist Pro V1x High Numbers Golf Balls,Electronics,800,40,160,47.99,Inactive,2026-09-14 13:02:41.791266,2026-09-14 13:02:41.791268,40,
166,DC-PROD-823,Titleist Pro V1x High Numbers Personalized Go,Electronics,908,45,181,51.99,Inactive,2026-09-14 13:02:41.791371,2026-09-14 13:02:41.791373,45,
170,DC-PROD-897,Team Golf New England Patriots Putter Grip,Accessories,823,41,164,24.99,Inactive,2026-09-14 13:02:41.791552,2026-09-14 13:02:41.791553,41,
190,DC-PROD-135,Nike Dri-FIT Crew Sock 6 Pack,Hockey,883,44,176,22.0,Inactive,2026-09-14 13:02:41.792529,2026-09-14 13:02:41.792531,44,
191,DC-PROD-134,Nike Women's Legend V-Neck T-Shirt,Hockey,801,40,160,25.0,Inactive,2026-09-14 13:02:41.792607,2026-09-14 13:02:41.792610,40,
121,DC-PROD-365,Perfect Fitness Perfect Rip Deck,Cleats,73698,3684,14739,59.99,Inactive,2026-09-14 13:02:41.788769,2026-09-14 13:02:41.788774,3684,
176,DC-PROD-1347,Baby sweater,Baby,207,10,41,59.08,Inactive,2026-09-14 13:02:41.791777,2026-09-14 13:02:41.791778,10,
199,DC-PROD-1362,Fighting video games,Video Games,838,41,167,39.75,Inactive,2026-09-14 13:02:41.793151,2026-09-14 13:02:41.793153,41,
120,DC-PROD-1360,Smart watch,Sporting Goods,357,17,71,327.75,Inactive,2026-09-14 13:02:41.788443,2026-09-14 13:02:41.788502,17,
147,DC-PROD-564,Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,907,45,181,30.0,Inactive,2026-09-14 13:02:41.790672,2026-09-14 13:02:41.790674,45,
152,DC-PROD-906,Team Golf Tennessee Volunteers Putter Grip,Accessories,915,45,183,24.99,Inactive,2026-09-14 13:02:41.790862,2026-09-14 13:02:41.790864,45,
164,DC-PROD-835,Bridgestone e6 Straight Distance NFL Carolina,Electronics,928,46,185,31.99,Inactive,2026-09-14 13:02:41.791301,2026-09-14 13:02:41.791302,46,
138,DC-PROD-1352,Industrial consumer electronics,Consumer Electronics,431,21,86,252.88,Inactive,2026-09-14 13:02:41.790328,2026-09-14 13:02:41.790329,21,
142,DC-PROD-24,Elevation Training Mask 2.0,Soccer,231,11,46,79.99,Inactive,2026-09-14 13:02:41.790482,2026-09-14 13:02:41.790483,11,
157,DC-PROD-273,Under Armour Kids' Mercenary Slide,Electronics,795,39,159,27.99,Inactive,2026-09-14 13:02:41.791050,2026-09-14 13:02:41.791051,39,
175,DC-PROD-93,Under Armour Men's Tech II T-Shirt,Lacrosse,835,41,167,24.99,Inactive,2026-09-14 13:02:41.791741,2026-09-14 13:02:41.791742,41,
185,DC-PROD-78,Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,186,9,37,99.99,Inactive,2026-09-14 13:02:41.792110,2026-09-14 13:02:41.792112,9,
203,DC-PROD-35,adidas Brazuca 2014 Official Match Ball,Baseball & Softball,65,3,13,159.99,Inactive,2026-09-14 13:02:41.793484,2026-09-14 13:02:41.793487,3,
144,DC-PROD-893,Team Golf Pittsburgh Steelers Putter Grip,Accessories,887,44,177,24.99,Inactive,2026-09-14 13:02:41.790558,2026-09-14 13:02:41.790559,44,
145,DC-PROD-924,Glove It Urban Brick Golf Towel,Trade-In,885,44,177,15.99,Inactive,2026-09-14 13:02:41.790596,2026-09-14 13:02:41.790598,44,
126,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,36680,1834,7336,99.99,Inactive,2026-09-14 13:02:41.789746,2026-09-14 13:02:41.789749,1834,
127,DC-PROD-917,Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,930,46,186,21.99,Inactive,2026-09-14 13:02:41.789861,2026-09-14 13:02:41.789863,46,
146,DC-PROD-905,Team Golf Texas Longhorns Putter Grip,Accessories,895,44,179,24.99,Inactive,2026-09-14 13:02:41.790634,2026-09-14 13:02:41.790635,44,
148,DC-PROD-885,Team Golf St. Louis Cardinals Putter Grip,Accessories,958,47,191,24.99,Inactive,2026-09-14 13:02:41.790709,2026-09-14 13:02:41.790710,47,
154,DC-PROD-926,Glove It Imperial Golf Towel,Trade-In,930,46,186,15.99,Inactive,2026-09-14 13:02:41.790938,2026-09-14 13:02:41.790940,46,
155,DC-PROD-116,Nike Men's Comfort 2 Slide,Tennis & Racquet,991,49,198,44.99,Inactive,2026-09-14 13:02:41.790976,2026-09-14 13:02:41.790977,49,
122,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,31735,1586,6347,39.99,Inactive,2026-09-14 13:02:41.788956,2026-09-14 13:02:41.788960,1586,
124,DC-PROD-278,Under Armour Men's Compression EV SL Slide,Electronics,813,40,162,44.99,Inactive,2026-09-14 13:02:41.789197,2026-09-14 13:02:41.789199,40,
125,DC-PROD-249,Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,847,42,169,54.97,Inactive,2026-09-14 13:02:41.789465,2026-09-14 13:02:41.789472,42,
139,DC-PROD-1349,Web Camera,Cameras,592,29,118,452.04,Inactive,2026-09-14 13:02:41.790367,2026-09-14 13:02:41.790368,29,
141,DC-PROD-60,SOLE E25 Elliptical,Basketball,10,1,2,999.99,Inactive,2026-09-14 13:02:41.790444,2026-09-14 13:02:41.790445,1,
158,DC-PROD-282,Under Armour Women's Ignite PIP VI Slide,Electronics,848,42,169,31.99,Inactive,2026-09-14 13:02:41.791084,2026-09-14 13:02:41.791086,42,
165,DC-PROD-276,Under Armour Women's Ignite Slide,Electronics,919,45,183,31.99,Inactive,2026-09-14 13:02:41.791337,2026-09-14 13:02:41.791338,45,
167,DC-PROD-203,GoPro HERO3+ Black Edition Camera,Strength Training,32,1,6,399.99,Inactive,2026-09-14 13:02:41.791430,2026-09-14 13:02:41.791432,1,
168,DC-PROD-364,Total Gym 1400,Cleats,36,1,7,299.99,Inactive,2026-09-14 13:02:41.791473,2026-09-14 13:02:41.791474,1,
169,DC-PROD-1350,Children's heaters,Children's Clothing,652,32,130,357.1,Inactive,2026-09-14 13:02:41.791513,2026-09-14 13:02:41.791515,32,
178,DC-PROD-1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,17325,866,3465,399.98,Inactive,2026-09-14 13:02:41.791852,2026-09-14 13:02:41.791853,866,
183,DC-PROD-1354,DVDs,DVDs,483,24,96,164.38,Inactive,2026-09-14 13:02:41.792037,2026-09-14 13:02:41.792038,24,
186,DC-PROD-258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,206,10,41,94.99,Inactive,2026-09-14 13:02:41.792233,2026-09-14 13:02:41.792235,10,
188,DC-PROD-981,The North Face Women's Recon Backpack,Hunting & Shooting,181,9,36,99.0,Inactive,2026-09-14 13:02:41.792390,2026-09-14 13:02:41.792392,9,
200,DC-PROD-295,Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,187,9,37,99.95,Inactive,2026-09-14 13:02:41.793221,2026-09-14 13:02:41.793223,9,
201,DC-PROD-127,Stiga Master Series ST3100 Competition Indoor,Hockey,27,1,5,329.99,Inactive,2026-09-14 13:02:41.793293,2026-09-14 13:02:41.793295,1,
202,DC-PROD-61,Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,28,1,5,299.99,Inactive,2026-09-14 13:02:41.793372,2026-09-14 13:02:41.793374,1,
204,DC-PROD-858,GolfBuddy VT3 GPS Watch,Kids' Golf Clubs,59,2,11,199.99,Inactive,2026-09-14 13:02:41.793623,2026-09-14 13:02:41.793625,2,
205,DC-PROD-860,Bushnell Pro X7 Jolt Slope Rangefinder,Kids' Golf Clubs,11,1,2,599.99,Inactive,2026-09-14 13:02:41.793712,2026-09-14 13:02:41.793714,1,
212,DC-PROD-786,TaylorMade 2014 Purelite Stand Bag,Golf Gloves,65,3,13,179.99,Inactive,2026-09-14 13:02:41.794292,2026-09-14 13:02:41.794294,3,
216,DC-PROD-773,Titleist Small Wheeled Travel Cover,Golf Gloves,54,2,10,249.99,Inactive,2026-09-14 13:02:41.794636,2026-09-14 13:02:41.794638,2,
219,DC-PROD-743,Ogio Race Golf Shoes,Golf Bags & Carts,61,3,12,169.99,Inactive,2026-09-14 13:02:41.794839,2026-09-14 13:02:41.794842,3,
222,DC-PROD-725,LIJA Women's Button Golf Dress,Golf Shoes,76,3,15,108.0,Inactive,2026-09-14 13:02:41.795134,2026-09-14 13:02:41.795137,3,
223,DC-PROD-724,LIJA Women's Mid-Length Panel Golf Shorts,Golf Shoes,227,11,45,100.0,Inactive,2026-09-14 13:02:41.795210,2026-09-14 13:02:41.795212,11,
224,DC-PROD-715,TaylorMade Women's RBZ SL Rescue,Golf Apparel,68,3,13,129.99,Inactive,2026-09-14 13:02:41.795287,2026-09-14 13:02:41.795289,3,
225,DC-PROD-705,Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,70,3,14,119.99,Inactive,2026-09-14 13:02:41.795370,2026-09-14 13:02:41.795372,3,
228,DC-PROD-677,TaylorMade White Smoke IN-12 Putter,Women's Golf Clubs,193,9,38,99.99,Inactive,2026-09-14 13:02:41.795579,2026-09-14 13:02:41.795581,9,
229,DC-PROD-671,Cleveland Golf Collegiate My Custom Wedge 588,Women's Golf Clubs,65,3,13,209.99,Inactive,2026-09-14 13:02:41.795769,2026-09-14 13:02:41.795771,3,
231,DC-PROD-652,Merrell Women's Grassbow Sport Waterproof Hik,Men's Golf Clubs,58,2,11,129.99,Inactive,2026-09-14 13:02:41.795921,2026-09-14 13:02:41.795923,2,
235,DC-PROD-1073,Pelican Sunstream 100 Kayak,Water Sports,15500,775,3100,199.99,Inactive,2026-09-14 13:02:41.796446,2026-09-14 13:02:41.796449,775,
237,DC-PROD-1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,57803,2890,11560,49.98,Inactive,2026-09-14 13:02:41.796629,2026-09-14 13:02:41.796631,2890,
129,DC-PROD-642,Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,928,46,185,30.0,Inactive,2026-09-14 13:02:41.789974,2026-09-14 13:02:41.789976,46,
133,DC-PROD-977,ENO Atlas Hammock Straps,Hunting & Shooting,998,49,199,29.99,Inactive,2026-09-14 13:02:41.790130,2026-09-14 13:02:41.790131,49,
130,DC-PROD-818,Titleist Pro V1x Golf Balls,Electronics,863,43,172,47.99,Inactive,2026-09-14 13:02:41.790013,2026-09-14 13:02:41.790015,43,
131,DC-PROD-825,Bridgestone e6 Straight Distance NFL Tennesse,Electronics,805,40,161,31.99,Inactive,2026-09-14 13:02:41.790053,2026-09-14 13:02:41.790055,40,
132,DC-PROD-306,Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,196,9,39,89.99,Inactive,2026-09-14 13:02:41.790092,2026-09-14 13:02:41.790093,9,
153,DC-PROD-886,Team Golf San Francisco Giants Putter Grip,Accessories,871,43,174,24.99,Inactive,2026-09-14 13:02:41.790900,2026-09-14 13:02:41.790902,43,
143,DC-PROD-567,adidas Men's Germany Black Crest Away Tee,Girls' Apparel,859,42,171,25.0,Inactive,2026-09-14 13:02:41.790520,2026-09-14 13:02:41.790521,42,
150,DC-PROD-1353,Porcelain crafts,Crafts,484,24,96,461.48,Inactive,2026-09-14 13:02:41.790782,2026-09-14 13:02:41.790783,24,
151,DC-PROD-1357,Men's gala suit,Men's Clothing,208,10,41,210.85,Inactive,2026-09-14 13:02:41.790824,2026-09-14 13:02:41.790825,10,
156,DC-PROD-235,Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,846,42,169,34.99,Inactive,2026-09-14 13:02:41.791014,2026-09-14 13:02:41.791015,42,
128,DC-PROD-828,Bridgestone e6 Straight Distance NFL San Dieg,Electronics,906,45,181,31.99,Inactive,2026-09-14 13:02:41.789932,2026-09-14 13:02:41.789933,45,
136,DC-PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,22246,1112,4449,129.99,Inactive,2026-09-14 13:02:41.790247,2026-09-14 13:02:41.790249,1112,
140,DC-PROD-1351,Dell Laptop,Computers,442,22,88,1500.0,Inactive,2026-09-14 13:02:41.790405,2026-09-14 13:02:41.790407,22,
226,DC-PROD-703,Top Flite Women's 2014 XL Hybrid,Golf Apparel,887,44,177,19.99,Inactive,2026-09-14 13:02:41.795441,2026-09-14 13:02:41.795443,44,
207,DC-PROD-19,Nike Men's Fingertrap Max Training Shoe,Soccer,64,3,12,124.99,Inactive,2026-09-14 13:02:41.793847,2026-09-14 13:02:41.793849,3,
210,DC-PROD-793,Hirzl Women's Hybrid Golf Glove,Golf Balls,888,44,177,14.99,Inactive,2026-09-14 13:02:41.794148,2026-09-14 13:02:41.794150,44,
211,DC-PROD-792,Hirzl Men's Hybrid Golf Glove,Golf Balls,864,43,172,14.99,Inactive,2026-09-14 13:02:41.794226,2026-09-14 13:02:41.794228,43,
213,DC-PROD-778,Bag Boy Beverage Holder,Golf Gloves,845,42,169,24.99,Inactive,2026-09-14 13:02:41.794365,2026-09-14 13:02:41.794367,42,
217,DC-PROD-771,Clicgear Rovic Cooler Bag,Golf Gloves,867,43,173,39.99,Inactive,2026-09-14 13:02:41.794705,2026-09-14 13:02:41.794707,43,
221,DC-PROD-728,LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,946,47,189,65.0,Inactive,2026-09-14 13:02:41.795051,2026-09-14 13:02:41.795053,47,
208,DC-PROD-226,Bowflex SelectTech 1090 Dumbbells,Fitness Accessories,10,1,2,599.99,Inactive,2026-09-14 13:02:41.793930,2026-09-14 13:02:41.793931,1,
209,DC-PROD-208,SOLE E35 Elliptical,Strength Training,15,1,3,1999.99,Inactive,2026-09-14 13:02:41.794036,2026-09-14 13:02:41.794038,1,
218,DC-PROD-768,Titleist Club Glove Travel Cover,Golf Gloves,34,1,6,299.99,Inactive,2026-09-14 13:02:41.794770,2026-09-14 13:02:41.794772,1,
220,DC-PROD-730,LIJA Women's Argyle Golf Polo,Golf Shoes,195,9,39,80.0,Inactive,2026-09-14 13:02:41.794916,2026-09-14 13:02:41.794918,9,
230,DC-PROD-666,Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,85,4,17,109.99,Inactive,2026-09-14 13:02:41.795845,2026-09-14 13:02:41.795847,4,
233,DC-PROD-646,Merrell Women's Grassbow Sport Hiking Shoe,Men's Golf Clubs,207,10,41,99.99,Inactive,2026-09-14 13:02:41.796062,2026-09-14 13:02:41.796064,10,
236,DC-PROD-1059,Pelican Maverick 100X Kayak,Water Sports,40,2,8,349.99,Inactive,2026-09-14 13:02:41.796536,2026-09-14 13:02:41.796538,2,
215,DC-PROD-775,Clicgear 8.0 Shoe Brush,Golf Gloves,888,44,177,9.99,Inactive,2026-09-14 13:02:41.794564,2026-09-14 13:02:41.794566,44,
234,DC-PROD-1361,Toys,Toys,529,26,105,11.54,Inactive,2026-09-14 13:02:41.796132,2026-09-14 13:02:41.796134,26,
214,DC-PROD-777,Bag Boy M330 Push Cart,Golf Gloves,208,10,41,79.99,Inactive,2026-09-14 13:02:41.794484,2026-09-14 13:02:41.794487,10,
227,DC-PROD-691,MDGolf Pittsburgh Penguins Putter,Women's Golf Clubs,145,7,29,79.99,Inactive,2026-09-14 13:02:41.795510,2026-09-14 13:02:41.795511,7,
232,DC-PROD-647,Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,70,3,14,134.99,Inactive,2026-09-14 13:02:41.795993,2026-09-14 13:02:41.795995,3,
