id,vendor_id,month,year,on_time_deliveries,delayed_deliveries,quality_rating,response_time,issue_resolution_time,order_completion_rate,overall_score,compliance_score
34,VND0000002,February,2015,478.0,680.0,3.24,0.0,0.0,41.28,45.99,41.28
35,VND0000002,March,2015,584.0,800.0,3.29,0.0,0.0,42.2,46.93,42.2
36,VND0000002,April,2015,549.0,688.0,3.24,0.0,0.0,44.38,48.47,44.38
37,VND0000002,May,2015,576.0,796.0,3.24,0.0,0.0,41.98,46.55,41.98
38,VND0000002,June,2015,562.0,679.0,3.21,0.0,0.0,45.29,49.08,45.29
39,VND0000002,July,2015,556.0,741.0,3.25,0.0,0.0,42.87,47.29,42.87
40,VND0000002,August,2015,583.0,790.0,3.26,0.0,0.0,42.46,47.01,42.46
41,VND0000002,September,2015,531.0,742.0,3.27,0.0,0.0,41.71,46.45,41.71
42,VND0000002,October,2015,540.0,762.0,3.25,0.0,0.0,41.47,46.17,41.47
43,VND0000002,November,2015,575.0,758.0,3.26,0.0,0.0,43.14,47.54,43.14
44,VND0000002,December,2015,556.0,768.0,3.24,0.0,0.0,41.99,46.54,41.99
45,VND0000002,January,2016,525.0,767.0,3.21,0.0,0.0,40.63,45.34,40.63
46,VND0000002,February,2016,507.0,678.0,3.23,0.0,0.0,42.78,47.15,42.78
47,VND0000002,March,2016,522.0,811.0,3.24,0.0,0.0,39.16,44.28,39.16
48,VND0000002,April,2016,554.0,745.0,3.23,0.0,0.0,42.65,47.02,42.65
49,VND0000002,May,2016,553.0,812.0,3.25,0.0,0.0,40.51,45.43,40.51
50,VND0000002,June,2016,516.0,738.0,3.23,0.0,0.0,41.15,45.86,41.15
51,VND0000002,July,2016,583.0,702.0,3.26,0.0,0.0,45.37,49.32,45.37
52,VND0000002,August,2016,544.0,754.0,3.19,0.0,0.0,41.91,46.29,41.91
53,VND0000002,September,2016,562.0,731.0,3.27,0.0,0.0,43.46,47.84,43.46
54,VND0000002,October,2016,550.0,773.0,3.25,0.0,0.0,41.57,46.26,41.57
55,VND0000002,November,2016,548.0,754.0,3.25,0.0,0.0,42.09,46.66,42.09
56,VND0000002,December,2016,579.0,777.0,3.18,0.0,0.0,42.7,46.88,42.7
57,VND0000002,January,2017,575.0,755.0,3.27,0.0,0.0,43.23,47.68,43.23
58,VND0000002,February,2017,506.0,670.0,3.26,0.0,0.0,43.03,47.48,43.03
59,VND0000002,March,2017,574.0,752.0,3.25,0.0,0.0,43.29,47.61,43.29
60,VND0000002,April,2017,567.0,707.0,3.24,0.0,0.0,44.51,48.55,44.51
61,VND0000002,May,2017,545.0,672.0,3.26,0.0,0.0,44.78,48.86,44.78
62,VND0000002,June,2017,476.0,627.0,3.2,0.0,0.0,43.16,47.32,43.16
63,VND0000002,July,2017,499.0,755.0,3.23,0.0,0.0,39.79,44.74,39.79
64,VND0000002,August,2017,481.0,719.0,3.28,0.0,0.0,40.08,45.21,40.08
65,VND0000002,September,2017,524.0,701.0,3.29,0.0,0.0,42.78,47.36,42.78
66,VND0000002,October,2017,29.0,25.0,3.41,0.0,0.0,53.7,56.6,53.7
67,VND0000002,December,2017,66.0,79.0,3.39,0.0,0.0,45.52,49.99,45.52
68,VND0000002,January,2018,77.0,135.0,3.14,0.0,0.0,36.32,41.61,36.32
69,VND0000003,January,2015,623.0,725.0,3.22,0.0,0.0,46.22,49.85,46.22
70,VND0000003,February,2015,567.0,765.0,3.21,0.0,0.0,42.57,46.9,42.57
71,VND0000003,March,2015,595.0,797.0,3.23,0.0,0.0,42.74,47.13,42.74
72,VND0000003,April,2015,612.0,799.0,3.19,0.0,0.0,43.37,47.44,43.37
73,VND0000003,May,2015,580.0,806.0,3.27,0.0,0.0,41.85,46.57,41.85
74,VND0000003,June,2015,586.0,780.0,3.25,0.0,0.0,42.9,47.33,42.9
75,VND0000003,July,2015,638.0,832.0,3.25,0.0,0.0,43.4,47.72,43.4
76,VND0000003,August,2015,611.0,836.0,3.27,0.0,0.0,42.23,46.85,42.23
77,VND0000003,September,2015,590.0,800.0,3.27,0.0,0.0,42.45,47.02,42.45
78,VND0000003,October,2015,622.0,808.0,3.24,0.0,0.0,43.5,47.77,43.5
79,VND0000003,November,2015,606.0,727.0,3.22,0.0,0.0,45.46,49.25,45.46
80,VND0000003,December,2015,600.0,839.0,3.21,0.0,0.0,41.7,46.2,41.7
81,VND0000003,January,2016,628.0,834.0,3.2,0.0,0.0,42.95,47.16,42.95
82,VND0000003,February,2016,567.0,750.0,3.23,0.0,0.0,43.05,47.34,43.05
83,VND0000003,March,2016,604.0,792.0,3.21,0.0,0.0,43.27,47.47,43.27
84,VND0000003,April,2016,598.0,805.0,3.25,0.0,0.0,42.62,47.09,42.62
85,VND0000003,May,2016,600.0,838.0,3.22,0.0,0.0,41.72,46.26,41.72
86,VND0000003,June,2016,539.0,864.0,3.26,0.0,0.0,38.42,43.77,38.42
87,VND0000003,July,2016,655.0,792.0,3.28,0.0,0.0,45.27,49.32,45.27
88,VND0000003,August,2016,656.0,857.0,3.23,0.0,0.0,43.36,47.61,43.36
89,VND0000003,September,2016,619.0,792.0,3.26,0.0,0.0,43.87,48.15,43.87
90,VND0000003,October,2016,597.0,896.0,3.27,0.0,0.0,39.99,45.06,39.99
91,VND0000003,November,2016,602.0,750.0,3.25,0.0,0.0,44.53,48.62,44.53
92,VND0000003,December,2016,578.0,841.0,3.23,0.0,0.0,40.73,45.52,40.73
93,VND0000003,January,2017,657.0,737.0,3.26,0.0,0.0,47.13,50.74,47.13
94,VND0000003,February,2017,569.0,722.0,3.28,0.0,0.0,44.07,48.37,44.07
95,VND0000003,March,2017,635.0,833.0,3.24,0.0,0.0,43.26,47.56,43.26
96,VND0000003,April,2017,587.0,790.0,3.24,0.0,0.0,42.63,47.06,42.63
97,VND0000003,May,2017,624.0,833.0,3.23,0.0,0.0,42.83,47.17,42.83
98,VND0000003,June,2017,612.0,796.0,3.28,0.0,0.0,43.47,47.91,43.47
99,VND0000003,July,2017,590.0,854.0,3.24,0.0,0.0,40.86,45.64,40.86
100,VND0000003,August,2017,605.0,857.0,3.26,0.0,0.0,41.38,46.16,41.38
101,VND0000003,September,2017,574.0,757.0,3.23,0.0,0.0,43.13,47.43,43.13
102,VND0000003,October,2017,434.0,537.0,3.25,0.0,0.0,44.7,48.75,44.7
103,VND0000003,November,2017,276.0,371.0,3.21,0.0,0.0,42.66,46.99,42.66
104,VND0000003,December,2017,454.0,676.0,3.26,0.0,0.0,40.18,45.16,40.18
105,VND0000003,January,2018,341.0,467.0,3.27,0.0,0.0,42.2,46.83,42.2
106,VND0000005,January,2015,1064.0,1417.0,3.23,0.0,0.0,42.89,47.23,42.89
107,VND0000005,February,2015,896.0,1235.0,3.26,0.0,0.0,42.05,46.67,42.05
108,VND0000005,March,2015,1073.0,1390.0,3.24,0.0,0.0,43.56,47.8,43.56
109,VND0000005,April,2015,1034.0,1347.0,3.23,0.0,0.0,43.43,47.67,43.43
110,VND0000005,May,2015,1043.0,1436.0,3.23,0.0,0.0,42.07,46.56,42.07
111,VND0000005,June,2015,1046.0,1372.0,3.25,0.0,0.0,43.26,47.62,43.26
112,VND0000005,July,2015,1004.0,1409.0,3.24,0.0,0.0,41.61,46.26,41.61
113,VND0000005,August,2015,963.0,1371.0,3.26,0.0,0.0,41.26,46.03,41.26
114,VND0000005,September,2015,946.0,1413.0,3.23,0.0,0.0,40.1,44.99,40.1
115,VND0000005,October,2015,1078.0,1391.0,3.22,0.0,0.0,43.66,47.81,43.66
116,VND0000005,November,2015,1053.0,1379.0,3.22,0.0,0.0,43.3,47.54,43.3
117,VND0000005,December,2015,1079.0,1389.0,3.23,0.0,0.0,43.72,47.89,43.72
118,VND0000005,January,2016,1038.0,1417.0,3.25,0.0,0.0,42.28,46.82,42.28
119,VND0000005,February,2016,1013.0,1263.0,3.2,0.0,0.0,44.51,48.4,44.51
120,VND0000005,March,2016,1032.0,1344.0,3.23,0.0,0.0,43.43,47.67,43.43
121,VND0000005,April,2016,984.0,1319.0,3.26,0.0,0.0,42.73,47.22,42.73
122,VND0000005,May,2016,1028.0,1361.0,3.25,0.0,0.0,43.03,47.41,43.03
123,VND0000005,June,2016,973.0,1307.0,3.23,0.0,0.0,42.68,47.06,42.68
124,VND0000005,July,2016,1100.0,1359.0,3.24,0.0,0.0,44.73,48.74,44.73
125,VND0000005,August,2016,1043.0,1356.0,3.24,0.0,0.0,43.48,47.74,43.48
126,VND0000005,September,2016,987.0,1350.0,3.28,0.0,0.0,42.23,46.9,42.23
127,VND0000005,October,2016,1119.0,1337.0,3.25,0.0,0.0,45.56,49.46,45.56
128,VND0000005,November,2016,1044.0,1396.0,3.23,0.0,0.0,42.79,47.14,42.79
129,VND0000005,December,2016,987.0,1403.0,3.24,0.0,0.0,41.3,46.0,41.3
130,VND0000005,January,2017,1022.0,1376.0,3.24,0.0,0.0,42.62,47.07,42.62
131,VND0000005,February,2017,971.0,1367.0,3.25,0.0,0.0,41.53,46.24,41.53
132,VND0000005,March,2017,1006.0,1431.0,3.24,0.0,0.0,41.28,45.98,41.28
133,VND0000005,April,2017,1081.0,1404.0,3.24,0.0,0.0,43.5,47.75,43.5
134,VND0000005,May,2017,1126.0,1517.0,3.24,0.0,0.0,42.6,47.03,42.6
135,VND0000005,June,2017,1091.0,1349.0,3.23,0.0,0.0,44.71,48.69,44.71
136,VND0000005,July,2017,1129.0,1491.0,3.23,0.0,0.0,43.09,47.39,43.09
137,VND0000005,August,2017,1111.0,1532.0,3.26,0.0,0.0,42.04,46.67,42.04
138,VND0000005,September,2017,1118.0,1515.0,3.24,0.0,0.0,42.46,46.95,42.46
139,VND0000005,October,2017,63.0,60.0,3.27,0.0,0.0,51.22,54.06,51.22
140,VND0000006,November,2017,222.0,293.0,3.24,0.0,0.0,43.11,47.43,43.11
141,VND0000006,December,2017,39.0,80.0,3.28,0.0,0.0,32.77,39.33,32.77
142,VND0000006,January,2018,137.0,205.0,3.22,0.0,0.0,40.06,44.93,40.06
