id,invoice_id,file_name,file_path,file_type,file_size,uploaded_by,created_at
65,65,Andhra Warehouse Equipment Private Limited,INVOICE-000065,INVOICE-000065,422,3,2026-01-18 11:05:00
66,66,Telugu Engineering Components Private Limited,INVOICE-000066,INVOICE-000066,877,2,2027-03-23 15:42:08
67,67,Horizon Logistics Services Private Limited,INVOICE-000067,INVOICE-000067,720,1,2026-08-30 10:15:29
68,68,Vertex Textile Materials Private Limited,INVOICE-000068,INVOICE-000068,996,5,2026-05-09 10:56:45
69,69,Prime Safety Products Private Limited,INVOICE-000069,INVOICE-000069,51,2,2025-11-16 09:07:10
70,70,Metro MRO Supplies Private Limited,INVOICE-000070,INVOICE-000070,830,5,2026-05-04 14:20:39
71,71,Reliable Packaging Solutions Private Limited,INVOICE-000071,INVOICE-000071,799,1,2027-02-08 12:21:07
72,72,Precision Chemical Products Private Limited,INVOICE-000072,INVOICE-000072,838,5,2026-04-24 18:54:00
73,73,Apex Industrial Supplies Private Limited,INVOICE-000073,INVOICE-000073,955,2,2025-09-06 17:08:41
74,74,Bharat IT Services Private Limited,INVOICE-000074,INVOICE-000074,23,1,2025-11-19 15:18:05
75,75,Deccan Food Ingredients Private Limited,INVOICE-000075,INVOICE-000075,929,4,2025-11-06 08:13:28
76,76,Eastern Electrical Systems Private Limited,INVOICE-000076,INVOICE-000076,645,1,2026-05-09 11:00:11
77,77,Southern Warehouse Equipment Private Limited,INVOICE-000077,INVOICE-000077,794,1,2025-11-06 12:00:36
78,78,Shree Engineering Components Private Limited,INVOICE-000078,INVOICE-000078,388,5,2026-08-19 11:45:28
79,79,Sree Logistics Services Private Limited,INVOICE-000079,INVOICE-000079,166,1,2026-07-22 13:43:11
80,80,Triveni Textile Materials Private Limited,INVOICE-000080,INVOICE-000080,381,4,2026-11-25 18:57:32
81,81,Sai Safety Products Private Limited,INVOICE-000081,INVOICE-000081,726,5,2026-10-18 17:23:17
82,82,Sri Lakshmi MRO Supplies Private Limited,INVOICE-000082,INVOICE-000082,406,4,2025-12-16 16:31:48
83,83,Pragati Packaging Solutions Private Limited,INVOICE-000083,INVOICE-000083,108,2,2026-06-12 08:35:36
84,84,Vardhan Chemical Products Private Limited,INVOICE-000084,INVOICE-000084,387,3,2027-03-04 12:16:40
85,85,Kaveri Industrial Supplies Private Limited,INVOICE-000085,INVOICE-000085,725,4,2025-11-19 09:34:00
86,86,Godavari IT Services Private Limited,INVOICE-000086,INVOICE-000086,617,2,2026-09-21 10:45:54
87,87,Krishna Food Ingredients Private Limited,INVOICE-000087,INVOICE-000087,874,1,2026-02-22 12:39:28
88,88,Nandi Electrical Systems Private Limited,INVOICE-000088,INVOICE-000088,351,4,2027-02-07 18:43:07
89,89,Andhra Warehouse Equipment Private Limited,INVOICE-000089,INVOICE-000089,282,2,2025-10-31 18:43:28
90,90,Telugu Engineering Components Private Limited,INVOICE-000090,INVOICE-000090,516,5,2026-08-07 15:46:25
91,91,Horizon Logistics Services Private Limited,INVOICE-000091,INVOICE-000091,448,1,2026-06-03 09:39:17
92,92,Vertex Textile Materials Private Limited,INVOICE-000092,INVOICE-000092,392,3,2026-05-03 12:15:44
93,93,Prime Safety Products Private Limited,INVOICE-000093,INVOICE-000093,740,4,2027-02-28 09:22:50
94,94,Metro MRO Supplies Private Limited,INVOICE-000094,INVOICE-000094,781,4,2026-05-24 10:36:48
95,95,Reliable Packaging Solutions Private Limited,INVOICE-000095,INVOICE-000095,144,2,2027-03-12 12:30:48
96,96,Precision Chemical Products Private Limited,INVOICE-000096,INVOICE-000096,138,3,2026-09-20 16:18:09
97,97,Apex Industrial Supplies Private Limited,INVOICE-000097,INVOICE-000097,921,4,2026-06-26 18:12:26
98,98,Bharat IT Services Private Limited,INVOICE-000098,INVOICE-000098,83,1,2026-01-13 14:16:56
99,99,Deccan Food Ingredients Private Limited,INVOICE-000099,INVOICE-000099,41,1,2026-11-18 10:24:18
100,100,Eastern Electrical Systems Private Limited,INVOICE-000100,INVOICE-000100,341,4,2026-07-06 10:20:20
101,101,Southern Warehouse Equipment Private Limited,INVOICE-000101,INVOICE-000101,957,3,2026-12-04 17:59:31
102,102,Shree Engineering Components Private Limited,INVOICE-000102,INVOICE-000102,898,3,2027-03-25 08:27:52
103,103,Sree Logistics Services Private Limited,INVOICE-000103,INVOICE-000103,905,3,2026-05-17 12:06:22
104,104,Triveni Textile Materials Private Limited,INVOICE-000104,INVOICE-000104,249,3,2026-12-16 14:10:35
105,105,Sai Safety Products Private Limited,INVOICE-000105,INVOICE-000105,475,3,2026-04-27 15:31:55
106,106,Sri Lakshmi MRO Supplies Private Limited,INVOICE-000106,INVOICE-000106,739,1,2025-10-19 13:09:31
107,107,Pragati Packaging Solutions Private Limited,INVOICE-000107,INVOICE-000107,510,1,2026-12-28 14:42:11
108,108,Vardhan Chemical Products Private Limited,INVOICE-000108,INVOICE-000108,797,2,2025-10-02 09:34:10
109,109,Kaveri Industrial Supplies Private Limited,INVOICE-000109,INVOICE-000109,273,1,2026-09-13 09:25:48
110,110,Godavari IT Services Private Limited,INVOICE-000110,INVOICE-000110,187,1,2025-12-02 17:11:07
111,111,Krishna Food Ingredients Private Limited,INVOICE-000111,INVOICE-000111,829,1,2027-02-22 14:02:40
112,112,Nandi Electrical Systems Private Limited,INVOICE-000112,INVOICE-000112,194,5,2026-06-23 14:48:26
113,113,Andhra Warehouse Equipment Private Limited,INVOICE-000113,INVOICE-000113,558,1,2026-11-22 15:51:22
114,114,Telugu Engineering Components Private Limited,INVOICE-000114,INVOICE-000114,209,4,2026-09-10 10:36:21
115,115,Horizon Logistics Services Private Limited,INVOICE-000115,INVOICE-000115,503,4,2027-02-17 09:47:37
116,116,Vertex Textile Materials Private Limited,INVOICE-000116,INVOICE-000116,965,4,2025-10-07 10:47:32
117,117,Prime Safety Products Private Limited,INVOICE-000117,INVOICE-000117,809,4,2026-12-04 18:40:01
118,118,Metro MRO Supplies Private Limited,INVOICE-000118,INVOICE-000118,70,2,2027-02-16 16:25:29
119,119,Reliable Packaging Solutions Private Limited,INVOICE-000119,INVOICE-000119,174,3,2026-06-15 11:26:49
120,120,Precision Chemical Products Private Limited,INVOICE-000120,INVOICE-000120,953,1,2025-12-09 17:33:08
121,121,Apex Industrial Supplies Private Limited,INVOICE-000121,INVOICE-000121,823,4,2026-11-08 17:18:52
122,122,Bharat IT Services Private Limited,INVOICE-000122,INVOICE-000122,643,2,2026-09-13 13:26:24
123,123,Deccan Food Ingredients Private Limited,INVOICE-000123,INVOICE-000123,847,1,2026-01-23 09:37:16
124,124,Eastern Electrical Systems Private Limited,INVOICE-000124,INVOICE-000124,796,3,2026-08-23 09:00:22
125,125,Southern Warehouse Equipment Private Limited,INVOICE-000125,INVOICE-000125,148,3,2025-09-12 10:51:13
126,126,Shree Engineering Components Private Limited,INVOICE-000126,INVOICE-000126,336,2,2026-03-23 12:24:51
127,127,Sree Logistics Services Private Limited,INVOICE-000127,INVOICE-000127,391,2,2025-10-18 16:45:12
128,128,Triveni Textile Materials Private Limited,INVOICE-000128,INVOICE-000128,497,2,2026-01-06 14:11:06
129,129,Sai Safety Products Private Limited,INVOICE-000129,INVOICE-000129,777,5,2025-10-08 12:43:34
130,130,Sri Lakshmi MRO Supplies Private Limited,INVOICE-000130,INVOICE-000130,116,4,2026-09-06 15:37:30
131,131,Pragati Packaging Solutions Private Limited,INVOICE-000131,INVOICE-000131,546,2,2026-03-29 09:06:53
132,132,Vardhan Chemical Products Private Limited,INVOICE-000132,INVOICE-000132,715,2,2026-07-17 09:55:03
133,133,Kaveri Industrial Supplies Private Limited,INVOICE-000133,INVOICE-000133,894,4,2026-06-25 16:19:08
134,134,Godavari IT Services Private Limited,INVOICE-000134,INVOICE-000134,733,1,2027-02-18 10:52:42
135,135,Krishna Food Ingredients Private Limited,INVOICE-000135,INVOICE-000135,212,5,2026-05-18 11:59:28
136,136,Nandi Electrical Systems Private Limited,INVOICE-000136,INVOICE-000136,77,1,2026-10-16 10:58:59
137,137,Andhra Warehouse Equipment Private Limited,INVOICE-000137,INVOICE-000137,826,5,2027-01-22 10:07:35
138,138,Telugu Engineering Components Private Limited,INVOICE-000138,INVOICE-000138,589,3,2026-01-17 13:01:53
139,139,Horizon Logistics Services Private Limited,INVOICE-000139,INVOICE-000139,760,2,2027-03-07 08:22:53
140,140,Vertex Textile Materials Private Limited,INVOICE-000140,INVOICE-000140,331,5,2026-08-23 16:50:33
141,141,Prime Safety Products Private Limited,INVOICE-000141,INVOICE-000141,219,4,2025-10-07 13:10:24
142,142,Metro MRO Supplies Private Limited,INVOICE-000142,INVOICE-000142,296,1,2027-01-04 15:57:45
143,143,Reliable Packaging Solutions Private Limited,INVOICE-000143,INVOICE-000143,785,1,2027-01-28 12:24:18
144,144,Precision Chemical Products Private Limited,INVOICE-000144,INVOICE-000144,68,2,2026-08-15 18:02:27
145,145,Apex Industrial Supplies Private Limited,INVOICE-000145,INVOICE-000145,875,5,2027-03-09 16:24:17
146,146,Bharat IT Services Private Limited,INVOICE-000146,INVOICE-000146,419,3,2025-12-30 16:17:05
147,147,Deccan Food Ingredients Private Limited,INVOICE-000147,INVOICE-000147,574,2,2026-07-21 09:27:58
148,148,Eastern Electrical Systems Private Limited,INVOICE-000148,INVOICE-000148,293,1,2027-01-18 13:59:02
149,149,Southern Warehouse Equipment Private Limited,INVOICE-000149,INVOICE-000149,145,1,2027-02-08 12:42:01
150,150,Shree Engineering Components Private Limited,INVOICE-000150,INVOICE-000150,779,3,2025-09-29 17:30:53
