id,shipment_id,inventory_item_id,purchase_order_item_id,item_code,item_description,quantity,uom,total_weight,weight_unit,total_volume,volume_unit,created_at
180562,65795,120,43,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821872
180563,65796,120,44,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821910
180564,65797,120,45,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821947
180565,65798,120,46,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.821987
180566,65799,120,47,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822026
180567,65800,120,48,DC-PROD-1360,Smart watch,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822065
180568,65801,121,49,DC-PROD-365,Perfect Fitness Perfect Rip Deck,2.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822105
180569,65802,122,50,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,2.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822145
180570,65803,123,51,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,2.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822186
180571,65804,122,52,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,2.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822226
180572,65805,123,53,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,2.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822264
180573,65806,123,54,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,2.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822303
180574,65807,123,55,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,2.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822341
180575,65808,124,56,DC-PROD-278,Under Armour Men's Compression EV SL Slide,2.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822381
180576,65809,125,57,DC-PROD-249,Under Armour Women's Micro G Skulpt Running S,2.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822420
180577,65810,121,58,DC-PROD-365,Perfect Fitness Perfect Rip Deck,2.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822459
180578,65811,121,59,DC-PROD-365,Perfect Fitness Perfect Rip Deck,2.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822497
180579,65812,126,60,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822535
180580,65813,122,61,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822574
180581,65814,127,62,DC-PROD-917,Glove It Women's Mod Oval 3-Zip Carry All Gol,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822611
180582,65815,128,63,DC-PROD-828,Bridgestone e6 Straight Distance NFL San Dieg,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822651
180583,65816,126,64,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822689
180584,65817,126,65,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822727
180585,65818,126,66,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822766
180586,65819,121,67,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822804
180587,65820,121,68,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822842
180588,65821,121,69,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822881
180589,65822,121,70,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822916
180590,65817,123,71,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.822966
180591,65823,122,72,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823014
180592,65824,123,73,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823056
180593,65825,127,74,DC-PROD-917,Glove It Women's Mod Oval 3-Zip Carry All Gol,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823097
180594,65826,126,75,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823136
180595,65827,121,76,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823175
180596,65828,121,77,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823214
180597,65829,121,78,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823259
180598,65830,121,79,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823297
180599,65831,121,81,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823365
180600,65832,121,82,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823402
180601,65833,123,83,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823439
180602,65834,122,84,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823476
180603,65835,123,85,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823511
180604,65829,123,86,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823547
180605,65836,123,87,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823583
180606,65837,123,88,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823618
180607,65838,123,89,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823652
180608,65839,123,91,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823717
180609,65840,122,92,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823752
180610,65841,123,93,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823787
180611,65842,122,94,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823821
180612,65843,122,95,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823857
180613,65844,123,96,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823893
180614,65845,123,97,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823928
180615,65846,129,98,DC-PROD-642,Columbia Men's PFG Anchor Tough T-Shirt,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.823964
180616,65847,122,99,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824000
180617,65848,123,100,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824034
180618,65849,123,101,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824069
180619,65850,122,102,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824104
180620,65851,123,103,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824141
180621,65852,123,104,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824200
180622,65853,122,105,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824261
180623,65854,123,106,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824320
180624,65855,122,107,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824379
180625,65856,123,108,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824445
180626,65857,123,109,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824509
180627,65858,123,110,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824560
180628,65859,123,111,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824596
180629,65860,122,112,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824631
180630,65861,123,113,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824666
180631,65842,123,114,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824700
180632,65862,123,115,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824735
180633,65863,130,116,DC-PROD-818,Titleist Pro V1x Golf Balls,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824769
180634,65849,131,117,DC-PROD-825,Bridgestone e6 Straight Distance NFL Tennesse,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824806
180635,65864,132,118,DC-PROD-306,Polar FT4 Heart Rate Monitor,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824856
180636,65865,133,119,DC-PROD-977,ENO Atlas Hammock Straps,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824888
180637,65866,134,120,DC-PROD-44,adidas Men's F10 Messi TRX FG Soccer Cleat,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824920
180638,65867,126,121,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.824966
180639,65868,126,122,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825008
180640,65869,126,123,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825047
180641,65870,126,124,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825084
180642,65871,126,125,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825120
180643,65872,126,126,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825154
180644,65873,126,127,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825189
180645,65874,126,128,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825223
180646,65875,126,129,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825258
180647,65876,135,130,DC-PROD-251,Brooks Women's Ghost 6 Running Shoe,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825293
180648,65877,121,131,DC-PROD-365,Perfect Fitness Perfect Rip Deck,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825328
180649,65878,121,132,DC-PROD-365,Perfect Fitness Perfect Rip Deck,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825365
180650,65879,121,133,DC-PROD-365,Perfect Fitness Perfect Rip Deck,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825400
180651,65880,121,134,DC-PROD-365,Perfect Fitness Perfect Rip Deck,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825433
180652,65881,121,135,DC-PROD-365,Perfect Fitness Perfect Rip Deck,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825467
180653,65882,121,136,DC-PROD-365,Perfect Fitness Perfect Rip Deck,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825499
180654,65883,121,137,DC-PROD-365,Perfect Fitness Perfect Rip Deck,5.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825531
180655,65884,126,138,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825565
180656,65885,136,139,DC-PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825597
180657,65886,136,140,DC-PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825630
180658,65887,136,141,DC-PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825662
180659,65885,121,142,DC-PROD-365,Perfect Fitness Perfect Rip Deck,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825695
180660,65888,136,143,DC-PROD-403,Nike Men's CJ Elite 2 TD Football Cleat,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825727
180661,65889,137,144,DC-PROD-957,Diamondback Women's Serene Classic Comfort Bi,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825761
180662,65887,137,145,DC-PROD-957,Diamondback Women's Serene Classic Comfort Bi,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825793
180663,65890,138,146,DC-PROD-1352,Industrial consumer electronics,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825827
180664,65891,139,147,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825860
180665,65892,138,148,DC-PROD-1352,Industrial consumer electronics,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825893
180666,65893,139,149,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825927
180667,65894,138,150,DC-PROD-1352,Industrial consumer electronics,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825959
180668,65895,139,151,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.825991
180669,65896,138,152,DC-PROD-1352,Industrial consumer electronics,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826025
180670,65897,140,153,DC-PROD-1351,Dell Laptop,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826058
180671,65898,139,154,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826092
180672,65899,139,155,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826124
180673,65900,140,156,DC-PROD-1351,Dell Laptop,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826158
180674,65901,139,157,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826191
180675,65902,138,158,DC-PROD-1352,Industrial consumer electronics,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826223
180676,65903,139,159,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826256
180677,65904,138,160,DC-PROD-1352,Industrial consumer electronics,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826288
180678,65905,140,161,DC-PROD-1351,Dell Laptop,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826320
180679,65906,139,162,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826352
180680,65907,138,163,DC-PROD-1352,Industrial consumer electronics,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826384
180681,65908,139,164,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826416
180682,65909,138,165,DC-PROD-1352,Industrial consumer electronics,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826448
180683,65910,139,166,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826479
180684,65911,138,167,DC-PROD-1352,Industrial consumer electronics,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826510
180685,65912,138,168,DC-PROD-1352,Industrial consumer electronics,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826542
180686,65913,138,169,DC-PROD-1352,Industrial consumer electronics,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826574
180687,65914,139,170,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826605
180688,65915,139,171,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826637
180689,65916,138,172,DC-PROD-1352,Industrial consumer electronics,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826668
180690,65917,140,173,DC-PROD-1351,Dell Laptop,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826698
180691,65918,139,174,DC-PROD-1349,Web Camera,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826730
180692,65919,141,175,DC-PROD-60,SOLE E25 Elliptical,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826762
180693,65920,142,176,DC-PROD-24,Elevation Training Mask 2.0,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826797
180694,65921,134,177,DC-PROD-44,adidas Men's F10 Messi TRX FG Soccer Cleat,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826829
180695,65922,124,178,DC-PROD-278,Under Armour Men's Compression EV SL Slide,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826861
180696,65923,126,179,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826893
180697,65924,126,180,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826925
180698,65925,124,181,DC-PROD-278,Under Armour Men's Compression EV SL Slide,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.826970
180699,65926,126,182,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.827012
180700,65927,126,183,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,1.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.827049
180701,65928,124,184,DC-PROD-278,Under Armour Men's Compression EV SL Slide,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.827085
180702,65929,126,185,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.827120
180703,65930,126,186,DC-PROD-191,Nike Men's Free 5.0+ Running Shoe,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.827156
180704,65931,121,188,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.827218
180705,65932,121,189,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.827252
180706,65933,121,190,DC-PROD-365,Perfect Fitness Perfect Rip Deck,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.827286
180707,65934,122,191,DC-PROD-627,Under Armour Girls' Toddler Spine Surge Runni,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.827318
180708,65933,143,192,DC-PROD-567,adidas Men's Germany Black Crest Away Tee,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.827350
180709,65935,123,193,DC-PROD-502,Nike Men's Dri-FIT Victory Golf Polo,3.0,PCS,0.0,KG,0.0,M3,2026-09-14 13:11:17.827384
