id,obligation_type,reference,amount,due_date
42,FINANCE-000042,REF-DEV-000042,92725.26,2026-12-02
43,FINANCE-000043,REF-DEV-000043,701880.01,2026-08-13
44,FINANCE-000044,REF-DEV-000044,501858.37,2025-11-07
45,FINANCE-000045,REF-DEV-000045,311160.52,2025-11-26
46,FINANCE-000046,REF-DEV-000046,445662.13,2026-04-16
47,FINANCE-000047,REF-DEV-000047,209765.2,2026-06-02
48,FINANCE-000048,REF-DEV-000048,823397.3,2026-02-02
49,FINANCE-000049,REF-DEV-000049,728576.44,2026-01-16
50,FINANCE-000050,REF-DEV-000050,633660.6,2026-08-16
51,FINANCE-000051,REF-DEV-000051,565554.21,2025-09-06
52,FINANCE-000052,REF-DEV-000052,580475.9,2025-09-18
53,FINANCE-000053,REF-DEV-000053,324455.37,2025-12-30
54,FINANCE-000054,REF-DEV-000054,107624.06,2026-09-09
55,FINANCE-000055,REF-DEV-000055,236566.03,2026-01-15
56,FINANCE-000056,REF-DEV-000056,209579.05,2026-03-18
57,FINANCE-000057,REF-DEV-000057,723063.7,2027-01-31
58,FINANCE-000058,REF-DEV-000058,722079.03,2026-05-13
59,FINANCE-000059,REF-DEV-000059,146124.43,2026-10-28
60,FINANCE-000060,REF-DEV-000060,609321.77,2025-09-22
61,FINANCE-000061,REF-DEV-000061,645580.39,2026-07-17
62,FINANCE-000062,REF-DEV-000062,885058.18,2026-10-19
63,FINANCE-000063,REF-DEV-000063,295830.95,2027-01-11
64,FINANCE-000064,REF-DEV-000064,616407.25,2025-10-09
65,FINANCE-000065,REF-DEV-000065,662642.59,2026-08-21
66,FINANCE-000066,REF-DEV-000066,157880.46,2025-09-06
67,FINANCE-000067,REF-DEV-000067,319917.73,2026-03-26
68,FINANCE-000068,REF-DEV-000068,266937.78,2025-11-03
69,FINANCE-000069,REF-DEV-000069,120383.98,2025-11-07
70,FINANCE-000070,REF-DEV-000070,20511.79,2026-04-16
71,FINANCE-000071,REF-DEV-000071,95044.02,2026-01-29
72,FINANCE-000072,REF-DEV-000072,159823.25,2026-02-19
73,FINANCE-000073,REF-DEV-000073,770154.16,2025-12-04
74,FINANCE-000074,REF-DEV-000074,739986.7,2025-09-10
75,FINANCE-000075,REF-DEV-000075,426268.33,2025-11-03
76,FINANCE-000076,REF-DEV-000076,593758.77,2026-04-18
77,FINANCE-000077,REF-DEV-000077,490123.43,2026-10-26
78,FINANCE-000078,REF-DEV-000078,199299.9,2026-04-13
79,FINANCE-000079,REF-DEV-000079,791255.18,2027-02-27
80,FINANCE-000080,REF-DEV-000080,608231.95,2025-09-18
81,FINANCE-000081,REF-DEV-000081,403777.93,2027-02-28
82,FINANCE-000082,REF-DEV-000082,94458.95,2026-04-06
83,FINANCE-000083,REF-DEV-000083,356387.85,2026-05-10
84,FINANCE-000084,REF-DEV-000084,15583.19,2026-01-23
85,FINANCE-000085,REF-DEV-000085,703657.28,2025-10-14
86,FINANCE-000086,REF-DEV-000086,350182.69,2027-02-25
87,FINANCE-000087,REF-DEV-000087,103560.4,2026-10-30
88,FINANCE-000088,REF-DEV-000088,829841.07,2026-12-16
89,FINANCE-000089,REF-DEV-000089,139252.25,2026-11-28
90,FINANCE-000090,REF-DEV-000090,419125.7,2025-10-21
91,FINANCE-000091,REF-DEV-000091,696096.5,2026-04-25
92,FINANCE-000092,REF-DEV-000092,365059.54,2026-05-25
93,FINANCE-000093,REF-DEV-000093,11217.66,2025-11-11
94,FINANCE-000094,REF-DEV-000094,95682.47,2026-08-13
95,FINANCE-000095,REF-DEV-000095,334512.04,2026-07-16
96,FINANCE-000096,REF-DEV-000096,836999.78,2026-01-18
97,FINANCE-000097,REF-DEV-000097,721892.77,2026-04-20
98,FINANCE-000098,REF-DEV-000098,816061.8,2027-03-15
99,FINANCE-000099,REF-DEV-000099,41782.46,2025-12-11
100,FINANCE-000100,REF-DEV-000100,762531.59,2026-06-23
