id,workflow_id,step_order,step_name,status,assigned_to,completed_at,notes
38,38,437,Godavari IT Services Private Limited,Pending,2,2026-10-15 11:53:19,Development record for Indian supplier and supply-chain operations.
39,39,712,Krishna Food Ingredients Private Limited,Pending,2,2026-06-25 08:56:55,Development record for Indian supplier and supply-chain operations.
40,40,786,Nandi Electrical Systems Private Limited,Pending,4,2026-05-31 17:43:06,Development record for Indian supplier and supply-chain operations.
41,41,99,Andhra Warehouse Equipment Private Limited,Pending,4,2026-11-04 18:27:03,Development record for Indian supplier and supply-chain operations.
42,42,253,Telugu Engineering Components Private Limited,Pending,4,2027-01-07 08:03:56,Development record for Indian supplier and supply-chain operations.
43,43,266,Horizon Logistics Services Private Limited,Pending,2,2027-01-29 14:38:39,Development record for Indian supplier and supply-chain operations.
44,44,295,Vertex Textile Materials Private Limited,Pending,5,2025-11-16 17:02:15,Development record for Indian supplier and supply-chain operations.
45,45,709,Prime Safety Products Private Limited,Pending,2,2026-02-26 13:13:35,Development record for Indian supplier and supply-chain operations.
46,46,843,Metro MRO Supplies Private Limited,Pending,2,2027-03-11 09:51:03,Development record for Indian supplier and supply-chain operations.
47,47,196,Reliable Packaging Solutions Private Limited,Pending,4,2026-01-01 12:35:51,Development record for Indian supplier and supply-chain operations.
48,48,334,Precision Chemical Products Private Limited,Pending,1,2026-11-13 09:51:44,Development record for Indian supplier and supply-chain operations.
49,49,487,Apex Industrial Supplies Private Limited,Pending,4,2026-03-19 08:15:54,Development record for Indian supplier and supply-chain operations.
50,50,740,Bharat IT Services Private Limited,Pending,3,2026-03-21 09:07:11,Development record for Indian supplier and supply-chain operations.
51,51,772,Deccan Food Ingredients Private Limited,Pending,2,2025-10-11 16:59:41,Development record for Indian supplier and supply-chain operations.
52,52,743,Eastern Electrical Systems Private Limited,Pending,4,2026-08-02 09:16:51,Development record for Indian supplier and supply-chain operations.
53,53,959,Southern Warehouse Equipment Private Limited,Pending,2,2025-10-19 12:19:45,Development record for Indian supplier and supply-chain operations.
54,54,257,Shree Engineering Components Private Limited,Pending,3,2027-01-21 17:49:06,Development record for Indian supplier and supply-chain operations.
55,55,586,Sree Logistics Services Private Limited,Pending,2,2025-12-19 16:25:18,Development record for Indian supplier and supply-chain operations.
56,56,131,Triveni Textile Materials Private Limited,Pending,5,2025-12-11 16:07:58,Development record for Indian supplier and supply-chain operations.
57,57,312,Sai Safety Products Private Limited,Pending,3,2025-09-08 12:15:01,Development record for Indian supplier and supply-chain operations.
58,58,238,Sri Lakshmi MRO Supplies Private Limited,Pending,5,2025-10-01 10:14:09,Development record for Indian supplier and supply-chain operations.
59,59,680,Pragati Packaging Solutions Private Limited,Pending,3,2026-05-18 10:45:53,Development record for Indian supplier and supply-chain operations.
60,60,168,Vardhan Chemical Products Private Limited,Pending,4,2026-06-03 12:47:27,Development record for Indian supplier and supply-chain operations.
61,61,444,Kaveri Industrial Supplies Private Limited,Pending,1,2026-02-25 08:54:02,Development record for Indian supplier and supply-chain operations.
62,62,64,Godavari IT Services Private Limited,Pending,5,2026-09-28 15:37:42,Development record for Indian supplier and supply-chain operations.
63,63,525,Krishna Food Ingredients Private Limited,Pending,2,2025-12-09 17:11:39,Development record for Indian supplier and supply-chain operations.
64,64,18,Nandi Electrical Systems Private Limited,Pending,5,2026-06-29 16:57:05,Development record for Indian supplier and supply-chain operations.
65,65,919,Andhra Warehouse Equipment Private Limited,Pending,1,2027-03-06 08:04:19,Development record for Indian supplier and supply-chain operations.
66,66,639,Telugu Engineering Components Private Limited,Pending,1,2025-09-12 09:09:41,Development record for Indian supplier and supply-chain operations.
67,67,67,Horizon Logistics Services Private Limited,Pending,2,2025-09-11 08:45:48,Development record for Indian supplier and supply-chain operations.
68,68,69,Vertex Textile Materials Private Limited,Pending,5,2025-12-29 15:50:34,Development record for Indian supplier and supply-chain operations.
69,69,643,Prime Safety Products Private Limited,Pending,3,2026-03-13 18:05:08,Development record for Indian supplier and supply-chain operations.
70,70,546,Metro MRO Supplies Private Limited,Pending,4,2027-02-20 13:59:28,Development record for Indian supplier and supply-chain operations.
71,71,524,Reliable Packaging Solutions Private Limited,Pending,4,2026-07-13 16:27:50,Development record for Indian supplier and supply-chain operations.
72,72,774,Precision Chemical Products Private Limited,Pending,5,2027-01-09 10:20:23,Development record for Indian supplier and supply-chain operations.
73,73,440,Apex Industrial Supplies Private Limited,Pending,5,2025-10-09 12:39:11,Development record for Indian supplier and supply-chain operations.
74,74,372,Bharat IT Services Private Limited,Pending,5,2025-11-16 11:18:01,Development record for Indian supplier and supply-chain operations.
75,75,605,Deccan Food Ingredients Private Limited,Pending,5,2026-06-14 16:19:00,Development record for Indian supplier and supply-chain operations.
76,76,643,Eastern Electrical Systems Private Limited,Pending,3,2026-08-30 13:15:42,Development record for Indian supplier and supply-chain operations.
77,77,782,Southern Warehouse Equipment Private Limited,Pending,1,2026-12-21 15:21:07,Development record for Indian supplier and supply-chain operations.
78,78,526,Shree Engineering Components Private Limited,Pending,3,2025-12-25 08:55:07,Development record for Indian supplier and supply-chain operations.
79,79,280,Sree Logistics Services Private Limited,Pending,1,2026-03-20 10:26:18,Development record for Indian supplier and supply-chain operations.
80,80,563,Triveni Textile Materials Private Limited,Pending,4,2025-10-23 12:06:13,Development record for Indian supplier and supply-chain operations.
81,81,102,Sai Safety Products Private Limited,Pending,3,2027-02-17 14:38:43,Development record for Indian supplier and supply-chain operations.
82,82,380,Sri Lakshmi MRO Supplies Private Limited,Pending,5,2026-12-22 18:48:34,Development record for Indian supplier and supply-chain operations.
83,83,293,Pragati Packaging Solutions Private Limited,Pending,5,2027-02-21 09:53:16,Development record for Indian supplier and supply-chain operations.
84,84,427,Vardhan Chemical Products Private Limited,Pending,1,2026-09-13 12:46:47,Development record for Indian supplier and supply-chain operations.
85,85,361,Kaveri Industrial Supplies Private Limited,Pending,4,2027-01-15 10:02:01,Development record for Indian supplier and supply-chain operations.
86,86,464,Godavari IT Services Private Limited,Pending,3,2026-02-21 09:42:38,Development record for Indian supplier and supply-chain operations.
87,87,336,Krishna Food Ingredients Private Limited,Pending,3,2027-02-21 14:58:38,Development record for Indian supplier and supply-chain operations.
88,88,789,Nandi Electrical Systems Private Limited,Pending,1,2026-05-14 15:00:52,Development record for Indian supplier and supply-chain operations.
89,89,6,Andhra Warehouse Equipment Private Limited,Pending,2,2026-12-19 18:38:18,Development record for Indian supplier and supply-chain operations.
90,90,246,Telugu Engineering Components Private Limited,Pending,2,2026-01-12 16:36:43,Development record for Indian supplier and supply-chain operations.
91,91,544,Horizon Logistics Services Private Limited,Pending,2,2027-03-25 13:08:51,Development record for Indian supplier and supply-chain operations.
92,92,382,Vertex Textile Materials Private Limited,Pending,2,2026-07-21 08:53:47,Development record for Indian supplier and supply-chain operations.
93,93,57,Prime Safety Products Private Limited,Pending,2,2026-10-29 09:41:05,Development record for Indian supplier and supply-chain operations.
94,94,303,Metro MRO Supplies Private Limited,Pending,3,2026-03-05 12:12:31,Development record for Indian supplier and supply-chain operations.
95,95,943,Reliable Packaging Solutions Private Limited,Pending,3,2027-03-12 08:04:31,Development record for Indian supplier and supply-chain operations.
96,96,6,Precision Chemical Products Private Limited,Pending,4,2025-11-21 15:02:12,Development record for Indian supplier and supply-chain operations.
97,97,860,Apex Industrial Supplies Private Limited,Pending,3,2025-09-13 10:38:48,Development record for Indian supplier and supply-chain operations.
98,98,813,Bharat IT Services Private Limited,Pending,1,2026-12-14 18:13:26,Development record for Indian supplier and supply-chain operations.
99,99,423,Deccan Food Ingredients Private Limited,Pending,4,2027-02-15 09:32:57,Development record for Indian supplier and supply-chain operations.
100,100,909,Eastern Electrical Systems Private Limited,Pending,3,2026-08-01 12:07:18,Development record for Indian supplier and supply-chain operations.
101,1,313,Southern Warehouse Equipment Private Limited,Pending,5,2026-04-17 16:23:27,Development record for Indian supplier and supply-chain operations.
102,2,36,Shree Engineering Components Private Limited,Pending,2,2026-10-16 13:52:32,Development record for Indian supplier and supply-chain operations.
103,3,702,Sree Logistics Services Private Limited,Pending,5,2025-11-20 11:36:48,Development record for Indian supplier and supply-chain operations.
104,4,139,Triveni Textile Materials Private Limited,Pending,2,2027-03-13 18:13:37,Development record for Indian supplier and supply-chain operations.
105,5,427,Sai Safety Products Private Limited,Pending,3,2025-09-03 12:32:53,Development record for Indian supplier and supply-chain operations.
106,6,373,Sri Lakshmi MRO Supplies Private Limited,Pending,4,2026-10-30 08:19:23,Development record for Indian supplier and supply-chain operations.
107,7,190,Pragati Packaging Solutions Private Limited,Pending,2,2026-06-24 16:07:48,Development record for Indian supplier and supply-chain operations.
108,8,967,Vardhan Chemical Products Private Limited,Pending,2,2026-01-11 10:42:24,Development record for Indian supplier and supply-chain operations.
109,9,646,Kaveri Industrial Supplies Private Limited,Pending,1,2026-11-16 13:21:55,Development record for Indian supplier and supply-chain operations.
110,10,658,Godavari IT Services Private Limited,Pending,2,2026-03-14 18:09:38,Development record for Indian supplier and supply-chain operations.
111,11,177,Krishna Food Ingredients Private Limited,Pending,1,2027-01-22 10:51:20,Development record for Indian supplier and supply-chain operations.
112,12,724,Nandi Electrical Systems Private Limited,Pending,2,2026-05-29 17:48:06,Development record for Indian supplier and supply-chain operations.
113,13,806,Andhra Warehouse Equipment Private Limited,Pending,5,2025-11-14 12:01:10,Development record for Indian supplier and supply-chain operations.
114,14,770,Telugu Engineering Components Private Limited,Pending,2,2025-11-25 17:48:59,Development record for Indian supplier and supply-chain operations.
115,15,13,Horizon Logistics Services Private Limited,Pending,2,2025-09-06 10:31:27,Development record for Indian supplier and supply-chain operations.
116,16,59,Vertex Textile Materials Private Limited,Pending,3,2026-01-11 14:36:55,Development record for Indian supplier and supply-chain operations.
117,17,503,Prime Safety Products Private Limited,Pending,4,2026-04-08 17:37:13,Development record for Indian supplier and supply-chain operations.
118,18,397,Metro MRO Supplies Private Limited,Pending,4,2027-03-10 16:49:44,Development record for Indian supplier and supply-chain operations.
119,19,150,Reliable Packaging Solutions Private Limited,Pending,5,2026-03-17 12:17:59,Development record for Indian supplier and supply-chain operations.
120,20,711,Precision Chemical Products Private Limited,Pending,1,2026-05-27 16:26:34,Development record for Indian supplier and supply-chain operations.
121,21,945,Apex Industrial Supplies Private Limited,Pending,3,2026-09-15 17:00:02,Development record for Indian supplier and supply-chain operations.
122,22,275,Bharat IT Services Private Limited,Pending,4,2025-12-16 10:24:05,Development record for Indian supplier and supply-chain operations.
123,23,49,Deccan Food Ingredients Private Limited,Pending,5,2026-12-13 17:50:13,Development record for Indian supplier and supply-chain operations.
124,24,731,Eastern Electrical Systems Private Limited,Pending,4,2026-11-24 10:18:25,Development record for Indian supplier and supply-chain operations.
125,25,484,Southern Warehouse Equipment Private Limited,Pending,3,2026-09-28 16:58:42,Development record for Indian supplier and supply-chain operations.
126,26,86,Shree Engineering Components Private Limited,Pending,4,2026-03-31 18:45:32,Development record for Indian supplier and supply-chain operations.
127,27,355,Sree Logistics Services Private Limited,Pending,3,2026-01-16 13:55:26,Development record for Indian supplier and supply-chain operations.
128,28,654,Triveni Textile Materials Private Limited,Pending,5,2026-04-04 15:59:46,Development record for Indian supplier and supply-chain operations.
129,29,640,Sai Safety Products Private Limited,Pending,4,2026-05-20 16:21:50,Development record for Indian supplier and supply-chain operations.
130,30,333,Sri Lakshmi MRO Supplies Private Limited,Pending,4,2025-12-06 08:08:09,Development record for Indian supplier and supply-chain operations.
131,31,275,Pragati Packaging Solutions Private Limited,Pending,1,2027-03-16 15:15:09,Development record for Indian supplier and supply-chain operations.
132,32,438,Vardhan Chemical Products Private Limited,Pending,5,2027-03-09 09:30:54,Development record for Indian supplier and supply-chain operations.
133,33,912,Kaveri Industrial Supplies Private Limited,Pending,3,2027-02-22 11:22:20,Development record for Indian supplier and supply-chain operations.
134,34,749,Godavari IT Services Private Limited,Pending,2,2027-01-29 11:51:56,Development record for Indian supplier and supply-chain operations.
135,35,808,Krishna Food Ingredients Private Limited,Pending,3,2026-09-03 12:24:47,Development record for Indian supplier and supply-chain operations.
136,36,349,Nandi Electrical Systems Private Limited,Pending,3,2026-07-22 13:23:15,Development record for Indian supplier and supply-chain operations.
137,37,161,Andhra Warehouse Equipment Private Limited,Pending,5,2026-02-25 18:49:41,Development record for Indian supplier and supply-chain operations.
138,38,821,Telugu Engineering Components Private Limited,Pending,3,2026-06-03 09:29:03,Development record for Indian supplier and supply-chain operations.
139,39,625,Horizon Logistics Services Private Limited,Pending,2,2026-04-05 14:12:04,Development record for Indian supplier and supply-chain operations.
140,40,283,Vertex Textile Materials Private Limited,Pending,3,2026-11-18 14:18:58,Development record for Indian supplier and supply-chain operations.
141,41,226,Prime Safety Products Private Limited,Pending,4,2026-08-29 15:49:12,Development record for Indian supplier and supply-chain operations.
142,42,591,Metro MRO Supplies Private Limited,Pending,1,2027-03-18 15:47:02,Development record for Indian supplier and supply-chain operations.
143,43,891,Reliable Packaging Solutions Private Limited,Pending,5,2027-03-07 10:38:24,Development record for Indian supplier and supply-chain operations.
144,44,148,Precision Chemical Products Private Limited,Pending,2,2025-09-27 18:49:55,Development record for Indian supplier and supply-chain operations.
145,45,531,Apex Industrial Supplies Private Limited,Pending,2,2026-02-27 09:02:06,Development record for Indian supplier and supply-chain operations.
146,46,636,Bharat IT Services Private Limited,Pending,4,2026-10-13 13:56:38,Development record for Indian supplier and supply-chain operations.
147,47,284,Deccan Food Ingredients Private Limited,Pending,2,2025-12-15 09:38:08,Development record for Indian supplier and supply-chain operations.
148,48,372,Eastern Electrical Systems Private Limited,Pending,3,2027-02-24 11:05:07,Development record for Indian supplier and supply-chain operations.
149,49,418,Southern Warehouse Equipment Private Limited,Pending,4,2026-07-27 18:54:21,Development record for Indian supplier and supply-chain operations.
150,50,625,Shree Engineering Components Private Limited,Pending,4,2025-11-17 10:13:17,Development record for Indian supplier and supply-chain operations.
151,51,460,Sree Logistics Services Private Limited,Pending,3,2026-08-23 17:59:08,Development record for Indian supplier and supply-chain operations.
152,52,334,Triveni Textile Materials Private Limited,Pending,5,2027-02-10 13:34:26,Development record for Indian supplier and supply-chain operations.
153,53,822,Sai Safety Products Private Limited,Pending,3,2026-05-17 14:14:27,Development record for Indian supplier and supply-chain operations.
154,54,830,Sri Lakshmi MRO Supplies Private Limited,Pending,1,2026-04-22 15:35:13,Development record for Indian supplier and supply-chain operations.
155,55,504,Pragati Packaging Solutions Private Limited,Pending,1,2025-09-02 13:03:17,Development record for Indian supplier and supply-chain operations.
156,56,218,Vardhan Chemical Products Private Limited,Pending,2,2026-06-26 15:46:46,Development record for Indian supplier and supply-chain operations.
157,57,743,Kaveri Industrial Supplies Private Limited,Pending,2,2026-09-18 09:04:05,Development record for Indian supplier and supply-chain operations.
158,58,925,Godavari IT Services Private Limited,Pending,2,2026-08-21 10:46:29,Development record for Indian supplier and supply-chain operations.
159,59,668,Krishna Food Ingredients Private Limited,Pending,1,2027-01-13 13:15:27,Development record for Indian supplier and supply-chain operations.
160,60,955,Nandi Electrical Systems Private Limited,Pending,2,2025-09-26 18:44:31,Development record for Indian supplier and supply-chain operations.
161,61,516,Andhra Warehouse Equipment Private Limited,Pending,2,2026-11-17 13:42:08,Development record for Indian supplier and supply-chain operations.
162,62,153,Telugu Engineering Components Private Limited,Pending,5,2026-04-19 10:43:31,Development record for Indian supplier and supply-chain operations.
163,63,81,Horizon Logistics Services Private Limited,Pending,5,2025-10-06 15:22:34,Development record for Indian supplier and supply-chain operations.
164,64,921,Vertex Textile Materials Private Limited,Pending,4,2026-01-21 13:23:59,Development record for Indian supplier and supply-chain operations.
165,65,887,Prime Safety Products Private Limited,Pending,1,2027-03-09 18:14:36,Development record for Indian supplier and supply-chain operations.
166,66,702,Metro MRO Supplies Private Limited,Pending,3,2026-06-02 17:26:36,Development record for Indian supplier and supply-chain operations.
167,67,242,Reliable Packaging Solutions Private Limited,Pending,4,2026-09-30 09:30:54,Development record for Indian supplier and supply-chain operations.
168,68,348,Precision Chemical Products Private Limited,Pending,4,2026-10-06 15:43:20,Development record for Indian supplier and supply-chain operations.
169,69,718,Apex Industrial Supplies Private Limited,Pending,2,2025-12-14 17:01:29,Development record for Indian supplier and supply-chain operations.
170,70,778,Bharat IT Services Private Limited,Pending,5,2026-10-23 12:52:38,Development record for Indian supplier and supply-chain operations.
171,71,134,Deccan Food Ingredients Private Limited,Pending,3,2026-07-26 17:33:10,Development record for Indian supplier and supply-chain operations.
172,72,6,Eastern Electrical Systems Private Limited,Pending,3,2026-09-03 17:40:22,Development record for Indian supplier and supply-chain operations.
173,73,181,Southern Warehouse Equipment Private Limited,Pending,5,2026-10-27 13:04:51,Development record for Indian supplier and supply-chain operations.
174,74,770,Shree Engineering Components Private Limited,Pending,2,2025-10-19 13:19:50,Development record for Indian supplier and supply-chain operations.
175,75,278,Sree Logistics Services Private Limited,Pending,3,2026-04-14 15:36:20,Development record for Indian supplier and supply-chain operations.
176,76,427,Triveni Textile Materials Private Limited,Pending,2,2025-12-20 09:47:51,Development record for Indian supplier and supply-chain operations.
177,77,855,Sai Safety Products Private Limited,Pending,2,2027-01-28 17:46:04,Development record for Indian supplier and supply-chain operations.
178,78,117,Sri Lakshmi MRO Supplies Private Limited,Pending,4,2026-08-03 12:03:05,Development record for Indian supplier and supply-chain operations.
179,79,508,Pragati Packaging Solutions Private Limited,Pending,2,2026-03-13 16:38:08,Development record for Indian supplier and supply-chain operations.
180,80,146,Vardhan Chemical Products Private Limited,Pending,4,2025-09-26 15:17:14,Development record for Indian supplier and supply-chain operations.
181,81,216,Kaveri Industrial Supplies Private Limited,Pending,4,2025-12-23 08:15:57,Development record for Indian supplier and supply-chain operations.
182,82,184,Godavari IT Services Private Limited,Pending,5,2026-07-07 11:38:46,Development record for Indian supplier and supply-chain operations.
183,83,949,Krishna Food Ingredients Private Limited,Pending,1,2025-10-16 12:59:49,Development record for Indian supplier and supply-chain operations.
184,84,225,Nandi Electrical Systems Private Limited,Pending,3,2026-12-27 12:51:47,Development record for Indian supplier and supply-chain operations.
185,85,229,Andhra Warehouse Equipment Private Limited,Pending,5,2026-08-18 13:19:07,Development record for Indian supplier and supply-chain operations.
186,86,689,Telugu Engineering Components Private Limited,Pending,5,2026-03-13 11:40:58,Development record for Indian supplier and supply-chain operations.
187,87,700,Horizon Logistics Services Private Limited,Pending,5,2026-02-12 17:30:23,Development record for Indian supplier and supply-chain operations.
188,88,496,Vertex Textile Materials Private Limited,Pending,1,2026-12-05 11:44:12,Development record for Indian supplier and supply-chain operations.
189,89,564,Prime Safety Products Private Limited,Pending,4,2027-03-17 17:08:07,Development record for Indian supplier and supply-chain operations.
190,90,691,Metro MRO Supplies Private Limited,Pending,4,2025-09-07 16:49:07,Development record for Indian supplier and supply-chain operations.
191,91,911,Reliable Packaging Solutions Private Limited,Pending,3,2026-01-07 17:36:21,Development record for Indian supplier and supply-chain operations.
192,92,151,Precision Chemical Products Private Limited,Pending,1,2026-10-05 13:23:19,Development record for Indian supplier and supply-chain operations.
193,93,683,Apex Industrial Supplies Private Limited,Pending,3,2026-08-27 17:27:45,Development record for Indian supplier and supply-chain operations.
194,94,582,Bharat IT Services Private Limited,Pending,1,2025-12-31 08:56:11,Development record for Indian supplier and supply-chain operations.
195,95,824,Deccan Food Ingredients Private Limited,Pending,1,2026-09-29 15:52:50,Development record for Indian supplier and supply-chain operations.
196,96,393,Eastern Electrical Systems Private Limited,Pending,2,2027-03-17 09:18:13,Development record for Indian supplier and supply-chain operations.
197,97,879,Southern Warehouse Equipment Private Limited,Pending,2,2026-04-25 14:13:11,Development record for Indian supplier and supply-chain operations.
198,98,603,Shree Engineering Components Private Limited,Pending,5,2026-04-17 08:43:57,Development record for Indian supplier and supply-chain operations.
199,99,858,Sree Logistics Services Private Limited,Pending,3,2026-06-20 15:56:23,Development record for Indian supplier and supply-chain operations.
200,100,248,Triveni Textile Materials Private Limited,Pending,3,2026-01-02 18:14:18,Development record for Indian supplier and supply-chain operations.
