id,order_number,customer_id,order_date,status,amount,expected_delivery,actual_delivery,priority,created_at,updated_at
19,DC-ORD-75922,19,2018-01-13,COMPLETE,314.64,2018-01-14,2018-01-15,High,2018-01-13 06:30:00,2018-01-13 06:30:00
20,DC-ORD-75921,20,2018-01-13,PENDING_PAYMENT,311.36,2018-01-13,2018-01-13,Normal,2018-01-13 06:09:00,2018-01-13 06:09:00
21,DC-ORD-75920,21,2018-01-13,PROCESSING,309.72,2018-01-13,2018-01-13,Normal,2018-01-13 05:48:00,2018-01-13 05:48:00
22,DC-ORD-75919,22,2018-01-13,PENDING,304.81,2018-01-17,2018-01-18,High,2018-01-13 05:27:00,2018-01-13 05:27:00
23,DC-ORD-75918,23,2018-01-13,PENDING,298.25,2018-01-15,2018-01-17,High,2018-01-13 05:06:00,2018-01-13 05:06:00
24,DC-ORD-75917,24,2018-01-13,CANCELED,294.98,2018-01-15,2018-01-16,Normal,2018-01-13 04:45:00,2018-01-13 04:45:00
25,DC-ORD-75916,25,2018-01-13,SUSPECTED_FRAUD,288.42,2018-01-15,2018-01-15,Normal,2018-01-13 04:24:00,2018-01-13 04:24:00
26,DC-ORD-75915,26,2018-01-13,COMPLETE,285.14,2018-01-15,2018-01-19,High,2018-01-13 04:03:00,2018-01-13 04:03:00
27,DC-ORD-75914,27,2018-01-13,PENDING,278.59,2018-01-15,2018-01-18,High,2018-01-13 03:42:00,2018-01-13 03:42:00
28,DC-ORD-75913,28,2018-01-13,PENDING_PAYMENT,275.31,2018-01-17,2018-01-17,Normal,2018-01-13 03:21:00,2018-01-13 03:21:00
29,DC-ORD-75912,29,2018-01-13,COMPLETE,272.03,2018-01-17,2018-01-16,Normal,2018-01-13 03:00:00,2018-01-13 03:00:00
30,DC-ORD-75911,30,2018-01-13,PROCESSING,268.76,2018-01-17,2018-01-15,Normal,2018-01-13 02:39:00,2018-01-13 02:39:00
31,DC-ORD-75910,31,2018-01-13,ON_HOLD,262.2,2018-01-17,2018-01-19,High,2018-01-13 02:18:00,2018-01-13 02:18:00
32,DC-ORD-75909,32,2018-01-13,COMPLETE,245.81,2018-01-17,2018-01-18,High,2018-01-13 01:57:00,2018-01-13 01:57:00
33,DC-ORD-75908,33,2018-01-13,PENDING_PAYMENT,327.75,2018-01-17,2018-01-17,Normal,2018-01-13 01:36:00,2018-01-13 01:36:00
34,DC-ORD-75907,34,2018-01-13,COMPLETE,324.47,2018-01-14,2018-01-15,High,2018-01-13 01:15:00,2018-01-13 01:15:00
35,DC-ORD-75906,35,2018-01-13,PENDING_PAYMENT,321.2,2018-01-14,2018-01-15,High,2018-01-13 00:54:00,2018-01-13 00:54:00
36,DC-ORD-75905,36,2018-01-13,PENDING_PAYMENT,317.92,2018-01-14,2018-01-15,High,2018-01-13 00:33:00,2018-01-13 00:33:00
37,DC-ORD-75904,37,2018-01-13,CLOSED,314.64,2018-01-14,2018-01-15,High,2018-01-13 00:12:00,2018-01-13 00:12:00
38,DC-ORD-75903,38,2018-01-12,COMPLETE,311.36,2018-01-13,2018-01-14,High,2018-01-12 23:51:00,2018-01-12 23:51:00
39,DC-ORD-75902,39,2018-01-12,COMPLETE,309.72,2018-01-12,2018-01-13,High,2018-01-12 23:30:00,2018-01-12 23:30:00
40,DC-ORD-75901,40,2018-01-12,CANCELED,304.81,2018-01-12,2018-01-13,Normal,2018-01-12 23:09:00,2018-01-12 23:09:00
41,DC-ORD-75900,41,2018-01-12,PENDING_PAYMENT,298.25,2018-01-12,2018-01-13,High,2018-01-12 22:48:00,2018-01-12 22:48:00
42,DC-ORD-75899,42,2018-01-12,COMPLETE,294.98,2018-01-12,2018-01-13,High,2018-01-12 22:27:00,2018-01-12 22:27:00
43,DC-ORD-75898,43,2018-01-12,CLOSED,288.42,2018-01-16,2018-01-16,Normal,2018-01-12 22:05:00,2018-01-12 22:05:00
44,DC-ORD-75897,44,2018-01-12,PENDING_PAYMENT,285.14,2018-01-16,2018-01-15,Normal,2018-01-12 21:44:00,2018-01-12 21:44:00
45,DC-ORD-75896,45,2018-01-12,COMPLETE,278.59,2018-01-16,2018-01-14,Normal,2018-01-12 21:23:00,2018-01-12 21:23:00
46,DC-ORD-75895,46,2018-01-12,PENDING,275.31,2018-01-16,2018-01-18,High,2018-01-12 21:02:00,2018-01-12 21:02:00
47,DC-ORD-75894,47,2018-01-12,PENDING,272.03,2018-01-14,2018-01-17,High,2018-01-12 20:41:00,2018-01-12 20:41:00
48,DC-ORD-75893,48,2018-01-12,PROCESSING,268.76,2018-01-16,2018-01-16,Normal,2018-01-12 20:20:00,2018-01-12 20:20:00
49,DC-ORD-28744,49,2016-02-24,PENDING_PAYMENT,549.12,2016-02-26,2016-02-29,High,2016-02-24 13:57:00,2016-02-24 13:57:00
50,DC-ORD-45461,50,2016-10-25,PENDING_PAYMENT,620.6,2016-10-27,2016-10-27,Normal,2016-10-25 14:39:00,2016-10-25 14:39:00
51,DC-ORD-31115,51,2016-03-30,PENDING_PAYMENT,1140.83,2016-04-01,2016-04-05,High,2016-03-30 04:37:00,2016-03-30 04:37:00
52,DC-ORD-45766,52,2016-10-30,PENDING_PAYMENT,500.54,2016-11-01,2016-11-01,Normal,2016-10-30 01:31:00,2016-10-30 01:31:00
53,DC-ORD-47752,53,2016-11-28,PENDING_PAYMENT,741.11,2016-11-30,2016-12-01,High,2016-11-28 01:18:00,2016-11-28 01:18:00
54,DC-ORD-50054,54,2016-12-31,PENDING_PAYMENT,865.95,2017-01-02,2017-01-05,High,2016-12-31 15:47:00,2016-12-31 15:47:00
55,DC-ORD-20365,55,2015-10-25,PENDING_PAYMENT,714.96,2015-10-27,2015-10-31,High,2015-10-25 06:24:00,2015-10-25 06:24:00
56,DC-ORD-36146,56,2016-06-11,PENDING_PAYMENT,74.68,2016-06-13,2016-06-13,Normal,2016-06-11 15:12:00,2016-06-11 15:12:00
57,DC-ORD-41234,57,2016-08-24,PENDING_PAYMENT,90.15,2016-08-26,2016-08-29,High,2016-08-24 21:45:00,2016-08-24 21:45:00
58,DC-ORD-32090,58,2016-04-13,PENDING_PAYMENT,311.17,2016-04-15,2016-04-19,High,2016-04-13 10:12:00,2016-04-13 10:12:00
59,DC-ORD-34773,59,2016-05-22,PENDING_PAYMENT,241.48,2016-05-24,2016-05-26,High,2016-05-22 14:10:00,2016-05-22 14:10:00
60,DC-ORD-44046,60,2016-10-04,PENDING_PAYMENT,360.93,2016-10-06,2016-10-06,Normal,2016-10-04 22:55:00,2016-10-04 22:55:00
61,DC-ORD-46414,61,2016-11-08,PENDING_PAYMENT,793.93,2016-11-10,2016-11-13,High,2016-11-08 12:32:00,2016-11-08 12:32:00
62,DC-ORD-46599,62,2016-11-11,PENDING_PAYMENT,281.1,2016-11-13,2016-11-16,High,2016-11-11 05:21:00,2016-11-11 05:21:00
63,DC-ORD-48434,63,2016-12-08,PENDING_PAYMENT,434.55,2016-12-10,2016-12-13,High,2016-12-08 00:14:00,2016-12-08 00:14:00
64,DC-ORD-12827,64,2015-07-07,PENDING_PAYMENT,680.0,2015-07-09,2015-07-10,High,2015-07-07 05:31:00,2015-07-07 05:31:00
65,DC-ORD-63936,65,2017-07-22,PENDING_PAYMENT,537.44,2017-07-24,2017-07-24,Normal,2017-07-22 07:16:00,2017-07-22 07:16:00
66,DC-ORD-65030,66,2017-08-07,PENDING_PAYMENT,877.4,2017-08-09,2017-08-13,High,2017-08-07 06:33:00,2017-08-07 06:33:00
67,DC-ORD-18108,67,2015-09-22,PENDING_PAYMENT,435.05,2015-09-24,2015-09-26,High,2015-09-22 07:41:00,2015-09-22 07:41:00
68,DC-ORD-62571,68,2017-07-02,PENDING_PAYMENT,343.3,2017-07-04,2017-07-04,Normal,2017-07-02 09:03:00,2017-07-02 09:03:00
69,DC-ORD-17162,69,2015-09-08,PENDING_PAYMENT,681.29,2015-09-10,2015-09-11,High,2015-09-08 12:15:00,2015-09-08 12:15:00
70,DC-ORD-65922,70,2017-08-20,PENDING_PAYMENT,710.18,2017-08-22,2017-08-23,High,2017-08-20 07:03:00,2017-08-20 07:03:00
71,DC-ORD-64813,71,2017-08-04,PENDING_PAYMENT,1000.3,2017-08-06,2017-08-08,High,2017-08-04 02:31:00,2017-08-04 02:31:00
72,DC-ORD-67892,57,2017-09-18,PENDING_PAYMENT,655.38,2017-09-20,2017-09-21,High,2017-09-18 01:14:00,2017-09-18 01:14:00
2892,DC-ORD-4555,2588,2015-03-08,ON_HOLD,729.82,2015-03-10,2015-03-14,High,2015-03-08 11:28:00,2015-03-08 11:28:00
73,DC-ORD-12525,72,2015-07-02,PENDING_PAYMENT,501.84,2015-07-04,2015-07-08,High,2015-07-02 19:42:00,2015-07-02 19:42:00
74,DC-ORD-5895,73,2015-03-28,PENDING_PAYMENT,1141.89,2015-03-30,2015-04-03,High,2015-03-28 00:55:00,2015-03-28 00:55:00
75,DC-ORD-56359,74,2017-04-02,PENDING_PAYMENT,178.17,2017-04-04,2017-04-07,High,2017-04-02 16:43:00,2017-04-02 16:43:00
76,DC-ORD-58613,75,2017-05-05,PENDING_PAYMENT,671.43,2017-05-07,2017-05-09,High,2017-05-05 14:23:00,2017-05-05 14:23:00
77,DC-ORD-7824,76,2015-04-25,PENDING_PAYMENT,894.54,2015-04-27,2015-04-30,High,2015-04-25 04:44:00,2015-04-25 04:44:00
78,DC-ORD-7814,77,2015-04-25,PENDING_PAYMENT,517.13,2015-04-27,2015-04-30,High,2015-04-25 01:14:00,2015-04-25 01:14:00
79,DC-ORD-60807,78,2017-06-06,PENDING_PAYMENT,520.3,2017-06-08,2017-06-09,High,2017-06-06 15:03:00,2017-06-06 15:03:00
80,DC-ORD-53413,79,2017-02-18,PENDING_PAYMENT,738.84,2017-02-20,2017-02-22,High,2017-02-18 16:36:00,2017-02-18 16:36:00
81,DC-ORD-7888,80,2015-04-26,PENDING_PAYMENT,150.0,2015-04-28,2015-04-30,High,2015-04-26 03:10:00,2015-04-26 03:10:00
82,DC-ORD-6783,81,2015-04-10,PENDING_PAYMENT,1171.57,2015-04-12,2015-04-14,High,2015-04-10 00:02:00,2015-04-10 00:02:00
83,DC-ORD-56973,82,2017-04-11,PENDING_PAYMENT,983.5,2017-04-13,2017-04-15,High,2017-04-11 15:49:00,2017-04-11 15:49:00
84,DC-ORD-55155,83,2017-03-16,PENDING_PAYMENT,425.17,2017-03-18,2017-03-22,High,2017-03-16 02:54:00,2017-03-16 02:54:00
85,DC-ORD-5991,84,2015-03-29,PENDING_PAYMENT,1138.24,2015-03-31,2015-03-31,Normal,2015-03-29 10:33:00,2015-03-29 10:33:00
86,DC-ORD-2263,85,2015-02-03,PENDING_PAYMENT,734.06,2015-02-05,2015-02-07,High,2015-02-03 00:28:00,2015-02-03 00:28:00
87,DC-ORD-53403,86,2017-02-18,PENDING_PAYMENT,1035.36,2017-02-20,2017-02-22,High,2017-02-18 13:05:00,2017-02-18 13:05:00
88,DC-ORD-51298,87,2017-01-18,PENDING_PAYMENT,582.5,2017-01-20,2017-01-22,High,2017-01-18 19:37:00,2017-01-18 19:37:00
89,DC-ORD-4919,88,2015-03-13,PENDING,683.65,2015-03-17,2015-03-18,High,2015-03-13 18:59:00,2015-03-13 18:59:00
90,DC-ORD-52640,89,2017-02-07,PENDING,908.52,2017-02-11,2017-02-13,High,2017-02-07 09:47:00,2017-02-07 09:47:00
91,DC-ORD-6358,90,2015-04-03,PENDING,695.99,2015-04-07,2015-04-07,Normal,2015-04-03 19:08:00,2015-04-03 19:08:00
92,DC-ORD-57106,91,2017-04-13,PENDING,1279.12,2017-04-17,2017-04-15,Normal,2017-04-13 14:25:00,2017-04-13 14:25:00
93,DC-ORD-6245,92,2015-04-02,PENDING,974.64,2015-04-06,2015-04-08,High,2015-04-02 03:33:00,2015-04-02 03:33:00
94,DC-ORD-52166,93,2017-01-31,PENDING,943.55,2017-02-04,2017-02-02,Normal,2017-01-31 11:43:00,2017-01-31 11:43:00
95,DC-ORD-56172,94,2017-03-30,PENDING,280.33,2017-04-03,2017-04-02,Normal,2017-03-30 23:12:00,2017-03-30 23:12:00
96,DC-ORD-55829,95,2017-03-25,PENDING,1033.93,2017-03-29,2017-03-30,High,2017-03-25 23:02:00,2017-03-25 23:02:00
97,DC-ORD-52478,96,2017-02-05,PENDING,928.32,2017-02-09,2017-02-09,Normal,2017-02-05 01:01:00,2017-02-05 01:01:00
98,DC-ORD-57242,97,2017-04-15,PENDING,569.89,2017-04-19,2017-04-18,Normal,2017-04-15 14:04:00,2017-04-15 14:04:00
99,DC-ORD-3137,98,2015-02-15,PENDING,745.97,2015-02-19,2015-02-18,Normal,2015-02-15 18:40:00,2015-02-15 18:40:00
100,DC-ORD-60127,99,2017-05-27,PENDING,1061.75,2017-05-31,2017-05-30,Normal,2017-05-27 16:48:00,2017-05-27 16:48:00
101,DC-ORD-3828,100,2015-02-25,PENDING,605.2,2015-03-01,2015-03-01,Normal,2015-02-25 20:46:00,2015-02-25 20:46:00
102,DC-ORD-60386,101,2017-05-31,PENDING,574.48,2017-06-04,2017-06-02,Normal,2017-05-31 11:33:00,2017-05-31 11:33:00
103,DC-ORD-973,102,2015-01-15,PENDING,561.0,2015-01-19,2015-01-19,Normal,2015-01-15 04:32:00,2015-01-15 04:32:00
104,DC-ORD-57999,103,2017-04-26,PENDING,890.95,2017-04-30,2017-05-01,High,2017-04-26 15:16:00,2017-04-26 15:16:00
105,DC-ORD-54585,104,2017-03-07,PENDING,207.5,2017-03-11,2017-03-13,High,2017-03-07 19:12:00,2017-03-07 19:12:00
106,DC-ORD-57598,105,2017-04-20,PENDING,502.81,2017-04-24,2017-04-24,Normal,2017-04-20 18:47:00,2017-04-20 18:47:00
107,DC-ORD-54274,106,2017-03-03,PENDING,493.98,2017-03-07,2017-03-08,High,2017-03-03 06:14:00,2017-03-03 06:14:00
108,DC-ORD-60673,107,2017-06-04,PENDING,149.96,2017-06-08,2017-06-08,Normal,2017-06-04 16:06:00,2017-06-04 16:06:00
109,DC-ORD-59387,108,2017-05-16,PENDING,1296.87,2017-05-20,2017-05-19,Normal,2017-05-16 21:33:00,2017-05-16 21:33:00
110,DC-ORD-10007,109,2015-05-27,PENDING,1139.44,2015-05-31,2015-05-30,Normal,2015-05-27 01:32:00,2015-05-27 01:32:00
111,DC-ORD-55984,110,2017-03-28,PENDING,362.0,2017-04-01,2017-04-02,High,2017-03-28 05:20:00,2017-03-28 05:20:00
112,DC-ORD-58375,97,2017-05-02,PENDING,395.96,2017-05-06,2017-05-08,High,2017-05-02 03:00:00,2017-05-02 03:00:00
113,DC-ORD-56448,111,2017-04-03,PENDING,472.53,2017-04-07,2017-04-07,Normal,2017-04-03 23:53:00,2017-04-03 23:53:00
114,DC-ORD-8221,112,2015-04-30,PROCESSING,462.13,2015-05-04,2015-05-02,Normal,2015-04-30 23:49:00,2015-04-30 23:49:00
115,DC-ORD-58034,113,2017-04-27,PROCESSING,881.93,2017-05-01,2017-05-02,High,2017-04-27 03:32:00,2017-04-27 03:32:00
116,DC-ORD-2203,114,2015-02-02,PROCESSING,867.78,2015-02-06,2015-02-06,Normal,2015-02-02 03:27:00,2015-02-02 03:27:00
117,DC-ORD-53069,115,2017-02-13,PROCESSING,807.9,2017-02-17,2017-02-18,High,2017-02-13 16:05:00,2017-02-13 16:05:00
118,DC-ORD-60146,116,2017-05-27,PROCESSING,578.95,2017-05-31,2017-05-29,Normal,2017-05-27 23:28:00,2017-05-27 23:28:00
119,DC-ORD-55409,117,2017-03-19,PROCESSING,817.87,2017-03-23,2017-03-24,High,2017-03-19 19:53:00,2017-03-19 19:53:00
120,DC-ORD-8678,118,2015-05-07,PROCESSING,1030.79,2015-05-11,2015-05-11,Normal,2015-05-07 15:56:00,2015-05-07 15:56:00
121,DC-ORD-7980,119,2015-04-27,PROCESSING,700.42,2015-05-01,2015-05-03,High,2015-04-27 11:23:00,2015-04-27 11:23:00
122,DC-ORD-57185,120,2017-04-14,PROCESSING,1120.92,2017-04-18,2017-04-20,High,2017-04-14 18:06:00,2017-04-14 18:06:00
123,DC-ORD-8636,121,2015-05-07,PROCESSING,751.94,2015-05-11,2015-05-09,Normal,2015-05-07 01:13:00,2015-05-07 01:13:00
124,DC-ORD-61192,122,2017-06-12,PROCESSING,444.05,2017-06-16,2017-06-15,Normal,2017-06-12 05:55:00,2017-06-12 05:55:00
125,DC-ORD-55876,123,2017-03-26,PROCESSING,765.18,2017-03-30,2017-03-28,Normal,2017-03-26 15:30:00,2017-03-26 15:30:00
126,DC-ORD-53331,124,2017-02-17,PROCESSING,1135.88,2017-02-21,2017-02-19,Normal,2017-02-17 11:52:00,2017-02-17 11:52:00
127,DC-ORD-51725,125,2017-01-25,PROCESSING,511.93,2017-01-29,2017-01-31,High,2017-01-25 01:13:00,2017-01-25 01:13:00
128,DC-ORD-52562,126,2017-02-06,PROCESSING,1322.49,2017-02-10,2017-02-09,Normal,2017-02-06 06:27:00,2017-02-06 06:27:00
129,DC-ORD-59754,127,2017-05-22,PROCESSING,811.29,2017-05-26,2017-05-27,High,2017-05-22 06:08:00,2017-05-22 06:08:00
130,DC-ORD-53574,128,2017-02-21,PROCESSING,587.94,2017-02-25,2017-02-26,High,2017-02-21 01:00:00,2017-02-21 01:00:00
131,DC-ORD-399,129,2015-01-06,PROCESSING,1155.57,2015-01-10,2015-01-11,High,2015-01-06 19:26:00,2015-01-06 19:26:00
132,DC-ORD-51050,130,2017-01-15,ON_HOLD,321.04,2017-01-17,2017-01-21,High,2017-01-15 04:44:00,2017-01-15 04:44:00
133,DC-ORD-45680,131,2016-10-28,ON_HOLD,807.45,2016-10-30,2016-11-03,High,2016-10-28 19:23:00,2016-10-28 19:23:00
134,DC-ORD-42992,132,2016-09-19,ON_HOLD,701.93,2016-09-21,2016-09-22,High,2016-09-19 13:39:00,2016-09-19 13:39:00
135,DC-ORD-41304,133,2016-08-25,ON_HOLD,806.62,2016-08-27,2016-08-30,High,2016-08-25 22:16:00,2016-08-25 22:16:00
136,DC-ORD-44253,134,2016-10-07,ON_HOLD,198.49,2016-10-09,2016-10-11,High,2016-10-07 23:26:00,2016-10-07 23:26:00
137,DC-ORD-46098,135,2016-11-03,ON_HOLD,979.06,2016-11-05,2016-11-07,High,2016-11-03 21:49:00,2016-11-03 21:49:00
138,DC-ORD-71077,136,2017-11-03,COMPLETE,252.88,2017-11-05,2017-11-06,High,2017-11-03 13:05:00,2017-11-03 13:05:00
139,DC-ORD-69703,137,2017-10-14,COMPLETE,447.52,2017-10-16,2017-10-18,High,2017-10-14 11:42:00,2017-10-14 11:42:00
140,DC-ORD-71112,138,2017-11-04,COMPLETE,250.35,2017-11-06,2017-11-07,High,2017-11-04 01:21:00,2017-11-04 01:21:00
141,DC-ORD-69810,139,2017-10-16,COMPLETE,443.0,2017-10-18,2017-10-22,High,2017-10-16 01:12:00,2017-10-16 01:12:00
142,DC-ORD-71092,140,2017-11-03,COMPLETE,245.29,2017-11-05,2017-11-06,High,2017-11-03 18:20:00,2017-11-03 18:20:00
143,DC-ORD-69610,141,2017-10-13,COMPLETE,433.96,2017-10-15,2017-10-19,High,2017-10-13 03:08:00,2017-10-13 03:08:00
144,DC-ORD-71000,142,2017-11-02,COMPLETE,240.24,2017-11-04,2017-11-08,High,2017-11-02 10:06:00,2017-11-02 10:06:00
145,DC-ORD-70734,143,2017-10-29,COMPLETE,1417.5,2017-10-31,2017-11-03,High,2017-10-29 12:55:00,2017-10-29 12:55:00
146,DC-ORD-69626,144,2017-10-13,COMPLETE,427.18,2017-10-15,2017-10-15,Normal,2017-10-13 08:44:00,2017-10-13 08:44:00
147,DC-ORD-69482,145,2017-10-11,COMPLETE,427.18,2017-10-13,2017-10-14,High,2017-10-11 06:17:00,2017-10-11 06:17:00
148,DC-ORD-70769,146,2017-10-30,COMPLETE,1395.0,2017-11-01,2017-11-04,High,2017-10-30 01:10:00,2017-10-30 01:10:00
149,DC-ORD-69643,147,2017-10-13,COMPLETE,420.4,2017-10-15,2017-10-17,High,2017-10-13 14:41:00,2017-10-13 14:41:00
150,DC-ORD-71051,148,2017-11-03,COMPLETE,230.12,2017-11-05,2017-11-05,Normal,2017-11-03 03:58:00,2017-11-03 03:58:00
151,DC-ORD-69408,149,2017-10-10,COMPLETE,411.36,2017-10-12,2017-10-14,High,2017-10-10 04:21:00,2017-10-10 04:21:00
152,DC-ORD-71123,150,2017-11-04,COMPLETE,230.12,2017-11-06,2017-11-08,High,2017-11-04 05:12:00,2017-11-04 05:12:00
153,DC-ORD-70534,151,2017-10-26,COMPLETE,1365.0,2017-10-28,2017-10-31,High,2017-10-26 14:51:00,2017-10-26 14:51:00
154,DC-ORD-69641,152,2017-10-13,COMPLETE,406.84,2017-10-15,2017-10-15,Normal,2017-10-13 13:59:00,2017-10-13 13:59:00
155,DC-ORD-70960,153,2017-11-01,COMPLETE,227.59,2017-11-03,2017-11-07,High,2017-11-01 20:05:00,2017-11-01 20:05:00
156,DC-ORD-69908,154,2017-10-17,COMPLETE,384.23,2017-10-19,2017-10-21,High,2017-10-17 11:32:00,2017-10-17 11:32:00
157,DC-ORD-70957,155,2017-11-01,COMPLETE,214.95,2017-11-03,2017-11-04,High,2017-11-01 19:02:00,2017-11-01 19:02:00
158,DC-ORD-69637,156,2017-10-13,COMPLETE,379.71,2017-10-15,2017-10-16,High,2017-10-13 12:35:00,2017-10-13 12:35:00
159,DC-ORD-70955,157,2017-11-01,COMPLETE,209.89,2017-11-03,2017-11-07,High,2017-11-01 18:20:00,2017-11-01 18:20:00
160,DC-ORD-70919,158,2017-11-01,COMPLETE,209.89,2017-11-03,2017-11-06,High,2017-11-01 05:44:00,2017-11-01 05:44:00
161,DC-ORD-71009,159,2017-11-02,COMPLETE,209.89,2017-11-04,2017-11-07,High,2017-11-02 13:15:00,2017-11-02 13:15:00
162,DC-ORD-69653,160,2017-10-13,COMPLETE,370.67,2017-10-15,2017-10-17,High,2017-10-13 18:11:00,2017-10-13 18:11:00
163,DC-ORD-69527,161,2017-10-11,COMPLETE,370.67,2017-10-13,2017-10-14,High,2017-10-11 22:03:00,2017-10-11 22:03:00
164,DC-ORD-71080,162,2017-11-03,COMPLETE,207.36,2017-11-05,2017-11-09,High,2017-11-03 14:08:00,2017-11-03 14:08:00
165,DC-ORD-70544,163,2017-10-26,COMPLETE,1200.0,2017-10-28,2017-10-31,High,2017-10-26 18:21:00,2017-10-26 18:21:00
166,DC-ORD-69471,164,2017-10-11,COMPLETE,339.03,2017-10-13,2017-10-13,Normal,2017-10-11 02:26:00,2017-10-11 02:26:00
167,DC-ORD-68879,165,2017-10-02,COMPLETE,1248.67,2017-10-04,2017-10-07,High,2017-10-02 11:01:00,2017-10-02 11:01:00
168,DC-ORD-67214,166,2017-09-08,COMPLETE,78.39,2017-09-10,2017-09-13,High,2017-09-08 03:42:00,2017-09-08 03:42:00
169,DC-ORD-17810,167,2015-09-17,COMPLETE,855.36,2015-09-19,2015-09-23,High,2015-09-17 23:17:00,2015-09-17 23:17:00
170,DC-ORD-18793,168,2015-10-02,COMPLETE,363.16,2015-10-04,2015-10-06,High,2015-10-02 07:40:00,2015-10-02 07:40:00
171,DC-ORD-65109,98,2017-08-08,COMPLETE,799.97,2017-08-10,2017-08-13,High,2017-08-08 10:13:00,2017-08-08 10:13:00
172,DC-ORD-15673,169,2015-08-17,COMPLETE,623.72,2015-08-19,2015-08-21,High,2015-08-17 18:35:00,2015-08-17 18:35:00
173,DC-ORD-18183,170,2015-09-23,COMPLETE,709.8,2015-09-25,2015-09-27,High,2015-09-23 09:57:00,2015-09-23 09:57:00
174,DC-ORD-20234,171,2015-10-23,COMPLETE,797.4,2015-10-25,2015-10-28,High,2015-10-23 08:31:00,2015-10-23 08:31:00
175,DC-ORD-13139,172,2015-07-11,COMPLETE,874.15,2015-07-13,2015-07-16,High,2015-07-11 18:49:00,2015-07-11 18:49:00
176,DC-ORD-33824,173,2016-05-08,SUSPECTED_FRAUD,260.22,2016-05-12,2016-05-13,Normal,2016-05-08 17:42:00,2016-05-08 17:42:00
177,DC-ORD-31364,174,2016-04-02,SUSPECTED_FRAUD,1386.83,2016-04-06,2016-04-07,Normal,2016-04-02 19:51:00,2016-04-02 19:51:00
178,DC-ORD-40495,175,2016-08-14,SUSPECTED_FRAUD,805.72,2016-08-18,2016-08-20,Normal,2016-08-14 02:51:00,2016-08-14 02:51:00
179,DC-ORD-34506,176,2016-05-18,SUSPECTED_FRAUD,904.85,2016-05-22,2016-05-20,Normal,2016-05-18 16:38:00,2016-05-18 16:38:00
180,DC-ORD-33607,177,2016-05-05,SUSPECTED_FRAUD,664.44,2016-05-09,2016-05-08,Normal,2016-05-05 13:40:00,2016-05-05 13:40:00
181,DC-ORD-32617,178,2016-04-21,SUSPECTED_FRAUD,476.87,2016-04-25,2016-04-24,Normal,2016-04-21 02:50:00,2016-04-21 02:50:00
