id,contract_number,vendor_id,status,expiry_date,renewal_date,contract_value,compliance_status,risk_level,renewal_status
63,CON-DEV-00063,VND0000002,Expiring,2026-12-09,2026-12-11,2787132.42,CONTRACT-000063,CONTRACT-000063,CONTRACT-000063
64,CON-DEV-00064,VND0000002,Non-Compliant,2026-10-05,2026-10-07,8190731.84,CONTRACT-000064,CONTRACT-000064,CONTRACT-000064
65,CON-DEV-00065,VND0000002,Overdue,2026-09-15,2026-09-17,8012962.23,CONTRACT-000065,CONTRACT-000065,CONTRACT-000065
66,CON-DEV-00066,VND0000003,Compliant,2026-02-08,2026-02-10,1348793.94,CONTRACT-000066,CONTRACT-000066,CONTRACT-000066
67,CON-DEV-00067,VND0000006,Pending,2026-02-03,2026-02-05,6743433.74,CONTRACT-000067,CONTRACT-000067,CONTRACT-000067
68,CON-DEV-00068,VND0000001,Expiring,2028-01-04,2028-01-06,1533147.53,CONTRACT-000068,CONTRACT-000068,CONTRACT-000068
69,CON-DEV-00069,VND0000006,Non-Compliant,2026-02-12,2026-02-14,1599982.99,CONTRACT-000069,CONTRACT-000069,CONTRACT-000069
70,CON-DEV-00070,VND0000006,Overdue,2027-06-01,2027-06-03,7801106.82,CONTRACT-000070,CONTRACT-000070,CONTRACT-000070
71,CON-DEV-00071,VND0000001,Compliant,2026-09-19,2026-09-21,8291057.35,CONTRACT-000071,CONTRACT-000071,CONTRACT-000071
72,CON-DEV-00072,VND0000003,Pending,2026-02-21,2026-02-23,275388.41,CONTRACT-000072,CONTRACT-000072,CONTRACT-000072
73,CON-DEV-00073,VND0000002,Expiring,2027-01-31,2027-02-02,3652150.9,CONTRACT-000073,CONTRACT-000073,CONTRACT-000073
74,CON-DEV-00074,VND0000005,Non-Compliant,2027-07-09,2027-07-11,793390.67,CONTRACT-000074,CONTRACT-000074,CONTRACT-000074
75,CON-DEV-00075,VND0000006,Overdue,2026-03-26,2026-03-28,4990743.85,CONTRACT-000075,CONTRACT-000075,CONTRACT-000075
76,CON-DEV-00076,VND0000001,Compliant,2026-12-21,2026-12-23,5091211.73,CONTRACT-000076,CONTRACT-000076,CONTRACT-000076
77,CON-DEV-00077,VND0000005,Pending,2027-05-29,2027-05-31,3698392.81,CONTRACT-000077,CONTRACT-000077,CONTRACT-000077
78,CON-DEV-00078,VND0000005,Expiring,2026-05-17,2026-05-19,4239501.84,CONTRACT-000078,CONTRACT-000078,CONTRACT-000078
79,CON-DEV-00079,VND0000005,Non-Compliant,2028-06-15,2028-06-17,5056194.85,CONTRACT-000079,CONTRACT-000079,CONTRACT-000079
80,CON-DEV-00080,VND0000006,Overdue,2027-05-16,2027-05-18,6106391.06,CONTRACT-000080,CONTRACT-000080,CONTRACT-000080
81,CON-DEV-00081,VND0000006,Compliant,2026-01-27,2026-01-29,3399307.7,CONTRACT-000081,CONTRACT-000081,CONTRACT-000081
82,CON-DEV-00082,VND0000005,Pending,2027-03-12,2027-03-14,760522.14,CONTRACT-000082,CONTRACT-000082,CONTRACT-000082
83,CON-DEV-00083,VND0000005,Expiring,2027-01-14,2027-01-16,997809.56,CONTRACT-000083,CONTRACT-000083,CONTRACT-000083
84,CON-DEV-00084,VND0000006,Non-Compliant,2026-01-04,2026-01-06,4878205.92,CONTRACT-000084,CONTRACT-000084,CONTRACT-000084
85,CON-DEV-00085,VND0000006,Overdue,2027-10-17,2027-10-19,6322035.72,CONTRACT-000085,CONTRACT-000085,CONTRACT-000085
86,CON-DEV-00086,VND0000004,Compliant,2027-05-13,2027-05-15,6852488.78,CONTRACT-000086,CONTRACT-000086,CONTRACT-000086
87,CON-DEV-00087,VND0000001,Pending,2026-08-26,2026-08-28,6994914.27,CONTRACT-000087,CONTRACT-000087,CONTRACT-000087
88,CON-DEV-00088,VND0000004,Expiring,2026-08-01,2026-08-03,1105099.78,CONTRACT-000088,CONTRACT-000088,CONTRACT-000088
89,CON-DEV-00089,VND0000004,Non-Compliant,2026-12-17,2026-12-19,553109.94,CONTRACT-000089,CONTRACT-000089,CONTRACT-000089
90,CON-DEV-00090,VND0000001,Overdue,2027-03-30,2027-04-01,235651.06,CONTRACT-000090,CONTRACT-000090,CONTRACT-000090
91,CON-DEV-00091,VND0000001,Compliant,2027-01-30,2027-02-01,2941017.6,CONTRACT-000091,CONTRACT-000091,CONTRACT-000091
92,CON-DEV-00092,VND0000004,Pending,2026-10-22,2026-10-24,1557507.53,CONTRACT-000092,CONTRACT-000092,CONTRACT-000092
93,CON-DEV-00093,VND0000002,Expiring,2026-06-08,2026-06-10,7570167.22,CONTRACT-000093,CONTRACT-000093,CONTRACT-000093
94,CON-DEV-00094,VND0000006,Non-Compliant,2026-10-30,2026-11-01,7124328.37,CONTRACT-000094,CONTRACT-000094,CONTRACT-000094
95,CON-DEV-00095,VND0000006,Overdue,2027-07-29,2027-07-31,6655180.47,CONTRACT-000095,CONTRACT-000095,CONTRACT-000095
96,CON-DEV-00096,VND0000003,Compliant,2027-02-01,2027-02-03,5464433.4,CONTRACT-000096,CONTRACT-000096,CONTRACT-000096
97,CON-DEV-00097,VND0000005,Pending,2027-01-27,2027-01-29,1551311.37,CONTRACT-000097,CONTRACT-000097,CONTRACT-000097
98,CON-DEV-00098,VND0000005,Expiring,2027-07-22,2027-07-24,2692138.01,CONTRACT-000098,CONTRACT-000098,CONTRACT-000098
99,CON-DEV-00099,VND0000003,Non-Compliant,2027-02-24,2027-02-26,7022501.05,CONTRACT-000099,CONTRACT-000099,CONTRACT-000099
100,CON-DEV-00100,VND0000005,Overdue,2026-11-13,2026-11-15,3840181.11,CONTRACT-000100,CONTRACT-000100,CONTRACT-000100
