id,invoice_number,po_id,vendor_id,amount,status,invoice_date,due_date,paid_date,customer_id
23,INV-DEV-2025-00023,38,VND0000006,519323.15,Pending,2026-07-12,2026-08-11,2026-08-09,443
24,INV-DEV-2025-00024,279,VND0000005,44091.67,Pending,2026-07-09,2026-08-08,2026-08-06,377
25,INV-DEV-2025-00025,310,VND0000001,845031.32,Pending,2026-07-06,2026-08-05,2026-08-03,245
26,INV-DEV-2025-00026,189,VND0000006,31416.29,Pending,2026-07-03,2026-08-02,2026-07-31,141
27,INV-DEV-2025-00027,429,VND0000003,71610.79,Pending,2026-06-30,2026-07-30,2026-07-28,483
28,INV-DEV-2025-00028,68,VND0000005,446950.3,Pending,2026-06-27,2026-07-27,2026-07-25,458
29,INV-DEV-2025-00029,497,VND0000005,634006.24,Pending,2026-06-24,2026-07-24,2026-07-22,176
30,INV-DEV-2025-00030,221,VND0000005,430847.17,Pending,2026-06-21,2026-07-21,2026-07-19,197
31,INV-DEV-2025-00031,429,VND0000005,754940.93,Pending,2026-06-18,2026-07-18,2026-07-16,445
32,INV-DEV-2025-00032,143,VND0000001,663585.26,Pending,2026-06-15,2026-07-15,2026-07-13,498
33,INV-DEV-2025-00033,98,VND0000004,476114.66,Pending,2026-06-12,2026-07-12,2026-07-10,37
34,INV-DEV-2025-00034,77,VND0000005,337279.1,Pending,2026-06-09,2026-07-09,2026-07-07,164
35,INV-DEV-2025-00035,187,VND0000003,557595.43,Pending,2026-06-06,2026-07-06,2026-07-04,21
36,INV-DEV-2025-00036,35,VND0000003,226342.33,Pending,2026-06-03,2026-07-03,2026-07-01,398
37,INV-DEV-2025-00037,112,VND0000003,851837.61,Pending,2026-05-31,2026-06-30,2026-06-28,36
38,INV-DEV-2025-00038,95,VND0000004,796541.86,Pending,2026-05-28,2026-06-27,2026-06-25,165
39,INV-DEV-2025-00039,390,VND0000001,220821.93,Pending,2026-05-25,2026-06-24,2026-06-22,436
40,INV-DEV-2025-00040,214,VND0000002,141587.55,Pending,2026-05-22,2026-06-21,2026-06-19,314
41,INV-DEV-2025-00041,363,VND0000001,623925.67,Pending,2026-05-19,2026-06-18,2026-06-16,194
42,INV-DEV-2025-00042,445,VND0000001,75872.57,Pending,2026-05-16,2026-06-15,2026-06-13,266
43,INV-DEV-2025-00043,153,VND0000006,732503.85,Pending,2026-05-13,2026-06-12,2026-06-10,11
44,INV-DEV-2025-00044,412,VND0000001,776276.87,Pending,2026-05-10,2026-06-09,2026-06-07,154
45,INV-DEV-2025-00045,23,VND0000005,865463.57,Pending,2026-05-07,2026-06-06,2026-06-04,88
46,INV-DEV-2025-00046,492,VND0000005,384243.68,Pending,2026-05-04,2026-06-03,2026-06-01,203
47,INV-DEV-2025-00047,443,VND0000003,740313.18,Pending,2026-05-01,2026-05-31,2026-05-29,276
48,INV-DEV-2025-00048,168,VND0000006,584779.96,Pending,2026-04-28,2026-05-28,2026-05-26,470
49,INV-DEV-2025-00049,338,VND0000006,217006.34,Pending,2026-04-25,2026-05-25,2026-05-23,484
50,INV-DEV-2025-00050,184,VND0000006,494589.37,Pending,2026-04-22,2026-05-22,2026-05-20,103
51,INV-DEV-2025-00051,476,VND0000001,340004.4,Pending,2026-04-19,2026-05-19,2026-05-17,284
52,INV-DEV-2025-00052,97,VND0000005,643146.31,Pending,2026-04-16,2026-05-16,2026-05-14,297
53,INV-DEV-2025-00053,344,VND0000004,858997.67,Pending,2026-04-13,2026-05-13,2026-05-11,78
54,INV-DEV-2025-00054,416,VND0000002,706773.15,Pending,2026-04-10,2026-05-10,2026-05-08,193
55,INV-DEV-2025-00055,208,VND0000005,651948.09,Pending,2026-04-07,2026-05-07,2026-05-05,179
56,INV-DEV-2025-00056,1,VND0000003,497104.81,Pending,2026-04-04,2026-05-04,2026-05-02,81
57,INV-DEV-2025-00057,318,VND0000006,290785.28,Pending,2026-04-01,2026-05-01,2026-04-29,177
58,INV-DEV-2025-00058,486,VND0000006,866505.51,Pending,2026-03-29,2026-04-28,2026-04-26,298
59,INV-DEV-2025-00059,491,VND0000003,398102.55,Pending,2026-03-26,2026-04-25,2026-04-23,31
60,INV-DEV-2025-00060,341,VND0000001,475494.7,Pending,2026-03-23,2026-04-22,2026-04-20,85
61,INV-DEV-2025-00061,212,VND0000005,458238.77,Pending,2026-03-20,2026-04-19,2026-04-17,62
62,INV-DEV-2025-00062,153,VND0000006,64503.55,Pending,2026-03-17,2026-04-16,2026-04-14,214
63,INV-DEV-2025-00063,419,VND0000001,870919.56,Pending,2026-03-14,2026-04-13,2026-04-11,53
64,INV-DEV-2025-00064,260,VND0000005,751251.28,Pending,2026-03-11,2026-04-10,2026-04-08,282
65,INV-DEV-2025-00065,391,VND0000003,706222.15,Pending,2026-03-08,2026-04-07,2026-04-05,53
66,INV-DEV-2025-00066,306,VND0000004,40746.03,Pending,2026-03-05,2026-04-04,2026-04-02,379
67,INV-DEV-2025-00067,483,VND0000005,762415.86,Pending,2026-03-02,2026-04-01,2026-03-30,127
68,INV-DEV-2025-00068,179,VND0000004,352260.45,Pending,2026-02-27,2026-03-29,2026-03-27,164
69,INV-DEV-2025-00069,490,VND0000001,601055.41,Pending,2026-02-24,2026-03-26,2026-03-24,310
70,INV-DEV-2025-00070,155,VND0000006,457263.28,Pending,2026-02-21,2026-03-23,2026-03-21,484
71,INV-DEV-2025-00071,26,VND0000006,576439.38,Pending,2026-02-18,2026-03-20,2026-03-18,55
72,INV-DEV-2025-00072,42,VND0000005,758110.84,Pending,2026-02-15,2026-03-17,2026-03-15,31
73,INV-DEV-2025-00073,120,VND0000003,325572.8,Pending,2026-02-12,2026-03-14,2026-03-12,112
74,INV-DEV-2025-00074,261,VND0000003,804224.82,Pending,2026-02-09,2026-03-11,2026-03-09,480
75,INV-DEV-2025-00075,203,VND0000001,263297.86,Pending,2026-02-06,2026-03-08,2026-03-06,200
76,INV-DEV-2025-00076,11,VND0000006,552243.69,Pending,2026-02-03,2026-03-05,2026-03-03,46
77,INV-DEV-2025-00077,405,VND0000006,443329.81,Pending,2026-01-31,2026-03-02,2026-02-28,431
78,INV-DEV-2025-00078,495,VND0000001,629098.4,Pending,2026-01-28,2026-02-27,2026-02-25,456
79,INV-DEV-2025-00079,7,VND0000005,134113.7,Pending,2026-01-25,2026-02-24,2026-02-22,142
80,INV-DEV-2025-00080,320,VND0000006,332891.32,Pending,2026-01-22,2026-02-21,2026-02-19,286
81,INV-DEV-2025-00081,395,VND0000006,190875.98,Pending,2026-01-19,2026-02-18,2026-02-16,241
82,INV-DEV-2025-00082,470,VND0000002,119812.56,Pending,2026-01-16,2026-02-15,2026-02-13,155
83,INV-DEV-2025-00083,15,VND0000004,511856.06,Pending,2026-01-13,2026-02-12,2026-02-10,193
84,INV-DEV-2025-00084,53,VND0000005,231118.26,Pending,2026-01-10,2026-02-09,2026-02-07,165
85,INV-DEV-2025-00085,414,VND0000001,53147.06,Pending,2026-01-07,2026-02-06,2026-02-04,316
86,INV-DEV-2025-00086,229,VND0000004,794401.04,Pending,2026-01-04,2026-02-03,2026-02-01,159
87,INV-DEV-2025-00087,310,VND0000001,534161.26,Pending,2026-01-01,2026-01-31,2026-01-29,498
88,INV-DEV-2025-00088,387,VND0000002,23359.1,Pending,2025-12-29,2026-01-28,2026-01-26,164
89,INV-DEV-2025-00089,108,VND0000005,626400.82,Pending,2025-12-26,2026-01-25,2026-01-23,340
90,INV-DEV-2025-00090,325,VND0000005,291189.44,Pending,2025-12-23,2026-01-22,2026-01-20,444
91,INV-DEV-2025-00091,412,VND0000004,254048.78,Pending,2025-12-20,2026-01-19,2026-01-17,377
92,INV-DEV-2025-00092,489,VND0000004,820990.63,Pending,2025-12-17,2026-01-16,2026-01-14,500
93,INV-DEV-2025-00093,120,VND0000004,813630.4,Pending,2025-12-14,2026-01-13,2026-01-11,265
94,INV-DEV-2025-00094,29,VND0000003,27370.26,Pending,2025-12-11,2026-01-10,2026-01-08,196
95,INV-DEV-2025-00095,474,VND0000002,526459.26,Pending,2025-12-08,2026-01-07,2026-01-05,399
96,INV-DEV-2025-00096,462,VND0000002,56202.57,Pending,2025-12-05,2026-01-04,2026-01-02,287
97,INV-DEV-2025-00097,100,VND0000002,175610.28,Pending,2025-12-02,2026-01-01,2025-12-30,137
98,INV-DEV-2025-00098,413,VND0000002,370476.47,Pending,2025-11-29,2025-12-29,2025-12-27,28
99,INV-DEV-2025-00099,442,VND0000006,622487.36,Pending,2025-11-26,2025-12-26,2025-12-24,489
100,INV-DEV-2025-00100,179,VND0000006,836882.54,Pending,2025-11-23,2025-12-23,2025-12-21,140
101,INV-DEV-2026-00101,70,VND0000002,341004.38,Pending,2025-11-20,2025-12-20,2025-12-18,105
102,INV-DEV-2026-00102,117,VND0000005,416806.0,Pending,2025-11-17,2025-12-17,2025-12-15,333
103,INV-DEV-2026-00103,199,VND0000002,472574.14,Pending,2025-11-14,2025-12-14,2025-12-12,386
104,INV-DEV-2026-00104,47,VND0000005,376910.87,Pending,2025-11-11,2025-12-11,2025-12-09,432
105,INV-DEV-2026-00105,53,VND0000002,780097.66,Pending,2025-11-08,2025-12-08,2025-12-06,447
106,INV-DEV-2026-00106,274,VND0000001,390713.61,Pending,2025-11-05,2025-12-05,2025-12-03,16
107,INV-DEV-2026-00107,293,VND0000001,554752.48,Pending,2025-11-02,2025-12-02,2025-11-30,475
108,INV-DEV-2026-00108,214,VND0000001,421606.71,Pending,2025-10-30,2025-11-29,2025-11-27,104
109,INV-DEV-2026-00109,267,VND0000002,619729.71,Pending,2025-10-27,2025-11-26,2025-11-24,406
110,INV-DEV-2026-00110,356,VND0000006,534916.7,Pending,2025-10-24,2025-11-23,2025-11-21,359
111,INV-DEV-2026-00111,7,VND0000006,629449.63,Pending,2025-10-21,2025-11-20,2025-11-18,305
112,INV-DEV-2026-00112,466,VND0000001,277196.21,Pending,2025-10-18,2025-11-17,2025-11-15,9
113,INV-DEV-2026-00113,459,VND0000006,731941.86,Pending,2025-10-15,2025-11-14,2025-11-12,114
114,INV-DEV-2026-00114,439,VND0000002,183605.92,Pending,2025-10-12,2025-11-11,2025-11-09,439
115,INV-DEV-2026-00115,314,VND0000003,521781.57,Pending,2025-10-09,2025-11-08,2025-11-06,60
116,INV-DEV-2026-00116,409,VND0000002,598120.96,Pending,2025-10-06,2025-11-05,2025-11-03,336
117,INV-DEV-2026-00117,464,VND0000002,94251.61,Pending,2025-10-03,2025-11-02,2025-10-31,428
118,INV-DEV-2026-00118,72,VND0000004,60797.21,Pending,2025-09-30,2025-10-30,2025-10-28,126
119,INV-DEV-2026-00119,406,VND0000006,399792.25,Pending,2025-09-27,2025-10-27,2025-10-25,462
120,INV-DEV-2026-00120,72,VND0000005,641227.64,Pending,2025-09-24,2025-10-24,2025-10-22,404
121,INV-DEV-2026-00121,436,VND0000006,699239.69,Pending,2026-09-16,2026-10-16,2026-09-16,373
122,INV-DEV-2026-00122,95,VND0000001,319185.96,Pending,2026-09-13,2026-10-13,2026-09-16,391
123,INV-DEV-2026-00123,361,VND0000004,794788.4,Pending,2026-09-10,2026-10-10,2026-09-16,340
124,INV-DEV-2026-00124,270,VND0000001,205081.03,Pending,2026-09-07,2026-10-07,2026-09-16,216
125,INV-DEV-2026-00125,107,VND0000002,306344.61,Pending,2026-09-04,2026-10-04,2026-09-16,100
126,INV-DEV-2026-00126,74,VND0000002,635082.36,Pending,2026-09-01,2026-10-01,2026-09-16,322
127,INV-DEV-2026-00127,215,VND0000006,505042.94,Pending,2026-08-29,2026-09-28,2026-09-16,485
128,INV-DEV-2026-00128,168,VND0000004,597467.51,Pending,2026-08-26,2026-09-25,2026-09-16,102
129,INV-DEV-2026-00129,401,VND0000001,575256.2,Pending,2026-08-23,2026-09-22,2026-09-16,102
130,INV-DEV-2026-00130,73,VND0000004,142589.32,Pending,2026-08-20,2026-09-19,2026-09-16,133
131,INV-DEV-2026-00131,443,VND0000005,466971.17,Pending,2026-08-17,2026-09-16,2026-09-14,292
132,INV-DEV-2026-00132,229,VND0000003,763799.8,Pending,2026-08-14,2026-09-13,2026-09-11,229
133,INV-DEV-2026-00133,471,VND0000006,428619.43,Pending,2026-08-11,2026-09-10,2026-09-08,97
134,INV-DEV-2026-00134,397,VND0000001,749600.29,Pending,2026-08-08,2026-09-07,2026-09-05,479
135,INV-DEV-2026-00135,182,VND0000006,127773.47,Pending,2026-08-05,2026-09-04,2026-09-02,42
136,INV-DEV-2026-00136,15,VND0000003,502994.83,Pending,2026-08-02,2026-09-01,2026-08-30,283
137,INV-DEV-2026-00137,11,VND0000005,397417.29,Pending,2026-07-30,2026-08-29,2026-08-27,366
138,INV-DEV-2026-00138,384,VND0000002,462356.96,Pending,2026-07-27,2026-08-26,2026-08-24,192
139,INV-DEV-2026-00139,59,VND0000001,71532.09,Pending,2026-07-24,2026-08-23,2026-08-21,165
140,INV-DEV-2026-00140,60,VND0000006,651260.48,Pending,2026-07-21,2026-08-20,2026-08-18,227
141,INV-DEV-2026-00141,413,VND0000002,205198.52,Pending,2026-07-18,2026-08-17,2026-08-15,3
142,INV-DEV-2026-00142,145,VND0000005,102123.32,Pending,2026-07-15,2026-08-14,2026-08-12,202
143,INV-DEV-2026-00143,318,VND0000005,364275.33,Pending,2026-07-12,2026-08-11,2026-08-09,45
144,INV-DEV-2026-00144,369,VND0000004,823001.84,Pending,2026-07-09,2026-08-08,2026-08-06,302
145,INV-DEV-2026-00145,78,VND0000003,763684.07,Pending,2026-07-06,2026-08-05,2026-08-03,145
146,INV-DEV-2026-00146,153,VND0000005,62735.62,Pending,2026-07-03,2026-08-02,2026-07-31,196
147,INV-DEV-2026-00147,146,VND0000005,72420.29,Pending,2026-06-30,2026-07-30,2026-07-28,71
148,INV-DEV-2026-00148,76,VND0000004,375935.55,Pending,2026-06-27,2026-07-27,2026-07-25,404
149,INV-DEV-2026-00149,116,VND0000003,610134.91,Pending,2026-06-24,2026-07-24,2026-07-22,387
150,INV-DEV-2026-00150,261,VND0000002,308558.0,Pending,2026-06-21,2026-07-21,2026-07-19,23
151,INV-DEV-2026-00151,282,VND0000005,846082.72,Pending,2026-06-18,2026-07-18,2025-10-16,45
152,INV-DEV-2026-00152,60,VND0000002,195776.43,Pending,2026-06-15,2026-07-15,2026-10-18,420
153,INV-DEV-2026-00153,254,VND0000002,256819.22,Pending,2026-06-12,2026-07-12,2026-08-31,420
154,INV-DEV-2026-00154,143,VND0000005,603107.8,Pending,2026-06-09,2026-07-09,2026-01-03,132
155,INV-DEV-2026-00155,127,VND0000003,785661.71,Pending,2026-06-06,2026-07-06,2026-11-06,398
156,INV-DEV-2026-00156,354,VND0000006,837796.63,Pending,2026-06-03,2026-07-03,2026-04-27,445
157,INV-DEV-2026-00157,32,VND0000004,266520.7,Pending,2026-05-31,2026-06-30,2025-09-11,359
158,INV-DEV-2026-00158,330,VND0000005,641053.41,Pending,2026-05-28,2026-06-27,2026-12-27,11
159,INV-DEV-2026-00159,404,VND0000004,147777.95,Pending,2026-05-25,2026-06-24,2026-08-22,147
160,INV-DEV-2026-00160,452,VND0000005,141959.97,Pending,2026-05-22,2026-06-21,2025-10-13,398
161,INV-DEV-2026-00161,273,VND0000006,769505.51,Pending,2026-05-19,2026-06-18,2027-01-27,492
162,INV-DEV-2026-00162,328,VND0000004,698565.25,Pending,2026-05-16,2026-06-15,2026-10-21,274
163,INV-DEV-2026-00163,227,VND0000005,605540.89,Pending,2026-05-13,2026-06-12,2025-11-30,63
164,INV-DEV-2026-00164,173,VND0000006,307979.06,Pending,2026-05-10,2026-06-09,2026-07-03,349
165,INV-DEV-2026-00165,276,VND0000001,684135.31,Pending,2026-05-07,2026-06-06,2025-12-22,77
166,INV-DEV-2026-00166,433,VND0000005,866083.7,Pending,2026-05-04,2026-06-03,2026-01-07,448
167,INV-DEV-2026-00167,139,VND0000001,727478.31,Pending,2026-05-01,2026-05-31,2026-09-09,260
168,INV-DEV-2026-00168,180,VND0000002,659993.32,Pending,2026-04-28,2026-05-28,2025-09-18,16
169,INV-DEV-2026-00169,397,VND0000005,462699.41,Pending,2026-04-25,2026-05-25,2026-01-18,51
170,INV-DEV-2026-00170,111,VND0000006,415162.22,Pending,2026-04-22,2026-05-22,2027-02-25,88
171,INV-DEV-2026-00171,191,VND0000004,381967.45,Pending,2026-04-19,2026-05-19,2026-06-03,186
172,INV-DEV-2026-00172,82,VND0000004,188507.95,Pending,2026-04-16,2026-05-16,2026-08-18,54
173,INV-DEV-2026-00173,289,VND0000004,477516.12,Pending,2026-04-13,2026-05-13,2026-09-04,247
174,INV-DEV-2026-00174,135,VND0000001,696601.54,Pending,2026-04-10,2026-05-10,2026-06-15,16
175,INV-DEV-2026-00175,297,VND0000002,418272.27,Pending,2026-04-07,2026-05-07,2025-10-28,440
176,INV-DEV-2026-00176,43,VND0000001,144364.48,Pending,2026-04-04,2026-05-04,2026-11-26,110
177,INV-DEV-2026-00177,364,VND0000006,843750.16,Pending,2026-04-01,2026-05-01,2027-01-03,324
178,INV-DEV-2026-00178,274,VND0000003,848453.82,Pending,2026-03-29,2026-04-28,2026-11-05,420
179,INV-DEV-2026-00179,170,VND0000005,51846.51,Pending,2026-03-26,2026-04-25,2026-10-28,289
180,INV-DEV-2026-00180,441,VND0000005,823861.67,Pending,2026-03-23,2026-04-22,2027-01-10,124
181,INV-DEV-2026-00181,124,VND0000003,789950.22,Pending,2026-03-20,2026-04-19,2026-09-03,34
182,INV-DEV-2026-00182,366,VND0000002,675583.63,Pending,2026-03-17,2026-04-16,2026-08-11,468
183,INV-DEV-2026-00183,323,VND0000003,25033.18,Pending,2026-03-14,2026-04-13,2025-09-15,35
184,INV-DEV-2026-00184,18,VND0000004,517149.13,Pending,2026-03-11,2026-04-10,2026-03-15,27
185,INV-DEV-2026-00185,217,VND0000004,59981.11,Pending,2026-03-08,2026-04-07,2026-05-19,299
186,INV-DEV-2026-00186,309,VND0000005,584020.02,Pending,2026-03-05,2026-04-04,2026-03-02,116
187,INV-DEV-2026-00187,4,VND0000006,565673.21,Pending,2026-03-02,2026-04-01,2025-11-11,490
188,INV-DEV-2026-00188,91,VND0000002,820567.75,Pending,2026-02-27,2026-03-29,2026-11-19,8
189,INV-DEV-2026-00189,232,VND0000003,211343.36,Pending,2026-02-24,2026-03-26,2025-09-08,39
190,INV-DEV-2026-00190,89,VND0000003,386218.18,Pending,2026-02-21,2026-03-23,2027-01-13,315
191,INV-DEV-2026-00191,234,VND0000005,152556.77,Pending,2026-02-18,2026-03-20,2027-03-22,152
192,INV-DEV-2026-00192,128,VND0000005,566843.87,Pending,2026-02-15,2026-03-17,2026-08-04,341
193,INV-DEV-2026-00193,190,VND0000001,800451.13,Pending,2026-02-12,2026-03-14,2025-09-05,141
194,INV-DEV-2026-00194,489,VND0000004,476458.63,Pending,2026-02-09,2026-03-11,2027-02-17,479
195,INV-DEV-2026-00195,499,VND0000006,356236.53,Pending,2026-02-06,2026-03-08,2027-02-09,372
196,INV-DEV-2026-00196,366,VND0000005,258169.87,Pending,2026-02-03,2026-03-05,2027-02-23,382
197,INV-DEV-2026-00197,371,VND0000006,95402.04,Pending,2026-01-31,2026-03-02,2026-12-08,382
198,INV-DEV-2026-00198,115,VND0000006,723507.74,Pending,2026-01-28,2026-02-27,2026-12-07,408
199,INV-DEV-2026-00199,9,VND0000001,274815.13,Pending,2026-01-25,2026-02-24,2027-01-27,461
200,INV-DEV-2026-00200,295,VND0000004,425371.73,Pending,2026-01-22,2026-02-21,2025-12-29,222
201,INV-DEV-2027-00201,268,VND0000001,692984.47,Pending,2026-01-19,2026-02-18,2026-06-09,37
202,INV-DEV-2027-00202,209,VND0000005,547165.03,Pending,2026-01-16,2026-02-15,2026-07-02,413
203,INV-DEV-2027-00203,438,VND0000001,321100.56,Pending,2026-01-13,2026-02-12,2026-08-08,37
204,INV-DEV-2027-00204,76,VND0000002,114677.15,Pending,2026-01-10,2026-02-09,2026-04-13,237
205,INV-DEV-2027-00205,118,VND0000006,172218.09,Pending,2026-01-07,2026-02-06,2026-12-09,380
206,INV-DEV-2027-00206,381,VND0000003,748461.94,Pending,2026-01-04,2026-02-03,2026-12-22,57
207,INV-DEV-2027-00207,288,VND0000002,568606.75,Pending,2026-01-01,2026-01-31,2027-03-06,362
208,INV-DEV-2027-00208,451,VND0000004,280926.31,Pending,2025-12-29,2026-01-28,2025-10-02,49
209,INV-DEV-2027-00209,320,VND0000004,759325.0,Pending,2025-12-26,2026-01-25,2025-09-11,464
210,INV-DEV-2027-00210,437,VND0000005,248368.74,Pending,2025-12-23,2026-01-22,2026-06-28,232
211,INV-DEV-2027-00211,447,VND0000004,869781.04,Pending,2025-12-20,2026-01-19,2026-07-25,434
212,INV-DEV-2027-00212,498,VND0000005,108040.85,Pending,2025-12-17,2026-01-16,2027-01-13,332
213,INV-DEV-2027-00213,36,VND0000005,50392.41,Pending,2025-12-14,2026-01-13,2026-05-09,309
214,INV-DEV-2027-00214,212,VND0000004,838498.71,Pending,2025-12-11,2026-01-10,2026-12-20,339
215,INV-DEV-2027-00215,23,VND0000002,671797.78,Pending,2025-12-08,2026-01-07,2025-11-11,211
216,INV-DEV-2027-00216,429,VND0000004,242358.53,Pending,2025-12-05,2026-01-04,2026-12-14,287
217,INV-DEV-2027-00217,311,VND0000006,222627.6,Pending,2025-12-02,2026-01-01,2027-01-06,8
218,INV-DEV-2027-00218,172,VND0000001,608400.22,Pending,2025-11-29,2025-12-29,2026-10-15,68
219,INV-DEV-2027-00219,164,VND0000004,826049.47,Pending,2025-11-26,2025-12-26,2026-05-01,281
220,INV-DEV-2027-00220,41,VND0000001,167346.84,Pending,2025-11-23,2025-12-23,2026-10-04,283
221,INV-DEV-2027-00221,424,VND0000003,68094.8,Pending,2025-11-20,2025-12-20,2027-02-11,82
222,INV-DEV-2027-00222,342,VND0000001,734713.89,Pending,2025-11-17,2025-12-17,2026-05-09,450
223,INV-DEV-2027-00223,498,VND0000006,631654.44,Pending,2025-11-14,2025-12-14,2026-02-21,488
224,INV-DEV-2027-00224,256,VND0000004,211779.11,Pending,2025-11-11,2025-12-11,2027-03-24,151
225,INV-DEV-2027-00225,147,VND0000005,345517.67,Pending,2025-11-08,2025-12-08,2026-09-23,162
226,INV-DEV-2027-00226,286,VND0000004,316433.6,Pending,2025-11-05,2025-12-05,2026-08-03,242
227,INV-DEV-2027-00227,471,VND0000002,745857.86,Pending,2025-11-02,2025-12-02,2026-09-21,53
228,INV-DEV-2027-00228,151,VND0000001,639852.79,Pending,2025-10-30,2025-11-29,2026-01-20,258
229,INV-DEV-2027-00229,159,VND0000004,800272.92,Pending,2025-10-27,2025-11-26,2026-07-16,242
230,INV-DEV-2027-00230,487,VND0000006,419176.12,Pending,2025-10-24,2025-11-23,2025-09-01,401
231,INV-DEV-2027-00231,195,VND0000004,544455.7,Pending,2025-10-21,2025-11-20,2027-02-27,245
232,INV-DEV-2027-00232,119,VND0000002,833138.78,Pending,2025-10-18,2025-11-17,2025-10-15,277
233,INV-DEV-2027-00233,285,VND0000001,161969.58,Pending,2025-10-15,2025-11-14,2026-06-01,460
234,INV-DEV-2027-00234,262,VND0000006,768634.28,Pending,2025-10-12,2025-11-11,2026-04-13,440
235,INV-DEV-2027-00235,124,VND0000006,452430.22,Pending,2025-10-09,2025-11-08,2026-09-26,419
236,INV-DEV-2027-00236,150,VND0000004,809798.19,Pending,2025-10-06,2025-11-05,2026-02-12,5
237,INV-DEV-2027-00237,368,VND0000004,861697.63,Pending,2025-10-03,2025-11-02,2026-08-14,233
238,INV-DEV-2027-00238,495,VND0000006,90026.01,Pending,2025-09-30,2025-10-30,2027-01-24,204
239,INV-DEV-2027-00239,203,VND0000002,473724.46,Pending,2025-09-27,2025-10-27,2026-03-25,97
240,INV-DEV-2027-00240,398,VND0000006,866767.49,Pending,2025-09-24,2025-10-24,2026-09-06,84
241,INV-DEV-2027-00241,11,VND0000001,144322.91,Pending,2026-09-16,2026-10-16,2026-08-31,42
242,INV-DEV-2027-00242,419,VND0000001,320433.19,Pending,2026-09-13,2026-10-13,2026-05-22,139
243,INV-DEV-2027-00243,141,VND0000003,181031.82,Pending,2026-09-10,2026-10-10,2026-04-15,35
244,INV-DEV-2027-00244,5,VND0000001,579991.58,Pending,2026-09-07,2026-10-07,2025-09-02,91
245,INV-DEV-2027-00245,457,VND0000003,294821.88,Pending,2026-09-04,2026-10-04,2025-12-12,61
246,INV-DEV-2027-00246,271,VND0000005,165034.31,Pending,2026-09-01,2026-10-01,2026-06-15,410
247,INV-DEV-2027-00247,89,VND0000001,331720.12,Pending,2026-08-29,2026-09-28,2027-03-21,117
248,INV-DEV-2027-00248,42,VND0000004,424237.61,Pending,2026-08-26,2026-09-25,2026-03-19,248
249,INV-DEV-2027-00249,337,VND0000004,756200.16,Pending,2026-08-23,2026-09-22,2026-01-04,352
250,INV-DEV-2027-00250,384,VND0000005,852011.01,Pending,2026-08-20,2026-09-19,2027-02-01,101
