id,issue,severity,status,detected_at,resolved_at,details
39,SYSTEMA-000039,Info,Open,2026-08-28 14:28:19,2026-07-11 17:53:36,SYSTEMA-000039
40,SYSTEMA-000040,Info,Open,2026-10-23 09:57:15,2026-10-05 12:48:09,SYSTEMA-000040
41,SYSTEMA-000041,Info,Open,2026-10-17 14:39:59,2026-05-10 18:31:30,SYSTEMA-000041
42,SYSTEMA-000042,Info,Open,2026-04-05 18:00:35,2026-05-26 11:10:40,SYSTEMA-000042
43,SYSTEMA-000043,Info,Open,2026-09-07 08:00:47,2026-11-23 11:58:41,SYSTEMA-000043
44,SYSTEMA-000044,Info,Open,2027-02-24 10:23:41,2027-01-22 17:42:28,SYSTEMA-000044
45,SYSTEMA-000045,Info,Open,2026-11-20 12:10:32,2026-02-05 12:11:46,SYSTEMA-000045
46,SYSTEMA-000046,Info,Open,2026-03-09 12:14:54,2027-02-16 10:54:05,SYSTEMA-000046
47,SYSTEMA-000047,Info,Open,2026-05-28 17:28:15,2025-09-09 18:15:56,SYSTEMA-000047
48,SYSTEMA-000048,Info,Open,2026-09-03 10:24:14,2025-09-29 10:32:59,SYSTEMA-000048
49,SYSTEMA-000049,Info,Open,2026-10-27 08:34:58,2025-10-20 12:45:10,SYSTEMA-000049
50,SYSTEMA-000050,Info,Open,2026-12-05 12:06:28,2026-09-02 16:08:52,SYSTEMA-000050
