id,source,department,year,budget,annual_target,created_at,updated_at
41,FINANCE-000041,FINANCE-000041,2026,763152.08,229261.65,2025-11-25 11:08:02,2026-01-24 13:57:03
42,FINANCE-000042,FINANCE-000042,2026,855260.94,279368.11,2026-05-17 14:33:03,2026-02-19 08:17:31
43,FINANCE-000043,FINANCE-000043,2026,836119.99,550316.29,2026-01-14 11:13:19,2026-06-02 17:26:27
44,FINANCE-000044,FINANCE-000044,2026,356481.63,198562.2,2026-03-04 15:35:53,2027-03-13 12:11:41
45,FINANCE-000045,FINANCE-000045,2025,681588.61,677248.57,2026-11-14 09:53:45,2026-12-31 13:03:42
46,FINANCE-000046,FINANCE-000046,2025,127264.63,807225.33,2026-09-06 15:51:48,2026-10-24 18:38:36
47,FINANCE-000047,FINANCE-000047,2025,752669.51,715928.44,2026-01-07 09:59:03,2026-02-19 12:54:21
48,FINANCE-000048,FINANCE-000048,2026,494780.14,658237.23,2027-01-10 18:23:39,2026-01-27 15:55:06
49,FINANCE-000049,FINANCE-000049,2026,136202.47,681170.86,2026-09-29 09:15:10,2027-03-11 17:57:45
50,FINANCE-000050,FINANCE-000050,2025,466604.87,54448.59,2026-11-10 13:08:47,2027-02-14 11:29:12
