id,department,budget,actual,year,allocated,status,created_at,updated_at
23,IT - Dev 21,24450906.09,4615508.17,2026,9487657.18,Active,2026-11-01 11:38:37.000000,2026-10-22 17:12:41.000000
24,Quality - Dev 22,12465813.39,11029143.4,2026,12163774.47,Active,2026-06-30 11:59:31.000000,2025-10-23 10:22:18.000000
25,Compliance - Dev 23,5910294.62,13787575.35,2026,16227352.63,Active,2026-10-08 09:24:23.000000,2026-07-14 13:07:52.000000
26,Logistics - Dev 24,18585252.45,6595446.18,2026,5229436.78,Active,2027-03-26 15:05:18.000000,2026-09-30 10:03:47.000000
27,Procurement - Dev 25,18540994.38,12894029.1,2026,3978461.8,Active,2027-01-01 13:57:44.000000,2026-01-08 16:49:49.000000
28,Finance - Dev 26,23742014.34,13200903.88,2026,11207856.27,Active,2027-02-12 14:06:54.000000,2026-09-13 17:47:50.000000
29,Supply Chain - Dev 27,23009690.77,12153984.03,2026,11493083.42,Active,2025-09-21 16:11:02.000000,2026-01-18 14:04:25.000000
30,Warehouse - Dev 28,14602138.96,935830.6,2026,17917942.45,Active,2025-12-27 17:01:21.000000,2026-01-23 13:59:19.000000
31,IT - Dev 29,17874378.18,2382693.77,2026,17827842.09,Active,2026-10-31 09:17:53.000000,2026-09-15 15:09:44.000000
32,Quality - Dev 30,16748864.98,14285066.57,2026,15953349.73,Active,2026-07-29 16:16:59.000000,2027-03-06 17:06:03.000000
33,Compliance - Dev 31,13628707.66,8672123.94,2026,5831155.43,Active,2026-08-16 10:17:11.000000,2025-12-22 14:35:20.000000
34,Logistics - Dev 32,16950365.54,2081187.5,2026,2125074.91,Active,2026-02-26 12:18:02.000000,2026-02-28 14:20:10.000000
35,Procurement - Dev 33,21786909.61,7643618.0,2026,15013315.23,Active,2026-02-01 13:33:12.000000,2027-02-23 15:35:58.000000
36,Finance - Dev 34,24755630.84,14082971.78,2026,4227228.64,Active,2026-04-28 14:21:29.000000,2026-11-19 12:41:17.000000
37,Supply Chain - Dev 35,11591841.84,6612463.55,2026,16319023.29,Active,2026-12-29 18:59:22.000000,2026-11-12 14:07:31.000000
38,Warehouse - Dev 36,21801683.43,12400659.39,2026,7633476.37,Active,2025-12-22 10:25:30.000000,2026-07-03 14:43:24.000000
39,IT - Dev 37,22250419.71,11881173.16,2026,15885047.73,Active,2026-11-04 15:35:53.000000,2026-07-05 18:09:26.000000
40,Quality - Dev 38,8385455.74,14104384.29,2026,16010902.44,Active,2025-10-05 15:39:32.000000,2025-11-14 18:10:24.000000
41,Compliance - Dev 39,23656548.71,5574971.58,2026,12171058.03,Active,2026-02-28 16:01:54.000000,2027-03-03 12:42:09.000000
42,Logistics - Dev 40,14933621.18,14229309.24,2026,11426796.41,Active,2026-05-05 18:18:26.000000,2025-10-04 18:19:14.000000
43,Procurement - Dev 41,3436069.22,8006668.12,2026,17804380.1,Active,2025-10-10 11:32:28.000000,2026-08-05 17:43:45.000000
44,Finance - Dev 42,20383227.99,6679786.39,2026,1943328.94,Active,2025-12-23 17:29:32.000000,2026-02-23 15:16:58.000000
45,Supply Chain - Dev 43,8382598.04,14292650.2,2026,12069926.21,Active,2027-01-07 08:30:00.000000,2026-02-23 12:40:30.000000
46,Warehouse - Dev 44,11326345.91,13377868.3,2026,15014174.86,Active,2026-04-06 11:38:57.000000,2026-12-08 10:40:54.000000
47,IT - Dev 45,24345803.92,7239917.33,2026,5311072.73,Active,2027-02-07 15:08:10.000000,2026-02-20 18:04:18.000000
48,Quality - Dev 46,3792913.05,12773537.73,2026,3525264.89,Active,2026-12-26 11:26:45.000000,2026-03-25 13:15:38.000000
49,Compliance - Dev 47,5280215.6,2601265.25,2026,11872050.21,Active,2027-03-20 10:58:22.000000,2027-02-20 12:51:34.000000
50,Logistics - Dev 48,18564814.66,13204297.8,2026,16502230.36,Active,2026-07-30 16:36:24.000000,2026-02-11 13:36:34.000000
51,Procurement - Dev 49,4966037.3,13553625.82,2026,17646809.69,Active,2025-09-24 16:58:06.000000,2026-08-15 10:49:12.000000
52,Finance - Dev 50,11852856.21,9891681.84,2026,16717232.77,Active,2026-06-21 12:40:55.000000,2026-09-27 12:52:25.000000
