id,month,year,compliance_score,compliant_count,partially_compliant_count,non_compliant_count,not_assessed_count,created_at
48,COMPLIAN-000048,2026,18.27,1467,639,3536,1999,2025-11-15 10:20:02
49,COMPLIAN-000049,2025,5.82,4034,1185,4542,1897,2026-03-12 12:30:11
50,COMPLIAN-000050,2026,12.69,2164,4232,2597,1693,2026-12-17 17:31:12
51,COMPLIAN-000051,2025,5.03,3991,1336,1573,4383,2026-09-21 18:40:00
52,COMPLIAN-000052,2026,6.59,2694,3089,3313,868,2026-03-27 15:22:54
53,COMPLIAN-000053,2025,12.48,2020,453,167,198,2027-03-04 14:03:28
54,COMPLIAN-000054,2026,22.32,2428,1969,2077,434,2025-10-10 18:46:54
55,COMPLIAN-000055,2026,4.48,4717,962,2486,2321,2026-05-05 14:39:39
56,COMPLIAN-000056,2025,12.38,2276,4270,2065,2665,2026-04-06 17:39:35
57,COMPLIAN-000057,2026,22.68,1221,3024,770,2884,2026-02-11 15:45:29
58,COMPLIAN-000058,2025,19.9,530,775,384,3593,2026-07-04 11:15:09
59,COMPLIAN-000059,2025,6.67,2434,812,2309,2218,2026-11-07 09:17:52
60,COMPLIAN-000060,2026,13.94,3919,2724,3300,1343,2025-09-13 11:51:55
61,COMPLIAN-000061,2026,8.3,897,2602,4445,4002,2026-07-06 18:23:04
62,COMPLIAN-000062,2025,17.47,1481,3156,1385,2698,2026-09-20 10:29:02
63,COMPLIAN-000063,2025,15.08,2536,2188,3548,2476,2025-12-16 12:15:18
64,COMPLIAN-000064,2025,14.46,3792,3158,2771,750,2025-11-01 13:59:02
65,COMPLIAN-000065,2025,9.27,3905,4981,4564,4767,2026-08-31 13:16:25
66,COMPLIAN-000066,2025,16.13,4453,2546,3376,2867,2026-04-12 14:47:46
67,COMPLIAN-000067,2025,24.82,4841,922,2194,2633,2025-11-15 17:47:05
68,COMPLIAN-000068,2026,3.65,2514,928,3223,2713,2026-07-26 11:36:08
69,COMPLIAN-000069,2026,22.81,1171,239,648,2337,2026-07-05 17:44:52
70,COMPLIAN-000070,2025,13.77,2685,2664,4565,2905,2026-06-14 16:24:49
71,COMPLIAN-000071,2026,7.41,2456,1847,1045,4349,2027-01-10 11:34:34
72,COMPLIAN-000072,2026,20.82,1015,3896,809,2766,2026-09-24 13:47:49
73,COMPLIAN-000073,2026,1.23,3893,3333,1844,4625,2026-03-27 17:15:45
74,COMPLIAN-000074,2025,10.97,2360,2782,1465,126,2026-09-06 08:21:15
75,COMPLIAN-000075,2026,9.46,3619,1040,1732,1003,2026-10-09 16:53:43
76,COMPLIAN-000076,2025,18.95,1116,1581,3204,2583,2026-08-26 17:00:14
77,COMPLIAN-000077,2025,22.43,236,3196,439,3132,2025-11-11 11:56:14
78,COMPLIAN-000078,2026,12.13,1650,1474,1204,315,2025-11-11 11:43:49
79,COMPLIAN-000079,2026,9.33,493,4671,4569,173,2025-12-20 12:40:47
80,COMPLIAN-000080,2025,19.65,2018,2675,733,1979,2025-11-15 12:39:52
81,COMPLIAN-000081,2026,14.39,3766,26,4580,4815,2026-04-04 13:51:04
82,COMPLIAN-000082,2026,19.17,2848,2813,2394,3876,2026-04-19 09:52:31
83,COMPLIAN-000083,2026,11.72,234,4575,3609,3447,2026-02-22 17:38:57
84,COMPLIAN-000084,2025,16.5,31,2882,361,2266,2025-12-15 09:45:01
85,COMPLIAN-000085,2025,21.97,622,3559,4729,2208,2025-11-15 11:33:45
86,COMPLIAN-000086,2025,21.59,3557,332,3174,1767,2026-04-22 12:12:25
87,COMPLIAN-000087,2025,12.86,490,4441,1935,463,2025-12-13 18:39:12
88,COMPLIAN-000088,2026,24.95,115,4856,972,3861,2027-02-02 11:23:24
89,COMPLIAN-000089,2026,7.49,864,2678,3898,2970,2026-05-10 12:51:58
90,COMPLIAN-000090,2025,16.42,3076,4390,2673,1935,2026-02-25 08:24:15
91,COMPLIAN-000091,2025,15.55,4132,1117,130,1242,2026-09-08 09:10:00
92,COMPLIAN-000092,2025,18.71,3312,1276,392,4561,2026-10-07 08:21:16
93,COMPLIAN-000093,2025,15.06,4780,3892,2678,3741,2026-05-13 13:02:50
94,COMPLIAN-000094,2025,12.13,1923,622,4127,3835,2026-09-22 17:52:46
95,COMPLIAN-000095,2026,24.56,1941,828,1565,4423,2026-02-17 17:55:30
96,COMPLIAN-000096,2025,10.66,1666,1984,1829,1376,2027-02-01 16:45:59
97,COMPLIAN-000097,2025,13.21,4572,667,1171,3009,2027-01-23 09:56:15
98,COMPLIAN-000098,2026,17.28,4355,1262,3579,3365,2027-02-27 17:39:16
99,COMPLIAN-000099,2025,24.14,3299,1111,1123,4331,2026-09-14 09:30:35
100,COMPLIAN-000100,2025,18.07,2088,2988,4519,637,2026-06-23 13:37:04
