id,po_number,vendor_id,amount,status,order_date,expected_delivery,actual_delivery,pr_id,pr_number,created_at,approved_at,received_at,category,department,created_by
85,DC-PO-5991,VND0000005,1138.24,Received,2015-03-29,2015-03-31,2015-03-31,,,2015-03-29 10:33:00,2015-03-29 10:33:00,2015-03-31,Women's Apparel,Golf,
86,DC-PO-2263,VND0000005,734.06,Received,2015-02-03,2015-02-05,2015-02-07,,,2015-02-03 00:28:00,2015-02-03 00:28:00,2015-02-07,Women's Apparel,Golf,
87,DC-PO-53403,VND0000005,1035.36,Received,2017-02-18,2017-02-20,2017-02-22,,,2017-02-18 13:05:00,2017-02-18 13:05:00,2017-02-22,Women's Apparel,Golf,
88,DC-PO-51298,VND0000005,582.5,Received,2017-01-18,2017-01-20,2017-01-22,,,2017-01-18 19:37:00,2017-01-18 19:37:00,2017-01-22,Shop By Sport,Golf,
89,DC-PO-4919,VND0000003,683.65,Received,2015-03-13,2015-03-17,2015-03-18,,,2015-03-13 18:59:00,2015-03-13 18:59:00,2015-03-18,Women's Apparel,Golf,
90,DC-PO-52640,VND0000003,908.52,Received,2017-02-07,2017-02-11,2017-02-13,,,2017-02-07 09:47:00,2017-02-07 09:47:00,2017-02-13,Shop By Sport,Golf,
91,DC-PO-6358,VND0000005,695.99,Received,2015-04-03,2015-04-07,2015-04-07,,,2015-04-03 19:08:00,2015-04-03 19:08:00,2015-04-07,Shop By Sport,Golf,
92,DC-PO-57106,VND0000005,1279.12,Received,2017-04-13,2017-04-17,2017-04-15,,,2017-04-13 14:25:00,2017-04-13 14:25:00,2017-04-15,Women's Apparel,Golf,
93,DC-PO-6245,VND0000005,974.64,Received,2015-04-02,2015-04-06,2015-04-08,,,2015-04-02 03:33:00,2015-04-02 03:33:00,2015-04-08,Women's Apparel,Golf,
94,DC-PO-52166,VND0000005,943.55,Received,2017-01-31,2017-02-04,2017-02-02,,,2017-01-31 11:43:00,2017-01-31 11:43:00,2017-02-02,Shop By Sport,Golf,
95,DC-PO-56172,VND0000002,280.33,Received,2017-03-30,2017-04-03,2017-04-02,,,2017-03-30 23:12:00,2017-03-30 23:12:00,2017-04-02,Shop By Sport,Golf,
96,DC-PO-55829,VND0000005,1033.93,Received,2017-03-25,2017-03-29,2017-03-30,,,2017-03-25 23:02:00,2017-03-25 23:02:00,2017-03-30,Women's Apparel,Golf,
97,DC-PO-52478,VND0000005,928.32,Received,2017-02-05,2017-02-09,2017-02-09,,,2017-02-05 01:01:00,2017-02-05 01:01:00,2017-02-09,Women's Apparel,Golf,
98,DC-PO-57242,VND0000005,569.89,Received,2017-04-15,2017-04-19,2017-04-18,,,2017-04-15 14:04:00,2017-04-15 14:04:00,2017-04-18,Shop By Sport,Golf,
99,DC-PO-3137,VND0000003,745.97,Received,2015-02-15,2015-02-19,2015-02-18,,,2015-02-15 18:40:00,2015-02-15 18:40:00,2015-02-18,Women's Apparel,Golf,
100,DC-PO-60127,VND0000005,1061.75,Received,2017-05-27,2017-05-31,2017-05-30,,,2017-05-27 16:48:00,2017-05-27 16:48:00,2017-05-30,Women's Apparel,Golf,
101,DC-PO-3828,VND0000002,605.2,Received,2015-02-25,2015-03-01,2015-03-01,,,2015-02-25 20:46:00,2015-02-25 20:46:00,2015-03-01,Shop By Sport,Golf,
102,DC-PO-60386,VND0000005,574.48,Received,2017-05-31,2017-06-04,2017-06-02,,,2017-05-31 11:33:00,2017-05-31 11:33:00,2017-06-02,Women's Apparel,Golf,
103,DC-PO-973,VND0000005,561.0,Received,2015-01-15,2015-01-19,2015-01-19,,,2015-01-15 04:32:00,2015-01-15 04:32:00,2015-01-19,Shop By Sport,Golf,
104,DC-PO-57999,VND0000003,890.95,Received,2017-04-26,2017-04-30,2017-05-01,,,2017-04-26 15:16:00,2017-04-26 15:16:00,2017-05-01,Women's Apparel,Golf,
105,DC-PO-54585,VND0000003,207.5,Received,2017-03-07,2017-03-11,2017-03-13,,,2017-03-07 19:12:00,2017-03-07 19:12:00,2017-03-13,Women's Apparel,Golf,
106,DC-PO-57598,VND0000003,502.81,Received,2017-04-20,2017-04-24,2017-04-24,,,2017-04-20 18:47:00,2017-04-20 18:47:00,2017-04-24,Women's Apparel,Golf,
107,DC-PO-54274,VND0000005,493.98,Received,2017-03-03,2017-03-07,2017-03-08,,,2017-03-03 06:14:00,2017-03-03 06:14:00,2017-03-08,Women's Apparel,Golf,
108,DC-PO-60673,VND0000002,149.96,Received,2017-06-04,2017-06-08,2017-06-08,,,2017-06-04 16:06:00,2017-06-04 16:06:00,2017-06-08,Shop By Sport,Golf,
109,DC-PO-59387,VND0000002,1296.87,Received,2017-05-16,2017-05-20,2017-05-19,,,2017-05-16 21:33:00,2017-05-16 21:33:00,2017-05-19,Women's Apparel,Golf,
110,DC-PO-10007,VND0000005,1139.44,Received,2015-05-27,2015-05-31,2015-05-30,,,2015-05-27 01:32:00,2015-05-27 01:32:00,2015-05-30,Women's Apparel,Golf,
111,DC-PO-55984,VND0000001,362.0,Received,2017-03-28,2017-04-01,2017-04-02,,,2017-03-28 05:20:00,2017-03-28 05:20:00,2017-04-02,Electronics,Outdoors,
112,DC-PO-58375,VND0000005,395.96,Received,2017-05-02,2017-05-06,2017-05-08,,,2017-05-02 03:00:00,2017-05-02 03:00:00,2017-05-08,Kids' Golf Clubs,Outdoors,
113,DC-PO-56448,VND0000005,472.53,Received,2017-04-03,2017-04-07,2017-04-07,,,2017-04-03 23:53:00,2017-04-03 23:53:00,2017-04-07,Hunting & Shooting,Fan Shop,
114,DC-PO-8221,VND0000002,462.13,Received,2015-04-30,2015-05-04,2015-05-02,,,2015-04-30 23:49:00,2015-04-30 23:49:00,2015-05-02,Baseball & Softball,Fitness,
115,DC-PO-58034,VND0000005,881.93,Received,2017-04-27,2017-05-01,2017-05-02,,,2017-04-27 03:32:00,2017-04-27 03:32:00,2017-05-02,Cardio Equipment,Footwear,
116,DC-PO-2203,VND0000005,867.78,Received,2015-02-02,2015-02-06,2015-02-06,,,2015-02-02 03:27:00,2015-02-02 03:27:00,2015-02-06,Cardio Equipment,Footwear,
117,DC-PO-53069,VND0000005,807.9,Received,2017-02-13,2017-02-17,2017-02-18,,,2017-02-13 16:05:00,2017-02-13 16:05:00,2017-02-18,Cardio Equipment,Footwear,
118,DC-PO-60146,VND0000005,578.95,Received,2017-05-27,2017-05-31,2017-05-29,,,2017-05-27 23:28:00,2017-05-27 23:28:00,2017-05-29,Cardio Equipment,Footwear,
119,DC-PO-55409,VND0000005,817.87,Received,2017-03-19,2017-03-23,2017-03-24,,,2017-03-19 19:53:00,2017-03-19 19:53:00,2017-03-24,Cardio Equipment,Footwear,
120,DC-PO-8678,VND0000005,1030.79,Received,2015-05-07,2015-05-11,2015-05-11,,,2015-05-07 15:56:00,2015-05-07 15:56:00,2015-05-11,Cardio Equipment,Footwear,
121,DC-PO-7980,VND0000005,700.42,Received,2015-04-27,2015-05-01,2015-05-03,,,2015-04-27 11:23:00,2015-04-27 11:23:00,2015-05-03,Cardio Equipment,Footwear,
122,DC-PO-57185,VND0000005,1120.92,Received,2017-04-14,2017-04-18,2017-04-20,,,2017-04-14 18:06:00,2017-04-14 18:06:00,2017-04-20,Cardio Equipment,Footwear,
123,DC-PO-8636,VND0000005,751.94,Received,2015-05-07,2015-05-11,2015-05-09,,,2015-05-07 01:13:00,2015-05-07 01:13:00,2015-05-09,Cardio Equipment,Footwear,
124,DC-PO-61192,VND0000002,444.05,Received,2017-06-12,2017-06-16,2017-06-15,,,2017-06-12 05:55:00,2017-06-12 05:55:00,2017-06-15,Boxing & MMA,Footwear,
125,DC-PO-55876,VND0000005,765.18,Received,2017-03-26,2017-03-30,2017-03-28,,,2017-03-26 15:30:00,2017-03-26 15:30:00,2017-03-28,Cleats,Apparel,
126,DC-PO-53331,VND0000005,1135.88,Received,2017-02-17,2017-02-21,2017-02-19,,,2017-02-17 11:52:00,2017-02-17 11:52:00,2017-02-19,Cleats,Apparel,
127,DC-PO-51725,VND0000002,511.93,Received,2017-01-25,2017-01-29,2017-01-31,,,2017-01-25 01:13:00,2017-01-25 01:13:00,2017-01-31,Cleats,Apparel,
128,DC-PO-52562,VND0000005,1322.49,Received,2017-02-06,2017-02-10,2017-02-09,,,2017-02-06 06:27:00,2017-02-06 06:27:00,2017-02-09,Cleats,Apparel,
129,DC-PO-59754,VND0000002,811.29,Received,2017-05-22,2017-05-26,2017-05-27,,,2017-05-22 06:08:00,2017-05-22 06:08:00,2017-05-27,Cleats,Apparel,
130,DC-PO-53574,VND0000005,587.94,Received,2017-02-21,2017-02-25,2017-02-26,,,2017-02-21 01:00:00,2017-02-21 01:00:00,2017-02-26,Cleats,Apparel,
131,DC-PO-399,VND0000005,1155.57,Received,2015-01-06,2015-01-10,2015-01-11,,,2015-01-06 19:26:00,2015-01-06 19:26:00,2015-01-11,Cleats,Apparel,
132,DC-PO-51050,VND0000002,321.04,Received,2017-01-15,2017-01-17,2017-01-21,,,2017-01-15 04:44:00,2017-01-15 04:44:00,2017-01-21,Cardio Equipment,Footwear,
133,DC-PO-45680,VND0000005,807.45,Received,2016-10-28,2016-10-30,2016-11-03,,,2016-10-28 19:23:00,2016-10-28 19:23:00,2016-11-03,Men's Footwear,Apparel,
134,DC-PO-42992,VND0000002,701.93,Received,2016-09-19,2016-09-21,2016-09-22,,,2016-09-19 13:39:00,2016-09-19 13:39:00,2016-09-22,Men's Footwear,Apparel,
135,DC-PO-41304,VND0000005,806.62,Received,2016-08-25,2016-08-27,2016-08-30,,,2016-08-25 22:16:00,2016-08-25 22:16:00,2016-08-30,Men's Footwear,Apparel,
136,DC-PO-44253,VND0000003,198.49,Received,2016-10-07,2016-10-09,2016-10-11,,,2016-10-07 23:26:00,2016-10-07 23:26:00,2016-10-11,Men's Footwear,Apparel,
137,DC-PO-46098,VND0000005,979.06,Received,2016-11-03,2016-11-05,2016-11-07,,,2016-11-03 21:49:00,2016-11-03 21:49:00,2016-11-07,Camping & Hiking,Fan Shop,
138,DC-PO-71077,VND0000001,252.88,Received,2017-11-03,2017-11-05,2017-11-06,,,2017-11-03 13:05:00,2017-11-03 13:05:00,2017-11-06,Consumer Electronics,Technology,
139,DC-PO-69703,VND0000001,447.52,Received,2017-10-14,2017-10-16,2017-10-18,,,2017-10-14 11:42:00,2017-10-14 11:42:00,2017-10-18,Cameras,Technology,
140,DC-PO-71112,VND0000001,250.35,Received,2017-11-04,2017-11-06,2017-11-07,,,2017-11-04 01:21:00,2017-11-04 01:21:00,2017-11-07,Consumer Electronics,Technology,
141,DC-PO-69810,VND0000001,443.0,Received,2017-10-16,2017-10-18,2017-10-22,,,2017-10-16 01:12:00,2017-10-16 01:12:00,2017-10-22,Cameras,Technology,
142,DC-PO-71092,VND0000001,245.29,Received,2017-11-03,2017-11-05,2017-11-06,,,2017-11-03 18:20:00,2017-11-03 18:20:00,2017-11-06,Consumer Electronics,Technology,
143,DC-PO-69610,VND0000001,433.96,Received,2017-10-13,2017-10-15,2017-10-19,,,2017-10-13 03:08:00,2017-10-13 03:08:00,2017-10-19,Cameras,Technology,
144,DC-PO-71000,VND0000001,240.24,Received,2017-11-02,2017-11-04,2017-11-08,,,2017-11-02 10:06:00,2017-11-02 10:06:00,2017-11-08,Consumer Electronics,Technology,
145,DC-PO-70734,VND0000001,1417.5,Received,2017-10-29,2017-10-31,2017-11-03,,,2017-10-29 12:55:00,2017-10-29 12:55:00,2017-11-03,Computers,Technology,
146,DC-PO-69626,VND0000001,427.18,Received,2017-10-13,2017-10-15,2017-10-15,,,2017-10-13 08:44:00,2017-10-13 08:44:00,2017-10-15,Cameras,Technology,
147,DC-PO-69482,VND0000001,427.18,Received,2017-10-11,2017-10-13,2017-10-14,,,2017-10-11 06:17:00,2017-10-11 06:17:00,2017-10-14,Cameras,Technology,
148,DC-PO-70769,VND0000001,1395.0,Received,2017-10-30,2017-11-01,2017-11-04,,,2017-10-30 01:10:00,2017-10-30 01:10:00,2017-11-04,Computers,Technology,
