id,audit_id,progress,status,recorded_by,recorded_at
77,77,538334.33,In Progress,4,2026-12-20 12:49:31
78,78,78492.34,In Progress,1,2027-01-08 15:04:30
79,79,855732.41,In Progress,4,2026-10-02 10:27:57
80,80,682993.27,In Progress,5,2027-02-26 15:20:35
81,81,422523.68,In Progress,4,2026-07-29 17:19:11
82,82,22842.01,In Progress,1,2025-11-01 17:33:12
83,83,78319.27,In Progress,4,2026-04-22 12:11:45
84,84,466153.84,In Progress,3,2025-12-10 17:48:20
85,85,856563.36,In Progress,3,2027-02-05 17:54:09
86,86,251687.0,In Progress,5,2025-11-01 18:27:36
87,87,338624.56,In Progress,2,2026-02-02 15:41:48
88,88,888442.46,In Progress,2,2027-02-07 16:38:07
89,89,49681.95,In Progress,4,2027-03-18 17:17:17
90,90,172410.14,In Progress,4,2026-04-23 13:45:56
91,91,699981.12,In Progress,1,2026-08-11 12:39:59
92,92,466916.47,In Progress,2,2027-03-07 18:48:13
93,93,115476.95,In Progress,5,2026-10-05 09:13:14
94,94,210306.51,In Progress,2,2026-06-22 08:44:15
95,95,501783.52,In Progress,5,2026-04-28 17:21:24
96,96,42268.53,In Progress,5,2025-11-13 10:20:23
97,97,474497.79,In Progress,3,2026-04-11 18:35:28
98,98,569726.04,In Progress,2,2026-01-15 14:05:40
99,99,299350.84,In Progress,4,2026-09-15 12:12:08
100,100,777052.86,In Progress,3,2026-03-22 13:31:51
