id,vendor_id,month,year,compliance_score,compliant_count,expiring_count,pending_count,non_compliant_count,overdue_count,created_at
38,VND0000003,In Progress-D5,2027,73.33,11,1,2,0,1,2026-10-26 12:14:16
39,VND0000003,Active-D6,2025,60.0,9,2,2,1,1,2025-11-10 17:01:48
40,VND0000004,Pending-D6,2025,61.11,11,1,3,2,1,2026-03-30 11:12:34
41,VND0000004,Completed-D6,2025,66.67,10,3,2,0,0,2026-06-30 17:33:07
42,VND0000004,Open-D6,2025,85.71,12,1,0,0,1,2025-10-02 08:03:52
43,VND0000001,Closed-D6,2025,81.82,9,0,0,0,2,2026-12-01 15:31:23
44,VND0000004,In Progress-D6,2025,69.23,9,3,0,0,1,2026-12-05 18:36:30
45,VND0000006,Active-D7,2025,64.29,9,1,2,2,0,2026-03-25 14:04:43
46,VND0000001,Pending-D7,2025,50.0,7,1,2,2,2,2027-01-13 11:53:22
47,VND0000005,Completed-D7,2025,57.14,12,3,3,2,1,2026-09-13 18:50:06
48,VND0000001,Open-D7,2025,46.15,6,1,3,1,2,2027-02-10 17:15:34
49,VND0000006,Closed-D7,2025,50.0,5,1,2,0,2,2026-10-15 14:55:39
50,VND0000006,In Progress-D7,2025,40.0,4,1,3,2,0,2026-07-16 18:57:24
51,VND0000002,Active-D8,2026,78.57,11,0,1,0,2,2026-12-23 08:19:41
52,VND0000002,Pending-D8,2026,63.64,7,0,1,2,1,2026-08-13 15:01:45
53,VND0000006,Completed-D8,2026,25.0,2,3,1,1,1,2025-10-10 12:50:30
54,VND0000003,Open-D8,2026,53.85,7,0,3,2,1,2026-08-23 12:50:47
55,VND0000006,Closed-D8,2026,71.43,5,1,1,0,0,2025-09-30 09:45:22
56,VND0000003,In Progress-D8,2026,50.0,2,0,1,0,1,2026-02-03 09:09:40
57,VND0000002,Active-D9,2026,54.55,6,1,3,1,0,2027-03-23 08:49:03
58,VND0000003,Pending-D9,2026,54.55,6,3,1,1,0,2027-01-06 18:13:53
59,VND0000005,Completed-D9,2026,46.67,7,3,3,0,2,2026-06-15 15:26:04
60,VND0000003,Open-D9,2026,30.0,3,3,3,1,0,2026-05-12 14:16:25
61,VND0000003,Closed-D9,2026,25.0,3,3,2,2,2,2026-09-29 09:13:26
62,VND0000004,In Progress-D9,2026,78.57,11,1,2,0,0,2026-06-08 18:22:41
63,VND0000006,Active-D10,2027,60.0,9,0,2,2,2,2027-01-23 15:22:03
64,VND0000005,Pending-D10,2027,69.23,9,1,2,1,0,2026-12-31 12:08:16
65,VND0000002,Completed-D10,2027,68.75,11,3,1,0,1,2026-10-25 16:37:17
66,VND0000001,Open-D10,2027,60.0,9,3,2,0,1,2026-10-26 13:56:30
67,VND0000001,Closed-D10,2027,62.5,10,2,1,2,1,2026-01-12 09:31:15
68,VND0000003,In Progress-D10,2027,76.92,10,1,0,2,0,2026-09-24 12:53:57
69,VND0000003,Active-D11,2027,71.43,10,0,2,2,0,2027-03-26 16:08:09
70,VND0000001,Pending-D11,2027,80.0,8,0,0,0,2,2026-03-28 17:24:27
71,VND0000004,Completed-D11,2027,58.33,7,2,2,0,1,2027-02-19 10:36:18
72,VND0000004,Open-D11,2027,44.44,4,3,0,2,0,2025-10-12 16:38:17
73,VND0000002,Closed-D11,2027,70.59,12,1,1,1,2,2027-02-05 10:43:05
74,VND0000002,In Progress-D11,2027,44.44,4,0,1,2,2,2026-05-21 15:49:21
75,VND0000004,Active-D12,2025,50.0,3,1,0,1,1,2027-02-04 12:12:28
76,VND0000001,Pending-D12,2025,66.67,12,1,3,0,2,2026-08-25 08:04:14
77,VND0000004,Completed-D12,2025,84.62,11,0,0,0,2,2025-12-07 08:27:48
78,VND0000006,Open-D12,2025,75.0,12,3,0,1,0,2027-03-29 16:05:43
79,VND0000003,Closed-D12,2025,66.67,2,0,0,1,0,2027-01-02 15:28:19
80,VND0000003,In Progress-D12,2025,30.0,3,2,3,1,1,2026-07-15 14:23:04
81,VND0000003,Active-D13,2025,55.56,5,3,0,1,0,2027-03-09 15:14:43
82,VND0000006,Pending-D13,2025,84.62,11,0,2,0,0,2025-12-30 12:17:38
83,VND0000006,Completed-D13,2025,42.86,3,1,2,1,0,2026-04-29 12:47:47
84,VND0000005,Open-D13,2025,81.82,9,1,0,1,0,2026-03-14 17:08:01
85,VND0000003,Closed-D13,2025,28.57,4,3,3,2,2,2026-09-09 17:31:23
86,VND0000005,In Progress-D13,2025,58.82,10,2,3,1,1,2025-12-15 11:32:13
87,VND0000003,Active-D14,2026,61.54,8,2,2,0,1,2026-09-26 16:25:34
88,VND0000006,Pending-D14,2026,50.0,6,3,1,1,1,2026-08-11 18:49:46
89,VND0000003,Completed-D14,2026,57.14,4,2,1,0,0,2026-06-03 17:48:11
90,VND0000003,Open-D14,2026,60.0,9,3,0,1,2,2026-03-23 12:25:41
91,VND0000002,Closed-D14,2026,60.0,12,3,3,2,0,2025-12-07 16:28:35
92,VND0000001,In Progress-D14,2026,64.29,9,0,3,2,0,2026-10-15 10:16:15
93,VND0000006,Active-D15,2026,66.67,10,3,2,0,0,2026-08-21 09:16:37
94,VND0000003,Pending-D15,2026,66.67,10,3,0,2,0,2026-07-02 10:45:58
95,VND0000006,Completed-D15,2026,22.22,2,3,2,1,1,2027-03-07 15:46:54
96,VND0000004,Open-D15,2026,46.15,6,1,3,1,2,2026-06-06 18:15:33
97,VND0000003,Closed-D15,2026,45.45,5,2,3,0,1,2026-09-02 11:22:50
98,VND0000004,In Progress-D15,2026,36.36,4,1,2,2,2,2026-10-21 10:38:06
99,VND0000005,Active-D16,2027,75.0,12,2,2,0,0,2026-02-16 16:20:26
100,VND0000002,Pending-D16,2027,64.29,9,2,1,2,0,2026-03-09 17:05:28
101,VND0000006,Completed-D16,2027,33.33,4,2,3,2,1,2026-03-07 10:21:49
102,VND0000001,Open-D16,2027,63.64,7,3,0,1,0,2026-04-22 11:29:05
