id,snapshot_date,warehouse_id,category,total_items,total_quantity,inventory_value,created_at
62,2017-09-09,3.0,Electronics,11,103,3890.97005271,2026-09-14 12:30:26.648871
63,2017-09-09,3.0,Fishing,1,168,67196.64184800001,2026-09-14 12:30:26.648872
64,2017-09-09,3.0,Fitness Accessories,1,5,174.9500084,2026-09-14 12:30:26.648874
65,2017-09-09,3.0,Girls' Apparel,4,61,2459.84002688,2026-09-14 12:30:26.648875
66,2017-09-09,3.0,Golf Apparel,1,6,119.93999862000001,2026-09-14 12:30:26.648877
67,2017-09-09,3.0,Golf Balls,5,43,779.56999011,2026-09-14 12:30:26.648879
68,2017-09-09,3.0,Golf Gloves,3,17,424.829999912,2026-09-14 12:30:26.648880
69,2017-09-09,3.0,Golf Shoes,1,21,1365.0,2026-09-14 12:30:26.648882
70,2017-09-09,3.0,Hockey,2,30,696.0,2026-09-14 12:30:26.648883
71,2017-09-09,3.0,Hunting & Shooting,1,13,389.86999701,2026-09-14 12:30:26.648885
72,2017-09-09,3.0,Indoor/Outdoor Games,1,551,27538.979746540004,2026-09-14 12:30:26.648886
73,2017-09-09,3.0,Lacrosse,1,5,124.94999885,2026-09-14 12:30:26.648888
74,2017-09-09,3.0,Men's Footwear,1,209,27167.911149500007,2026-09-14 12:30:26.648889
75,2017-09-09,3.0,Shop By Sport,2,363,14336.550579599996,2026-09-14 12:30:26.648891
76,2017-09-09,3.0,Tennis & Racquet,1,11,494.8900184799999,2026-09-14 12:30:26.648892
77,2017-09-09,3.0,Trade-In,3,15,257.84999655,2026-09-14 12:30:26.648894
78,2017-09-09,3.0,Water Sports,1,147,29398.530808500003,2026-09-14 12:30:26.648895
79,2017-09-09,3.0,Women's Apparel,1,653,32650.0,2026-09-14 12:30:26.648897
80,2017-09-09,4.0,Accessories,6,821,20516.78981117,2026-09-14 12:30:26.648898
81,2017-09-09,4.0,As Seen on TV!,1,53,5299.469886580001,2026-09-14 12:30:26.648900
82,2017-09-09,4.0,Baseball & Softball,3,290,15722.100548320002,2026-09-14 12:30:26.648901
83,2017-09-09,4.0,Boxing & MMA,3,206,13980.260009399999,2026-09-14 12:30:26.648903
84,2017-09-09,4.0,Camping & Hiking,1,2323,696853.5655530002,2026-09-14 12:30:26.648905
85,2017-09-09,4.0,Cardio Equipment,2,6174,607819.60707868,2026-09-14 12:30:26.648906
86,2017-09-09,4.0,Cleats,1,12164,729718.3804355201,2026-09-14 12:30:26.648908
87,2017-09-09,4.0,Electronics,11,1458,58194.4210284,2026-09-14 12:30:26.648909
88,2017-09-09,4.0,Fishing,1,2822,1128743.5910420003,2026-09-14 12:30:26.648911
89,2017-09-09,4.0,Fitness Accessories,1,121,4233.79020328,2026-09-14 12:30:26.648912
90,2017-09-09,4.0,Girls' Apparel,4,576,24223.51025032,2026-09-14 12:30:26.648914
91,2017-09-09,4.0,Golf Apparel,3,152,6078.48001721,2026-09-14 12:30:26.648915
92,2017-09-09,4.0,Golf Bags & Carts,1,14,2379.860077,2026-09-14 12:30:26.648917
93,2017-09-09,4.0,Golf Balls,5,701,12343.989838770001,2026-09-14 12:30:26.648918
94,2017-09-09,4.0,Golf Gloves,6,442,18490.58025182,2026-09-14 12:30:26.648920
95,2017-09-09,4.0,Golf Shoes,4,275,20668.0,2026-09-14 12:30:26.648921
96,2017-09-09,4.0,Hockey,2,253,5959.0,2026-09-14 12:30:26.648923
97,2017-09-09,4.0,Hunting & Shooting,3,221,10432.150020480003,2026-09-14 12:30:26.648924
98,2017-09-09,4.0,Indoor/Outdoor Games,1,9754,487504.91551316006,2026-09-14 12:30:26.648926
99,2017-09-09,4.0,Kids' Golf Clubs,5,127,14883.30982146,2026-09-14 12:30:26.648927
100,2017-09-09,4.0,Lacrosse,2,245,10697.54982714,2026-09-14 12:30:26.648929
101,2017-09-09,4.0,Men's Footwear,1,3620,470563.8199100002,2026-09-14 12:30:26.648930
102,2017-09-09,4.0,Men's Golf Clubs,4,95,10669.05003418,2026-09-14 12:30:26.648932
103,2017-09-09,4.0,Shop By Sport,3,5563,223655.58919985994,2026-09-14 12:30:26.648933
104,2017-09-09,4.0,Soccer,2,82,7189.179825079999,2026-09-14 12:30:26.648935
105,2017-09-09,4.0,Strength Training,1,9,1701.0,2026-09-14 12:30:26.648937
106,2017-09-09,4.0,Tennis & Racquet,1,134,6028.660225119999,2026-09-14 12:30:26.648938
107,2017-09-09,4.0,Trade-In,4,409,11417.91000334,2026-09-14 12:30:26.648939
108,2017-09-09,4.0,Water Sports,1,2571,514174.3041405,2026-09-14 12:30:26.648941
109,2017-09-09,4.0,Women's Apparel,1,10342,517100.0,2026-09-14 12:30:26.648942
110,2017-09-09,4.0,Women's Golf Clubs,3,74,8469.259956240001,2026-09-14 12:30:26.648944
111,2017-09-09,5.0,Accessories,5,34,849.65999218,2026-09-14 12:30:26.648945
112,2017-09-09,5.0,Boxing & MMA,1,7,384.79000854000003,2026-09-14 12:30:26.648947
113,2017-09-09,5.0,Camping & Hiking,1,39,11699.220428999997,2026-09-14 12:30:26.648948
114,2017-09-09,5.0,Cardio Equipment,2,102,9919.019790280001,2026-09-14 12:30:26.648950
115,2017-09-09,5.0,Cleats,1,252,15117.480423359999,2026-09-14 12:30:26.648951
116,2017-09-09,5.0,Electronics,8,34,1423.66002656,2026-09-14 12:30:26.648953
117,2017-09-09,5.0,Fishing,1,64,25598.720704000003,2026-09-14 12:30:26.648954
118,2017-09-09,5.0,Girls' Apparel,4,16,504.97000504,2026-09-14 12:30:26.648956
119,2017-09-09,5.0,Golf Apparel,1,4,79.95999908,2026-09-14 12:30:26.648958
120,2017-09-09,5.0,Golf Balls,1,2,29.97999954,2026-09-14 12:30:26.648959
121,2017-09-09,5.0,Golf Gloves,3,14,394.860012065,2026-09-14 12:30:26.648960
122,2017-09-09,5.0,Hunting & Shooting,1,14,419.85999678,2026-09-14 12:30:26.648962
123,2017-09-09,5.0,Indoor/Outdoor Games,1,201,10045.97990754,2026-09-14 12:30:26.648963
124,2017-09-09,5.0,Lacrosse,1,5,124.94999885,2026-09-14 12:30:26.648965
125,2017-09-09,5.0,Men's Footwear,1,86,11179.140473000001,2026-09-14 12:30:26.648966
126,2017-09-09,5.0,Shop By Sport,2,92,3599.16014112,2026-09-14 12:30:26.648968
127,2017-09-09,5.0,Tennis & Racquet,1,5,224.9500084,2026-09-14 12:30:26.648970
128,2017-09-09,5.0,Trade-In,1,2,43.97999954,2026-09-14 12:30:26.648971
129,2017-09-09,5.0,Water Sports,1,41,8199.5902255,2026-09-14 12:30:26.648973
130,2017-09-09,5.0,Women's Apparel,1,200,10000.0,2026-09-14 12:30:26.648974
131,2017-09-09,6.0,Accessories,6,66,1649.3399848200002,2026-09-14 12:30:26.648976
132,2017-09-09,6.0,Baseball & Softball,2,21,1109.79003528,2026-09-14 12:30:26.648977
133,2017-09-09,6.0,Boxing & MMA,1,11,604.67001342,2026-09-14 12:30:26.648979
134,2017-09-09,6.0,Camping & Hiking,1,143,42897.141573,2026-09-14 12:30:26.648980
135,2017-09-09,6.0,Cardio Equipment,2,512,50005.0489407,2026-09-14 12:30:26.648982
136,2017-09-09,6.0,Cleats,1,833,49971.67139943999,2026-09-14 12:30:26.648983
137,2017-09-09,6.0,Electronics,9,108,4494.920084030001,2026-09-14 12:30:26.648984
138,2017-09-09,6.0,Fishing,1,198,79196.042178,2026-09-14 12:30:26.648986
139,2017-09-09,6.0,Fitness Accessories,1,4,139.96000672,2026-09-14 12:30:26.648988
140,2017-09-09,6.0,Girls' Apparel,2,13,375.0,2026-09-14 12:30:26.648989
141,2017-09-09,6.0,Golf Apparel,1,11,219.88999747000003,2026-09-14 12:30:26.648991
142,2017-09-09,6.0,Golf Balls,4,53,987.4699878100001,2026-09-14 12:30:26.648992
143,2017-09-09,6.0,Golf Gloves,3,18,389.819999686,2026-09-14 12:30:26.648994
144,2017-09-09,6.0,Golf Shoes,1,6,390.0,2026-09-14 12:30:26.648995
145,2017-09-09,6.0,Hockey,2,13,298.0,2026-09-14 12:30:26.648997
146,2017-09-09,6.0,Hunting & Shooting,1,14,419.85999678,2026-09-14 12:30:26.648998
147,2017-09-09,6.0,Indoor/Outdoor Games,1,647,32337.059702380004,2026-09-14 12:30:26.649000
148,2017-09-09,6.0,Lacrosse,1,4,99.95999908,2026-09-14 12:30:26.649001
149,2017-09-09,6.0,Men's Footwear,1,247,32107.531358500008,2026-09-14 12:30:26.649003
150,2017-09-09,6.0,Shop By Sport,2,328,13066.770542639995,2026-09-14 12:30:26.649004
151,2017-09-09,6.0,Tennis & Racquet,1,5,224.9500084,2026-09-14 12:30:26.649006
152,2017-09-09,6.0,Trade-In,3,24,401.75999448000005,2026-09-14 12:30:26.649007
153,2017-09-09,6.0,Water Sports,1,176,35198.240968000006,2026-09-14 12:30:26.649009
154,2017-09-09,6.0,Women's Apparel,1,593,29650.0,2026-09-14 12:30:26.649010
155,2017-09-09,7.0,Accessories,6,237,5922.629945490001,2026-09-14 12:30:26.649011
156,2017-09-09,7.0,Baseball & Softball,2,96,4759.0401612800015,2026-09-14 12:30:26.649013
157,2017-09-09,7.0,Boxing & MMA,1,57,3133.2900695399994,2026-09-14 12:30:26.649115
158,2017-09-09,7.0,Camping & Hiking,1,568,170388.64624800003,2026-09-14 12:30:26.649117
159,2017-09-09,7.0,Cardio Equipment,2,1512,148525.25684564,2026-09-14 12:30:26.649119
160,2017-09-09,7.0,Cleats,1,2834,170011.66476112,2026-09-14 12:30:26.649120
161,2017-09-09,7.0,Electronics,11,434,17103.660261170004,2026-09-14 12:30:26.649122
162,2017-09-09,7.0,Fishing,1,706,282385.887766,2026-09-14 12:30:26.649123
163,2017-09-09,7.0,Fitness Accessories,1,30,1049.7000504,2026-09-14 12:30:26.649125
164,2017-09-09,7.0,Girls' Apparel,4,164,6284.8000336,2026-09-14 12:30:26.649127
165,2017-09-09,7.0,Golf Apparel,1,66,1319.3399848200002,2026-09-14 12:30:26.649128
166,2017-09-09,7.0,Golf Balls,5,161,2805.38996297,2026-09-14 12:30:26.649130
167,2017-09-09,7.0,Golf Gloves,3,101,2418.990030285,2026-09-14 12:30:26.649131
168,2017-09-09,7.0,Golf Shoes,1,67,4355.0,2026-09-14 12:30:26.649133
169,2017-09-09,7.0,Hockey,2,75,1770.0,2026-09-14 12:30:26.649134
170,2017-09-09,7.0,Hunting & Shooting,1,60,1799.3999862,2026-09-14 12:30:26.649136
171,2017-09-09,7.0,Indoor/Outdoor Games,1,2237,111805.25897098001,2026-09-14 12:30:26.649137
172,2017-09-09,7.0,Lacrosse,1,38,949.6199912600001,2026-09-14 12:30:26.649139
173,2017-09-09,7.0,Men's Footwear,1,896,116471.04492800003,2026-09-14 12:30:26.649140
174,2017-09-09,7.0,Shop By Sport,2,1422,56336.312299919984,2026-09-14 12:30:26.649142
175,2017-09-09,7.0,Tennis & Racquet,1,37,1664.6300621599999,2026-09-14 12:30:26.649143
176,2017-09-09,7.0,Trade-In,3,107,2058.92997539,2026-09-14 12:30:26.649145
177,2017-09-09,7.0,Water Sports,1,651,130193.49358050001,2026-09-14 12:30:26.649146
178,2017-09-09,7.0,Women's Apparel,1,2552,127600.0,2026-09-14 12:30:26.649148
179,2017-09-09,8.0,Accessories,6,190,4748.0999563000005,2026-09-14 12:30:26.649149
180,2017-09-09,8.0,Baby,1,37,2185.96006771,2026-09-14 12:30:26.649151
181,2017-09-09,8.0,Baseball & Softball,2,66,2934.3401108800003,2026-09-14 12:30:26.649152
182,2017-09-09,8.0,Books,1,20,621.5999983999999,2026-09-14 12:30:26.649154
183,2017-09-09,8.0,Boxing & MMA,1,46,2528.6200561200003,2026-09-14 12:30:26.649155
184,2017-09-09,8.0,CDs,1,35,395.14999859999995,2026-09-14 12:30:26.649157
185,2017-09-09,8.0,Camping & Hiking,1,443,132891.144873,2026-09-14 12:30:26.649158
186,2017-09-09,8.0,Cardio Equipment,2,1299,127367.36729718001,2026-09-14 12:30:26.649160
187,2017-09-09,8.0,Children's Clothing,1,22,7856.200134199997,2026-09-14 12:30:26.649161
188,2017-09-09,8.0,Cleats,1,2418,145055.82406223996,2026-09-14 12:30:26.649163
189,2017-09-09,8.0,Computers,1,32,48000.0,2026-09-14 12:30:26.649164
190,2017-09-09,8.0,Consumer Electronics,1,19,4804.7200931,2026-09-14 12:30:26.649166
191,2017-09-09,8.0,Crafts,1,63,29073.240693,2026-09-14 12:30:26.649167
192,2017-09-09,8.0,DVDs,1,58,9534.0402842,2026-09-14 12:30:26.649169
193,2017-09-09,8.0,Electronics,11,385,14602.150192219999,2026-09-14 12:30:26.649170
194,2017-09-09,8.0,Fishing,1,625,249987.50687500002,2026-09-14 12:30:26.649172
195,2017-09-09,8.0,Fitness Accessories,1,40,1399.6000672,2026-09-14 12:30:26.649173
196,2017-09-09,8.0,Garden,1,153,81484.7426163,2026-09-14 12:30:26.649175
197,2017-09-09,8.0,Girls' Apparel,4,157,6744.73004536,2026-09-14 12:30:26.649176
198,2017-09-09,8.0,Golf Apparel,1,30,599.6999931000001,2026-09-14 12:30:26.649178
199,2017-09-09,8.0,Golf Balls,5,222,3919.7799489399995,2026-09-14 12:30:26.649179
200,2017-09-09,8.0,Golf Gloves,3,151,3473.4900436410003,2026-09-14 12:30:26.649181
201,2017-09-09,8.0,Golf Shoes,1,34,2210.0,2026-09-14 12:30:26.649182
202,2017-09-09,8.0,Health and Beauty,1,83,24322.320705500006,2026-09-14 12:30:26.649184
203,2017-09-09,8.0,Hockey,2,46,1075.0,2026-09-14 12:30:26.649185
204,2017-09-09,8.0,Hunting & Shooting,1,50,1499.4999885,2026-09-14 12:30:26.649187
205,2017-09-09,8.0,Indoor/Outdoor Games,1,2126,106257.47902204002,2026-09-14 12:30:26.649188
206,2017-09-09,8.0,Lacrosse,1,41,1024.58999057,2026-09-14 12:30:26.649190
207,2017-09-09,8.0,Men's Clothing,1,51,10753.350311099999,2026-09-14 12:30:26.649191
208,2017-09-09,8.0,Men's Footwear,1,803,104381.97441650003,2026-09-14 12:30:26.649193
209,2017-09-09,8.0,Music,1,102,26586.299377799995,2026-09-14 12:30:26.649194
210,2017-09-09,8.0,Pet Supplies,1,130,10972.0001989,2026-09-14 12:30:26.649196
211,2017-09-09,8.0,Shop By Sport,2,1144,45318.991849679995,2026-09-14 12:30:26.649197
212,2017-09-09,8.0,Sporting Goods,1,81,26547.75,2026-09-14 12:30:26.649199
213,2017-09-09,8.0,Tennis & Racquet,1,33,1484.6700554399997,2026-09-14 12:30:26.649200
214,2017-09-09,8.0,Toys,1,115,1327.0999953999997,2026-09-14 12:30:26.649202
215,2017-09-09,8.0,Trade-In,3,131,2298.6899698700004,2026-09-14 12:30:26.649203
216,2017-09-09,8.0,Video Games,1,205,8148.75,2026-09-14 12:30:26.649205
217,2017-09-09,8.0,Water Sports,1,534,106794.662937,2026-09-14 12:30:26.649206
218,2017-09-09,8.0,Women's Apparel,1,2029,101450.0,2026-09-14 12:30:26.649208
219,2017-09-09,8.0,Women's Clothing,1,110,23740.200803,2026-09-14 12:30:26.649209
220,2017-09-09,9.0,Accessories,6,164,4098.35996228,2026-09-14 12:30:26.649211
221,2017-09-09,9.0,Baseball & Softball,2,46,2209.5400772800003,2026-09-14 12:30:26.649212
222,2017-09-09,9.0,Boxing & MMA,1,41,2253.77005002,2026-09-14 12:30:26.649214
223,2017-09-09,9.0,Camping & Hiking,1,318,95393.64349800002,2026-09-14 12:30:26.649215
224,2017-09-09,9.0,Cardio Equipment,2,870,84821.60820454,2026-09-14 12:30:26.649217
225,2017-09-09,9.0,Cleats,1,1739,104322.61292151999,2026-09-14 12:30:26.649218
226,2017-09-09,9.0,Electronics,11,301,11746.990186709998,2026-09-14 12:30:26.649220
227,2017-09-09,9.0,Fishing,1,379,151592.424169,2026-09-14 12:30:26.649221
228,2017-09-09,9.0,Fitness Accessories,1,17,594.83002856,2026-09-14 12:30:26.649223
229,2017-09-09,9.0,Girls' Apparel,4,91,4169.74004368,2026-09-14 12:30:26.649224
230,2017-09-09,9.0,Golf Apparel,1,17,339.82999609,2026-09-14 12:30:26.649226
231,2017-09-09,9.0,Golf Balls,5,134,2355.65996918,2026-09-14 12:30:26.649227
232,2017-09-09,9.0,Golf Gloves,3,59,1489.4100265599998,2026-09-14 12:30:26.649229
233,2017-09-09,9.0,Golf Shoes,1,7,455.0,2026-09-14 12:30:26.649230
234,2017-09-09,9.0,Hockey,2,37,850.0,2026-09-14 12:30:26.649232
235,2017-09-09,9.0,Hunting & Shooting,1,23,689.76999471,2026-09-14 12:30:26.649233
236,2017-09-09,9.0,Indoor/Outdoor Games,1,1467,73320.65932518001,2026-09-14 12:30:26.649235
237,2017-09-09,9.0,Lacrosse,1,24,599.75999448,2026-09-14 12:30:26.649236
238,2017-09-09,9.0,Men's Footwear,1,504,65514.96277200001,2026-09-14 12:30:26.649238
239,2017-09-09,9.0,Shop By Sport,2,712,28323.031170959992,2026-09-14 12:30:26.649239
240,2017-09-09,9.0,Tennis & Racquet,1,23,1034.77003864,2026-09-14 12:30:26.649241
241,2017-09-09,9.0,Trade-In,3,59,1093.4099864300001,2026-09-14 12:30:26.649242
242,2017-09-09,9.0,Water Sports,1,322,64396.78177100001,2026-09-14 12:30:26.649244
243,2017-09-09,9.0,Women's Apparel,1,1452,72600.0,2026-09-14 12:30:26.649245
244,2017-09-09,10.0,Accessories,6,140,3498.5999678000003,2026-09-14 12:30:26.649247
245,2017-09-09,10.0,Baseball & Softball,2,49,2589.51008232,2026-09-14 12:30:26.649248
246,2017-09-09,10.0,Boxing & MMA,1,33,1814.0100402599999,2026-09-14 12:30:26.649250
247,2017-09-09,10.0,Camping & Hiking,1,233,69895.34256300001,2026-09-14 12:30:26.649251
248,2017-09-09,10.0,Cardio Equipment,2,697,68433.20854694,2026-09-14 12:30:26.649253
249,2017-09-09,10.0,Cleats,1,1468,88065.32246624,2026-09-14 12:30:26.649254
250,2017-09-09,10.0,Electronics,11,250,9896.500162149998,2026-09-14 12:30:26.649256
251,2017-09-09,10.0,Fishing,1,319,127593.62350900001,2026-09-14 12:30:26.649257
252,2017-09-09,10.0,Fitness Accessories,1,22,769.78003696,2026-09-14 12:30:26.649259
253,2017-09-09,10.0,Girls' Apparel,4,46,2069.88002016,2026-09-14 12:30:26.649260
254,2017-09-09,10.0,Golf Apparel,1,31,619.6899928700001,2026-09-14 12:30:26.649262
255,2017-09-09,10.0,Golf Balls,5,111,1976.88997447,2026-09-14 12:30:26.649263
256,2017-09-09,10.0,Golf Gloves,3,43,984.5700111369999,2026-09-14 12:30:26.649265
257,2017-09-09,10.0,Golf Shoes,1,25,1625.0,2026-09-14 12:30:26.649266
258,2017-09-09,10.0,Hockey,2,33,786.0,2026-09-14 12:30:26.649268
259,2017-09-09,10.0,Hunting & Shooting,1,17,509.82999609000007,2026-09-14 12:30:26.649269
260,2017-09-09,10.0,Indoor/Outdoor Games,1,1131,56527.379479740004,2026-09-14 12:30:26.649271
261,2017-09-09,10.0,Lacrosse,1,29,724.7099933300001,2026-09-14 12:30:26.649272
262,2017-09-09,10.0,Men's Footwear,1,429,55765.712359500016,2026-09-14 12:30:26.649274
263,2017-09-09,10.0,Shop By Sport,2,560,22184.610905519992,2026-09-14 12:30:26.649275
264,2017-09-09,10.0,Tennis & Racquet,1,30,1349.7000504,2026-09-14 12:30:26.649277
265,2017-09-09,10.0,Trade-In,3,58,975.41998666,2026-09-14 12:30:26.649278
266,2017-09-09,10.0,Water Sports,1,307,61396.93168850001,2026-09-14 12:30:26.649280
267,2017-09-09,10.0,Women's Apparel,1,1094,54700.0,2026-09-14 12:30:26.649281
268,2017-09-09,11.0,Accessories,6,173,4323.26996021,2026-09-14 12:30:26.649283
269,2017-09-09,11.0,As Seen on TV!,1,39,3899.60991654,2026-09-14 12:30:26.649284
270,2017-09-09,11.0,Baby,1,19,1122.52003477,2026-09-14 12:30:26.649286
271,2017-09-09,11.0,Baseball & Softball,3,69,4014.31012356,2026-09-14 12:30:26.649287
272,2017-09-09,11.0,Basketball,3,10,3699.899902,2026-09-14 12:30:26.649289
273,2017-09-09,11.0,Books,1,52,1616.1599958400004,2026-09-14 12:30:26.649290
274,2017-09-09,11.0,Boxing & MMA,3,94,7628.49989292,2026-09-14 12:30:26.649292
275,2017-09-09,11.0,CDs,1,31,349.9899987599999,2026-09-14 12:30:26.649293
276,2017-09-09,11.0,Cameras,1,137,61929.4811645,2026-09-14 12:30:26.649295
277,2017-09-09,11.0,Camping & Hiking,1,790,236984.20869000006,2026-09-14 12:30:26.649296
278,2017-09-09,11.0,Cardio Equipment,2,2064,204769.58563226002,2026-09-14 12:30:26.649298
279,2017-09-09,11.0,Children's Clothing,1,100,35710.00061,2026-09-14 12:30:26.649299
280,2017-09-09,11.0,Cleats,2,3963,238940.37660043995,2026-09-14 12:30:26.649301
281,2017-09-09,11.0,Computers,1,74,111000.0,2026-09-14 12:30:26.649302
282,2017-09-09,11.0,Consumer Electronics,1,56,14161.280274399998,2026-09-14 12:30:26.649304
283,2017-09-09,11.0,Crafts,1,61,28150.280671,2026-09-14 12:30:26.649305
284,2017-09-09,11.0,DVDs,1,59,9698.4202891,2026-09-14 12:30:26.649307
285,2017-09-09,11.0,Electronics,11,338,13060.620201119998,2026-09-14 12:30:26.649308
286,2017-09-09,11.0,Fishing,1,919,367581.630109,2026-09-14 12:30:26.649310
287,2017-09-09,11.0,Fitness Accessories,2,45,3269.5500411599996,2026-09-14 12:30:26.649311
288,2017-09-09,11.0,Girls' Apparel,4,162,6329.6200638400005,2026-09-14 12:30:26.649313
289,2017-09-09,11.0,Golf Apparel,3,45,3429.55004357,2026-09-14 12:30:26.649314
290,2017-09-09,11.0,Golf Bags & Carts,1,4,679.960022,2026-09-14 12:30:26.649315
