id,item_id,warehouse_id,movement_type,quantity,movement_date,reference_number,notes,created_at
187012,164,,Issue,4,2016-12-21 00:45:00,DC-ORD-48915,DataCo customer order shipment,2026-09-14 13:12:02.058611
187397,121,,Issue,2,2016-10-11 05:45:00,DC-ORD-44134,DataCo customer order shipment,2026-09-14 13:12:02.295648
187787,136,,Issue,1,2016-10-13 19:14:00,DC-ORD-44378,DataCo customer order shipment,2026-09-14 13:12:02.522053
187788,136,,Issue,1,2016-10-24 05:54:00,DC-ORD-45162,DataCo customer order shipment,2026-09-14 13:12:02.522420
187791,123,,Issue,1,2016-10-24 05:54:00,DC-ORD-45162,DataCo customer order shipment,2026-09-14 13:12:02.523524
187796,130,,Issue,1,2017-01-16 11:23:00,DC-ORD-50932,DataCo customer order shipment,2026-09-14 13:12:02.525285
187867,122,,Issue,3,2016-10-24 05:54:00,DC-ORD-45162,DataCo customer order shipment,2026-09-14 13:12:02.556279
187928,126,,Issue,5,2017-01-16 11:23:00,DC-ORD-50932,DataCo customer order shipment,2026-09-14 13:12:02.584801
188334,126,,Issue,1,2016-12-31 00:44:00,DC-ORD-49600,DataCo customer order shipment,2026-09-14 13:12:02.813904
188488,123,,Issue,1,2016-09-06 08:57:00,DC-ORD-41951,DataCo customer order shipment,2026-09-14 13:12:02.936429
188493,123,,Issue,1,2016-09-01 01:04:00,DC-ORD-41586,DataCo customer order shipment,2026-09-14 13:12:02.938794
188597,137,,Issue,1,2016-10-14 07:09:00,DC-ORD-44275,DataCo customer order shipment,2026-09-14 13:12:03.156674
189298,126,,Issue,5,2016-12-21 04:57:00,DC-ORD-49201,DataCo customer order shipment,2026-09-14 13:12:03.712399
189312,121,,Issue,5,2016-10-12 06:27:00,DC-ORD-44273,DataCo customer order shipment,2026-09-14 13:12:03.722777
189313,121,,Issue,5,2016-11-06 16:13:00,DC-ORD-46082,DataCo customer order shipment,2026-09-14 13:12:03.723689
189322,121,,Issue,5,2017-01-12 21:02:00,DC-ORD-50480,DataCo customer order shipment,2026-09-14 13:12:03.729146
189328,121,,Issue,5,2016-12-21 04:57:00,DC-ORD-49201,DataCo customer order shipment,2026-09-14 13:12:03.731555
189347,121,,Issue,5,2016-10-10 19:46:00,DC-ORD-44311,DataCo customer order shipment,2026-09-14 13:12:03.742694
189353,121,,Issue,5,2017-01-11 05:16:00,DC-ORD-50572,DataCo customer order shipment,2026-09-14 13:12:03.745002
189366,122,,Issue,5,2016-12-14 11:37:00,DC-ORD-48672,DataCo customer order shipment,2026-09-14 13:12:03.752886
189404,123,,Issue,5,2016-12-03 04:16:00,DC-ORD-47966,DataCo customer order shipment,2026-09-14 13:12:03.769579
189439,126,,Issue,5,2016-12-21 01:26:00,DC-ORD-49191,DataCo customer order shipment,2026-09-14 13:12:03.787580
189691,127,,Issue,3,2016-12-19 09:09:00,DC-ORD-49076,DataCo customer order shipment,2026-09-14 13:12:03.910597
190112,160,,Issue,4,2016-09-23 15:45:00,DC-ORD-42998,DataCo customer order shipment,2026-09-14 13:12:04.129205
190449,121,,Issue,5,2016-12-21 00:45:00,DC-ORD-48915,DataCo customer order shipment,2026-09-14 13:12:04.293206
190455,122,,Issue,5,2016-12-29 00:12:00,DC-ORD-49667,DataCo customer order shipment,2026-09-14 13:12:04.295378
190675,136,,Issue,1,2016-09-06 07:54:00,DC-ORD-41948,DataCo customer order shipment,2026-09-14 13:12:04.647410
190679,137,,Issue,1,2016-12-31 18:36:00,DC-ORD-49925,DataCo customer order shipment,2026-09-14 13:12:04.650911
190730,121,,Issue,2,2016-09-06 07:54:00,DC-ORD-41948,DataCo customer order shipment,2026-09-14 13:12:04.676581
191170,121,,Issue,1,2016-09-07 07:22:00,DC-ORD-41878,DataCo customer order shipment,2026-09-14 13:12:04.883247
191175,123,,Issue,1,2016-09-27 03:29:00,DC-ORD-43100,DataCo customer order shipment,2026-09-14 13:12:04.886191
191177,137,,Issue,1,2017-01-19 16:07:00,DC-ORD-51014,DataCo customer order shipment,2026-09-14 13:12:04.886969
191178,137,,Issue,1,2016-09-07 07:22:00,DC-ORD-41878,DataCo customer order shipment,2026-09-14 13:12:04.887366
191235,122,,Issue,2,2016-09-07 07:22:00,DC-ORD-41878,DataCo customer order shipment,2026-09-14 13:12:04.911840
191380,126,,Issue,5,2016-09-27 03:29:00,DC-ORD-43100,DataCo customer order shipment,2026-09-14 13:12:04.975160
193091,121,,Issue,2,2016-09-01 01:04:00,DC-ORD-41586,DataCo customer order shipment,2026-09-14 13:12:05.913913
193097,121,,Issue,2,2016-09-09 05:16:00,DC-ORD-42146,DataCo customer order shipment,2026-09-14 13:12:05.917118
193102,121,,Issue,2,2016-09-06 08:57:00,DC-ORD-41951,DataCo customer order shipment,2026-09-14 13:12:05.918958
193122,122,,Issue,2,2016-12-27 14:55:00,DC-ORD-49572,DataCo customer order shipment,2026-09-14 13:12:05.926386
193129,123,,Issue,2,2016-12-31 00:44:00,DC-ORD-49600,DataCo customer order shipment,2026-09-14 13:12:05.928899
193696,126,,Issue,3,2016-09-09 05:16:00,DC-ORD-42146,DataCo customer order shipment,2026-09-14 13:12:06.192894
193757,126,,Issue,3,2016-10-14 07:09:00,DC-ORD-44275,DataCo customer order shipment,2026-09-14 13:12:06.223267
194305,160,,Issue,4,2017-01-14 08:46:00,DC-ORD-50856,DataCo customer order shipment,2026-09-14 13:12:06.500697
194385,126,,Issue,4,2016-09-03 14:02:00,DC-ORD-41623,DataCo customer order shipment,2026-09-14 13:12:06.531337
194388,121,,Issue,4,2016-12-23 08:48:00,DC-ORD-49075,DataCo customer order shipment,2026-09-14 13:12:06.533364
195783,126,,Issue,2,2016-11-29 17:46:00,DC-ORD-47662,DataCo customer order shipment,2026-09-14 13:12:07.464327
195787,121,,Issue,2,2016-10-21 04:30:00,DC-ORD-45021,DataCo customer order shipment,2026-09-14 13:12:07.466828
195887,123,,Issue,3,2016-10-04 22:56:00,DC-ORD-43635,DataCo customer order shipment,2026-09-14 13:12:07.510217
196431,123,,Issue,5,2016-10-06 14:10:00,DC-ORD-44021,DataCo customer order shipment,2026-09-14 13:12:07.783064
196441,123,,Issue,5,2016-11-10 07:27:00,DC-ORD-46194,DataCo customer order shipment,2026-09-14 13:12:07.787402
196442,123,,Issue,5,2016-12-05 19:09:00,DC-ORD-48077,DataCo customer order shipment,2026-09-14 13:12:07.787772
196448,131,,Issue,5,2016-10-01 09:16:00,DC-ORD-43459,DataCo customer order shipment,2026-09-14 13:12:07.790034
196628,136,,Issue,1,2016-09-24 22:56:00,DC-ORD-43224,DataCo customer order shipment,2026-09-14 13:12:08.095564
196636,143,,Issue,1,2016-12-09 16:31:00,DC-ORD-48412,DataCo customer order shipment,2026-09-14 13:12:08.098913
196641,137,,Issue,1,2016-12-09 16:31:00,DC-ORD-48412,DataCo customer order shipment,2026-09-14 13:12:08.101523
196722,121,,Issue,3,2016-09-24 22:56:00,DC-ORD-43224,DataCo customer order shipment,2026-09-14 13:12:08.142740
196726,148,,Issue,3,2016-12-09 16:31:00,DC-ORD-48412,DataCo customer order shipment,2026-09-14 13:12:08.144251
197432,121,,Issue,5,2016-11-12 20:36:00,DC-ORD-46300,DataCo customer order shipment,2026-09-14 13:12:08.474745
197934,154,,Issue,1,2016-11-09 20:04:00,DC-ORD-46367,DataCo customer order shipment,2026-09-14 13:12:08.692827
198265,148,,Issue,3,2016-09-27 22:45:00,DC-ORD-43429,DataCo customer order shipment,2026-09-14 13:12:08.875950
198537,175,,Issue,5,2016-09-27 22:45:00,DC-ORD-43429,DataCo customer order shipment,2026-09-14 13:12:09.116730
198763,121,,Issue,1,2016-09-29 21:47:00,DC-ORD-43666,DataCo customer order shipment,2026-09-14 13:12:09.222685
200247,121,,Issue,1,2016-12-16 05:50:00,DC-ORD-48861,DataCo customer order shipment,2026-09-14 13:12:09.946494
200284,136,,Issue,1,2016-11-21 15:30:00,DC-ORD-47176,DataCo customer order shipment,2026-09-14 13:12:09.968092
200307,121,,Issue,1,2016-12-08 20:44:00,DC-ORD-48287,DataCo customer order shipment,2026-09-14 13:12:09.977181
200314,136,,Issue,1,2016-09-10 12:06:00,DC-ORD-41960,DataCo customer order shipment,2026-09-14 13:12:09.979873
200332,136,,Issue,1,2016-12-08 20:44:00,DC-ORD-48287,DataCo customer order shipment,2026-09-14 13:12:09.987385
200339,136,,Issue,1,2016-09-10 10:21:00,DC-ORD-41955,DataCo customer order shipment,2026-09-14 13:12:09.990024
200368,122,,Issue,1,2016-12-16 05:50:00,DC-ORD-48861,DataCo customer order shipment,2026-09-14 13:12:10.003093
200398,123,,Issue,1,2016-12-16 05:50:00,DC-ORD-48861,DataCo customer order shipment,2026-09-14 13:12:10.014590
200452,137,,Issue,1,2016-09-10 10:21:00,DC-ORD-41955,DataCo customer order shipment,2026-09-14 13:12:10.040330
201150,121,,Issue,2,2017-01-15 03:41:00,DC-ORD-50773,DataCo customer order shipment,2026-09-14 13:12:10.588413
201168,121,,Issue,2,2016-09-10 12:06:00,DC-ORD-41960,DataCo customer order shipment,2026-09-14 13:12:10.595371
202090,121,,Issue,1,2016-11-29 13:44:00,DC-ORD-47445,DataCo customer order shipment,2026-09-14 13:12:11.031552
202098,136,,Issue,1,2017-01-12 03:31:00,DC-ORD-50430,DataCo customer order shipment,2026-09-14 13:12:11.036093
202102,136,,Issue,1,2017-01-05 05:48:00,DC-ORD-50231,DataCo customer order shipment,2026-09-14 13:12:11.037623
202104,136,,Issue,1,2016-12-27 01:05:00,DC-ORD-49601,DataCo customer order shipment,2026-09-14 13:12:11.038422
202117,136,,Issue,1,2016-11-29 13:44:00,DC-ORD-47445,DataCo customer order shipment,2026-09-14 13:12:11.043430
202154,152,,Issue,1,2016-12-27 01:05:00,DC-ORD-49601,DataCo customer order shipment,2026-09-14 13:12:11.059014
202344,121,,Issue,2,2017-01-05 05:48:00,DC-ORD-50231,DataCo customer order shipment,2026-09-14 13:12:11.154541
202350,123,,Issue,2,2017-01-12 03:31:00,DC-ORD-50430,DataCo customer order shipment,2026-09-14 13:12:11.157698
202352,123,,Issue,2,2016-12-23 10:44:00,DC-ORD-49149,DataCo customer order shipment,2026-09-14 13:12:11.158917
202516,126,,Issue,3,2016-12-27 01:05:00,DC-ORD-49601,DataCo customer order shipment,2026-09-14 13:12:11.236098
202541,122,,Issue,3,2017-01-05 05:48:00,DC-ORD-50231,DataCo customer order shipment,2026-09-14 13:12:11.476316
202699,126,,Issue,4,2016-11-29 13:44:00,DC-ORD-47445,DataCo customer order shipment,2026-09-14 13:12:11.631948
202709,121,,Issue,4,2017-01-12 03:31:00,DC-ORD-50430,DataCo customer order shipment,2026-09-14 13:12:11.635939
202727,164,,Issue,4,2016-12-23 10:44:00,DC-ORD-49149,DataCo customer order shipment,2026-09-14 13:12:11.642629
202856,121,,Issue,5,2016-12-23 10:44:00,DC-ORD-49149,DataCo customer order shipment,2026-09-14 13:12:11.690890
202860,123,,Issue,5,2017-01-05 05:48:00,DC-ORD-50231,DataCo customer order shipment,2026-09-14 13:12:11.692297
202865,123,,Issue,5,2016-12-27 01:05:00,DC-ORD-49601,DataCo customer order shipment,2026-09-14 13:12:11.694115
203477,136,,Issue,1,2016-09-24 16:38:00,DC-ORD-43206,DataCo customer order shipment,2026-09-14 13:12:11.962279
203497,130,,Issue,1,2016-09-09 06:19:00,DC-ORD-42149,DataCo customer order shipment,2026-09-14 13:12:11.970624
203636,121,,Issue,2,2016-09-24 16:38:00,DC-ORD-43206,DataCo customer order shipment,2026-09-14 13:12:12.031568
203642,122,,Issue,2,2016-09-09 06:19:00,DC-ORD-42149,DataCo customer order shipment,2026-09-14 13:12:12.035060
203934,122,,Issue,4,2016-09-24 16:38:00,DC-ORD-43206,DataCo customer order shipment,2026-09-14 13:12:12.169271
204865,126,,Issue,1,2016-09-09 10:52:00,DC-ORD-42162,DataCo customer order shipment,2026-09-14 13:12:12.910345
204866,136,,Issue,1,2016-09-09 10:52:00,DC-ORD-42162,DataCo customer order shipment,2026-09-14 13:12:12.910681
204981,123,,Issue,2,2016-09-09 10:52:00,DC-ORD-42162,DataCo customer order shipment,2026-09-14 13:12:12.957050
205077,121,,Issue,3,2016-10-19 13:37:00,DC-ORD-44910,DataCo customer order shipment,2026-09-14 13:12:13.000333
205078,122,,Issue,3,2016-10-19 13:37:00,DC-ORD-44910,DataCo customer order shipment,2026-09-14 13:12:13.000732
205092,147,,Issue,3,2016-09-09 10:52:00,DC-ORD-42162,DataCo customer order shipment,2026-09-14 13:12:13.005797
205161,123,,Issue,4,2016-10-19 13:37:00,DC-ORD-44910,DataCo customer order shipment,2026-09-14 13:12:13.033238
205342,126,,Issue,4,2016-12-27 14:55:00,DC-ORD-49572,DataCo customer order shipment,2026-09-14 13:12:13.108003
205344,126,,Issue,4,2016-12-01 01:07:00,DC-ORD-47683,DataCo customer order shipment,2026-09-14 13:12:13.108782
205356,121,,Issue,4,2016-12-01 01:07:00,DC-ORD-47683,DataCo customer order shipment,2026-09-14 13:12:13.113463
205361,121,,Issue,4,2016-12-22 10:22:00,DC-ORD-49148,DataCo customer order shipment,2026-09-14 13:12:13.115426
205378,123,,Issue,4,2016-09-09 05:16:00,DC-ORD-42146,DataCo customer order shipment,2026-09-14 13:12:13.123466
205419,153,,Issue,4,2016-10-14 07:09:00,DC-ORD-44275,DataCo customer order shipment,2026-09-14 13:12:13.143889
205926,121,,Issue,5,2016-12-27 14:55:00,DC-ORD-49572,DataCo customer order shipment,2026-09-14 13:12:13.383812
205945,122,,Issue,5,2016-12-01 01:07:00,DC-ORD-47683,DataCo customer order shipment,2026-09-14 13:12:13.392372
206320,136,,Issue,1,2016-12-31 19:18:00,DC-ORD-49927,DataCo customer order shipment,2026-09-14 13:12:13.568367
206331,136,,Issue,1,2016-11-02 06:35:00,DC-ORD-45849,DataCo customer order shipment,2026-09-14 13:12:13.575842
206450,123,,Issue,2,2016-11-02 06:35:00,DC-ORD-45849,DataCo customer order shipment,2026-09-14 13:12:13.624403
206453,123,,Issue,2,2016-12-31 19:18:00,DC-ORD-49927,DataCo customer order shipment,2026-09-14 13:12:13.625458
206537,121,,Issue,3,2016-11-02 06:35:00,DC-ORD-45849,DataCo customer order shipment,2026-09-14 13:12:13.896944
208286,136,,Issue,1,2016-12-06 05:19:00,DC-ORD-47969,DataCo customer order shipment,2026-09-14 13:12:14.793976
208287,136,,Issue,1,2016-10-16 13:58:00,DC-ORD-44637,DataCo customer order shipment,2026-09-14 13:12:14.794338
208295,136,,Issue,1,2016-12-10 13:12:00,DC-ORD-48471,DataCo customer order shipment,2026-09-14 13:12:14.797338
208301,121,,Issue,1,2016-12-10 13:12:00,DC-ORD-48471,DataCo customer order shipment,2026-09-14 13:12:14.800177
208307,123,,Issue,1,2016-12-05 04:58:00,DC-ORD-47968,DataCo customer order shipment,2026-09-14 13:12:14.802883
208325,137,,Issue,1,2016-12-05 04:58:00,DC-ORD-47968,DataCo customer order shipment,2026-09-14 13:12:14.810685
208469,121,,Issue,2,2016-12-05 04:58:00,DC-ORD-47968,DataCo customer order shipment,2026-09-14 13:12:14.893852
208475,123,,Issue,2,2016-12-10 13:12:00,DC-ORD-48471,DataCo customer order shipment,2026-09-14 13:12:14.897007
208966,126,,Issue,5,2016-12-06 05:19:00,DC-ORD-47969,DataCo customer order shipment,2026-09-14 13:12:15.278643
208968,126,,Issue,5,2016-10-16 13:58:00,DC-ORD-44637,DataCo customer order shipment,2026-09-14 13:12:15.279660
209120,210,,Issue,2,2017-01-12 09:07:00,DC-ORD-50583,DataCo customer order shipment,2026-09-14 13:12:15.376226
209147,210,,Issue,5,2016-10-02 09:16:00,DC-ORD-43733,DataCo customer order shipment,2026-09-14 13:12:15.394264
209151,210,,Issue,5,2016-09-28 13:18:00,DC-ORD-43402,DataCo customer order shipment,2026-09-14 13:12:15.397126
209155,210,,Issue,5,2016-09-24 09:16:00,DC-ORD-43048,DataCo customer order shipment,2026-09-14 13:12:15.400632
209462,211,,Issue,2,2016-10-23 00:07:00,DC-ORD-45077,DataCo customer order shipment,2026-09-14 13:12:15.556263
209472,211,,Issue,1,2016-10-05 11:43:00,DC-ORD-43877,DataCo customer order shipment,2026-09-14 13:12:15.560164
209474,211,,Issue,4,2016-09-26 08:55:00,DC-ORD-43321,DataCo customer order shipment,2026-09-14 13:12:15.560905
210147,215,,Issue,5,2016-11-13 19:22:00,DC-ORD-46365,DataCo customer order shipment,2026-09-14 13:12:15.905682
210173,215,,Issue,3,2016-09-02 11:35:00,DC-ORD-41479,DataCo customer order shipment,2026-09-14 13:12:15.917300
210464,217,,Issue,3,2017-01-09 12:59:00,DC-ORD-50457,DataCo customer order shipment,2026-09-14 13:12:16.067778
210480,217,,Issue,5,2016-11-30 07:57:00,DC-ORD-47771,DataCo customer order shipment,2026-09-14 13:12:16.076410
210489,217,,Issue,1,2016-11-13 09:33:00,DC-ORD-46611,DataCo customer order shipment,2026-09-14 13:12:16.079808
211640,136,,Issue,1,2016-09-02 11:35:00,DC-ORD-41479,DataCo customer order shipment,2026-09-14 13:12:17.316186
211679,121,,Issue,1,2017-01-06 09:18:00,DC-ORD-50104,DataCo customer order shipment,2026-09-14 13:12:17.346954
211700,136,,Issue,1,2017-01-06 09:18:00,DC-ORD-50104,DataCo customer order shipment,2026-09-14 13:12:17.361381
211714,123,,Issue,1,2016-09-16 17:41:00,DC-ORD-42661,DataCo customer order shipment,2026-09-14 13:12:17.367482
211753,137,,Issue,1,2016-09-02 11:35:00,DC-ORD-41479,DataCo customer order shipment,2026-09-14 13:12:17.389565
212020,126,,Issue,2,2016-09-16 17:41:00,DC-ORD-42661,DataCo customer order shipment,2026-09-14 13:12:17.548399
212051,123,,Issue,2,2016-09-02 11:35:00,DC-ORD-41479,DataCo customer order shipment,2026-09-14 13:12:17.563654
212052,170,,Issue,2,2016-11-03 16:24:00,DC-ORD-45877,DataCo customer order shipment,2026-09-14 13:12:17.564054
212316,121,,Issue,3,2016-09-16 17:41:00,DC-ORD-42661,DataCo customer order shipment,2026-09-14 13:12:17.792760
212325,122,,Issue,3,2016-11-14 09:44:00,DC-ORD-46543,DataCo customer order shipment,2026-09-14 13:12:17.796410
212326,123,,Issue,3,2016-09-24 09:16:00,DC-ORD-43048,DataCo customer order shipment,2026-09-14 13:12:17.796823
212559,126,,Issue,4,2016-11-03 16:24:00,DC-ORD-45877,DataCo customer order shipment,2026-09-14 13:12:18.234772
212566,121,,Issue,4,2016-11-03 16:24:00,DC-ORD-45877,DataCo customer order shipment,2026-09-14 13:12:18.241075
212571,122,,Issue,4,2016-11-03 16:24:00,DC-ORD-45877,DataCo customer order shipment,2026-09-14 13:12:18.245571
212827,121,,Issue,5,2016-09-24 09:16:00,DC-ORD-43048,DataCo customer order shipment,2026-09-14 13:12:18.466323
213259,137,,Issue,1,2016-09-29 21:47:00,DC-ORD-43666,DataCo customer order shipment,2026-09-14 13:12:18.705553
214294,126,,Issue,1,2016-11-22 04:49:00,DC-ORD-46940,DataCo customer order shipment,2026-09-14 13:12:19.288408
214360,137,,Issue,1,2016-11-22 04:49:00,DC-ORD-46940,DataCo customer order shipment,2026-09-14 13:12:19.323815
214589,121,,Issue,2,2016-11-22 04:49:00,DC-ORD-46940,DataCo customer order shipment,2026-09-14 13:12:19.598248
214820,144,,Issue,3,2016-11-22 04:49:00,DC-ORD-46940,DataCo customer order shipment,2026-09-14 13:12:19.704399
216514,131,,Issue,1,2017-01-15 11:02:00,DC-ORD-50931,DataCo customer order shipment,2026-09-14 13:12:20.560295
216779,126,,Issue,3,2016-12-04 16:22:00,DC-ORD-47795,DataCo customer order shipment,2026-09-14 13:12:20.952757
218409,136,,Issue,1,2017-01-13 18:45:00,DC-ORD-50816,DataCo customer order shipment,2026-09-14 13:12:21.717727
218417,136,,Issue,1,2017-01-18 19:06:00,DC-ORD-50954,DataCo customer order shipment,2026-09-14 13:12:21.720838
218418,136,,Issue,1,2016-10-08 12:46:00,DC-ORD-43880,DataCo customer order shipment,2026-09-14 13:12:21.721248
218450,136,,Issue,1,2016-10-13 06:48:00,DC-ORD-44274,DataCo customer order shipment,2026-09-14 13:12:21.733696
219093,126,,Issue,1,2016-12-09 10:34:00,DC-ORD-48395,DataCo customer order shipment,2026-09-14 13:12:22.265750
219095,126,,Issue,1,2016-12-31 18:15:00,DC-ORD-49924,DataCo customer order shipment,2026-09-14 13:12:22.266966
219110,136,,Issue,1,2016-12-03 03:55:00,DC-ORD-47965,DataCo customer order shipment,2026-09-14 13:12:22.273693
219115,136,,Issue,1,2016-12-31 18:15:00,DC-ORD-49924,DataCo customer order shipment,2026-09-14 13:12:22.275721
219161,136,,Issue,1,2016-09-18 12:47:00,DC-ORD-42784,DataCo customer order shipment,2026-09-14 13:12:22.296393
219203,137,,Issue,1,2016-11-30 20:34:00,DC-ORD-47807,DataCo customer order shipment,2026-09-14 13:12:22.314933
219204,137,,Issue,1,2016-12-10 12:50:00,DC-ORD-48470,DataCo customer order shipment,2026-09-14 13:12:22.315341
219510,121,,Issue,2,2016-08-29 02:39:00,DC-ORD-41385,DataCo customer order shipment,2026-09-14 13:12:22.450263
219517,123,,Issue,2,2016-12-10 12:50:00,DC-ORD-48470,DataCo customer order shipment,2026-09-14 13:12:22.454266
219775,121,,Issue,3,2016-12-03 03:55:00,DC-ORD-47965,DataCo customer order shipment,2026-09-14 13:12:22.579610
219992,121,,Issue,4,2016-09-18 12:47:00,DC-ORD-42784,DataCo customer order shipment,2026-09-14 13:12:22.689533
220003,123,,Issue,4,2016-12-03 03:55:00,DC-ORD-47965,DataCo customer order shipment,2026-09-14 13:12:22.693735
220011,122,,Issue,4,2016-12-03 03:55:00,DC-ORD-47965,DataCo customer order shipment,2026-09-14 13:12:22.696711
220250,126,,Issue,5,2016-08-29 02:39:00,DC-ORD-41385,DataCo customer order shipment,2026-09-14 13:12:22.827017
220279,122,,Issue,5,2016-11-30 20:34:00,DC-ORD-47807,DataCo customer order shipment,2026-09-14 13:12:22.847038
220692,136,,Issue,1,2016-11-22 19:58:00,DC-ORD-47360,DataCo customer order shipment,2026-09-14 13:12:23.251733
220696,136,,Issue,1,2016-09-16 14:16:00,DC-ORD-42754,DataCo customer order shipment,2026-09-14 13:12:23.253667
220714,136,,Issue,1,2017-01-13 09:44:00,DC-ORD-50893,DataCo customer order shipment,2026-09-14 13:12:23.261219
220720,122,,Issue,1,2016-11-15 16:38:00,DC-ORD-46871,DataCo customer order shipment,2026-09-14 13:12:23.263961
221112,123,,Issue,4,2016-11-22 06:44:00,DC-ORD-47014,DataCo customer order shipment,2026-09-14 13:12:23.532565
222578,155,,Issue,1,2017-01-12 00:32:00,DC-ORD-50627,DataCo customer order shipment,2026-09-14 13:12:24.567911
222584,124,,Issue,1,2016-09-07 11:03:00,DC-ORD-41957,DataCo customer order shipment,2026-09-14 13:12:24.571781
222600,136,,Issue,1,2016-11-08 07:59:00,DC-ORD-45990,DataCo customer order shipment,2026-09-14 13:12:24.577830
222626,136,,Issue,1,2017-01-17 06:50:00,DC-ORD-51056,DataCo customer order shipment,2026-09-14 13:12:24.591065
222662,136,,Issue,1,2016-12-18 13:22:00,DC-ORD-48814,DataCo customer order shipment,2026-09-14 13:12:24.611906
222666,136,,Issue,1,2016-09-07 09:18:00,DC-ORD-41952,DataCo customer order shipment,2026-09-14 13:12:24.613748
222672,121,,Issue,1,2017-01-04 17:11:00,DC-ORD-50058,DataCo customer order shipment,2026-09-14 13:12:24.616599
222739,137,,Issue,1,2016-09-07 09:18:00,DC-ORD-41952,DataCo customer order shipment,2026-09-14 13:12:24.650098
222744,137,,Issue,1,2017-01-12 00:32:00,DC-ORD-50627,DataCo customer order shipment,2026-09-14 13:12:24.652240
223086,121,,Issue,2,2017-01-12 00:32:00,DC-ORD-50627,DataCo customer order shipment,2026-09-14 13:12:24.819888
223101,160,,Issue,2,2016-09-07 11:03:00,DC-ORD-41957,DataCo customer order shipment,2026-09-14 13:12:24.825901
223120,123,,Issue,2,2016-11-08 07:59:00,DC-ORD-45990,DataCo customer order shipment,2026-09-14 13:12:24.835385
223888,136,,Issue,1,2017-01-04 17:58:00,DC-ORD-50300,DataCo customer order shipment,2026-09-14 13:12:25.171182
223892,137,,Issue,1,2017-01-04 17:58:00,DC-ORD-50300,DataCo customer order shipment,2026-09-14 13:12:25.172765
