id,snapshot_date,revenue,cost,profit,total_orders,total_shipments,service_level,on_time_delivery,order_fulfillment,perfect_order_rate,on_time_shipments,inventory_accuracy,inventory_value,inventory_turnover,created_at
63,2026-10-16,317811.5,785963.69,477555.07,3199,3071,454808.49,875155.06,153947.74,6.48,12271.38,2.91,462408.6,753383.4,2026-05-18 11:18:06
64,2027-03-02,566716.28,788862.37,169979.63,2357,3206,122597.62,486025.18,215763.02,13.51,795144.97,16.72,81787.66,887307.28,2025-11-27 10:44:56
65,2026-09-24,297179.89,104176.19,649016.22,3240,347,663016.18,674587.1,758824.01,7.4,112704.91,9.94,460886.95,182392.29,2027-01-25 09:09:46
66,2026-03-29,230534.31,752413.66,731697.66,2208,4280,318278.81,77565.79,157260.54,2.51,186245.05,13.01,79887.52,77046.76,2025-12-17 12:13:49
67,2026-09-30,472417.01,9057.56,840995.57,640,644,791147.23,291463.84,316899.09,14.11,873544.67,19.06,497645.96,386109.93,2027-01-28 14:45:34
68,2026-05-04,488705.18,15627.93,203538.51,3869,4513,327728.13,388946.71,883953.15,24.54,226068.18,23.77,535129.55,607538.54,2026-01-04 15:51:25
69,2026-02-13,219411.02,207591.08,713629.46,1987,4010,138243.71,837030.07,607661.63,15.38,813582.38,2.08,382811.28,446902.53,2027-02-28 10:17:14
70,2027-01-17,280731.15,160453.88,776859.28,1937,3655,601407.27,753056.2,506928.01,7.25,812304.35,4.61,248061.53,836619.62,2027-01-18 08:40:40
71,2026-10-04,598337.93,577507.32,860725.49,3790,22,655771.63,306361.04,708875.84,9.16,215954.14,15.53,635692.32,704515.58,2026-06-27 10:43:08
72,2026-03-16,428318.42,23028.78,407874.09,463,3716,695025.59,375723.47,436641.01,19.61,673657.12,11.99,397541.0,862868.55,2026-12-23 10:22:10
73,2026-10-14,392241.44,794192.71,778226.63,407,4276,175786.77,341874.36,346724.98,20.71,753487.67,15.68,471904.59,786886.46,2026-06-27 16:48:54
74,2025-12-11,692492.3,169883.05,611019.36,2006,2541,306970.27,799889.23,249960.91,1.86,582743.3,2.56,6862.2,641116.03,2026-08-29 15:26:17
75,2025-11-08,647083.77,620895.45,333649.1,4232,3124,431765.49,254549.17,632325.57,24.57,830854.19,1.58,681890.82,318485.14,2025-10-26 09:33:19
76,2027-01-18,105530.3,543750.34,618933.24,2565,846,514000.56,72433.14,706454.63,19.97,206842.69,4.06,156173.03,799487.16,2026-01-01 11:06:20
77,2027-02-04,5215.97,188507.22,712384.91,4388,333,690624.68,189391.1,649427.01,21.02,710077.64,2.01,770403.42,792463.75,2026-04-10 17:50:19
78,2026-05-21,287849.17,157297.77,418439.71,4973,3981,621042.27,378974.14,728993.72,5.34,675263.69,22.0,587414.66,304653.04,2026-06-13 13:06:06
79,2025-12-17,689608.87,668386.9,334758.59,4332,3956,175392.88,435844.88,717545.51,1.7,273810.31,5.99,5377.68,845134.72,2027-02-27 08:17:05
80,2026-10-22,355570.92,681098.63,263681.08,1462,4947,386081.96,283367.1,647156.73,18.85,865950.91,20.11,22036.63,407858.96,2026-09-23 12:27:58
81,2026-04-11,596223.83,840453.1,233316.4,3328,2187,282011.83,416111.3,690711.23,22.84,744190.23,3.98,755296.19,716870.32,2026-04-13 18:31:35
82,2027-03-19,301895.0,145404.29,144412.33,885,1579,180832.27,751853.16,300834.67,23.78,425614.98,2.99,24509.71,432653.71,2026-12-01 18:12:46
83,2026-08-03,588234.6,480191.26,77963.69,869,162,500836.86,11872.81,778602.25,10.9,681548.8,14.44,420502.24,392506.75,2025-12-08 18:24:29
84,2027-03-09,83056.08,809565.73,491605.0,4996,3195,168494.42,378147.6,796139.19,12.92,222202.65,5.47,341516.13,441883.81,2026-02-19 16:06:38
85,2025-12-06,795668.38,772536.31,546093.54,459,872,260840.72,95977.99,11029.65,4.77,749213.53,23.56,499946.8,188849.92,2025-10-07 08:16:43
86,2025-09-19,500377.65,559404.07,833744.01,2669,749,209626.81,340293.13,837432.19,18.55,413413.46,8.22,624776.18,880527.28,2025-09-03 18:41:53
87,2025-10-04,47571.96,324737.98,899972.01,2233,4370,642337.71,316378.94,159145.73,2.45,553094.46,12.83,835798.49,754348.96,2026-06-18 17:05:52
88,2026-06-03,78012.37,760735.45,837255.53,1668,460,712179.16,98518.68,65115.14,2.25,347531.28,4.64,816383.74,655446.12,2025-09-11 15:44:34
89,2025-12-21,630459.59,193932.5,30831.21,4028,2106,5798.22,340175.88,826103.02,5.53,139344.08,3.78,223888.86,494706.57,2026-10-13 08:38:16
90,2025-09-09,561005.99,37159.89,788218.35,3931,3323,448237.6,701884.17,736834.45,1.04,406315.78,2.28,529264.7,846137.77,2026-02-12 12:22:17
91,2027-01-28,462595.41,728950.56,460526.22,2060,4593,754125.91,413944.39,758017.25,18.08,157516.05,10.57,586303.34,856893.96,2026-12-28 17:09:59
92,2026-02-26,210130.97,581272.98,734049.58,2995,2564,776754.95,548854.5,454861.13,13.71,758777.49,10.46,337408.02,160905.43,2026-07-18 14:42:33
93,2027-01-14,433091.85,524545.84,209105.62,4682,4538,249897.92,302937.13,355655.42,19.85,693382.54,13.44,40598.01,134191.2,2026-01-24 10:50:54
94,2025-11-25,355873.46,323482.14,129707.01,4591,3575,157995.03,696649.57,750175.49,7.07,68967.48,2.25,416656.01,866883.73,2026-07-18 17:05:07
95,2026-06-11,528409.68,116370.96,19134.89,3986,2703,377862.55,257898.04,883370.98,16.53,293705.05,23.1,363611.03,888824.93,2026-04-05 18:30:51
96,2026-03-25,441763.14,743980.47,207353.34,1543,1151,684621.77,245545.99,370913.5,9.25,798345.68,4.3,353001.12,453050.72,2026-08-30 09:10:50
97,2025-10-11,54309.05,62835.32,465317.76,1741,4522,164025.56,567455.35,568011.15,7.91,272216.6,1.63,104182.98,683122.18,2027-03-22 08:13:13
98,2027-03-22,191427.31,352172.16,692460.74,2142,4055,881884.27,50793.9,521920.6,2.52,665976.75,6.76,580734.38,776163.87,2026-06-28 17:29:19
99,2026-12-04,726451.99,504482.55,479682.34,1385,1523,839441.43,622950.73,11399.4,19.48,456461.17,9.42,322583.34,646001.89,2026-11-16 17:30:32
100,2026-07-31,315778.03,794950.09,844611.93,3766,855,772611.86,616355.97,398312.25,3.11,816547.0,24.32,753633.68,855433.65,2026-06-04 14:25:27
