id,invoice_no,vendor,amount,payment_date,status,early_payment,discount_amount
23,INV-DEV-2025-00023,FINANCE-000023,601591.67,2027-02-07,Closed,True,641275.98
24,INV-DEV-2025-00024,FINANCE-000024,126391.91,2026-05-25,In Progress,True,561937.59
25,INV-DEV-2025-00025,FINANCE-000025,165492.08,2025-10-20,Active,True,674553.62
26,INV-DEV-2025-00026,FINANCE-000026,577682.87,2026-04-05,Pending,True,636594.12
27,INV-DEV-2025-00027,FINANCE-000027,328726.65,2027-03-18,Completed,True,94884.85
28,INV-DEV-2025-00028,FINANCE-000028,742110.3,2026-04-23,Open,True,819933.73
29,INV-DEV-2025-00029,FINANCE-000029,150076.15,2026-02-01,Closed,True,203054.04
30,INV-DEV-2025-00030,FINANCE-000030,848105.56,2025-11-09,In Progress,True,581152.29
31,INV-DEV-2025-00031,FINANCE-000031,658393.12,2026-04-17,Active,True,602841.23
32,INV-DEV-2025-00032,FINANCE-000032,496440.95,2025-10-29,Pending,True,33868.14
33,INV-DEV-2025-00033,FINANCE-000033,508814.44,2025-10-20,Completed,True,161166.29
34,INV-DEV-2025-00034,FINANCE-000034,423090.58,2026-01-28,Open,True,895503.27
35,INV-DEV-2025-00035,FINANCE-000035,561558.78,2025-12-03,Closed,True,878570.45
36,INV-DEV-2025-00036,FINANCE-000036,718472.16,2025-12-04,In Progress,True,40282.98
37,INV-DEV-2025-00037,FINANCE-000037,502977.32,2026-11-09,Active,True,523776.08
38,INV-DEV-2025-00038,FINANCE-000038,463968.88,2026-08-21,Pending,True,549012.65
39,INV-DEV-2025-00039,FINANCE-000039,581266.04,2025-10-21,Completed,True,420366.17
40,INV-DEV-2025-00040,FINANCE-000040,53568.44,2027-03-01,Open,True,419345.33
41,INV-DEV-2025-00041,FINANCE-000041,402304.58,2025-10-31,Closed,True,566671.84
42,INV-DEV-2025-00042,FINANCE-000042,686239.63,2026-02-17,In Progress,True,808530.27
43,INV-DEV-2025-00043,FINANCE-000043,600859.25,2025-12-23,Active,True,94284.65
44,INV-DEV-2025-00044,FINANCE-000044,74539.5,2026-01-09,Pending,True,731983.1
45,INV-DEV-2025-00045,FINANCE-000045,271164.14,2027-03-12,Completed,True,12600.2
46,INV-DEV-2025-00046,FINANCE-000046,721658.32,2026-07-23,Open,True,259404.59
47,INV-DEV-2025-00047,FINANCE-000047,819406.84,2026-03-06,Closed,True,23185.96
48,INV-DEV-2025-00048,FINANCE-000048,365792.6,2025-09-21,In Progress,True,786765.73
49,INV-DEV-2025-00049,FINANCE-000049,889587.31,2026-02-04,Active,True,599423.25
50,INV-DEV-2025-00050,FINANCE-000050,859890.2,2025-10-04,Pending,True,691764.18
51,INV-DEV-2025-00051,FINANCE-000051,403548.87,2026-05-27,Completed,True,428391.14
52,INV-DEV-2025-00052,FINANCE-000052,497146.39,2026-12-31,Open,True,757761.86
53,INV-DEV-2025-00053,FINANCE-000053,473631.7,2026-01-11,Closed,True,15644.64
54,INV-DEV-2025-00054,FINANCE-000054,244163.75,2027-03-27,In Progress,True,146626.96
55,INV-DEV-2025-00055,FINANCE-000055,761549.52,2026-05-30,Active,True,441145.04
56,INV-DEV-2025-00056,FINANCE-000056,382792.84,2026-01-09,Pending,True,613332.86
57,INV-DEV-2025-00057,FINANCE-000057,807074.21,2026-01-14,Completed,True,427287.09
58,INV-DEV-2025-00058,FINANCE-000058,545208.75,2027-01-07,Open,True,891257.42
59,INV-DEV-2025-00059,FINANCE-000059,540611.9,2026-01-20,Closed,True,109496.69
60,INV-DEV-2025-00060,FINANCE-000060,288767.32,2027-02-12,In Progress,True,788773.72
61,INV-DEV-2025-00061,FINANCE-000061,619442.21,2025-09-12,Active,True,696012.53
62,INV-DEV-2025-00062,FINANCE-000062,810303.38,2026-11-22,Pending,True,719830.2
63,INV-DEV-2025-00063,FINANCE-000063,443087.09,2026-04-25,Completed,True,198712.78
64,INV-DEV-2025-00064,FINANCE-000064,871090.53,2027-02-21,Open,True,713974.19
65,INV-DEV-2025-00065,FINANCE-000065,122512.0,2026-06-13,Closed,True,293985.11
66,INV-DEV-2025-00066,FINANCE-000066,832113.24,2027-03-11,In Progress,True,353676.47
67,INV-DEV-2025-00067,FINANCE-000067,31001.76,2026-12-17,Active,True,211836.09
68,INV-DEV-2025-00068,FINANCE-000068,541622.24,2025-11-27,Pending,True,200380.37
69,INV-DEV-2025-00069,FINANCE-000069,71882.65,2026-03-25,Completed,True,228675.07
70,INV-DEV-2025-00070,FINANCE-000070,450137.7,2027-02-17,Open,True,675438.53
71,INV-DEV-2025-00071,FINANCE-000071,708726.24,2026-08-24,Closed,True,142573.0
72,INV-DEV-2025-00072,FINANCE-000072,420709.56,2027-01-20,In Progress,True,622649.24
73,INV-DEV-2025-00073,FINANCE-000073,185799.5,2026-11-26,Active,True,625881.86
74,INV-DEV-2025-00074,FINANCE-000074,892078.67,2026-07-04,Pending,True,111748.41
75,INV-DEV-2025-00075,FINANCE-000075,292910.28,2026-07-18,Completed,True,873220.58
76,INV-DEV-2025-00076,FINANCE-000076,831873.47,2027-02-11,Open,True,534010.62
77,INV-DEV-2025-00077,FINANCE-000077,414737.58,2026-05-31,Closed,True,849255.43
78,INV-DEV-2025-00078,FINANCE-000078,489343.44,2025-10-27,In Progress,True,396859.68
79,INV-DEV-2025-00079,FINANCE-000079,702497.02,2026-08-27,Active,True,73936.75
80,INV-DEV-2025-00080,FINANCE-000080,582850.67,2026-06-28,Pending,True,257422.21
81,INV-DEV-2025-00081,FINANCE-000081,7725.7,2025-11-04,Completed,True,39725.07
82,INV-DEV-2025-00082,FINANCE-000082,507960.98,2027-01-12,Open,True,671717.56
83,INV-DEV-2025-00083,FINANCE-000083,120144.54,2026-05-09,Closed,True,526137.97
84,INV-DEV-2025-00084,FINANCE-000084,43142.16,2025-10-05,In Progress,True,562716.25
85,INV-DEV-2025-00085,FINANCE-000085,262654.55,2026-12-23,Active,True,312846.97
86,INV-DEV-2025-00086,FINANCE-000086,656074.99,2026-02-13,Pending,True,13036.66
87,INV-DEV-2025-00087,FINANCE-000087,66501.08,2026-05-19,Completed,True,60627.95
88,INV-DEV-2025-00088,FINANCE-000088,704125.12,2026-03-31,Open,True,531504.68
89,INV-DEV-2025-00089,FINANCE-000089,475797.25,2026-01-10,Closed,True,116395.46
90,INV-DEV-2025-00090,FINANCE-000090,263864.51,2026-12-07,In Progress,True,643933.8
91,INV-DEV-2025-00091,FINANCE-000091,642539.81,2027-03-30,Active,True,553927.38
92,INV-DEV-2025-00092,FINANCE-000092,467224.25,2027-02-19,Pending,True,580030.24
93,INV-DEV-2025-00093,FINANCE-000093,371325.7,2026-02-27,Completed,True,782296.84
94,INV-DEV-2025-00094,FINANCE-000094,475800.29,2027-02-19,Open,True,479781.96
95,INV-DEV-2025-00095,FINANCE-000095,256196.01,2027-01-22,Closed,True,547883.53
96,INV-DEV-2025-00096,FINANCE-000096,871609.3,2026-02-22,In Progress,True,670509.55
97,INV-DEV-2025-00097,FINANCE-000097,286589.9,2026-11-23,Active,True,828250.62
98,INV-DEV-2025-00098,FINANCE-000098,404841.64,2025-12-02,Pending,True,584592.37
99,INV-DEV-2025-00099,FINANCE-000099,427681.58,2025-11-17,Completed,True,854840.53
100,INV-DEV-2025-00100,FINANCE-000100,80717.44,2026-12-23,Open,True,670842.91
