id,invoice_id,action,old_status,new_status,description,performed_by,created_at
77,77,INVOICE-000077,INVOICE-000077,INVOICE-000077,Development record for Indian supplier and supply-chain operations.,3,2026-02-12 09:59:37
78,78,INVOICE-000078,INVOICE-000078,INVOICE-000078,Development record for Indian supplier and supply-chain operations.,2,2026-09-25 18:46:19
79,79,INVOICE-000079,INVOICE-000079,INVOICE-000079,Development record for Indian supplier and supply-chain operations.,3,2026-11-19 11:08:13
80,80,INVOICE-000080,INVOICE-000080,INVOICE-000080,Development record for Indian supplier and supply-chain operations.,4,2026-01-10 14:37:14
81,81,INVOICE-000081,INVOICE-000081,INVOICE-000081,Development record for Indian supplier and supply-chain operations.,1,2026-01-21 15:56:57
82,82,INVOICE-000082,INVOICE-000082,INVOICE-000082,Development record for Indian supplier and supply-chain operations.,1,2027-02-07 15:42:30
83,83,INVOICE-000083,INVOICE-000083,INVOICE-000083,Development record for Indian supplier and supply-chain operations.,2,2027-01-19 14:28:47
84,84,INVOICE-000084,INVOICE-000084,INVOICE-000084,Development record for Indian supplier and supply-chain operations.,5,2025-09-30 15:41:38
85,85,INVOICE-000085,INVOICE-000085,INVOICE-000085,Development record for Indian supplier and supply-chain operations.,2,2026-12-19 15:27:22
86,86,INVOICE-000086,INVOICE-000086,INVOICE-000086,Development record for Indian supplier and supply-chain operations.,4,2025-09-07 12:25:43
87,87,INVOICE-000087,INVOICE-000087,INVOICE-000087,Development record for Indian supplier and supply-chain operations.,4,2026-05-22 15:13:55
88,88,INVOICE-000088,INVOICE-000088,INVOICE-000088,Development record for Indian supplier and supply-chain operations.,3,2027-03-19 17:05:23
89,89,INVOICE-000089,INVOICE-000089,INVOICE-000089,Development record for Indian supplier and supply-chain operations.,2,2025-10-11 18:31:34
90,90,INVOICE-000090,INVOICE-000090,INVOICE-000090,Development record for Indian supplier and supply-chain operations.,1,2026-12-30 12:05:04
91,91,INVOICE-000091,INVOICE-000091,INVOICE-000091,Development record for Indian supplier and supply-chain operations.,4,2026-01-02 09:11:02
92,92,INVOICE-000092,INVOICE-000092,INVOICE-000092,Development record for Indian supplier and supply-chain operations.,3,2026-06-02 09:51:45
93,93,INVOICE-000093,INVOICE-000093,INVOICE-000093,Development record for Indian supplier and supply-chain operations.,5,2027-01-27 14:08:58
94,94,INVOICE-000094,INVOICE-000094,INVOICE-000094,Development record for Indian supplier and supply-chain operations.,2,2026-12-26 14:51:43
95,95,INVOICE-000095,INVOICE-000095,INVOICE-000095,Development record for Indian supplier and supply-chain operations.,4,2027-01-11 18:15:58
96,96,INVOICE-000096,INVOICE-000096,INVOICE-000096,Development record for Indian supplier and supply-chain operations.,4,2027-02-18 11:33:22
97,97,INVOICE-000097,INVOICE-000097,INVOICE-000097,Development record for Indian supplier and supply-chain operations.,3,2027-01-26 17:57:10
98,98,INVOICE-000098,INVOICE-000098,INVOICE-000098,Development record for Indian supplier and supply-chain operations.,1,2026-01-09 14:05:50
99,99,INVOICE-000099,INVOICE-000099,INVOICE-000099,Development record for Indian supplier and supply-chain operations.,1,2026-10-03 12:28:50
100,100,INVOICE-000100,INVOICE-000100,INVOICE-000100,Development record for Indian supplier and supply-chain operations.,3,2026-05-09 17:00:54
101,101,INVOICE-000101,INVOICE-000101,INVOICE-000101,Development record for Indian supplier and supply-chain operations.,2,2027-02-15 16:20:39
102,102,INVOICE-000102,INVOICE-000102,INVOICE-000102,Development record for Indian supplier and supply-chain operations.,1,2025-10-20 17:42:36
103,103,INVOICE-000103,INVOICE-000103,INVOICE-000103,Development record for Indian supplier and supply-chain operations.,3,2026-09-11 16:51:16
104,104,INVOICE-000104,INVOICE-000104,INVOICE-000104,Development record for Indian supplier and supply-chain operations.,5,2025-10-21 15:46:28
105,105,INVOICE-000105,INVOICE-000105,INVOICE-000105,Development record for Indian supplier and supply-chain operations.,1,2026-06-29 17:35:13
106,106,INVOICE-000106,INVOICE-000106,INVOICE-000106,Development record for Indian supplier and supply-chain operations.,2,2026-03-23 09:59:44
107,107,INVOICE-000107,INVOICE-000107,INVOICE-000107,Development record for Indian supplier and supply-chain operations.,1,2026-09-03 16:26:11
108,108,INVOICE-000108,INVOICE-000108,INVOICE-000108,Development record for Indian supplier and supply-chain operations.,1,2026-08-07 13:17:02
109,109,INVOICE-000109,INVOICE-000109,INVOICE-000109,Development record for Indian supplier and supply-chain operations.,3,2026-09-04 08:35:21
110,110,INVOICE-000110,INVOICE-000110,INVOICE-000110,Development record for Indian supplier and supply-chain operations.,4,2026-05-19 16:23:10
111,111,INVOICE-000111,INVOICE-000111,INVOICE-000111,Development record for Indian supplier and supply-chain operations.,2,2027-01-06 13:33:09
112,112,INVOICE-000112,INVOICE-000112,INVOICE-000112,Development record for Indian supplier and supply-chain operations.,4,2026-03-02 09:21:34
113,113,INVOICE-000113,INVOICE-000113,INVOICE-000113,Development record for Indian supplier and supply-chain operations.,1,2025-10-13 18:20:05
114,114,INVOICE-000114,INVOICE-000114,INVOICE-000114,Development record for Indian supplier and supply-chain operations.,4,2026-04-21 14:59:14
115,115,INVOICE-000115,INVOICE-000115,INVOICE-000115,Development record for Indian supplier and supply-chain operations.,4,2025-12-06 09:03:13
116,116,INVOICE-000116,INVOICE-000116,INVOICE-000116,Development record for Indian supplier and supply-chain operations.,4,2026-10-30 14:50:29
117,117,INVOICE-000117,INVOICE-000117,INVOICE-000117,Development record for Indian supplier and supply-chain operations.,2,2026-09-28 09:31:49
118,118,INVOICE-000118,INVOICE-000118,INVOICE-000118,Development record for Indian supplier and supply-chain operations.,5,2027-01-09 18:11:03
119,119,INVOICE-000119,INVOICE-000119,INVOICE-000119,Development record for Indian supplier and supply-chain operations.,2,2027-02-12 15:12:35
120,120,INVOICE-000120,INVOICE-000120,INVOICE-000120,Development record for Indian supplier and supply-chain operations.,5,2025-11-24 16:34:47
121,121,INVOICE-000121,INVOICE-000121,INVOICE-000121,Development record for Indian supplier and supply-chain operations.,5,2025-09-07 17:27:17
122,122,INVOICE-000122,INVOICE-000122,INVOICE-000122,Development record for Indian supplier and supply-chain operations.,1,2026-01-23 10:27:08
123,123,INVOICE-000123,INVOICE-000123,INVOICE-000123,Development record for Indian supplier and supply-chain operations.,1,2026-12-25 09:57:53
124,124,INVOICE-000124,INVOICE-000124,INVOICE-000124,Development record for Indian supplier and supply-chain operations.,5,2026-04-05 13:59:31
125,125,INVOICE-000125,INVOICE-000125,INVOICE-000125,Development record for Indian supplier and supply-chain operations.,1,2026-03-25 12:08:30
126,126,INVOICE-000126,INVOICE-000126,INVOICE-000126,Development record for Indian supplier and supply-chain operations.,1,2026-01-18 16:43:51
127,127,INVOICE-000127,INVOICE-000127,INVOICE-000127,Development record for Indian supplier and supply-chain operations.,3,2025-10-30 10:40:31
128,128,INVOICE-000128,INVOICE-000128,INVOICE-000128,Development record for Indian supplier and supply-chain operations.,3,2026-02-05 10:24:32
129,129,INVOICE-000129,INVOICE-000129,INVOICE-000129,Development record for Indian supplier and supply-chain operations.,4,2026-12-19 11:20:33
130,130,INVOICE-000130,INVOICE-000130,INVOICE-000130,Development record for Indian supplier and supply-chain operations.,4,2025-12-06 13:17:54
131,131,INVOICE-000131,INVOICE-000131,INVOICE-000131,Development record for Indian supplier and supply-chain operations.,2,2026-09-10 17:24:07
132,132,INVOICE-000132,INVOICE-000132,INVOICE-000132,Development record for Indian supplier and supply-chain operations.,1,2026-04-25 11:49:25
133,133,INVOICE-000133,INVOICE-000133,INVOICE-000133,Development record for Indian supplier and supply-chain operations.,1,2027-02-15 09:50:51
134,134,INVOICE-000134,INVOICE-000134,INVOICE-000134,Development record for Indian supplier and supply-chain operations.,1,2025-12-26 16:28:14
135,135,INVOICE-000135,INVOICE-000135,INVOICE-000135,Development record for Indian supplier and supply-chain operations.,4,2025-12-30 10:46:19
136,136,INVOICE-000136,INVOICE-000136,INVOICE-000136,Development record for Indian supplier and supply-chain operations.,4,2025-12-26 13:34:48
137,137,INVOICE-000137,INVOICE-000137,INVOICE-000137,Development record for Indian supplier and supply-chain operations.,2,2027-02-27 10:52:42
138,138,INVOICE-000138,INVOICE-000138,INVOICE-000138,Development record for Indian supplier and supply-chain operations.,4,2026-07-05 11:43:31
139,139,INVOICE-000139,INVOICE-000139,INVOICE-000139,Development record for Indian supplier and supply-chain operations.,3,2026-04-17 09:11:17
140,140,INVOICE-000140,INVOICE-000140,INVOICE-000140,Development record for Indian supplier and supply-chain operations.,1,2026-09-20 13:30:28
141,141,INVOICE-000141,INVOICE-000141,INVOICE-000141,Development record for Indian supplier and supply-chain operations.,4,2026-09-18 10:21:59
142,142,INVOICE-000142,INVOICE-000142,INVOICE-000142,Development record for Indian supplier and supply-chain operations.,1,2026-07-29 16:46:27
143,143,INVOICE-000143,INVOICE-000143,INVOICE-000143,Development record for Indian supplier and supply-chain operations.,4,2026-04-17 17:46:31
144,144,INVOICE-000144,INVOICE-000144,INVOICE-000144,Development record for Indian supplier and supply-chain operations.,3,2027-03-01 12:14:35
145,145,INVOICE-000145,INVOICE-000145,INVOICE-000145,Development record for Indian supplier and supply-chain operations.,3,2026-02-23 08:36:03
146,146,INVOICE-000146,INVOICE-000146,INVOICE-000146,Development record for Indian supplier and supply-chain operations.,1,2026-09-15 17:26:31
147,147,INVOICE-000147,INVOICE-000147,INVOICE-000147,Development record for Indian supplier and supply-chain operations.,1,2026-06-26 11:57:55
148,148,INVOICE-000148,INVOICE-000148,INVOICE-000148,Development record for Indian supplier and supply-chain operations.,2,2025-11-10 09:34:39
149,149,INVOICE-000149,INVOICE-000149,INVOICE-000149,Development record for Indian supplier and supply-chain operations.,2,2025-10-29 13:53:50
150,150,INVOICE-000150,INVOICE-000150,INVOICE-000150,Development record for Indian supplier and supply-chain operations.,4,2026-07-23 12:09:07
