id,recipient,notification_type,subject,message,status,error_message,sent_at,created_by
16,NOTIFICA-000016,NOTIFICA-000016,NOTIFICA-000016,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-07-21 08:20:27,5
17,NOTIFICA-000017,NOTIFICA-000017,NOTIFICA-000017,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-01-05 13:05:23,4
18,NOTIFICA-000018,NOTIFICA-000018,NOTIFICA-000018,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-05-12 16:18:49,5
19,NOTIFICA-000019,NOTIFICA-000019,NOTIFICA-000019,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-12-11 14:00:43,3
20,NOTIFICA-000020,NOTIFICA-000020,NOTIFICA-000020,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-01-23 13:22:02,2
21,NOTIFICA-000021,NOTIFICA-000021,NOTIFICA-000021,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-03-16 09:11:03,5
22,NOTIFICA-000022,NOTIFICA-000022,NOTIFICA-000022,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-03-23 09:25:00,1
23,NOTIFICA-000023,NOTIFICA-000023,NOTIFICA-000023,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-12-22 18:48:15,4
24,NOTIFICA-000024,NOTIFICA-000024,NOTIFICA-000024,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-05-26 18:25:36,5
25,NOTIFICA-000025,NOTIFICA-000025,NOTIFICA-000025,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-01-04 18:55:51,5
26,NOTIFICA-000026,NOTIFICA-000026,NOTIFICA-000026,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-08-07 17:18:15,2
27,NOTIFICA-000027,NOTIFICA-000027,NOTIFICA-000027,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-11-02 18:28:57,2
28,NOTIFICA-000028,NOTIFICA-000028,NOTIFICA-000028,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-09-16 14:41:29,1
29,NOTIFICA-000029,NOTIFICA-000029,NOTIFICA-000029,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-09-01 09:19:42,3
30,NOTIFICA-000030,NOTIFICA-000030,NOTIFICA-000030,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-10-13 09:59:28,3
31,NOTIFICA-000031,NOTIFICA-000031,NOTIFICA-000031,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2027-02-07 11:43:25,3
32,NOTIFICA-000032,NOTIFICA-000032,NOTIFICA-000032,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-12-20 16:05:23,1
33,NOTIFICA-000033,NOTIFICA-000033,NOTIFICA-000033,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2027-02-16 17:27:53,1
34,NOTIFICA-000034,NOTIFICA-000034,NOTIFICA-000034,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-05-01 12:28:02,1
35,NOTIFICA-000035,NOTIFICA-000035,NOTIFICA-000035,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2027-03-06 08:02:34,5
36,NOTIFICA-000036,NOTIFICA-000036,NOTIFICA-000036,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-04-28 18:57:32,5
37,NOTIFICA-000037,NOTIFICA-000037,NOTIFICA-000037,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-05-01 13:05:46,4
38,NOTIFICA-000038,NOTIFICA-000038,NOTIFICA-000038,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-02-09 10:23:33,3
39,NOTIFICA-000039,NOTIFICA-000039,NOTIFICA-000039,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-12-01 16:45:39,1
40,NOTIFICA-000040,NOTIFICA-000040,NOTIFICA-000040,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-11-15 15:41:47,5
41,NOTIFICA-000041,NOTIFICA-000041,NOTIFICA-000041,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-02-27 08:52:52,2
42,NOTIFICA-000042,NOTIFICA-000042,NOTIFICA-000042,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-08-14 13:30:08,5
43,NOTIFICA-000043,NOTIFICA-000043,NOTIFICA-000043,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-12-06 17:04:43,2
44,NOTIFICA-000044,NOTIFICA-000044,NOTIFICA-000044,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-11-21 17:24:44,2
45,NOTIFICA-000045,NOTIFICA-000045,NOTIFICA-000045,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-06-17 13:53:38,3
46,NOTIFICA-000046,NOTIFICA-000046,NOTIFICA-000046,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-12-31 09:47:22,1
47,NOTIFICA-000047,NOTIFICA-000047,NOTIFICA-000047,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-10-20 09:51:26,5
48,NOTIFICA-000048,NOTIFICA-000048,NOTIFICA-000048,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2026-07-18 12:52:17,3
49,NOTIFICA-000049,NOTIFICA-000049,NOTIFICA-000049,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2025-09-25 10:10:10,4
50,NOTIFICA-000050,NOTIFICA-000050,NOTIFICA-000050,Development record for Indian supplier and supply-chain operations.,Sent,Development record for Indian supplier and supply-chain operations.,2027-01-06 17:25:12,1
