id,invoice_no,vendor_name,product_name,department,quantity,amount,status,delivery_status,quality_status,payment_status,transaction_id
26,INV2109,"Abbott, Treutel and Heaney",Alpha Widget Order,Management,80,5700,Approved,Delivered,Checked,Paid,TXN-34567890
27,INV2190,Davis Inc,Gamma Thingamajig Order,Cyber Security,33,1200,Approved,Delivered,Checked,Paid,TXN-68035791
28,INV5432,Hackett-Williamson,Alpha Widget Order,Cyber Security,57,9200,Approved,Delivered,Checked,Paid,TXN-79146802
29,INV8761,"Klocko, Gulgowski and Schinner",Alpha Widget Order,Finance,68,7400,Approved,Delivered,Checked,Paid,TXN-46813579
30,INV2190,Pacocha-Purdy,Delta Doohickey Order,Procurement,10,1100,Approved,Delivered,Checked,Paid,TXN-13579246
31,INV2109,Brakus and Sons,Beta Gizmo Order,Finance,37,2700,Approved,Delivered,Checked,Paid,TXN-68035791
32,INV4326,"Kerluke, Auer and Lueilwitz",Epsilon Whatchamacallit Order,Cyber Security,70,1550,Approved,Delivered,Checked,Paid,TXN-46813579
33,INV0987,Sauer and Sons,Alpha Widget Order,Management,51,8300,Approved,Delivered,Checked,Paid,TXN-24691357
34,INV6543,Turcotte Inc,Epsilon Whatchamacallit Order,Network,57,7900,Approved,Delivered,Checked,Paid,TXN-35702468
35,INV4321,Purdy-Kris,Gamma Thingamajig Order,Finance,20,9300,Approved,Delivered,Checked,Paid,TXN-91368024
36,INV2109,Lesch-Larkin,Epsilon Whatchamacallit Order,Management,84,1350,Approved,Delivered,Checked,Paid,TXN-57924680
37,INV5678,Leuschke-Gottlieb,Epsilon Whatchamacallit Order,Cyber Security,35,7400,Approved,Delivered,Checked,Paid,TXN-02479135
38,INV0987,"Gerlach, Friesen and Howell",Delta Doohickey Order,Management,86,4400,Approved,Delivered,Checked,Paid,TXN-24691357
39,INV0987,"DuBuque, Schroeder and Schaefer",Beta Gizmo Order,Cyber Security,29,3300,Approved,Delivered,Checked,Paid,TXN-35702468
40,INV6789,"Moen, Hermiston and Ebert",Gamma Thingamajig Order,Procurement,55,2100,Approved,Delivered,Checked,Paid,TXN-57924680
41,INV4326,Kuvalis and Sons,Gamma Thingamajig Order,Management,24,6400,Approved,Delivered,Checked,Paid,TXN-91368024
42,INV2190,"Reinger, Johnston and Walsh",Gamma Thingamajig Order,HR,38,7200,Approved,Delivered,Checked,Paid,TXN-24691357
43,INV0987,"Wilderman, Mayert and Wisozk",Epsilon Whatchamacallit Order,Finance,90,1125,Approved,Delivered,Checked,Paid,TXN-79146802
44,INV2190,Monahan LLC,Epsilon Whatchamacallit Order,HR,73,3500,Approved,Delivered,Checked,Paid,TXN-02479135
45,INV6543,"Abernathy, Nicolas and Cummings",Beta Gizmo Order,Procurement,100,9800,Approved,Delivered,Checked,Paid,TXN-02479135
46,INV6547,Barrows-Schroeder,Delta Doohickey Order,Network,84,7200,Approved,Delivered,Checked,Paid,TXN-13580246
47,INV2109,"Harris, Rau and Kohler",Gamma Thingamajig Order,Cyber Security,86,1650,Approved,Delivered,Checked,Paid,TXN-91368024
48,INV0981,"Kerluke, Olson and Hyatt",Gamma Thingamajig Order,Management,85,1700,Approved,Delivered,Checked,Paid,TXN-35702468
49,INV6547,Kuvalis-Corwin,Epsilon Whatchamacallit Order,Network,64,4000,Approved,Delivered,Checked,Paid,TXN-57924680
50,INV8901,"Hagenes, Veum and Deckow",Epsilon Whatchamacallit Order,Cyber Security,12,9400,Approved,Delivered,Checked,Paid,TXN-46813579
51,INV4321,Koss LLC,Gamma Thingamajig Order,Management,62,4200,Approved,Delivered,Checked,Paid,TXN-57924680
52,INV4321,"Ward, Kuphal and O'Connell",Epsilon Whatchamacallit Order,Management,46,8100,Approved,Delivered,Checked,Paid,TXN-91368024
53,INV4326,"Jerde, Thompson and Wolff",Alpha Widget Order,HR,86,9500,Approved,Delivered,Checked,Paid,TXN-68035791
54,INV2109,Yost-Bogan,Epsilon Whatchamacallit Order,HR,31,2600,Approved,Delivered,Checked,Paid,TXN-78901234
55,INV4321,"Erdman, Hirthe and Luettgen",Epsilon Whatchamacallit Order,Cyber Security,51,5100,Approved,Delivered,Checked,Paid,TXN-35702468
56,INV6547,Parisian and Sons,Beta Gizmo Order,Network,38,2400,Approved,Delivered,Checked,Paid,TXN-02479135
57,INV2345,Parker Inc,Epsilon Whatchamacallit Order,HR,92,1500,Approved,Delivered,Checked,Paid,TXN-91368024
58,INV6543,"Prosacco, Legros and Donnelly",Delta Doohickey Order,Procurement,32,5900,Approved,Delivered,Checked,Paid,TXN-35702468
59,INV4567,Stoltenberg Group,Epsilon Whatchamacallit Order,HR,93,5200,Approved,Delivered,Checked,Paid,TXN-68035791
60,INV4326,Howe Inc,Epsilon Whatchamacallit Order,Software Develpoment,51,6600,Approved,Delivered,Checked,Paid,TXN-02479135
61,INV0987,Herman-Haag,Delta Doohickey Order,Procurement,34,1600,Approved,Delivered,Checked,Paid,TXN-24691357
62,INV6543,Dickens-Moen,Gamma Thingamajig Order,Procurement,69,7100,Approved,Delivered,Checked,Paid,TXN-78901234
63,INV4567,Wolff Inc,Beta Gizmo Order,Software Develpoment,100,5600,Approved,Delivered,Checked,Paid,TXN-89012345
64,INV6547,Daugherty LLC,Beta Gizmo Order,HR,12,7200,Approved,Delivered,Checked,Paid,TXN-57924680
65,INV4326,Gleichner-Walter,Beta Gizmo Order,Software Develpoment,46,1500,Approved,Delivered,Checked,Paid,TXN-80257913
66,INV4326,Ruecker-DuBuque,Beta Gizmo Order,HR,43,1900,Approved,Delivered,Checked,Paid,TXN-46813579
67,INV8761,"Deckow, Rohan and McCullough",Gamma Thingamajig Order,Finance,34,8600,Approved,Delivered,Checked,Paid,TXN-80257913
68,INV9012,White Inc,Delta Doohickey Order,Cyber Security,25,3500,Approved,Delivered,Checked,Paid,TXN-91368024
69,INV2190,Klocko LLC,Beta Gizmo Order,HR,70,8800,Approved,Delivered,Checked,Paid,TXN-35702468
70,INV6547,"Mayert, Volkman and Kihn",Beta Gizmo Order,Management,19,7100,Approved,Delivered,Checked,Paid,TXN-12345678
71,INV2190,Bruen Inc,Delta Doohickey Order,Procurement,93,7100,Approved,Delivered,Checked,Paid,TXN-35702468
72,INV6543,"Dickens, Baumbach and Wintheiser",Epsilon Whatchamacallit Order,Software Develpoment,100,1100,Approved,Delivered,Checked,Paid,TXN-02479135
73,INV8761,Fisher-Padberg,Epsilon Whatchamacallit Order,Procurement,50,6900,Approved,Delivered,Checked,Paid,TXN-57924680
74,INV0987,Champlin and Sons,Beta Gizmo Order,HR,24,6800,Approved,Delivered,Checked,Paid,TXN-80257913
75,INV4326,Kozey and Sons,Beta Gizmo Order,Cyber Security,14,1750,Approved,Delivered,Checked,Paid,TXN-57924680
76,INV7890,Flatley and Sons,Epsilon Whatchamacallit Order,Cyber Security,48,7000,Approved,Delivered,Checked,Paid,TXN-79146802
77,INV2109,"Thiel, Kulas and Hudson",Delta Doohickey Order,Management,18,8100,Approved,Delivered,Checked,Paid,TXN-91368024
78,INV8765,Reynolds Inc,Delta Doohickey Order,Finance,21,9900,Approved,Delivered,Checked,Paid,TXN-24691357
79,INV2190,"DuBuque, Hills and Beier",Alpha Widget Order,Finance,9,9900,Approved,Delivered,Checked,Paid,TXN-35702468
80,INV2190,Denesik and Sons,Gamma Thingamajig Order,Network,21,5900,Approved,Delivered,Checked,Paid,TXN-80257913
81,INV6547,"Dietrich, Stiedemann and Fritsch",Beta Gizmo Order,Finance,82,8100,Approved,Delivered,Checked,Paid,TXN-02479135
82,INV6547,"Erdman, Nienow and Ritchie",Gamma Thingamajig Order,Software Develpoment,15,1125,Approved,Delivered,Checked,Paid,TXN-80257913
83,INV7890,Larkin-Jacobi,Epsilon Whatchamacallit Order,Cyber Security,69,8900,Approved,Delivered,Checked,Paid,TXN-79146802
84,INV6543,"Reinger, Jerde and Kunde",Alpha Widget Order,Network,73,7100,Approved,Delivered,Checked,Paid,TXN-91368024
85,INV0987,Adams-Doyle,Gamma Thingamajig Order,Network,42,1400,Approved,Delivered,Checked,Paid,TXN-90123456
86,INV2190,"Bernhard, Pfannerstill and McLaughlin",Beta Gizmo Order,Cyber Security,73,6100,Approved,Delivered,Checked,Paid,TXN-23456789
87,INV4321,Watsica LLC,Gamma Thingamajig Order,HR,76,4400,Approved,Delivered,Checked,Paid,TXN-80257913
88,INV2345,Rice-Walter,Epsilon Whatchamacallit Order,Network,53,1550,Approved,Delivered,Checked,Paid,TXN-12345678
89,INV2190,"Grimes, Sipes and Hoppe",Epsilon Whatchamacallit Order,Procurement,53,7000,Approved,Delivered,Checked,Paid,TXN-91368024
90,INV4326,Prohaska-Little,Alpha Widget Order,Cyber Security,97,3400,Approved,Delivered,Checked,Paid,TXN-68035791
91,INV0981,"Senger, Macejkovic and Herman",Gamma Thingamajig Order,Management,32,3700,Approved,Delivered,Checked,Paid,TXN-91368024
92,INV4321,"Bosco, Kris and Hyatt",Alpha Widget Order,Procurement,57,1050,Approved,Delivered,Checked,Paid,TXN-91368024
93,INV2109,"Green, Kilback and Weissnat",Epsilon Whatchamacallit Order,Procurement,65,7200,Approved,Delivered,Checked,Paid,TXN-68035791
94,INV8761,Bechtelar Inc,Beta Gizmo Order,Software Develpoment,95,5600,Approved,Delivered,Checked,Paid,TXN-13579246
95,INV4321,Marks and Sons,Alpha Widget Order,Network,55,2600,Approved,Delivered,Checked,Paid,TXN-68035791
96,INV4326,"Kessler, Gibson and Trantow",Gamma Thingamajig Order,Procurement,25,5200,Approved,Delivered,Checked,Paid,TXN-79146802
97,INV0981,Turcotte-Feil,Beta Gizmo Order,Finance,13,10000,Approved,Delivered,Checked,Paid,TXN-13580246
98,INV0987,Hettinger Inc,Beta Gizmo Order,Management,40,2500,Approved,Delivered,Checked,Paid,TXN-35702468
99,INV8765,Goyette Group,Alpha Widget Order,Management,46,1100,Approved,Delivered,Checked,Paid,TXN-91368024
100,INV4326,Cronin Group,Epsilon Whatchamacallit Order,Finance,62,2500,Approved,Delivered,Checked,Paid,TXN-68035791
101,INV8765,Daugherty Inc,Gamma Thingamajig Order,Management,22,1750,Approved,Delivered,Checked,Paid,TXN-13580246
102,INV2345,Corkery-Hoeger,Gamma Thingamajig Order,Network,4,5700,Approved,Delivered,Checked,Paid,TXN-13580246
103,INV2109,Wunsch-Waters,Epsilon Whatchamacallit Order,HR,36,6100,Approved,Delivered,Checked,Paid,TXN-80257913
104,INV0981,Kunde-Haley,Beta Gizmo Order,Software Develpoment,63,2100,Approved,Delivered,Checked,Paid,TXN-91368024
105,INV0981,Swift-Wilderman,Gamma Thingamajig Order,Finance,64,8900,Approved,Delivered,Checked,Paid,TXN-02479135
106,INV0981,Legros-Pfannerstill,Gamma Thingamajig Order,Software Develpoment,32,4300,Approved,Delivered,Checked,Paid,TXN-24691357
107,INV8761,Schimmel Group,Gamma Thingamajig Order,Procurement,59,5900,Approved,Delivered,Checked,Paid,TXN-13580246
108,INV2190,"West, Howell and Reilly",Gamma Thingamajig Order,Network,9,1250,Approved,Delivered,Checked,Paid,TXN-13580246
109,INV6547,"Abshire, Moen and Spencer",Epsilon Whatchamacallit Order,Network,38,7600,Approved,Delivered,Checked,Paid,TXN-24691357
110,INV0981,"Kris, Nikolaus and Sanford",Gamma Thingamajig Order,Network,14,8900,Approved,Delivered,Checked,Paid,TXN-68035791
111,INV0981,Luettgen Group,Delta Doohickey Order,Software Develpoment,46,6000,Approved,Delivered,Checked,Paid,TXN-34567890
112,INV4326,Runte-Lynch,Gamma Thingamajig Order,Management,85,7200,Approved,Delivered,Checked,Paid,TXN-01234567
113,INV2190,"Pollich, Gulgowski and Kuhlman",Alpha Widget Order,Management,36,1225,Approved,Delivered,Checked,Paid,TXN-23456789
114,INV4567,Kassulke-Considine,Gamma Thingamajig Order,Management,37,3300,Approved,Delivered,Checked,Paid,TXN-68035791
115,INV6543,"Spinka, Roberts and Corwin",Delta Doohickey Order,Network,93,1325,Approved,Delivered,Checked,Paid,TXN-91368024
116,INV4321,"Brekke, McKenzie and Swift",Delta Doohickey Order,HR,29,8100,Approved,Delivered,Checked,Paid,TXN-24691357
117,INV2190,Raynor-Bashirian,Epsilon Whatchamacallit Order,Management,84,9000,Approved,Delivered,Checked,Paid,TXN-57924680
118,INV8765,Kozey and Sons,Epsilon Whatchamacallit Order,Network,68,6600,Approved,Delivered,Checked,Paid,TXN-91368024
119,INV2190,Thiel and Sons,Alpha Widget Order,HR,59,6200,Approved,Delivered,Checked,Paid,TXN-35792468
120,INV2190,Hermann Inc,Beta Gizmo Order,Procurement,43,3100,Approved,Delivered,Checked,Paid,TXN-46813579
121,INV2109,"Roberts, Hodkiewicz and Witting",Epsilon Whatchamacallit Order,Management,17,2500,Approved,Delivered,Checked,Paid,TXN-46813579
122,INV6547,"Satterfield, Streich and Luettgen",Epsilon Whatchamacallit Order,Cyber Security,92,2400,Approved,Delivered,Checked,Paid,TXN-13580246
123,INV4326,Gorczany-Davis,Alpha Widget Order,Management,32,7500,Approved,Delivered,Checked,Paid,TXN-35702468
124,INV0981,Zemlak-Harvey,Delta Doohickey Order,Network,7,5900,Approved,Delivered,Checked,Paid,TXN-46813579
125,INV6543,"Rohan, Mitchell and Grimes",Epsilon Whatchamacallit Order,Software Develpoment,7,6100,Approved,Delivered,Checked,Paid,TXN-46813579
126,INV8765,"Gutmann, Hilll and Koelpin",Gamma Thingamajig Order,Finance,63,6000,Approved,Delivered,Checked,Paid,TXN-79146802
127,INV6547,"Weber, Quitzon and Kessler",Delta Doohickey Order,Network,29,5300,Approved,Delivered,Checked,Paid,TXN-02479135
128,INV4321,West-Herzog,Delta Doohickey Order,HR,98,7000,Approved,Delivered,Checked,Paid,TXN-79146802
129,INV6543,Wilkinson-Heathcote,Gamma Thingamajig Order,Procurement,9,7400,Approved,Delivered,Checked,Paid,TXN-35702468
130,INV9012,"Adams, Rolfson and Bernier",Delta Doohickey Order,Management,55,2900,Approved,Delivered,Checked,Paid,TXN-13580246
131,INV2190,Ryan Group,Delta Doohickey Order,HR,19,9300,Approved,Delivered,Checked,Paid,TXN-79146802
132,INV4321,Roob Inc,Beta Gizmo Order,Management,73,7200,Approved,Delivered,Checked,Paid,TXN-02479135
133,INV4567,"Zemlak, Bradtke and Stark",Alpha Widget Order,Cyber Security,30,6000,Approved,Delivered,Checked,Paid,TXN-80257913
134,INV0987,Cruickshank-Ruecker,Alpha Widget Order,Procurement,98,3000,Approved,Delivered,Checked,Paid,TXN-35702468
135,INV6543,Friesen LLC,Epsilon Whatchamacallit Order,Finance,73,2900,Approved,Delivered,Checked,Paid,TXN-13580246
136,INV0981,"Senger, Wisozk and Kling",Alpha Widget Order,Cyber Security,68,2700,Approved,Delivered,Checked,Paid,TXN-35702468
137,INV6789,Corwin Group,Gamma Thingamajig Order,Cyber Security,81,8000,Approved,Delivered,Checked,Paid,TXN-02479135
138,INV4326,Kohler-Lakin,Epsilon Whatchamacallit Order,Management,78,2800,Approved,Delivered,Checked,Paid,TXN-13580246
139,INV4321,Kemmer-Jenkins,Delta Doohickey Order,Cyber Security,63,3400,Approved,Delivered,Checked,Paid,TXN-12345678
140,INV6547,Hahn Inc,Alpha Widget Order,Network,100,2100,Approved,Delivered,Checked,Paid,TXN-24691357
141,INV8765,Wisoky-Denesik,Beta Gizmo Order,Network,100,3000,Approved,Delivered,Checked,Paid,TXN-13580246
142,INV0981,Hauck-Koelpin,Beta Gizmo Order,Procurement,90,2000,Approved,Delivered,Checked,Paid,TXN-46813579
143,INV2109,Murazik Inc,Epsilon Whatchamacallit Order,Management,47,4400,Approved,Delivered,Checked,Paid,TXN-68035791
144,INV2109,Cole-Ward,Beta Gizmo Order,Management,64,1050,Approved,Delivered,Checked,Paid,TXN-24691357
145,INV2109,Rau LLC,Beta Gizmo Order,Procurement,66,6400,Approved,Delivered,Checked,Paid,TXN-46813579
146,INV4326,Carter-Stanton,Delta Doohickey Order,Procurement,8,3800,Approved,Delivered,Checked,Paid,TXN-24691357
147,INV4326,Harber Group,Beta Gizmo Order,Software Develpoment,75,2700,Approved,Delivered,Checked,Paid,TXN-57924680
148,INV2109,Brekke Group,Alpha Widget Order,HR,30,1225,Approved,Delivered,Checked,Paid,TXN-13580246
149,INV6543,Goyette Inc,Beta Gizmo Order,Cyber Security,30,9600,Approved,Delivered,Checked,Paid,TXN-80257913
150,INV0987,"Gutmann, Kautzer and Hermann",Delta Doohickey Order,Network,93,7300,Approved,Delivered,Checked,Paid,TXN-35702468
151,INV2190,Cormier-Littel,Alpha Widget Order,HR,95,4300,Approved,Delivered,Checked,Paid,TXN-24691357
152,INV4326,Considine Inc,Gamma Thingamajig Order,Software Develpoment,45,9300,Approved,Delivered,Checked,Paid,TXN-68035791
153,INV6547,"Marquardt, Gutkowski and Kshlerin",Delta Doohickey Order,Network,45,5800,Approved,Delivered,Checked,Paid,TXN-57924680
154,INV2345,O'Connell LLC,Delta Doohickey Order,HR,53,6000,Approved,Delivered,Checked,Paid,TXN-79146802
155,INV6543,Klocko and Sons,Beta Gizmo Order,Management,53,8000,Approved,Delivered,Checked,Paid,TXN-79146802
156,INV6543,Nolan-McClure,Epsilon Whatchamacallit Order,Finance,73,4400,Approved,Delivered,Checked,Paid,TXN-46813579
157,INV4321,"Davis, Schoen and Schultz",Alpha Widget Order,Network,62,6900,Approved,Delivered,Checked,Paid,TXN-35702468
158,INV6547,Schmeler-O'Conner,Epsilon Whatchamacallit Order,Finance,47,1600,Approved,Delivered,Checked,Paid,TXN-13580246
159,INV0981,Hintz-White,Epsilon Whatchamacallit Order,Management,92,1600,Approved,Delivered,Checked,Paid,TXN-80257913
160,INV0981,Macejkovic-Kovacek,Epsilon Whatchamacallit Order,Software Develpoment,41,2300,Approved,Delivered,Checked,Paid,TXN-46813579
161,INV6543,Bernier Inc,Beta Gizmo Order,Procurement,87,4100,Approved,Delivered,Checked,Paid,TXN-24691357
162,INV8765,"Gibson, Wyman and Gulgowski",Epsilon Whatchamacallit Order,Network,89,5400,Approved,Delivered,Checked,Paid,TXN-35702468
163,INV2190,"Rowe, Kuhlman and Anderson",Epsilon Whatchamacallit Order,Cyber Security,6,2900,Approved,Delivered,Checked,Paid,TXN-13580246
164,INV4321,Kirlin and Sons,Delta Doohickey Order,HR,77,2900,Approved,Delivered,Checked,Paid,TXN-35702468
165,INV4326,Fahey Inc,Beta Gizmo Order,Management,76,1125,Approved,Delivered,Checked,Paid,TXN-57924680
166,INV6543,Kirlin LLC,Gamma Thingamajig Order,Software Develpoment,96,5400,Approved,Delivered,Checked,Paid,TXN-80257913
167,INV8765,"Hayes, Witting and Brown",Gamma Thingamajig Order,Finance,75,9900,Approved,Delivered,Checked,Paid,TXN-02479135
168,INV4321,"Rippin, Berge and Fisher",Epsilon Whatchamacallit Order,Network,42,5500,Approved,Delivered,Checked,Paid,TXN-79146802
169,INV0987,"Connelly, Lind and Murray",Beta Gizmo Order,Management,91,2300,Approved,Delivered,Checked,Paid,TXN-68035791
170,INV6547,"Runolfsdottir, Collins and Rutherford",Beta Gizmo Order,Software Develpoment,53,9500,Approved,Delivered,Checked,Paid,TXN-79146802
171,INV2345,Langworth-Bergnaum,Delta Doohickey Order,HR,46,3200,Approved,Delivered,Checked,Paid,TXN-46813579
172,INV6789,"Maggio, Ferry and Greenfelder",Delta Doohickey Order,Network,3,2300,Approved,Delivered,Checked,Paid,TXN-35702468
173,INV0987,Halvorson-Reilly,Delta Doohickey Order,Software Develpoment,63,7700,Approved,Delivered,Checked,Paid,TXN-57924680
174,INV8765,Stiedemann Inc,Epsilon Whatchamacallit Order,Procurement,81,10000,Approved,Delivered,Checked,Paid,TXN-24691357
175,INV8761,"Leffler, Trantow and King",Epsilon Whatchamacallit Order,Management,89,5300,Approved,Delivered,Checked,Paid,TXN-68035791
176,INV6543,Cremin-Nitzsche,Epsilon Whatchamacallit Order,Network,54,5900,Approved,Delivered,Checked,Paid,TXN-35702468
177,INV4326,Ziemann Inc,Gamma Thingamajig Order,Network,55,1050,Approved,Delivered,Checked,Paid,TXN-68035791
178,INV8765,Wilderman-Feil,Gamma Thingamajig Order,Network,27,5400,Approved,Delivered,Checked,Paid,TXN-02479135
179,INV4567,Rempel LLC,Beta Gizmo Order,Finance,39,7100,Approved,Delivered,Checked,Paid,TXN-46813579
180,INV8761,Aufderhar-Windler,Epsilon Whatchamacallit Order,Procurement,37,6100,Approved,Delivered,Checked,Paid,TXN-91368024
181,INV8765,Paucek and Sons,Alpha Widget Order,Management,20,4100,Approved,Delivered,Checked,Paid,TXN-56789012
182,INV3456,"Kessler, Buckridge and Hodkiewicz",Gamma Thingamajig Order,Cyber Security,43,4000,Approved,Delivered,Checked,Paid,TXN-23456789
183,INV6547,Frami LLC,Delta Doohickey Order,Software Develpoment,89,4700,Approved,Delivered,Checked,Paid,TXN-91368024
184,INV0981,"Barrows, Towne and Beahan",Delta Doohickey Order,Procurement,44,3100,Approved,Delivered,Checked,Paid,TXN-46813579
185,INV8761,Jacobi-Weber,Delta Doohickey Order,Procurement,71,4300,Approved,Delivered,Checked,Paid,TXN-13579246
186,INV2190,Tillman-Will,Delta Doohickey Order,Software Develpoment,33,9600,Approved,Delivered,Checked,Paid,TXN-02479135
187,INV8761,"Lueilwitz, Roob and Luettgen",Beta Gizmo Order,Procurement,43,8800,Approved,Delivered,Checked,Paid,TXN-02479135
188,INV4321,Lindgren LLC,Beta Gizmo Order,HR,60,3900,Approved,Delivered,Checked,Paid,TXN-80257913
189,INV4326,Kerluke Group,Gamma Thingamajig Order,Software Develpoment,17,7200,Approved,Delivered,Checked,Paid,TXN-34567890
190,INV8761,"Rice, Kuhlman and Cummerata",Epsilon Whatchamacallit Order,Cyber Security,41,6000,Approved,Delivered,Checked,Paid,TXN-46813579
191,INV1234,Runolfsson-Medhurst,Beta Gizmo Order,Procurement,58,2500,Approved,Delivered,Checked,Paid,TXN-80257913
192,INV2109,"Connelly, Fadel and Goldner",Gamma Thingamajig Order,HR,89,1350,Approved,Delivered,Checked,Paid,TXN-91368024
193,INV4567,"Mueller, Greenholt and Funk",Beta Gizmo Order,Cyber Security,7,1550,Approved,Delivered,Checked,Paid,TXN-79146802
194,INV8761,Stanton LLC,Delta Doohickey Order,Cyber Security,40,2600,Approved,Delivered,Checked,Paid,TXN-68035791
195,INV4567,"Crist, Hammes and Waelchi",Delta Doohickey Order,Procurement,61,8500,Approved,Delivered,Checked,Paid,TXN-35702468
196,INV6789,Waters-Muller,Beta Gizmo Order,Software Develpoment,72,2600,Approved,Delivered,Checked,Paid,TXN-46813579
197,INV0987,"Veum, Pfeffer and Johnston",Alpha Widget Order,Software Develpoment,37,3700,Approved,Delivered,Checked,Paid,TXN-24691357
198,INV0987,Kulas Inc,Delta Doohickey Order,HR,9,3100,Approved,Delivered,Checked,Paid,TXN-24691357
199,INV6543,Langosh-Batz,Epsilon Whatchamacallit Order,Finance,5,8100,Approved,Delivered,Checked,Paid,TXN-35702468
200,INV8761,"Kulas, Brekke and Jakubowski",Beta Gizmo Order,Software Develpoment,89,7800,Approved,Delivered,Checked,Paid,TXN-24691357
201,INV8765,"Witting, Halvorson and Upton",Gamma Thingamajig Order,Management,88,9200,Approved,Delivered,Checked,Paid,TXN-02479135
202,INV2109,Lehner-Dach,Epsilon Whatchamacallit Order,Management,39,7200,Approved,Delivered,Checked,Paid,TXN-46813579
203,INV4321,Jast-Ernser,Delta Doohickey Order,Cyber Security,26,3700,Approved,Delivered,Checked,Paid,TXN-80257913
204,INV2190,Veum LLC,Delta Doohickey Order,Software Develpoment,25,6600,Approved,Delivered,Checked,Paid,TXN-91368024
205,INV6543,Raynor Group,Epsilon Whatchamacallit Order,Management,74,2600,Approved,Delivered,Checked,Paid,TXN-68035791
206,INV8901,"Durgan, Buckridge and Wyman",Epsilon Whatchamacallit Order,Cyber Security,63,4200,Approved,Delivered,Checked,Paid,TXN-57924680
207,INV6547,Thompson and Sons,Gamma Thingamajig Order,Procurement,94,6900,Approved,Delivered,Checked,Paid,TXN-13580246
208,INV4326,"Rutherford, Daugherty and Raynor",Delta Doohickey Order,Finance,89,4700,Approved,Delivered,Checked,Paid,TXN-80257913
209,INV2109,Gutkowski LLC,Alpha Widget Order,Software Develpoment,84,8600,Approved,Delivered,Checked,Paid,TXN-46813579
