id,invoice_no,vendor_name,product_name,quantity,department,creation_date,expiry_date,total_value,order_status,completed_units,production_status
21,INV8765,"Bailey, Stiedemann and Treutel",Gamma Thingamajig Order,83,HR,05-03-2022,18-04-2023,3500,Accepted by Vendor,98,Delivered
22,INV0981,"Monahan, Schmidt and Lubowitz",Epsilon Whatchamacallit Order,46,Finance,20-02-2022,22-04-2025,2000,Accepted by Vendor,65,Delivered
23,INV0981,"Veum, McGlynn and Anderson",Gamma Thingamajig Order,58,HR,04-01-2022,05-09-2025,1050,Accepted by Vendor,26,Delivered
24,INV0987,Harber Group,Epsilon Whatchamacallit Order,60,Procurement,19-01-2022,18-04-2023,8700,Accepted by Vendor,5,Delivered
25,INV2190,Bruen Group,Delta Doohickey Order,18,Software Develpoment,20-03-2022,14-09-2023,6600,Accepted by Vendor,52,Delivered
26,INV2109,"Abbott, Treutel and Heaney",Alpha Widget Order,80,Management,26-02-2022,15-03-2022,5700,Accepted by Vendor,30,Delivered
27,INV2190,Davis Inc,Gamma Thingamajig Order,33,Cyber Security,15-03-2022,15-04-2024,1200,Accepted by Vendor,83,Delivered
28,INV5432,Hackett-Williamson,Alpha Widget Order,57,Cyber Security,02-03-2022,30-04-2026,9200,Accepted by Vendor,95,Delivered
29,INV8761,"Klocko, Gulgowski and Schinner",Alpha Widget Order,68,Finance,14-02-2022,18-02-2026,7400,Accepted by Vendor,25,Delivered
30,INV2190,Pacocha-Purdy,Delta Doohickey Order,10,Procurement,23-03-2022,10-07-2024,1100,Accepted by Vendor,83,Delivered
31,INV2109,Brakus and Sons,Beta Gizmo Order,37,Finance,15-01-2022,12-05-2022,2700,Accepted by Vendor,77,Delivered
32,INV4326,"Kerluke, Auer and Lueilwitz",Epsilon Whatchamacallit Order,70,Cyber Security,17-02-2022,05-01-2022,1550,Accepted by Vendor,34,Delivered
33,INV0987,Sauer and Sons,Alpha Widget Order,51,Management,16-03-2022,05-08-2022,8300,Accepted by Vendor,97,Delivered
34,INV6543,Turcotte Inc,Epsilon Whatchamacallit Order,57,Network,06-01-2022,15-03-2025,7900,Accepted by Vendor,62,Delivered
35,INV4321,Purdy-Kris,Gamma Thingamajig Order,20,Finance,25-01-2022,15-06-2025,9300,Accepted by Vendor,61,Delivered
36,INV2109,Lesch-Larkin,Epsilon Whatchamacallit Order,84,Management,01-02-2022,18-04-2023,1350,Accepted by Vendor,50,Delivered
37,INV5678,Leuschke-Gottlieb,Epsilon Whatchamacallit Order,35,Cyber Security,14-03-2022,18-02-2026,7400,Accepted by Vendor,57,Delivered
38,INV0987,"Gerlach, Friesen and Howell",Delta Doohickey Order,86,Management,14-03-2022,30-08-2023,4400,Accepted by Vendor,6,Delivered
39,INV0987,"DuBuque, Schroeder and Schaefer",Beta Gizmo Order,29,Cyber Security,20-01-2022,15-03-2022,3300,Accepted by Vendor,72,Delivered
40,INV6789,"Moen, Hermiston and Ebert",Gamma Thingamajig Order,55,Procurement,22-02-2022,25-05-2024,2100,Accepted by Vendor,97,Delivered
41,INV4326,Kuvalis and Sons,Gamma Thingamajig Order,24,Management,02-03-2022,03-12-2026,6400,Accepted by Vendor,29,Delivered
42,INV2190,"Reinger, Johnston and Walsh",Gamma Thingamajig Order,38,HR,25-02-2022,15-01-2023,7200,Accepted by Vendor,80,Delivered
43,INV0987,"Wilderman, Mayert and Wisozk",Epsilon Whatchamacallit Order,90,Finance,21-01-2022,05-09-2024,1125,Accepted by Vendor,23,Delivered
44,INV2190,Monahan LLC,Epsilon Whatchamacallit Order,73,HR,27-02-2022,30-04-2026,3500,Accepted by Vendor,42,Delivered
45,INV6543,"Abernathy, Nicolas and Cummings",Beta Gizmo Order,100,Procurement,27-02-2022,10-01-2024,9800,Accepted by Vendor,67,Delivered
46,INV6547,Barrows-Schroeder,Delta Doohickey Order,84,Network,21-01-2022,10-07-2024,7200,Accepted by Vendor,32,Delivered
47,INV2109,"Harris, Rau and Kohler",Gamma Thingamajig Order,86,Cyber Security,09-02-2022,30-06-2022,1650,Accepted by Vendor,42,Delivered
48,INV0981,"Kerluke, Olson and Hyatt",Gamma Thingamajig Order,85,Management,12-01-2022,15-03-2022,1700,Accepted by Vendor,3,Delivered
49,INV6547,Kuvalis-Corwin,Epsilon Whatchamacallit Order,64,Network,13-03-2022,28-07-2023,4000,Accepted by Vendor,91,Delivered
50,INV8901,"Hagenes, Veum and Deckow",Epsilon Whatchamacallit Order,12,Cyber Security,28-02-2022,03-12-2026,9400,Accepted by Vendor,95,Delivered
51,INV4321,Koss LLC,Gamma Thingamajig Order,62,Management,14-02-2022,18-02-2026,4200,Accepted by Vendor,86,Delivered
52,INV4321,"Ward, Kuphal and O'Connell",Epsilon Whatchamacallit Order,46,Management,23-03-2022,10-07-2024,8100,Accepted by Vendor,19,Delivered
53,INV4326,"Jerde, Thompson and Wolff",Alpha Widget Order,86,HR,22-01-2022,15-12-2026,9500,Accepted by Vendor,57,Delivered
54,INV2109,Yost-Bogan,Epsilon Whatchamacallit Order,31,HR,01-03-2022,25-03-2026,2600,Accepted by Vendor,47,Delivered
55,INV4321,"Erdman, Hirthe and Luettgen",Epsilon Whatchamacallit Order,51,Cyber Security,18-02-2022,20-01-2025,5100,Accepted by Vendor,44,Delivered
56,INV6547,Parisian and Sons,Beta Gizmo Order,38,Network,02-01-2022,18-02-2024,2400,Accepted by Vendor,67,Delivered
57,INV2345,Parker Inc,Epsilon Whatchamacallit Order,92,HR,04-03-2022,20-12-2024,1500,Accepted by Vendor,84,Delivered
58,INV6543,"Prosacco, Legros and Donnelly",Delta Doohickey Order,32,Procurement,25-01-2022,05-09-2024,5900,Accepted by Vendor,60,Delivered
59,INV4567,Stoltenberg Group,Epsilon Whatchamacallit Order,93,HR,24-03-2022,05-08-2022,5200,Accepted by Vendor,70,Delivered
60,INV4326,Howe Inc,Epsilon Whatchamacallit Order,51,Software Develpoment,05-01-2022,30-12-2022,6600,Accepted by Vendor,31,Delivered
61,INV0987,Herman-Haag,Delta Doohickey Order,34,Procurement,17-03-2022,07-07-2022,1600,Accepted by Vendor,89,Delivered
62,INV6543,Dickens-Moen,Gamma Thingamajig Order,69,Procurement,25-02-2022,30-06-2022,7100,Accepted by Vendor,91,Delivered
63,INV4567,Wolff Inc,Beta Gizmo Order,100,Software Develpoment,29-03-2022,10-01-2024,5600,Accepted by Vendor,16,Delivered
64,INV6547,Daugherty LLC,Beta Gizmo Order,12,HR,09-03-2022,25-03-2026,7200,Accepted by Vendor,71,Delivered
65,INV4326,Gleichner-Walter,Beta Gizmo Order,46,Software Develpoment,27-03-2022,30-12-2022,1500,Accepted by Vendor,84,Delivered
66,INV4326,Ruecker-DuBuque,Beta Gizmo Order,43,HR,18-01-2022,07-07-2022,1900,Accepted by Vendor,70,Delivered
67,INV8761,"Deckow, Rohan and McCullough",Gamma Thingamajig Order,34,Finance,26-01-2022,20-05-2023,8600,Accepted by Vendor,81,Delivered
68,INV9012,White Inc,Delta Doohickey Order,25,Cyber Security,18-01-2022,20-12-2023,3500,Accepted by Vendor,65,Delivered
69,INV2190,Klocko LLC,Beta Gizmo Order,70,HR,16-03-2022,25-12-2026,8800,Accepted by Vendor,54,Delivered
70,INV6547,"Mayert, Volkman and Kihn",Beta Gizmo Order,19,Management,06-03-2022,30-01-2026,7100,Accepted by Vendor,13,Delivered
71,INV2190,Bruen Inc,Delta Doohickey Order,93,Procurement,21-02-2022,20-11-2026,7100,Accepted by Vendor,90,Delivered
72,INV6543,"Dickens, Baumbach and Wintheiser",Epsilon Whatchamacallit Order,100,Software Develpoment,08-01-2022,20-12-2024,1100,Accepted by Vendor,50,Delivered
73,INV8761,Fisher-Padberg,Epsilon Whatchamacallit Order,50,Procurement,07-03-2022,30-08-2023,6900,Accepted by Vendor,43,Delivered
74,INV0987,Champlin and Sons,Beta Gizmo Order,24,HR,20-03-2022,22-04-2025,6800,Accepted by Vendor,84,Delivered
75,INV4326,Kozey and Sons,Beta Gizmo Order,14,Cyber Security,22-03-2022,28-02-2025,1750,Accepted by Vendor,68,Delivered
76,INV7890,Flatley and Sons,Epsilon Whatchamacallit Order,48,Cyber Security,05-01-2022,25-03-2026,7000,Accepted by Vendor,89,Delivered
77,INV2109,"Thiel, Kulas and Hudson",Delta Doohickey Order,18,Management,01-02-2022,10-05-2026,8100,Accepted by Vendor,60,Delivered
78,INV8765,Reynolds Inc,Delta Doohickey Order,21,Finance,10-01-2022,30-06-2026,9900,Accepted by Vendor,99,Delivered
79,INV2190,"DuBuque, Hills and Beier",Alpha Widget Order,9,Finance,06-03-2022,30-01-2026,9900,Accepted by Vendor,93,Delivered
80,INV2190,Denesik and Sons,Gamma Thingamajig Order,21,Network,16-02-2022,20-05-2023,5900,Accepted by Vendor,55,Delivered
81,INV6547,"Dietrich, Stiedemann and Fritsch",Beta Gizmo Order,82,Finance,27-02-2022,10-11-2023,8100,Accepted by Vendor,94,Delivered
82,INV6547,"Erdman, Nienow and Ritchie",Gamma Thingamajig Order,15,Software Develpoment,25-01-2022,25-05-2024,1125,Accepted by Vendor,42,Delivered
83,INV7890,Larkin-Jacobi,Epsilon Whatchamacallit Order,69,Cyber Security,09-02-2022,10-12-2025,8900,Accepted by Vendor,60,Delivered
84,INV6543,"Reinger, Jerde and Kunde",Alpha Widget Order,73,Network,13-03-2022,18-09-2022,7100,Accepted by Vendor,88,Delivered
85,INV0987,Adams-Doyle,Gamma Thingamajig Order,42,Network,25-01-2022,10-01-2024,1400,Accepted by Vendor,88,Delivered
86,INV2190,"Bernhard, Pfannerstill and McLaughlin",Beta Gizmo Order,73,Cyber Security,03-03-2022,25-05-2024,6100,Accepted by Vendor,90,Delivered
87,INV4321,Watsica LLC,Gamma Thingamajig Order,76,HR,19-01-2022,20-12-2024,4400,Accepted by Vendor,37,Delivered
88,INV2345,Rice-Walter,Epsilon Whatchamacallit Order,53,Network,21-02-2022,18-02-2026,1550,Accepted by Vendor,51,Delivered
89,INV2190,"Grimes, Sipes and Hoppe",Epsilon Whatchamacallit Order,53,Procurement,23-03-2022,20-01-2025,7000,Accepted by Vendor,23,Delivered
90,INV4326,Prohaska-Little,Alpha Widget Order,97,Cyber Security,21-01-2022,23-11-2022,3400,Accepted by Vendor,59,Delivered
91,INV0981,"Senger, Macejkovic and Herman",Gamma Thingamajig Order,32,Management,23-03-2022,05-08-2022,3700,Accepted by Vendor,94,Delivered
92,INV4321,"Bosco, Kris and Hyatt",Alpha Widget Order,57,Procurement,30-03-2022,30-04-2026,1050,Accepted by Vendor,56,Delivered
93,INV2109,"Green, Kilback and Weissnat",Epsilon Whatchamacallit Order,65,Procurement,29-01-2022,30-01-2026,7200,Accepted by Vendor,6,Delivered
94,INV8761,Bechtelar Inc,Beta Gizmo Order,95,Software Develpoment,22-01-2022,10-01-2024,5600,Accepted by Vendor,93,Delivered
95,INV4321,Marks and Sons,Alpha Widget Order,55,Network,28-02-2022,10-11-2023,2600,Accepted by Vendor,64,Delivered
96,INV4326,"Kessler, Gibson and Trantow",Gamma Thingamajig Order,25,Procurement,03-02-2022,23-11-2022,5200,Accepted by Vendor,73,Delivered
97,INV0981,Turcotte-Feil,Beta Gizmo Order,13,Finance,12-03-2022,07-07-2022,10000,Accepted by Vendor,100,Delivered
98,INV0987,Hettinger Inc,Beta Gizmo Order,40,Management,05-02-2022,10-12-2025,2500,Accepted by Vendor,78,Delivered
99,INV8765,Goyette Group,Alpha Widget Order,46,Management,25-03-2022,30-06-2026,1100,Accepted by Vendor,36,Delivered
100,INV4326,Cronin Group,Epsilon Whatchamacallit Order,62,Finance,16-02-2022,30-04-2026,2500,Accepted by Vendor,63,Delivered
101,INV8765,Daugherty Inc,Gamma Thingamajig Order,22,Management,06-02-2022,18-09-2022,1750,Accepted by Vendor,35,Delivered
102,INV2345,Corkery-Hoeger,Gamma Thingamajig Order,4,Network,09-01-2022,05-10-2023,5700,Accepted by Vendor,28,Delivered
103,INV2109,Wunsch-Waters,Epsilon Whatchamacallit Order,36,HR,28-01-2022,22-04-2025,6100,Accepted by Vendor,71,Delivered
104,INV0981,Kunde-Haley,Beta Gizmo Order,63,Software Develpoment,01-03-2022,03-12-2026,2100,Accepted by Vendor,93,Delivered
105,INV0981,Swift-Wilderman,Gamma Thingamajig Order,64,Finance,08-01-2022,28-02-2025,8900,Accepted by Vendor,41,Delivered
106,INV0981,Legros-Pfannerstill,Gamma Thingamajig Order,32,Software Develpoment,11-03-2022,15-04-2024,4300,Accepted by Vendor,34,Delivered
107,INV8761,Schimmel Group,Gamma Thingamajig Order,59,Procurement,04-03-2022,03-12-2026,5900,Accepted by Vendor,73,Delivered
108,INV2190,"West, Howell and Reilly",Gamma Thingamajig Order,9,Network,24-01-2022,20-12-2024,1250,Accepted by Vendor,73,Delivered
109,INV6547,"Abshire, Moen and Spencer",Epsilon Whatchamacallit Order,38,Network,01-01-2022,30-12-2022,7600,Accepted by Vendor,15,Delivered
110,INV0981,"Kris, Nikolaus and Sanford",Gamma Thingamajig Order,14,Network,23-02-2022,15-04-2024,8900,Accepted by Vendor,33,Delivered
111,INV0981,Luettgen Group,Delta Doohickey Order,46,Software Develpoment,23-02-2022,15-10-2022,6000,Accepted by Vendor,41,Delivered
112,INV4326,Runte-Lynch,Gamma Thingamajig Order,85,Management,19-03-2022,05-09-2025,7200,Accepted by Vendor,33,Delivered
113,INV2190,"Pollich, Gulgowski and Kuhlman",Alpha Widget Order,36,Management,25-03-2022,20-12-2024,1225,Accepted by Vendor,18,Delivered
114,INV4567,Kassulke-Considine,Gamma Thingamajig Order,37,Management,11-03-2022,18-02-2026,3300,Accepted by Vendor,12,Delivered
115,INV6543,"Spinka, Roberts and Corwin",Delta Doohickey Order,93,Network,12-01-2022,05-06-2023,1325,Accepted by Vendor,88,Delivered
116,INV4321,"Brekke, McKenzie and Swift",Delta Doohickey Order,29,HR,09-03-2022,05-09-2024,8100,Accepted by Vendor,57,Delivered
117,INV2190,Raynor-Bashirian,Epsilon Whatchamacallit Order,84,Management,08-01-2022,15-08-2024,9000,Accepted by Vendor,60,Delivered
118,INV8765,Kozey and Sons,Epsilon Whatchamacallit Order,68,Network,18-01-2022,25-12-2026,6600,Accepted by Vendor,74,Delivered
119,INV2190,Thiel and Sons,Alpha Widget Order,59,HR,18-01-2022,25-05-2025,6200,Accepted by Vendor,72,Delivered
120,INV2190,Hermann Inc,Beta Gizmo Order,43,Procurement,30-01-2022,18-09-2022,3100,Accepted by Vendor,45,Delivered
121,INV2109,"Roberts, Hodkiewicz and Witting",Epsilon Whatchamacallit Order,17,Management,21-03-2022,20-12-2024,2500,Accepted by Vendor,78,Delivered
122,INV6547,"Satterfield, Streich and Luettgen",Epsilon Whatchamacallit Order,92,Cyber Security,18-01-2022,22-04-2025,2400,Accepted by Vendor,90,Delivered
123,INV4326,Gorczany-Davis,Alpha Widget Order,32,Management,28-03-2022,05-06-2024,7500,Accepted by Vendor,97,Delivered
124,INV0981,Zemlak-Harvey,Delta Doohickey Order,7,Network,05-03-2022,07-07-2022,5900,Accepted by Vendor,68,Delivered
125,INV6543,"Rohan, Mitchell and Grimes",Epsilon Whatchamacallit Order,7,Software Develpoment,29-03-2022,01-11-2025,6100,Accepted by Vendor,94,Delivered
126,INV8765,"Gutmann, Hilll and Koelpin",Gamma Thingamajig Order,63,Finance,21-02-2022,20-12-2024,6000,Accepted by Vendor,6,Delivered
127,INV6547,"Weber, Quitzon and Kessler",Delta Doohickey Order,29,Network,12-02-2022,29-11-2025,5300,Accepted by Vendor,71,Delivered
128,INV4321,West-Herzog,Delta Doohickey Order,98,HR,25-02-2022,23-11-2022,7000,Accepted by Vendor,45,Delivered
129,INV6543,Wilkinson-Heathcote,Gamma Thingamajig Order,9,Procurement,15-02-2022,15-03-2022,7400,Accepted by Vendor,47,Delivered
130,INV9012,"Adams, Rolfson and Bernier",Delta Doohickey Order,55,Management,26-03-2022,18-04-2023,2900,Accepted by Vendor,92,Delivered
131,INV2190,Ryan Group,Delta Doohickey Order,19,HR,23-01-2022,12-05-2022,9300,Accepted by Vendor,31,Delivered
132,INV4321,Roob Inc,Beta Gizmo Order,73,Management,08-03-2022,10-07-2024,7200,Accepted by Vendor,77,Delivered
133,INV4567,"Zemlak, Bradtke and Stark",Alpha Widget Order,30,Cyber Security,18-01-2022,01-11-2025,6000,Accepted by Vendor,22,Delivered
134,INV0987,Cruickshank-Ruecker,Alpha Widget Order,98,Procurement,25-02-2022,07-07-2022,3000,Accepted by Vendor,11,Delivered
135,INV6543,Friesen LLC,Epsilon Whatchamacallit Order,73,Finance,19-01-2022,05-10-2023,2900,Accepted by Vendor,26,Delivered
136,INV0981,"Senger, Wisozk and Kling",Alpha Widget Order,68,Cyber Security,11-02-2022,30-06-2026,2700,Accepted by Vendor,10,Delivered
137,INV6789,Corwin Group,Gamma Thingamajig Order,81,Cyber Security,11-02-2022,07-07-2022,8000,Accepted by Vendor,97,Delivered
138,INV4326,Kohler-Lakin,Epsilon Whatchamacallit Order,78,Management,21-03-2022,30-06-2026,2800,Accepted by Vendor,5,Delivered
139,INV4321,Kemmer-Jenkins,Delta Doohickey Order,63,Cyber Security,23-02-2022,14-09-2023,3400,Accepted by Vendor,29,Delivered
140,INV6547,Hahn Inc,Alpha Widget Order,100,Network,08-01-2022,20-12-2026,2100,Accepted by Vendor,89,Delivered
141,INV8765,Wisoky-Denesik,Beta Gizmo Order,100,Network,16-01-2022,05-10-2023,3000,Accepted by Vendor,85,Delivered
142,INV0981,Hauck-Koelpin,Beta Gizmo Order,90,Procurement,19-03-2022,30-08-2023,2000,Accepted by Vendor,64,Delivered
143,INV2109,Murazik Inc,Epsilon Whatchamacallit Order,47,Management,25-01-2022,12-05-2022,4400,Accepted by Vendor,81,Delivered
144,INV2109,Cole-Ward,Beta Gizmo Order,64,Management,12-01-2022,10-07-2024,1050,Accepted by Vendor,88,Delivered
145,INV2109,Rau LLC,Beta Gizmo Order,66,Procurement,30-01-2022,05-06-2024,6400,Accepted by Vendor,16,Delivered
146,INV4326,Carter-Stanton,Delta Doohickey Order,8,Procurement,26-02-2022,05-01-2022,3800,Accepted by Vendor,71,Delivered
147,INV4326,Harber Group,Beta Gizmo Order,75,Software Develpoment,17-03-2022,05-09-2024,2700,Accepted by Vendor,55,Delivered
148,INV2109,Brekke Group,Alpha Widget Order,30,HR,25-02-2022,25-03-2026,1225,Accepted by Vendor,15,Delivered
149,INV6543,Goyette Inc,Beta Gizmo Order,30,Cyber Security,17-02-2022,20-01-2025,9600,Accepted by Vendor,52,Delivered
150,INV0987,"Gutmann, Kautzer and Hermann",Delta Doohickey Order,93,Network,20-02-2022,05-09-2025,7300,Accepted by Vendor,84,Delivered
151,INV2190,Cormier-Littel,Alpha Widget Order,95,HR,17-02-2022,15-01-2023,4300,Accepted by Vendor,19,Delivered
152,INV4326,Considine Inc,Gamma Thingamajig Order,45,Software Develpoment,06-03-2022,30-12-2025,9300,Accepted by Vendor,31,Delivered
153,INV6547,"Marquardt, Gutkowski and Kshlerin",Delta Doohickey Order,45,Network,10-02-2022,22-03-2024,5800,Accepted by Vendor,62,Delivered
154,INV2345,O'Connell LLC,Delta Doohickey Order,53,HR,12-02-2022,18-02-2024,6000,Accepted by Vendor,100,Delivered
155,INV6543,Klocko and Sons,Beta Gizmo Order,53,Management,11-02-2022,25-05-2024,8000,Accepted by Vendor,59,Delivered
156,INV6543,Nolan-McClure,Epsilon Whatchamacallit Order,73,Finance,23-03-2022,10-11-2023,4400,Accepted by Vendor,58,Delivered
157,INV4321,"Davis, Schoen and Schultz",Alpha Widget Order,62,Network,22-02-2022,25-02-2023,6900,Accepted by Vendor,45,Delivered
158,INV6547,Schmeler-O'Conner,Epsilon Whatchamacallit Order,47,Finance,10-01-2022,05-09-2025,1600,Accepted by Vendor,85,Delivered
159,INV0981,Hintz-White,Epsilon Whatchamacallit Order,92,Management,10-03-2022,25-05-2024,1600,Accepted by Vendor,84,Delivered
160,INV0981,Macejkovic-Kovacek,Epsilon Whatchamacallit Order,41,Software Develpoment,18-01-2022,01-11-2025,2300,Accepted by Vendor,71,Delivered
161,INV6543,Bernier Inc,Beta Gizmo Order,87,Procurement,13-01-2022,28-02-2025,4100,Accepted by Vendor,6,Delivered
162,INV8765,"Gibson, Wyman and Gulgowski",Epsilon Whatchamacallit Order,89,Network,21-02-2022,18-02-2026,5400,Accepted by Vendor,52,Delivered
163,INV2190,"Rowe, Kuhlman and Anderson",Epsilon Whatchamacallit Order,6,Cyber Security,10-01-2022,20-05-2023,2900,Accepted by Vendor,22,Delivered
164,INV4321,Kirlin and Sons,Delta Doohickey Order,77,HR,26-03-2022,20-04-2022,2900,Accepted by Vendor,88,Delivered
165,INV4326,Fahey Inc,Beta Gizmo Order,76,Management,02-03-2022,23-11-2022,1125,Accepted by Vendor,30,Delivered
166,INV6543,Kirlin LLC,Gamma Thingamajig Order,96,Software Develpoment,21-01-2022,28-07-2023,5400,Accepted by Vendor,88,Delivered
167,INV8765,"Hayes, Witting and Brown",Gamma Thingamajig Order,75,Finance,26-02-2022,15-10-2022,9900,Accepted by Vendor,71,Delivered
168,INV4321,"Rippin, Berge and Fisher",Epsilon Whatchamacallit Order,42,Network,08-01-2022,05-09-2024,5500,Accepted by Vendor,23,Delivered
169,INV0987,"Connelly, Lind and Murray",Beta Gizmo Order,91,Management,28-01-2022,20-04-2022,2300,Accepted by Vendor,7,Delivered
170,INV6547,"Runolfsdottir, Collins and Rutherford",Beta Gizmo Order,53,Software Develpoment,22-03-2022,10-07-2024,9500,Accepted by Vendor,80,Delivered
171,INV2345,Langworth-Bergnaum,Delta Doohickey Order,46,HR,12-02-2022,15-04-2024,3200,Accepted by Vendor,32,Delivered
172,INV6789,"Maggio, Ferry and Greenfelder",Delta Doohickey Order,3,Network,08-01-2022,15-06-2025,2300,Accepted by Vendor,52,Delivered
173,INV0987,Halvorson-Reilly,Delta Doohickey Order,63,Software Develpoment,29-03-2022,20-05-2023,7700,Accepted by Vendor,7,Delivered
174,INV8765,Stiedemann Inc,Epsilon Whatchamacallit Order,81,Procurement,13-03-2022,10-01-2024,10000,Accepted by Vendor,63,Delivered
175,INV8761,"Leffler, Trantow and King",Epsilon Whatchamacallit Order,89,Management,08-01-2022,07-07-2022,5300,Accepted by Vendor,16,Delivered
176,INV6543,Cremin-Nitzsche,Epsilon Whatchamacallit Order,54,Network,30-01-2022,10-05-2026,5900,Accepted by Vendor,41,Delivered
177,INV4326,Ziemann Inc,Gamma Thingamajig Order,55,Network,14-01-2022,10-05-2026,1050,Accepted by Vendor,45,Delivered
178,INV8765,Wilderman-Feil,Gamma Thingamajig Order,27,Network,03-01-2022,20-12-2026,5400,Accepted by Vendor,91,Delivered
179,INV4567,Rempel LLC,Beta Gizmo Order,39,Finance,26-01-2022,05-10-2023,7100,Accepted by Vendor,42,Delivered
180,INV8761,Aufderhar-Windler,Epsilon Whatchamacallit Order,37,Procurement,24-01-2022,25-05-2025,6100,Accepted by Vendor,37,Delivered
181,INV8765,Paucek and Sons,Alpha Widget Order,20,Management,04-02-2022,03-12-2026,4100,Accepted by Vendor,80,Delivered
182,INV3456,"Kessler, Buckridge and Hodkiewicz",Gamma Thingamajig Order,43,Cyber Security,27-02-2022,30-01-2026,4000,Accepted by Vendor,81,Delivered
183,INV6547,Frami LLC,Delta Doohickey Order,89,Software Develpoment,13-03-2022,15-12-2026,4700,Accepted by Vendor,51,Delivered
184,INV0981,"Barrows, Towne and Beahan",Delta Doohickey Order,44,Procurement,09-02-2022,20-05-2023,3100,Accepted by Vendor,97,Delivered
185,INV8761,Jacobi-Weber,Delta Doohickey Order,71,Procurement,13-01-2022,25-02-2023,4300,Accepted by Vendor,76,Delivered
186,INV2190,Tillman-Will,Delta Doohickey Order,33,Software Develpoment,08-01-2022,20-12-2023,9600,Accepted by Vendor,89,Delivered
187,INV8761,"Lueilwitz, Roob and Luettgen",Beta Gizmo Order,43,Procurement,09-03-2022,30-06-2026,8800,Accepted by Vendor,51,Delivered
188,INV4321,Lindgren LLC,Beta Gizmo Order,60,HR,11-01-2022,28-07-2023,3900,Accepted by Vendor,86,Delivered
189,INV4326,Kerluke Group,Gamma Thingamajig Order,17,Software Develpoment,25-03-2022,30-06-2026,7200,Accepted by Vendor,25,Delivered
190,INV8761,"Rice, Kuhlman and Cummerata",Epsilon Whatchamacallit Order,41,Cyber Security,26-03-2022,15-08-2024,6000,Accepted by Vendor,89,Delivered
191,INV1234,Runolfsson-Medhurst,Beta Gizmo Order,58,Procurement,04-02-2022,15-03-2025,2500,Accepted by Vendor,48,Delivered
192,INV2109,"Connelly, Fadel and Goldner",Gamma Thingamajig Order,89,HR,12-02-2022,15-01-2023,1350,Accepted by Vendor,71,Delivered
