id,vendor_name,contact_person,email,phone,category,reliability_score,risk_tire,status,registered_at,last_order_date,contract_ended_date
36,Lesch-Larkin,Lesch-Larkin,zverduinz@cpanel.net,5992418510,Service Providers,100,Low Risk,Not Accepting Orders,,,
37,Leuschke-Gottlieb,Leuschke-Gottlieb,mwytchard10@g.co,3751209639,Raw Material Suppliers,97,High Risk,Not Accepting Orders,,,
38,"Gerlach, Friesen and Howell","Gerlach, Friesen and Howell",ftomson11@ed.gov,1412779969,IT Vendors,100,Low Risk,Accepting Orders,,,
39,"DuBuque, Schroeder and Schaefer","DuBuque, Schroeder and Schaefer",thosier12@blogspot.com,4242107494,Service Providers,98,Low Risk,Not Accepting Orders,,,
40,"Moen, Hermiston and Ebert","Moen, Hermiston and Ebert",jhards13@nba.com,8198122873,Logistics Partners,81,High Risk,Not Accepting Orders,,,
41,Kuvalis and Sons,Kuvalis and Sons,eevenden14@deviantart.com,3512065017,Maintenance Vendors,98,Medium Risk,Accepting Orders,,,
42,"Reinger, Johnston and Walsh","Reinger, Johnston and Walsh",trisborough15@intel.com,5874419620,Raw Material Suppliers,100,High Risk,Accepting Orders,,,
43,"Wilderman, Mayert and Wisozk","Wilderman, Mayert and Wisozk",bbyer16@mozilla.com,5679378631,Equipment Vendors,80,Low Risk,Accepting Orders,,,
44,Monahan LLC,Monahan LLC,abranca17@discovery.com,1001300467,Maintenance Vendors,83,Medium Risk,Not Accepting Orders,,,
45,"Abernathy, Nicolas and Cummings","Abernathy, Nicolas and Cummings",mlapwood18@youtube.com,1906375112,Maintenance Vendors,100,High Risk,Not Accepting Orders,,,
46,Barrows-Schroeder,Barrows-Schroeder,glowery19@usda.gov,2134077601,IT Vendors,83,Low Risk,Accepting Orders,,,
47,"Harris, Rau and Kohler","Harris, Rau and Kohler",tphil1a@senate.gov,3148755223,Logistics Partners,80,Medium Risk,Not Accepting Orders,,,
48,"Kerluke, Olson and Hyatt","Kerluke, Olson and Hyatt",spollett1b@wikipedia.org,1008080048,Service Providers,83,Low Risk,Not Accepting Orders,,,
49,Kuvalis-Corwin,Kuvalis-Corwin,dfosken1c@oaic.gov.au,4627431134,Service Providers,80,High Risk,Accepting Orders,,,
50,"Hagenes, Veum and Deckow","Hagenes, Veum and Deckow",rspikeings1d@amazon.co.uk,3113273647,Maintenance Vendors,75,Medium Risk,Accepting Orders,,,
51,Koss LLC,Koss LLC,lmussard1e@rambler.ru,8551537082,IT Vendors,83,Medium Risk,Accepting Orders,,,
52,"Ward, Kuphal and O'Connell","Ward, Kuphal and O'Connell",bbaudasso1f@purevolume.com,3286099245,IT Vendors,100,High Risk,Not Accepting Orders,,,
53,"Jerde, Thompson and Wolff","Jerde, Thompson and Wolff",mbullon1g@printfriendly.com,1891632892,Logistics Partners,80,Medium Risk,Accepting Orders,,,
54,Yost-Bogan,Yost-Bogan,slonsdale1h@vimeo.com,7095563396,Equipment Vendors,80,Medium Risk,Not Accepting Orders,,,
55,"Erdman, Hirthe and Luettgen","Erdman, Hirthe and Luettgen",kgynne1i@sciencedaily.com,4588133623,IT Vendors,97,Low Risk,Accepting Orders,,,
56,Parisian and Sons,Parisian and Sons,kbrockbank1j@cbc.ca,3859565661,IT Vendors,100,Medium Risk,Not Accepting Orders,,,
57,Parker Inc,Parker Inc,cblampy1k@slashdot.org,3664232992,IT Vendors,98,Medium Risk,Not Accepting Orders,,,
58,"Prosacco, Legros and Donnelly","Prosacco, Legros and Donnelly",lcobbald1l@example.com,6276599872,Logistics Partners,81,High Risk,Accepting Orders,,,
59,Stoltenberg Group,Stoltenberg Group,glangston1m@boston.com,7095475094,Maintenance Vendors,80,Medium Risk,Accepting Orders,,,
60,Howe Inc,Howe Inc,bgarlinge1n@reddit.com,2328100924,Equipment Vendors,80,Medium Risk,Accepting Orders,,,
61,Herman-Haag,Herman-Haag,bbuggs1o@house.gov,7356766583,IT Vendors,75,High Risk,Not Accepting Orders,,,
62,Dickens-Moen,Dickens-Moen,mkaine1p@blogs.com,8972022209,Raw Material Suppliers,75,Low Risk,Not Accepting Orders,,,
63,Wolff Inc,Wolff Inc,weaseman1q@nationalgeographic.com,9478726167,Logistics Partners,83,Medium Risk,Accepting Orders,,,
64,Daugherty LLC,Daugherty LLC,tjephcott1r@sfgate.com,9725546637,Maintenance Vendors,97,Medium Risk,Not Accepting Orders,,,
65,Gleichner-Walter,Gleichner-Walter,ceshmade1s@plala.or.jp,4855504640,Service Providers,75,Low Risk,Accepting Orders,,,
66,Ruecker-DuBuque,Ruecker-DuBuque,wcaddick1t@scientificamerican.com,9738616284,Logistics Partners,81,Low Risk,Accepting Orders,,,
67,"Deckow, Rohan and McCullough","Deckow, Rohan and McCullough",cbelliveau1u@foxnews.com,5132944762,Logistics Partners,98,Low Risk,Not Accepting Orders,,,
68,White Inc,White Inc,tabelwhite1v@freewebs.com,4929946044,IT Vendors,81,Medium Risk,Not Accepting Orders,,,
69,Klocko LLC,Klocko LLC,jmcvity1w@gnu.org,5662781945,Equipment Vendors,81,Medium Risk,Accepting Orders,,,
70,"Mayert, Volkman and Kihn","Mayert, Volkman and Kihn",cmowen1x@bbb.org,2886397452,Equipment Vendors,80,High Risk,Not Accepting Orders,,,
71,Bruen Inc,Bruen Inc,lgrolle1y@over-blog.com,9505328641,Maintenance Vendors,81,High Risk,Not Accepting Orders,,,
72,"Dickens, Baumbach and Wintheiser","Dickens, Baumbach and Wintheiser",mmcnish1z@springer.com,7004945888,IT Vendors,98,Medium Risk,Not Accepting Orders,,,
73,Fisher-Padberg,Fisher-Padberg,dducarel20@rambler.ru,3596421475,Equipment Vendors,80,Medium Risk,Not Accepting Orders,,,
74,Champlin and Sons,Champlin and Sons,azielinski21@mapy.cz,9789153189,Logistics Partners,100,High Risk,Not Accepting Orders,,,
75,Kozey and Sons,Kozey and Sons,ehazelby22@baidu.com,9417793492,Equipment Vendors,80,High Risk,Accepting Orders,,,
76,Flatley and Sons,Flatley and Sons,rwhannel23@microsoft.com,1437844163,Equipment Vendors,81,Low Risk,Not Accepting Orders,,,
77,"Thiel, Kulas and Hudson","Thiel, Kulas and Hudson",gcudby24@digg.com,1572585537,Logistics Partners,97,High Risk,Accepting Orders,,,
78,Reynolds Inc,Reynolds Inc,bpavitt25@independent.co.uk,3736272837,Raw Material Suppliers,100,Medium Risk,Accepting Orders,,,
79,"DuBuque, Hills and Beier","DuBuque, Hills and Beier",ncammidge26@friendfeed.com,1697125076,Equipment Vendors,81,Medium Risk,Not Accepting Orders,,,
80,Denesik and Sons,Denesik and Sons,cburlingham27@nhs.uk,9305660047,Maintenance Vendors,80,High Risk,Accepting Orders,,,
81,"Dietrich, Stiedemann and Fritsch","Dietrich, Stiedemann and Fritsch",crawstron28@scientificamerican.com,5477107440,Logistics Partners,83,High Risk,Accepting Orders,,,
82,"Erdman, Nienow and Ritchie","Erdman, Nienow and Ritchie",enutt29@howstuffworks.com,2566193243,Maintenance Vendors,98,Low Risk,Not Accepting Orders,,,
83,Larkin-Jacobi,Larkin-Jacobi,jdehailes2a@themeforest.net,2276682871,Maintenance Vendors,97,Low Risk,Accepting Orders,,,
84,"Reinger, Jerde and Kunde","Reinger, Jerde and Kunde",dbetton2b@bizjournals.com,8006619668,Equipment Vendors,80,High Risk,Accepting Orders,,,
85,Adams-Doyle,Adams-Doyle,crighy2c@flavors.me,9439839826,Logistics Partners,81,High Risk,Not Accepting Orders,,,
86,"Bernhard, Pfannerstill and McLaughlin","Bernhard, Pfannerstill and McLaughlin",aghelarducci2d@theglobeandmail.com,2705287450,Logistics Partners,97,Low Risk,Accepting Orders,,,
87,Watsica LLC,Watsica LLC,sbenko2e@360.cn,5079307091,Logistics Partners,83,Medium Risk,Accepting Orders,,,
88,Rice-Walter,Rice-Walter,jcroix2f@indiatimes.com,5822303569,Raw Material Suppliers,83,Medium Risk,Accepting Orders,,,
89,"Grimes, Sipes and Hoppe","Grimes, Sipes and Hoppe",ahassent2g@java.com,1079561764,Raw Material Suppliers,80,Medium Risk,Accepting Orders,,,
90,Prohaska-Little,Prohaska-Little,clangdon2h@upenn.edu,2776281194,Equipment Vendors,98,Low Risk,Accepting Orders,,,
91,"Senger, Macejkovic and Herman","Senger, Macejkovic and Herman",nlightbowne2i@clickbank.net,7106689357,Logistics Partners,75,Medium Risk,Not Accepting Orders,,,
92,"Bosco, Kris and Hyatt","Bosco, Kris and Hyatt",aandersch2j@scientificamerican.com,6376206791,Logistics Partners,81,High Risk,Not Accepting Orders,,,
93,"Green, Kilback and Weissnat","Green, Kilback and Weissnat",blandrieu2k@goodreads.com,5851277525,IT Vendors,80,Low Risk,Accepting Orders,,,
94,Bechtelar Inc,Bechtelar Inc,jcancutt2l@reverbnation.com,9576758411,Maintenance Vendors,97,Low Risk,Not Accepting Orders,,,
95,Marks and Sons,Marks and Sons,bbretland2m@oracle.com,9353816332,Equipment Vendors,83,Low Risk,Accepting Orders,,,
96,"Kessler, Gibson and Trantow","Kessler, Gibson and Trantow",rpaylor2n@loc.gov,2662060038,IT Vendors,81,Medium Risk,Accepting Orders,,,
97,Turcotte-Feil,Turcotte-Feil,cskeats2o@latimes.com,4054351133,Raw Material Suppliers,97,Low Risk,Not Accepting Orders,,,
98,Hettinger Inc,Hettinger Inc,dzanolli2p@sbwire.com,4772719915,Service Providers,80,High Risk,Not Accepting Orders,,,
99,Goyette Group,Goyette Group,mswash2q@redcross.org,6645032324,Maintenance Vendors,100,Low Risk,Not Accepting Orders,,,
100,Cronin Group,Cronin Group,bmacbeth2r@mapy.cz,2004442612,Maintenance Vendors,100,High Risk,Not Accepting Orders,,,
101,Daugherty Inc,Daugherty Inc,tblackborough2s@vk.com,3334937288,Raw Material Suppliers,97,High Risk,Not Accepting Orders,,,
102,Corkery-Hoeger,Corkery-Hoeger,mdymoke2t@utexas.edu,6127670873,Equipment Vendors,83,High Risk,Accepting Orders,,,
103,Wunsch-Waters,Wunsch-Waters,aeasson2u@ox.ac.uk,9353261958,Logistics Partners,98,High Risk,Not Accepting Orders,,,
104,Kunde-Haley,Kunde-Haley,fnaton2v@globo.com,5891642608,IT Vendors,75,Low Risk,Not Accepting Orders,,,
105,Swift-Wilderman,Swift-Wilderman,ddubbin2w@chron.com,4288588176,Equipment Vendors,81,High Risk,Accepting Orders,,,
106,Legros-Pfannerstill,Legros-Pfannerstill,mbeecham2x@wikispaces.com,7147653807,Service Providers,83,Medium Risk,Not Accepting Orders,,,
107,Schimmel Group,Schimmel Group,budie2y@unblog.fr,2418702169,Maintenance Vendors,98,Low Risk,Not Accepting Orders,,,
108,"West, Howell and Reilly","West, Howell and Reilly",apetrello2z@apache.org,8313534077,Service Providers,100,Low Risk,Accepting Orders,,,
109,"Abshire, Moen and Spencer","Abshire, Moen and Spencer",jtrencher30@reuters.com,9177986813,Maintenance Vendors,81,Low Risk,Not Accepting Orders,,,
110,"Kris, Nikolaus and Sanford","Kris, Nikolaus and Sanford",kvannuccinii31@dailymail.co.uk,7783943481,Service Providers,75,Low Risk,Accepting Orders,,,
111,Luettgen Group,Luettgen Group,jmanson32@creativecommons.org,4289549719,Maintenance Vendors,81,Low Risk,Not Accepting Orders,,,
112,Runte-Lynch,Runte-Lynch,ciacovino33@bloglines.com,6895702801,Maintenance Vendors,98,High Risk,Not Accepting Orders,,,
113,"Pollich, Gulgowski and Kuhlman","Pollich, Gulgowski and Kuhlman",asmouten34@reference.com,8903770484,Equipment Vendors,83,Medium Risk,Accepting Orders,,,
114,Kassulke-Considine,Kassulke-Considine,aemlen35@microsoft.com,2193933094,IT Vendors,83,Low Risk,Not Accepting Orders,,,
115,"Spinka, Roberts and Corwin","Spinka, Roberts and Corwin",oboutellier36@parallels.com,2472244068,Service Providers,80,High Risk,Accepting Orders,,,
116,"Brekke, McKenzie and Swift","Brekke, McKenzie and Swift",sdrakes37@miitbeian.gov.cn,2363624169,Maintenance Vendors,97,High Risk,Not Accepting Orders,,,
117,Raynor-Bashirian,Raynor-Bashirian,hdeeprose38@csmonitor.com,8929274377,Equipment Vendors,98,High Risk,Accepting Orders,,,
118,Kozey and Sons,Kozey and Sons,syerson39@wired.com,4396066413,Maintenance Vendors,100,Medium Risk,Not Accepting Orders,,,
119,Thiel and Sons,Thiel and Sons,fsnadden3a@shop-pro.jp,9264590189,IT Vendors,83,High Risk,Accepting Orders,,,
120,Hermann Inc,Hermann Inc,hpiers3b@nytimes.com,4008040052,Maintenance Vendors,83,Low Risk,Not Accepting Orders,,,
121,"Roberts, Hodkiewicz and Witting","Roberts, Hodkiewicz and Witting",abeaconsall3c@whitehouse.gov,2964758710,Maintenance Vendors,80,High Risk,Accepting Orders,,,
122,"Satterfield, Streich and Luettgen","Satterfield, Streich and Luettgen",ggabbat3d@loc.gov,4012942691,Maintenance Vendors,80,High Risk,Accepting Orders,,,
123,Gorczany-Davis,Gorczany-Davis,vhovie3e@wix.com,2908699962,Maintenance Vendors,83,Medium Risk,Not Accepting Orders,,,
124,Zemlak-Harvey,Zemlak-Harvey,gpadginton3f@forbes.com,8578620734,Raw Material Suppliers,81,High Risk,Not Accepting Orders,,,
125,"Rohan, Mitchell and Grimes","Rohan, Mitchell and Grimes",ewatkin3g@squarespace.com,9435291308,IT Vendors,100,Medium Risk,Not Accepting Orders,,,
126,"Gutmann, Hilll and Koelpin","Gutmann, Hilll and Koelpin",mmusslewhite3h@google.pl,8515989210,Maintenance Vendors,80,High Risk,Accepting Orders,,,
127,"Weber, Quitzon and Kessler","Weber, Quitzon and Kessler",mbleazard3i@hhs.gov,3197045500,Logistics Partners,100,Low Risk,Not Accepting Orders,,,
128,West-Herzog,West-Herzog,mthurlow3j@bbb.org,4437184653,Maintenance Vendors,81,High Risk,Accepting Orders,,,
129,Wilkinson-Heathcote,Wilkinson-Heathcote,blilly3k@senate.gov,8891031863,Logistics Partners,75,Low Risk,Not Accepting Orders,,,
130,"Adams, Rolfson and Bernier","Adams, Rolfson and Bernier",mbryning3l@networkadvertising.org,4217177781,Raw Material Suppliers,98,High Risk,Not Accepting Orders,,,
131,Ryan Group,Ryan Group,ajaskowicz3m@cargocollective.com,3038117741,Maintenance Vendors,80,High Risk,Not Accepting Orders,,,
132,Roob Inc,Roob Inc,lsmedmoor3n@imageshack.us,7904684214,Maintenance Vendors,100,Low Risk,Accepting Orders,,,
133,"Zemlak, Bradtke and Stark","Zemlak, Bradtke and Stark",elyvon3o@shutterfly.com,7333447008,IT Vendors,80,Low Risk,Accepting Orders,,,
134,Cruickshank-Ruecker,Cruickshank-Ruecker,mstandidge3p@si.edu,5655425502,Raw Material Suppliers,75,High Risk,Accepting Orders,,,
135,Friesen LLC,Friesen LLC,kkornalik3q@phoca.cz,2447693379,Raw Material Suppliers,83,High Risk,Not Accepting Orders,,,
136,"Senger, Wisozk and Kling","Senger, Wisozk and Kling",smaciejewski3r@google.co.uk,9616090580,Maintenance Vendors,98,Medium Risk,Not Accepting Orders,,,
137,Corwin Group,Corwin Group,phatrick3s@quantcast.com,4404595121,Equipment Vendors,81,Medium Risk,Accepting Orders,,,
138,Kohler-Lakin,Kohler-Lakin,nbyars3t@washington.edu,3803163428,IT Vendors,75,High Risk,Accepting Orders,,,
139,Kemmer-Jenkins,Kemmer-Jenkins,fapplegarth3u@acquirethisname.com,9999602017,Service Providers,100,High Risk,Accepting Orders,,,
140,Hahn Inc,Hahn Inc,cespinas3v@storify.com,6254151126,Maintenance Vendors,97,Low Risk,Accepting Orders,,,
141,Wisoky-Denesik,Wisoky-Denesik,fblackbrough3w@auda.org.au,7246348395,Maintenance Vendors,80,Low Risk,Accepting Orders,,,
142,Hauck-Koelpin,Hauck-Koelpin,tpyecroft3x@technorati.com,8717664968,Raw Material Suppliers,80,High Risk,Not Accepting Orders,,,
143,Murazik Inc,Murazik Inc,cricks3y@addtoany.com,3708412239,IT Vendors,98,High Risk,Not Accepting Orders,,,
144,Cole-Ward,Cole-Ward,wsperski3z@ustream.tv,9178905996,IT Vendors,97,High Risk,Not Accepting Orders,,,
145,Rau LLC,Rau LLC,lsimenet40@bizjournals.com,2803806574,Service Providers,100,Medium Risk,Accepting Orders,,,
146,Carter-Stanton,Carter-Stanton,aargile41@linkedin.com,4521014691,Raw Material Suppliers,98,High Risk,Accepting Orders,,,
147,Harber Group,Harber Group,esydney42@myspace.com,1787796311,IT Vendors,98,Medium Risk,Not Accepting Orders,,,
148,Brekke Group,Brekke Group,gdayes43@typepad.com,8329624275,IT Vendors,83,Medium Risk,Not Accepting Orders,,,
149,Goyette Inc,Goyette Inc,afinlater44@amazon.de,4699607574,Raw Material Suppliers,80,Medium Risk,Accepting Orders,,,
150,"Gutmann, Kautzer and Hermann","Gutmann, Kautzer and Hermann",abramford45@mayoclinic.com,1693427879,Equipment Vendors,75,Low Risk,Not Accepting Orders,,,
151,Cormier-Littel,Cormier-Littel,bgard46@netlog.com,9217163220,Logistics Partners,75,High Risk,Not Accepting Orders,,,
152,Considine Inc,Considine Inc,oscarr47@mail.ru,2297341000,Maintenance Vendors,75,Low Risk,Not Accepting Orders,,,
153,"Marquardt, Gutkowski and Kshlerin","Marquardt, Gutkowski and Kshlerin",sbing48@vk.com,5782864531,Equipment Vendors,97,Low Risk,Not Accepting Orders,,,
154,O'Connell LLC,O'Connell LLC,ckobierski49@soup.io,2667642033,Raw Material Suppliers,83,High Risk,Not Accepting Orders,,,
155,Klocko and Sons,Klocko and Sons,areed4a@google.com.br,9073687756,Raw Material Suppliers,97,Low Risk,Accepting Orders,,,
156,Nolan-McClure,Nolan-McClure,jwarner4b@gizmodo.com,7038104681,Raw Material Suppliers,80,Medium Risk,Not Accepting Orders,,,
157,"Davis, Schoen and Schultz","Davis, Schoen and Schultz",gjanko4c@npr.org,1103854366,Equipment Vendors,83,High Risk,Accepting Orders,,,
158,Schmeler-O'Conner,Schmeler-O'Conner,ccrimin4d@vinaora.com,2053690155,Equipment Vendors,83,Medium Risk,Not Accepting Orders,,,
159,Hintz-White,Hintz-White,sdare4e@xrea.com,2711867697,Logistics Partners,98,Medium Risk,Not Accepting Orders,,,
160,Macejkovic-Kovacek,Macejkovic-Kovacek,mhyndley4f@eventbrite.com,2732059963,Equipment Vendors,80,Medium Risk,Not Accepting Orders,,,
161,Bernier Inc,Bernier Inc,sabyss4g@ca.gov,2605331073,Equipment Vendors,83,High Risk,Accepting Orders,,,
162,"Gibson, Wyman and Gulgowski","Gibson, Wyman and Gulgowski",bmengue4h@unesco.org,2634498402,Service Providers,81,High Risk,Not Accepting Orders,,,
163,"Rowe, Kuhlman and Anderson","Rowe, Kuhlman and Anderson",pwiffen4i@woothemes.com,3169483021,Logistics Partners,98,High Risk,Not Accepting Orders,,,
164,Kirlin and Sons,Kirlin and Sons,rbumphries4j@admin.ch,7159456713,IT Vendors,81,Low Risk,Accepting Orders,,,
165,Fahey Inc,Fahey Inc,aosman4k@instagram.com,7313533113,Logistics Partners,100,Low Risk,Not Accepting Orders,,,
166,Kirlin LLC,Kirlin LLC,mrosenblum4l@4shared.com,9877868937,Raw Material Suppliers,97,Medium Risk,Not Accepting Orders,,,
167,"Hayes, Witting and Brown","Hayes, Witting and Brown",tskentelbury4m@webmd.com,9026434360,Service Providers,80,Medium Risk,Accepting Orders,,,
168,"Rippin, Berge and Fisher","Rippin, Berge and Fisher",rluparti4n@discovery.com,7991426759,Service Providers,80,Medium Risk,Not Accepting Orders,,,
169,"Connelly, Lind and Murray","Connelly, Lind and Murray",bgladdish4o@usatoday.com,9245647477,Raw Material Suppliers,97,Low Risk,Accepting Orders,,,
170,"Runolfsdottir, Collins and Rutherford","Runolfsdottir, Collins and Rutherford",bkruszelnicki4p@topsy.com,3266247532,Maintenance Vendors,75,Low Risk,Not Accepting Orders,,,
171,Langworth-Bergnaum,Langworth-Bergnaum,fmorecomb4q@alibaba.com,7837810376,Maintenance Vendors,83,Medium Risk,Accepting Orders,,,
172,"Maggio, Ferry and Greenfelder","Maggio, Ferry and Greenfelder",jjeratt4r@cbc.ca,1006071766,Equipment Vendors,83,High Risk,Accepting Orders,,,
173,Halvorson-Reilly,Halvorson-Reilly,qdsouza4s@miitbeian.gov.cn,6754412262,Maintenance Vendors,98,Medium Risk,Accepting Orders,,,
174,Stiedemann Inc,Stiedemann Inc,dcaswell4t@addtoany.com,5349546022,Logistics Partners,75,High Risk,Accepting Orders,,,
175,"Leffler, Trantow and King","Leffler, Trantow and King",rmewrcik4u@google.co.uk,9225187189,Logistics Partners,98,Low Risk,Accepting Orders,,,
176,Cremin-Nitzsche,Cremin-Nitzsche,abonnyson4v@geocities.com,5638781812,IT Vendors,80,Medium Risk,Accepting Orders,,,
177,Ziemann Inc,Ziemann Inc,ahaylock4w@mashable.com,2756330870,Service Providers,80,High Risk,Accepting Orders,,,
178,Wilderman-Feil,Wilderman-Feil,sisakovitch4x@dyndns.org,5808482408,Service Providers,98,High Risk,Not Accepting Orders,,,
179,Rempel LLC,Rempel LLC,jsteenson4y@com.com,5685134513,Maintenance Vendors,98,Low Risk,Accepting Orders,,,
180,Aufderhar-Windler,Aufderhar-Windler,tbromont4z@google.com.hk,2472464605,IT Vendors,80,Medium Risk,Accepting Orders,,,
181,Paucek and Sons,Paucek and Sons,ufarrah50@unesco.org,8069206205,Equipment Vendors,81,High Risk,Accepting Orders,,,
182,"Kessler, Buckridge and Hodkiewicz","Kessler, Buckridge and Hodkiewicz",mradish51@mozilla.com,9852063245,Service Providers,97,Medium Risk,Not Accepting Orders,,,
183,Frami LLC,Frami LLC,sbanton52@cbslocal.com,5403208033,IT Vendors,80,Low Risk,Accepting Orders,,,
184,"Barrows, Towne and Beahan","Barrows, Towne and Beahan",mhollyar53@histats.com,6619289047,Logistics Partners,83,Low Risk,Not Accepting Orders,,,
185,Jacobi-Weber,Jacobi-Weber,abugbird54@issuu.com,5786977410,IT Vendors,97,High Risk,Not Accepting Orders,,,
186,Tillman-Will,Tillman-Will,pblincowe55@msn.com,8138023012,Maintenance Vendors,100,Low Risk,Not Accepting Orders,,,
187,"Lueilwitz, Roob and Luettgen","Lueilwitz, Roob and Luettgen",ledelston56@omniture.com,8431533617,Raw Material Suppliers,75,Medium Risk,Accepting Orders,,,
188,Lindgren LLC,Lindgren LLC,ehawker57@hubpages.com,2236956746,Raw Material Suppliers,75,High Risk,Accepting Orders,,,
189,Kerluke Group,Kerluke Group,rsybe58@dailymotion.com,6637250910,Raw Material Suppliers,80,Medium Risk,Accepting Orders,,,
190,"Rice, Kuhlman and Cummerata","Rice, Kuhlman and Cummerata",bdradey59@cnbc.com,7605093743,Logistics Partners,97,High Risk,Not Accepting Orders,,,
