Vendor,total_orders,late_orders,average_shipping_days,average_scheduled_days,total_sales,on_time_rate,late_delivery_rate,reliability_score,reliability_status
Vendor-810,277,144,3.306859205776173,2.8339350180505414,16031.97982176,48.014440433213,51.985559566786996,48.014440433213,Average
Vendor-1348,271,141,3.4538745387453873,2.992619926199262,3059.5899891599997,47.97047970479705,52.02952029520295,47.97047970479705,Average
Vendor-572,300,157,3.46,3.03,35191.2006334,47.66666666666667,52.33333333333333,47.66666666666667,Average
Vendor-804,307,161,3.550488599348534,2.990228013029316,18810.58979375,47.55700325732899,52.44299674267101,47.55700325732899,Average
Vendor-1347,207,109,3.1497584541062804,2.7053140096618358,12229.56037881,47.34299516908212,52.65700483091788,47.34299516908212,Average
Vendor-845,36,19,3.8055555555555554,2.9166666666666665,10799.639647200001,47.22222222222222,52.77777777777778,47.22222222222222,Average
Vendor-278,280,148,3.282142857142857,2.8285714285714287,36576.87057466,47.14285714285714,52.85714285714286,47.14285714285714,Average
Vendor-793,311,165,3.7138263665594855,3.1511254019292605,13311.11981353,46.94533762057878,53.054662379421224,46.94533762057878,Average
Vendor-642,304,162,3.4802631578947367,2.950657894736842,27840.0,46.71052631578947,53.289473684210535,46.71052631578947,Average
Vendor-306,60,32,3.4833333333333334,2.85,17638.04005408,46.666666666666664,53.333333333333336,46.666666666666664,Average
Vendor-1350,652,348,3.607361963190184,3.0276073619631902,232829.20397719997,46.62576687116564,53.37423312883436,46.62576687116564,Average
Vendor-1354,483,259,3.6438923395445135,3.113871635610766,79395.5423667,46.3768115942029,53.62318840579711,46.3768115942029,Average
Vendor-775,285,153,3.575438596491228,2.9719298245614034,8871.119937156,46.31578947368421,53.68421052631579,46.31578947368421,Average
Vendor-273,251,135,3.350597609561753,2.8725099601593627,22252.04978358,46.21513944223107,53.78486055776892,46.21513944223107,Average
Vendor-792,282,152,3.3297872340425534,2.882978723404255,12951.35980753,46.09929078014184,53.90070921985816,46.09929078014184,Average
Vendor-677,63,34,3.7301587301587302,2.984126984126984,19298.06989294,46.03174603174603,53.96825396825397,46.03174603174603,Average
Vendor-303,35,19,3.6857142857142855,3.142857142857143,13999.649657,45.714285714285715,54.285714285714285,45.714285714285715,Average
Vendor-1362,838,455,3.590692124105012,3.0143198090692125,33310.5,45.704057279236274,54.295942720763726,45.704057279236274,Average
Vendor-1357,208,113,3.423076923076923,2.9086538461538463,43856.8012688,45.67307692307692,54.32692307692307,45.67307692307692,Average
Vendor-703,303,165,3.5841584158415842,3.0297029702970297,17731.12981181,45.54455445544555,54.45544554455446,45.54455445544555,Average
Vendor-191,12169,6629,3.493960062453776,2.9400115046429454,3667633.19662996,45.52551565453201,54.474484345467985,45.52551565453201,Average
Vendor-403,22246,12121,3.501258653241032,2.9370673379483954,2891757.6623529997,45.51380023374989,54.48619976625011,45.51380023374989,Average
Vendor-957,13729,7487,3.498215456333309,2.9468278825843104,4118425.571019,45.46580231626484,54.534197683735165,45.46580231626484,Average
Vendor-860,11,6,3.3636363636363638,2.8181818181818183,6599.8898922,45.45454545454545,54.54545454545454,45.45454545454545,Average
Vendor-502,21035,11476,3.4847159496077964,2.925172331827906,3147800.0,45.44330877109579,54.55669122890421,45.44330877109579,Average
Vendor-926,302,165,3.4900662251655628,2.9139072847682117,14870.69978864,45.36423841059602,54.63576158940398,45.36423841059602,Average
Vendor-924,300,164,3.6066666666666665,2.9966666666666666,14151.14979326,45.33333333333333,54.666666666666664,45.33333333333333,Average
Vendor-1014,19298,10565,3.495750855010882,2.931029122188828,2888993.9135055,45.25339413410716,54.74660586589284,45.25339413410716,Average
Vendor-1073,15500,8492,3.483032258064516,2.915483870967742,3099845.08525,45.21290322580645,54.78709677419354,45.21290322580645,Average
Vendor-1004,17325,9516,3.502049062049062,2.9468975468975467,6929653.690575,45.073593073593074,54.926406926406926,45.073593073593074,Average
Vendor-365,24515,13473,3.5063838466245154,2.929512543340812,4421143.14353786,45.041811136039165,54.95818886396084,45.041811136039165,Average
Vendor-1361,529,291,3.5179584120982987,2.9659735349716447,6104.65997884,44.99054820415879,55.009451795841215,44.99054820415879,Average
Vendor-777,69,38,3.391304347826087,2.898550724637681,16637.919929480002,44.927536231884055,55.072463768115945,44.927536231884055,Average
Vendor-897,281,155,3.498220640569395,2.9466192170818504,20566.76981798,44.83985765124555,55.16014234875445,44.83985765124555,Average
Vendor-1352,431,238,3.4315545243619487,2.793503480278422,108991.2821119,44.779582366589324,55.22041763341067,44.779582366589324,Average
Vendor-627,10617,5865,3.4945841574832817,2.9167373080907977,1269082.67110818,44.7584063294716,55.2415936705284,44.7584063294716,Average
Vendor-725,76,42,3.3026315789473686,2.776315789473684,8208.0,44.73684210526316,55.26315789473685,44.73684210526316,Average
Vendor-172,318,176,3.5440251572327046,2.9748427672955975,27210.0,44.65408805031446,55.34591194968554,44.65408805031446,Average
Vendor-671,65,36,3.5692307692307694,3.1076923076923078,13649.3503575,44.61538461538462,55.38461538461539,44.61538461538462,Average
Vendor-35,65,36,3.353846153846154,2.8923076923076922,10399.3503575,44.61538461538462,55.38461538461539,44.61538461538462,Average
Vendor-1360,357,198,3.4901960784313726,2.8711484593837535,117006.75,44.537815126050425,55.46218487394958,44.537815126050425,Average
Vendor-822,265,147,3.660377358490566,3.0754716981132075,38392.00052236,44.528301886792455,55.471698113207545,44.528301886792455,Average
Vendor-886,292,162,3.4760273972602738,2.8767123287671232,21766.2898108,44.52054794520548,55.47945205479452,44.52054794520548,Average
Vendor-778,279,155,3.6021505376344085,3.043010752688172,21116.549776390002,44.44444444444444,55.55555555555556,44.44444444444444,Average
Vendor-823,306,170,3.4379084967320264,2.9052287581699345,47206.92146286,44.44444444444444,55.55555555555556,44.44444444444444,Average
Vendor-893,295,164,3.477966101694915,2.983050847457627,22166.12984186,44.40677966101695,55.59322033898305,44.40677966101695,Average
Vendor-276,311,173,3.64951768488746,3.0385852090032155,29398.80977828,44.37299035369775,55.62700964630225,44.37299035369775,Average
Vendor-906,300,167,3.5,2.92,22865.849746840002,44.333333333333336,55.666666666666664,44.333333333333336,Average
Vendor-1355,484,270,3.4979338842975207,2.9483471074380163,257768.72827639998,44.214876033057855,55.78512396694215,44.214876033057855,Average
Vendor-116,328,183,3.542682926829268,2.893292682926829,44585.09062432,44.207317073170735,55.79268292682927,44.207317073170735,Average
Vendor-1356,362,202,3.458563535911602,2.925414364640884,106080.483077,44.19889502762431,55.80110497237569,44.19889502762431,Average
Vendor-1353,484,271,3.5785123966942147,2.9442148760330578,223356.325324,44.00826446280991,55.99173553719008,44.00826446280991,Average
Vendor-828,310,174,3.503225806451613,2.893548387096774,28982.93982142,43.87096774193549,56.12903225806451,43.87096774193549,Average
Vendor-724,73,41,3.684931506849315,3.0273972602739727,22700.0,43.83561643835616,56.16438356164384,43.83561643835616,Average
Vendor-917,295,166,3.5694915254237287,2.8779661016949154,20450.69974701,43.728813559322035,56.271186440677965,43.728813559322035,Average
Vendor-1363,650,367,3.5384615384615383,2.8861538461538463,140283.00474499998,43.53846153846154,56.46153846153846,43.53846153846154,Average
Vendor-905,299,169,3.448160535117057,2.879598662207358,22366.049832380002,43.47826086956522,56.52173913043478,43.47826086956522,Average
Vendor-1346,405,229,3.3901234567901235,2.8567901234567903,12587.3999676,43.45679012345679,56.54320987654321,43.45679012345679,Average
Vendor-728,309,175,3.517799352750809,2.8867313915857604,61490.0,43.36569579288026,56.63430420711975,43.36569579288026,Average
Vendor-564,298,169,3.446308724832215,2.7751677852348995,27210.0,43.288590604026844,56.711409395973156,43.288590604026844,Average
Vendor-825,257,146,3.6614785992217898,2.9883268482490273,25751.94975595,43.190661478599225,56.809338521400775,43.190661478599225,Average
Vendor-235,299,170,3.5752508361204014,2.9665551839464883,29601.54064158,43.1438127090301,56.85618729096989,43.1438127090301,Average
Vendor-786,65,37,3.5846153846153848,2.8615384615384616,11699.3503575,43.07692307692308,56.92307692307692,43.07692307692308,Average
Vendor-1358,434,248,3.4838709677419355,2.910138248847926,113122.09735260002,42.857142857142854,57.14285714285714,42.857142857142854,Average
Vendor-249,287,164,3.4494773519163764,2.759581881533101,46559.591034339996,42.857142857142854,57.14285714285714,42.857142857142854,Average
Vendor-134,279,160,3.3978494623655915,2.860215053763441,20025.0,42.65232974910394,57.34767025089605,42.65232974910394,Average
Vendor-359,68,39,3.6323529411764706,2.9705882352941178,20597.93996418,42.64705882352941,57.35294117647059,42.64705882352941,Average
Vendor-771,284,164,3.4401408450704225,2.813380281690141,34671.33045858,42.25352112676056,57.74647887323944,42.25352112676056,Average
Vendor-216,64,37,3.796875,2.984375,12096.0,42.1875,57.8125,42.1875,Average
Vendor-1349,592,344,3.3378378378378377,2.6925675675675675,267607.685032,41.891891891891895,58.108108108108105,41.891891891891895,Average
Vendor-977,323,188,3.455108359133127,2.8173374613003097,29930.019742160002,41.795665634674926,58.204334365325074,41.795665634674926,Average
Vendor-835,308,180,3.6103896103896105,2.9805194805194803,29686.71978552,41.55844155844156,58.44155844155844,41.55844155844156,Average
Vendor-1359,492,290,3.388211382113821,2.678861788617886,41524.80075276,41.05691056910569,58.94308943089431,41.05691056910569,Average
Vendor-37,262,155,3.4618320610687023,2.7938931297709924,27327.19054016,40.839694656488554,59.16030534351145,40.839694656488554,Average
Vendor-19,64,38,3.890625,2.9375,7999.3598656,40.625,59.375,40.625,Average
Vendor-821,292,175,3.5136986301369864,2.8801369863013697,44243.491382600005,40.06849315068493,59.93150684931506,40.06849315068493,Average
Vendor-282,285,171,3.3473684210526318,2.6666666666666665,27127.519792220002,40.0,60.0,40.0,Average
Vendor-226,10,6,3.5,2.7,5999.899901999999,40.0,60.0,40.0,Average
Vendor-258,70,42,3.557142857142857,2.8285714285714287,19567.940017240002,40.0,60.0,40.0,Average
Vendor-93,280,168,3.6214285714285714,2.9357142857142855,20866.649801890002,40.0,60.0,40.0,Average
Vendor-78,63,38,3.6031746031746033,3.0634920634920637,18598.1399916,39.682539682539684,60.317460317460316,39.682539682539684,Poor
Vendor-567,289,176,3.6920415224913494,2.934256055363322,21475.0,39.10034602076124,60.89965397923876,39.10034602076124,Poor
Vendor-607,77,47,3.74025974025974,3.038961038961039,19249.2304235,38.961038961038966,61.038961038961034,38.961038961038966,Poor
Vendor-305,67,41,3.6417910447761193,2.955223880597015,13333.0,38.80597014925373,61.19402985074627,38.80597014925373,Poor
Vendor-797,298,183,3.6073825503355703,2.922818791946309,15993.10980566,38.59060402684564,61.40939597315436,38.59060402684564,Poor
Vendor-768,34,21,3.7941176470588234,2.8823529411764706,10199.6596668,38.23529411764706,61.76470588235294,38.23529411764706,Poor
Vendor-58,29,18,3.6551724137931036,2.9310344827586206,8699.709715800002,37.93103448275862,62.06896551724138,37.93103448275862,Poor
Vendor-1059,40,25,3.375,2.9,13999.599608,37.5,62.5,37.5,Poor
Vendor-885,313,197,3.584664536741214,2.853035143769968,23940.41977515,37.06070287539936,62.939297124600635,37.06070287539936,Poor
Vendor-773,54,34,3.7777777777777777,3.0185185185185186,13499.460297,37.03703703703704,62.96296296296296,37.03703703703704,Poor
Vendor-364,36,23,3.638888888888889,3.0,10799.639647200001,36.11111111111111,63.888888888888886,36.11111111111111,Poor
Vendor-203,32,21,3.75,3.15625,12799.6796864,34.375,65.625,34.375,Poor
Vendor-743,61,42,3.3442622950819674,2.5737704918032787,10369.3903355,31.147540983606557,68.85245901639344,31.147540983606557,Poor
Vendor-60,10,7,4.0,3.0,9999.899902,30.0,70.0,30.0,Poor
