id,vendorId,date,onTimeDeliveryPercent,qualityRating,responseTimeHours,issueResolutionDays,defectRatePercent,orderCompletionPercent
49,65,2024-11-01,63,3.12,49,7,10.54,60
50,34,2024-03-21,58,2.86,4,1,9.81,86
51,48,2024-06-09,74,4.44,19,8,9.43,95
52,77,2024-07-21,73,4.4,14,15,4.18,77
53,91,2024-05-06,83,3.63,21,10,2.02,61
54,7,2025-07-17,65,3.88,48,3,4.8,84
55,4,2026-05-06,85,3.59,42,7,2.75,99
56,98,2026-06-23,47,4.11,42,10,11.37,62
57,66,2024-05-23,48,4.31,17,8,1.05,64
58,20,2024-12-12,51,3.81,31,2,11.34,82
59,11,2025-06-21,71,3.36,9,8,6.07,63
60,54,2025-04-04,86,4.47,20,9,12.36,73
61,21,2024-01-25,52,4.41,34,4,3.67,95
62,7,2026-02-15,86,4.61,29,8,0.73,74
63,30,2026-02-13,54,4.89,18,9,4.86,84
64,82,2025-11-16,87,3.49,66,13,4.42,61
65,92,2024-08-01,89,3.54,9,1,3.08,62
66,30,2025-06-05,82,3.73,45,12,1.3,83
67,22,2024-10-15,70,3.03,69,1,13.74,99
68,35,2024-09-19,80,3.44,50,3,12.54,98
69,43,2025-04-07,57,3.32,34,7,1.88,78
70,4,2024-04-25,73,4.01,66,13,6.14,71
71,6,2026-05-02,69,4.51,27,4,11.42,79
72,89,2024-08-23,88,3.04,39,6,7.01,100
73,73,2026-04-29,98,3.13,66,1,4.72,73
74,24,2025-09-08,66,3.02,50,12,4.98,85
75,97,2024-03-20,55,4.8,62,9,8.99,75
76,79,2026-08-27,51,4.71,4,10,0.85,60
77,36,2024-04-09,45,3.26,49,12,8.56,70
78,7,2024-03-18,68,3.04,25,7,11.15,83
79,36,2024-11-05,71,4.13,39,13,0.62,67
80,19,2026-06-20,61,3.64,27,2,13.8,61
81,61,2025-12-12,56,2.54,12,12,3.6,97
82,72,2024-08-08,62,3.18,62,2,11.0,69
83,9,2025-02-26,70,4.2,4,1,7.51,89
84,23,2025-12-27,45,3.94,6,11,1.04,77
85,37,2024-08-28,91,3.7,35,1,10.1,72
86,89,2025-07-26,73,4.53,6,14,8.49,87
87,90,2025-01-11,76,4.48,7,5,5.52,98
88,59,2026-01-13,97,3.68,21,6,9.91,83
89,71,2025-01-16,79,2.86,45,7,2.69,85
90,60,2025-11-22,67,4.42,19,14,10.12,91
91,70,2024-12-06,71,3.4,56,2,9.07,68
92,46,2024-12-17,86,3.67,70,14,10.24,62
93,65,2026-05-21,85,2.86,44,9,9.53,70
94,74,2026-04-23,53,4.94,27,14,10.43,65
95,54,2024-01-05,52,4.98,70,1,7.84,96
96,33,2025-05-15,80,4.16,22,12,3.48,81
97,15,2025-11-03,65,4.33,48,9,14.06,93
98,51,2024-08-19,59,3.94,53,12,11.3,66
99,82,2026-03-30,86,3.63,25,12,0.11,92
100,14,2026-02-12,76,2.86,10,12,14.26,75
101,52,2024-01-25,64,4.56,70,11,1.54,72
102,3,2024-03-09,46,3.24,27,3,12.43,64
103,33,2025-12-15,73,4.88,55,6,9.96,60
104,77,2025-08-26,64,3.36,48,4,4.63,99
105,62,2025-05-26,85,4.04,6,11,7.42,62
106,41,2026-02-27,67,2.58,61,14,11.99,94
107,13,2025-01-24,72,4.22,45,11,7.41,61
108,5,2024-03-25,76,4.4,12,8,3.86,65
109,32,2024-09-04,91,4.58,13,8,5.76,81
110,78,2024-08-09,75,2.59,40,9,11.68,88
111,79,2026-08-15,71,2.74,17,10,12.95,61
112,65,2025-02-01,73,2.67,24,8,4.19,96
113,69,2025-05-17,86,4.31,33,10,1.85,93
114,23,2025-03-12,73,3.23,21,1,4.43,81
115,15,2024-01-06,88,2.89,10,4,7.28,75
116,50,2024-07-06,94,4.36,23,13,5.71,79
117,29,2024-04-13,66,4.66,64,4,10.74,67
118,22,2024-01-22,53,2.83,4,8,7.49,87
119,91,2025-04-30,78,4.74,48,11,8.2,86
120,5,2026-06-17,62,3.59,55,2,1.07,76
121,86,2024-05-03,67,3.69,65,15,3.72,68
122,4,2025-01-17,55,2.72,24,11,3.03,94
123,72,2024-02-10,61,3.69,24,10,6.26,95
124,30,2025-01-15,57,2.87,18,12,10.55,60
125,8,2025-06-27,77,4.47,15,9,10.02,97
126,2,2026-03-31,64,4.7,18,6,13.82,90
127,28,2025-02-01,57,4.16,62,8,3.29,71
128,71,2024-05-28,85,4.07,10,3,10.04,92
129,98,2026-02-10,49,3.69,10,10,2.55,100
130,53,2026-02-09,98,4.06,29,14,4.01,63
131,56,2025-02-04,47,4.68,51,1,2.97,83
132,58,2025-09-21,83,4.59,29,12,13.62,90
133,66,2025-05-24,71,4.12,21,4,9.02,78
134,99,2025-12-22,49,3.58,4,7,1.09,65
135,100,2025-04-20,54,4.43,6,6,4.23,77
136,84,2024-11-30,96,4.97,44,5,12.56,98
137,40,2025-12-12,99,4.87,66,8,5.85,97
138,72,2024-12-16,88,4.01,18,8,5.12,91
139,69,2026-06-14,78,4.04,9,5,9.47,77
140,37,2025-08-02,83,3.78,41,15,13.6,75
141,25,2024-10-12,67,4.93,25,14,5.09,86
142,34,2026-04-01,83,3.56,25,13,9.23,68
143,99,2024-07-28,89,3.24,47,12,8.19,80
144,60,2025-10-15,82,3.8,16,12,10.87,78
145,32,2025-01-18,58,4.0,44,3,13.32,91
146,32,2024-12-15,70,3.71,35,15,8.57,94
147,19,2025-02-06,61,4.01,33,2,14.5,95
148,1,2025-08-20,49,2.97,33,15,7.48,95
149,36,2025-10-05,77,3.92,26,5,0.86,87
150,63,2024-07-04,83,2.77,56,7,4.77,68
151,16,2024-04-20,68,4.4,7,1,12.72,77
152,71,2024-07-28,79,3.17,13,15,11.17,87
153,6,2026-01-06,87,3.92,2,2,5.13,99
154,36,2026-02-08,63,3.57,30,4,9.31,96
155,35,2024-11-20,80,3.38,31,3,0.44,97
156,98,2024-06-13,59,2.93,50,4,8.17,61
157,12,2024-09-09,81,4.35,35,13,7.35,66
158,53,2024-10-13,59,3.11,22,15,2.69,74
159,14,2026-05-19,45,3.1,40,7,8.74,98
160,50,2025-03-29,73,3.03,13,14,1.32,88
161,20,2024-07-29,92,4.72,49,1,8.16,77
162,87,2025-06-03,76,3.59,68,6,4.9,91
163,79,2025-09-07,69,4.6,27,6,2.25,64
164,90,2025-02-18,88,3.44,52,4,3.35,82
165,36,2024-01-25,60,4.29,30,7,9.05,90
166,88,2025-02-02,81,3.11,9,8,10.72,61
167,74,2026-07-20,67,3.4,3,8,6.6,88
168,55,2025-05-05,50,3.59,45,4,4.11,76
169,21,2026-05-16,55,3.05,67,10,8.01,72
170,5,2024-04-04,69,3.41,30,2,10.64,70
171,79,2025-04-08,89,3.88,33,2,7.93,76
172,20,2024-08-22,63,2.85,56,5,13.08,71
173,53,2024-02-23,64,2.92,9,4,13.09,99
174,74,2026-07-05,86,4.46,23,5,8.26,87
175,22,2026-03-02,60,2.54,26,10,10.72,64
176,13,2025-07-20,62,4.54,23,9,1.95,89
177,98,2026-03-16,68,4.31,20,9,13.99,75
178,2,2025-05-31,65,4.64,35,9,12.22,92
179,8,2024-09-04,70,2.84,7,8,2.42,68
180,78,2025-12-28,98,3.42,36,8,3.76,71
181,15,2024-01-01,90,3.12,6,2,14.74,68
182,37,2025-07-08,74,3.82,63,11,11.34,95
183,93,2026-03-16,70,4.72,60,11,14.15,82
184,78,2024-06-19,81,4.3,52,13,3.85,86
185,65,2026-05-12,99,3.75,5,4,1.19,83
186,39,2024-01-25,52,4.01,53,7,5.7,83
187,41,2026-02-07,76,3.0,3,4,6.59,100
188,19,2024-09-07,73,4.66,18,11,11.93,85
189,19,2025-12-30,46,4.75,57,5,7.35,89
190,60,2024-09-08,68,4.71,60,3,6.3,63
191,19,2026-07-20,85,4.81,38,6,0.89,89
192,50,2025-07-18,86,4.68,10,10,4.48,92
193,62,2024-11-13,47,4.83,62,2,5.35,72
194,65,2024-10-03,55,2.53,13,3,11.19,95
195,8,2024-12-08,46,3.77,67,6,0.46,85
196,79,2025-08-22,74,3.37,42,5,5.58,93
197,16,2026-01-16,73,4.4,56,13,7.76,95
198,96,2025-11-07,81,3.76,20,15,12.39,81
199,92,2024-04-05,73,4.33,35,3,2.22,72
200,79,2024-05-16,69,3.19,29,1,0.76,60
201,25,2025-03-13,71,3.92,54,13,12.41,69
202,71,2026-05-29,81,3.14,27,1,14.87,70
203,5,2026-08-05,61,4.32,9,4,7.08,70
204,87,2026-01-15,76,2.79,59,13,13.5,99
205,48,2025-10-08,99,3.67,34,10,8.42,81
206,86,2026-03-07,65,3.82,67,11,4.26,98
207,32,2024-11-03,59,4.54,56,8,4.16,92
208,64,2024-04-19,91,4.98,7,10,4.58,76
209,19,2026-07-15,80,3.06,29,15,14.35,89
210,20,2025-03-05,51,4.24,65,6,6.25,85
211,73,2026-03-04,66,3.25,32,3,9.38,64
212,41,2024-12-07,48,3.59,56,3,6.27,61
213,48,2025-08-25,52,3.27,63,15,14.97,85
214,28,2024-12-10,70,3.58,31,5,3.72,70
215,21,2024-03-25,83,3.32,49,14,1.33,65
216,95,2024-02-22,45,2.88,55,8,13.46,69
217,1,2025-11-26,75,2.94,18,5,14.76,83
218,88,2024-12-04,97,4.25,12,1,2.56,79
219,13,2026-03-19,47,4.99,11,1,9.25,72
220,22,2025-09-22,70,4.56,63,2,4.08,78
221,68,2026-05-22,49,4.58,37,3,1.07,98
222,34,2025-12-06,55,4.11,66,2,7.5,74
223,37,2026-04-09,47,3.48,44,11,2.53,90
224,58,2025-03-04,67,4.88,40,5,9.84,85
225,31,2025-04-17,95,4.96,40,11,4.97,75
226,20,2024-05-31,90,2.89,11,1,8.86,67
227,14,2025-08-16,73,2.82,10,5,11.58,80
228,31,2026-01-16,90,3.7,53,2,13.96,95
229,76,2025-01-07,64,4.84,27,15,7.15,62
230,21,2025-02-02,70,2.98,9,1,0.57,76
231,24,2025-04-05,97,3.74,51,13,10.67,80
232,18,2026-06-07,97,3.32,55,11,4.79,96
233,90,2026-06-15,56,2.52,22,5,6.3,91
234,43,2024-10-11,54,2.61,18,4,7.74,91
235,26,2025-12-29,91,2.95,5,13,0.24,83
236,44,2024-07-25,96,4.04,44,1,1.66,92
237,28,2025-08-27,54,3.33,65,5,8.01,93
238,79,2025-07-14,84,2.99,6,8,14.47,97
239,38,2025-02-21,79,4.99,59,1,4.34,61
240,76,2026-08-09,85,4.91,9,8,12.46,86
241,60,2024-09-28,83,3.93,41,14,8.9,88
242,39,2025-02-08,86,4.63,30,11,13.58,76
243,34,2024-09-01,45,3.83,6,4,14.28,88
244,51,2026-04-13,45,3.58,10,13,12.07,94
245,70,2025-05-23,71,2.54,40,13,9.04,63
246,75,2026-08-05,58,3.84,71,5,11.72,75
247,50,2025-12-02,80,4.31,23,9,9.88,60
248,55,2026-08-11,50,3.32,32,8,0.41,68
249,96,2026-07-16,91,3.15,38,11,3.93,70
250,55,2024-11-12,58,4.32,47,2,11.5,78
251,70,2026-05-23,89,3.87,9,2,14.74,67
252,1,2024-12-11,60,2.66,35,3,1.79,88
253,16,2025-11-15,77,4.41,69,8,7.71,90
254,79,2025-02-01,62,4.46,46,13,1.47,71
255,25,2024-03-05,79,4.86,3,15,13.72,65
256,21,2025-05-05,54,3.36,67,14,10.37,72
257,97,2024-04-16,85,3.38,44,14,5.9,87
258,66,2025-05-10,94,4.53,28,3,2.93,100
259,100,2025-07-24,82,4.37,9,12,3.48,91
260,99,2025-04-08,74,3.47,48,4,13.51,62
261,25,2025-03-01,45,3.93,3,11,14.02,81
262,96,2026-05-13,98,2.52,41,14,7.01,68
263,13,2025-07-20,83,3.8,15,10,2.12,91
264,71,2024-11-20,91,4.4,16,10,12.18,100
265,32,2024-02-26,64,3.84,55,5,0.68,66
266,39,2024-06-05,87,4.91,18,12,3.95,84
267,36,2024-11-11,66,4.62,10,9,5.52,91
268,95,2026-06-09,64,3.52,4,5,4.98,65
269,18,2026-02-25,78,4.01,13,6,1.79,76
270,43,2024-08-25,65,4.72,24,10,3.26,65
271,7,2026-04-11,62,3.28,71,13,8.17,65
272,92,2024-04-12,80,4.84,70,5,13.6,79
273,52,2025-11-04,93,4.83,40,15,13.18,65
274,43,2024-01-05,62,4.35,18,2,1.51,97
275,14,2024-06-11,75,2.61,47,7,8.18,76
276,76,2025-10-26,80,4.74,32,2,5.08,71
277,73,2024-06-22,89,4.67,3,8,3.35,68
278,95,2025-11-28,97,4.66,66,4,14.85,60
279,67,2025-03-16,62,3.94,25,8,8.26,63
280,28,2024-05-19,84,4.17,25,14,7.96,82
281,52,2025-12-24,82,3.53,37,5,3.81,67
282,54,2025-08-27,61,4.12,64,1,14.67,85
283,25,2024-05-02,92,3.13,17,10,2.85,97
284,86,2026-01-18,60,2.83,6,4,14.97,62
285,10,2024-01-03,88,3.49,28,5,14.4,96
286,84,2025-04-02,58,4.29,2,7,1.69,73
287,19,2025-01-22,54,4.31,16,14,5.59,86
288,85,2024-05-29,78,4.2,57,11,3.1,100
289,27,2025-03-23,69,3.38,32,8,7.38,77
290,7,2026-02-05,61,2.51,60,3,1.01,63
291,59,2024-10-17,78,3.22,53,2,13.23,69
292,36,2024-03-07,56,3.57,2,8,11.81,93
293,76,2026-05-09,74,3.37,29,8,3.09,77
294,62,2024-01-18,69,3.17,62,4,6.63,68
295,100,2025-06-05,60,4.11,50,4,14.8,95
296,83,2024-10-05,54,2.77,48,9,3.9,66
297,85,2024-09-04,78,4.5,52,1,1.04,66
298,37,2026-08-01,61,4.52,72,14,9.24,93
299,24,2024-12-01,85,3.74,68,1,2.32,61
300,99,2024-07-17,89,4.42,54,10,5.19,90
301,24,2025-08-23,51,4.33,55,5,10.47,77
302,26,2024-07-19,85,3.5,46,2,5.76,99
303,32,2025-06-29,65,2.61,44,6,7.12,75
304,43,2025-08-01,76,3.07,72,1,10.38,66
305,18,2026-01-26,59,3.53,6,4,7.06,94
306,10,2026-01-25,51,4.2,71,8,10.8,74
307,28,2025-02-22,58,3.43,5,5,0.27,97
308,16,2026-08-03,62,4.11,58,15,3.22,81
309,31,2026-08-18,84,2.8,33,13,9.02,100
310,98,2026-08-06,60,2.61,36,9,2.59,60
311,63,2025-05-30,97,4.98,53,15,5.03,65
312,75,2026-08-15,59,4.81,36,1,6.46,82
313,46,2025-08-08,93,3.63,22,1,11.11,100
314,3,2026-01-20,87,3.19,23,14,2.44,62
315,23,2025-11-08,57,4.57,26,3,4.5,63
316,58,2025-01-10,59,4.05,5,2,10.91,73
317,81,2025-12-05,93,4.7,39,14,10.33,69
318,9,2024-02-05,98,4.75,61,7,0.21,83
319,69,2024-08-04,56,4.21,54,2,1.36,70
320,10,2024-09-29,54,3.54,56,4,10.53,70
321,92,2024-12-03,78,4.28,68,15,13.99,97
322,58,2025-03-11,55,4.57,69,11,8.55,88
323,23,2024-08-07,84,4.59,57,5,4.8,98
324,94,2026-03-02,96,4.43,3,4,6.15,84
325,69,2024-08-23,74,4.82,15,13,10.45,63
326,95,2025-12-30,89,3.83,15,9,7.24,97
327,95,2026-03-29,97,2.84,67,3,8.13,74
328,17,2024-09-04,60,4.77,66,14,9.14,64
329,69,2024-12-06,80,2.71,68,9,1.49,76
330,71,2024-05-23,53,4.57,6,7,7.41,73
331,29,2025-03-08,89,4.09,67,3,9.41,64
332,93,2026-05-17,85,3.87,42,8,2.55,77
333,44,2026-06-02,46,2.58,2,13,0.51,61
334,93,2025-08-22,46,2.71,22,13,11.16,100
335,11,2025-10-25,50,4.22,62,13,1.56,94
336,48,2024-11-16,48,4.47,4,12,2.33,82
337,49,2024-09-24,88,2.79,65,11,4.42,78
338,21,2025-05-03,50,3.86,19,10,10.06,94
339,37,2025-05-28,76,3.81,10,3,2.72,78
340,80,2025-04-23,95,2.61,49,8,0.7,87
341,4,2025-01-21,47,4.0,1,11,3.99,75
342,45,2024-06-02,85,3.35,47,12,7.79,93
343,52,2025-06-07,69,3.91,31,7,2.32,77
344,30,2026-03-14,65,3.42,7,6,4.72,70
345,74,2024-02-24,69,4.32,71,12,0.69,90
346,53,2026-03-01,58,3.1,72,8,9.31,61
347,80,2024-10-01,94,4.09,68,3,1.97,63
348,7,2026-07-26,52,4.66,33,14,7.98,95
349,68,2026-08-29,92,2.51,34,14,9.69,95
350,61,2025-06-25,76,4.7,32,9,2.99,72
351,83,2025-12-14,49,3.5,32,3,10.13,69
352,52,2025-02-21,84,4.19,22,9,8.61,79
353,39,2026-01-09,55,2.55,54,13,10.78,83
354,93,2024-03-25,99,3.82,28,2,4.71,76
355,60,2026-08-26,47,4.56,38,11,5.91,82
356,97,2026-01-08,68,4.39,6,3,6.11,74
357,87,2025-11-15,68,3.35,24,5,2.96,61
358,11,2025-06-09,75,3.44,53,13,4.27,78
359,74,2025-01-12,97,3.83,3,13,3.47,66
360,31,2024-12-05,80,4.24,67,3,12.47,77
361,93,2024-10-23,53,3.66,8,11,10.36,62
362,88,2024-08-01,85,2.64,38,4,3.15,73
363,98,2025-02-08,97,3.39,68,5,8.85,67
364,94,2025-04-10,59,4.52,14,2,1.51,98
365,68,2024-09-03,74,4.3,16,9,0.82,72
366,76,2025-10-21,50,4.08,26,8,3.33,85
367,42,2024-03-26,59,2.6,53,14,0.62,64
368,97,2024-04-07,84,4.4,64,13,14.43,84
369,60,2024-01-11,77,4.65,71,12,12.97,60
370,24,2024-04-24,58,4.55,4,10,1.69,86
371,71,2024-12-07,53,4.59,68,15,0.3,84
372,61,2024-05-02,85,4.26,34,12,4.33,98
373,93,2024-05-17,71,4.79,28,7,5.58,82
374,8,2025-10-16,49,3.28,10,13,1.94,93
375,99,2025-06-26,81,3.22,70,5,3.47,85
376,62,2024-06-23,66,4.6,18,13,14.95,72
377,93,2024-10-08,55,4.85,65,3,1.2,88
378,43,2024-05-13,66,3.55,12,5,14.01,78
379,67,2026-03-07,79,3.52,6,14,5.57,61
380,44,2025-06-15,60,3.73,51,7,6.59,62
381,89,2026-08-19,51,2.79,17,7,11.73,61
382,6,2025-02-03,57,4.69,8,9,13.29,83
383,51,2024-03-15,83,2.72,4,7,2.39,89
384,42,2024-12-30,92,3.03,23,13,3.36,81
385,7,2025-05-12,97,3.57,71,3,6.6,66
386,81,2024-08-03,99,3.71,72,11,13.55,99
387,68,2024-01-06,98,3.16,6,2,3.71,95
388,68,2026-01-24,73,4.45,44,5,3.64,95
389,68,2026-01-11,53,3.52,28,4,9.71,99
390,16,2025-09-12,48,2.76,48,8,10.4,61
391,7,2024-07-05,77,3.42,9,13,4.41,96
392,3,2026-02-13,90,4.99,33,10,12.13,85
393,77,2026-06-09,90,3.93,54,13,9.4,84
394,100,2026-02-02,87,3.24,71,11,9.11,98
395,94,2024-05-28,88,4.2,59,2,13.35,78
396,69,2024-05-30,95,3.42,50,11,14.28,75
397,43,2025-08-06,81,2.76,3,13,7.56,79
398,80,2024-07-08,95,4.94,25,3,13.37,66
399,100,2025-02-17,96,4.55,38,13,2.21,87
400,73,2025-07-25,80,4.9,8,7,9.37,61
401,61,2025-10-19,54,3.49,16,8,11.48,61
402,57,2025-06-16,56,4.37,40,9,14.15,74
403,78,2024-05-21,59,3.31,47,11,3.74,93
404,85,2025-02-21,80,4.39,37,14,0.15,82
405,85,2025-02-19,52,4.95,56,6,0.55,69
406,76,2026-03-13,93,3.4,19,7,9.95,65
407,71,2024-01-16,69,3.93,45,7,9.49,73
408,72,2026-02-23,75,4.52,13,11,12.48,69
409,25,2026-05-13,96,3.82,44,15,11.28,76
410,25,2026-05-20,94,3.17,70,3,3.68,79
411,66,2025-05-04,62,4.07,6,14,0.54,70
412,97,2024-03-05,59,2.5,66,7,9.05,84
413,8,2025-11-15,52,4.58,50,9,3.11,65
414,25,2025-06-24,97,4.03,4,1,14.19,84
415,8,2026-05-28,84,4.12,11,5,9.48,64
416,95,2025-06-18,65,2.64,53,13,2.74,100
417,26,2024-08-13,82,4.87,53,11,2.24,83
418,82,2025-02-04,62,3.18,64,8,6.7,78
419,21,2026-02-20,48,4.29,58,15,2.18,85
420,53,2026-02-02,87,2.83,18,6,0.39,65
421,63,2024-06-13,91,4.06,61,15,5.83,63
422,73,2025-02-10,89,4.83,9,13,11.69,61
423,68,2024-08-25,88,3.83,9,4,3.06,89
424,12,2024-07-26,53,4.89,41,6,10.75,70
425,45,2024-07-28,70,2.77,70,15,1.28,60
426,22,2026-02-07,88,2.75,21,1,5.76,74
427,55,2025-08-10,60,4.56,41,3,7.07,94
428,45,2024-10-30,69,2.8,28,8,1.21,94
429,40,2024-05-24,61,3.98,22,14,8.72,63
430,51,2024-08-30,63,3.78,13,7,4.2,63
431,58,2026-08-07,58,4.21,14,7,7.11,66
432,19,2024-03-17,74,4.35,64,11,7.75,71
433,2,2025-07-03,98,2.9,12,15,7.42,97
434,24,2024-06-24,51,4.07,34,9,13.97,86
435,74,2025-03-24,79,3.35,63,13,11.0,98
436,30,2026-06-16,93,3.57,30,14,12.36,75
437,15,2024-01-30,99,3.79,70,11,14.94,86
438,44,2025-07-11,59,3.93,58,12,0.44,97
439,93,2025-02-16,85,3.57,16,8,7.23,63
440,64,2025-01-08,60,4.75,67,13,12.13,60
441,98,2024-07-03,45,3.44,19,2,9.92,70
442,29,2024-01-16,85,3.37,21,2,14.88,83
443,100,2025-02-18,66,3.85,58,15,1.66,76
444,73,2024-03-15,54,4.33,67,11,11.57,71
445,74,2025-07-24,53,3.32,51,8,11.35,62
446,76,2025-07-08,79,4.43,35,4,6.51,98
447,37,2026-05-21,95,3.87,3,3,1.99,62
448,43,2026-01-06,96,2.58,30,11,12.64,87
449,77,2026-06-22,90,4.23,65,5,9.76,79
450,78,2024-10-17,66,4.62,66,9,9.48,65
451,45,2025-12-12,73,4.07,65,8,14.44,62
452,84,2025-04-03,73,2.73,23,4,13.44,85
453,50,2024-10-08,75,2.99,24,1,14.02,88
454,49,2025-05-21,94,2.69,9,12,9.45,89
455,79,2026-07-26,79,3.73,70,3,12.87,96
456,56,2025-06-12,77,3.74,20,14,12.53,80
457,74,2025-11-28,57,3.73,5,13,9.69,80
458,68,2025-01-12,45,3.5,24,11,9.42,75
459,7,2026-02-12,89,3.17,4,11,13.43,83
460,50,2024-02-01,69,4.32,43,11,6.9,62
461,87,2026-05-22,52,2.92,70,3,11.7,81
462,48,2024-07-19,62,3.13,68,7,6.96,85
463,18,2024-05-16,67,4.57,38,3,9.61,100
464,88,2026-06-06,79,4.35,35,13,5.93,74
465,25,2024-03-22,79,4.9,14,6,6.13,76
466,88,2024-07-01,88,4.79,24,9,11.45,90
467,44,2026-06-08,69,2.92,22,7,14.2,74
468,89,2024-04-18,59,3.36,48,2,3.43,92
469,72,2025-06-15,90,3.48,47,1,14.28,91
470,34,2026-02-13,69,4.87,72,6,0.33,80
471,63,2025-10-05,94,4.2,34,4,0.21,79
472,80,2026-07-24,52,4.69,66,14,8.7,67
473,62,2025-08-18,83,3.71,7,4,7.87,81
474,31,2024-11-10,62,4.48,12,14,5.53,85
475,12,2024-04-19,65,3.23,14,6,12.43,72
476,28,2024-04-09,91,2.93,28,14,6.35,93
477,31,2024-09-29,96,3.57,41,1,0.34,99
478,20,2024-02-06,89,4.66,14,5,14.26,65
479,100,2025-12-13,67,2.94,50,10,7.99,67
480,76,2026-02-14,78,3.68,8,10,11.01,68
481,62,2025-07-25,45,3.18,17,4,12.69,93
482,99,2025-03-02,67,3.51,18,15,5.03,87
483,8,2025-07-05,65,4.66,65,7,11.91,88
484,57,2025-06-06,62,3.25,22,3,7.44,81
485,44,2025-03-08,92,4.73,36,9,9.52,97
486,47,2025-09-21,95,4.67,37,3,7.58,79
487,16,2026-06-22,50,4.53,55,6,0.48,60
488,6,2025-10-24,47,2.89,40,6,9.62,97
489,30,2026-03-29,49,4.9,17,11,13.17,67
490,42,2025-06-18,65,2.67,1,6,5.16,62
491,27,2024-10-17,85,4.08,72,12,2.81,66
492,39,2025-09-26,63,4.63,68,10,5.81,97
493,92,2026-03-18,76,2.86,29,7,6.79,100
494,57,2025-01-10,91,4.87,53,3,11.23,68
495,66,2025-06-22,92,4.26,48,5,3.22,64
496,28,2024-07-13,96,4.53,70,13,12.26,68
497,9,2025-10-03,53,3.0,19,15,12.63,60
498,40,2025-06-16,84,2.73,49,12,0.22,65
499,32,2024-12-19,71,3.16,21,4,10.79,89
500,4,2025-11-12,79,2.91,61,7,7.83,65
501,59,2026-02-03,56,4.47,45,8,7.02,76
502,47,2026-08-22,80,4.07,62,3,5.75,96
503,5,2025-01-26,65,2.86,12,9,12.27,89
504,85,2026-01-05,80,3.1,14,7,0.89,71
505,57,2024-07-22,52,4.11,23,2,6.91,73
506,57,2024-07-09,95,4.29,28,15,8.51,97
507,4,2024-08-07,65,2.95,20,10,14.33,99
508,95,2025-11-04,71,4.7,13,12,6.46,80
509,75,2026-07-07,49,4.1,31,9,8.3,75
510,22,2024-07-27,65,4.13,32,13,8.71,94
511,41,2026-01-24,80,4.85,35,7,1.92,89
512,96,2025-08-07,76,3.05,51,5,3.78,61
513,43,2024-07-03,61,4.66,64,10,10.76,67
