id,fromUserId,toUserId,subject,message,date,read
43,4,3,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2025-04-04,true
44,3,3,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-08-31,true
45,3,5,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2025-11-17,true
46,6,3,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2025-05-26,true
47,1,4,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-11-23,true
48,5,5,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-06-17,false
49,6,3,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2026-01-03,false
50,6,1,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-01-08,false
51,3,6,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2026-02-22,true
52,6,5,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-01-08,true
53,6,4,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2025-09-25,false
54,2,4,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2026-06-10,false
55,1,4,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2024-12-23,true
56,2,1,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2025-09-12,false
57,4,2,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2026-03-09,true
58,5,1,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2025-02-01,true
59,5,4,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-04-27,true
60,4,5,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2024-08-17,false
61,5,5,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-04-24,false
62,6,5,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-11-13,true
63,2,4,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-05-05,true
64,1,4,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-08-02,true
65,5,3,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-02-04,false
66,5,3,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2026-05-31,false
67,5,1,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2025-03-29,true
68,2,5,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2025-03-11,false
69,6,4,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-08-14,false
70,4,4,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2026-08-14,false
71,5,3,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2026-03-14,true
72,6,3,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-04-12,true
73,3,6,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-05-07,true
74,3,1,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-02-10,true
75,3,6,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-01-27,false
76,3,5,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-06-03,true
77,3,4,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2026-02-13,false
78,4,6,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-02-17,true
79,2,3,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-01-17,false
80,1,3,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-03-19,false
81,6,3,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-04-29,false
82,4,1,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-03-14,true
83,1,3,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2025-10-06,false
84,4,1,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-10-25,false
85,1,6,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2025-03-27,false
86,1,1,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-06-11,false
87,3,5,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-02-04,true
88,2,6,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-01-24,false
89,5,5,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-08-07,false
90,3,5,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2025-09-30,true
91,3,4,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2026-01-26,true
92,6,2,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-08-04,true
93,4,3,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-05-23,true
94,3,3,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2026-02-28,true
95,4,1,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-08-29,false
96,1,3,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-09-23,false
97,6,6,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2025-02-15,true
98,6,5,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-02-27,true
99,6,1,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-12-31,true
100,5,6,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2024-10-06,false
101,4,6,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-05-12,false
102,1,3,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-12-04,false
103,1,6,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-02-22,false
104,2,1,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2026-04-24,true
105,5,5,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2026-06-27,false
106,4,5,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-08-16,true
107,2,6,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2025-01-23,true
108,6,2,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-01-08,true
109,1,4,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-11-29,false
110,4,4,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2025-01-13,false
111,2,1,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-06-05,false
112,2,4,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-05-10,false
113,4,5,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-02-08,true
114,2,5,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2026-08-08,false
115,6,6,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2025-05-15,false
116,3,1,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-10-08,false
117,1,4,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-10-29,true
118,1,3,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-04-06,false
119,1,3,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2025-01-26,true
120,3,3,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-03-30,false
121,3,1,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-09-25,true
122,3,2,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-09-24,false
123,3,6,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2025-09-05,false
124,6,5,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2026-01-15,false
125,3,1,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2026-05-05,true
126,6,4,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2024-09-17,false
127,4,2,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-09-09,true
128,5,2,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-09-09,false
129,3,6,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-11-15,true
130,4,6,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-01-03,false
131,3,6,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-11-14,false
132,3,3,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-03-26,true
133,4,6,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-07-13,false
134,2,3,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-11-29,false
135,3,4,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-07-24,true
136,2,4,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-05-01,true
137,2,5,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2026-08-19,true
138,6,3,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2024-03-15,true
139,5,6,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2024-10-06,true
140,6,3,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-06-06,false
141,3,1,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2025-02-15,true
142,5,3,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2025-12-14,true
143,4,2,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-03-14,true
144,4,2,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-11-10,true
145,6,6,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2025-11-03,true
146,4,5,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2026-01-20,true
147,2,4,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-06-11,false
148,2,2,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-06-18,false
149,2,4,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2026-07-26,false
150,4,3,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2026-06-22,false
151,5,5,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-08-17,false
152,4,5,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-10-17,false
153,3,5,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2025-08-11,false
154,3,5,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2026-03-17,true
155,2,4,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-12-20,false
156,2,6,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2025-02-22,false
157,6,5,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-07-20,false
158,2,4,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2026-07-08,false
159,6,5,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2026-02-20,true
160,1,2,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-02-10,true
161,6,6,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2026-06-14,true
162,4,4,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2024-12-15,true
163,3,1,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-07-21,true
164,2,2,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-10-31,false
165,6,6,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-06-08,true
166,1,4,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-10-13,true
167,2,2,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-05-18,true
168,1,5,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-05-27,false
169,2,1,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-12-28,false
170,6,2,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-07-11,true
171,3,4,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-09-23,true
172,3,5,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-01-23,false
173,4,1,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2026-05-16,true
174,2,6,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-12-27,true
175,3,4,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-08-31,true
176,4,6,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-04-09,true
177,3,4,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-05-28,false
178,1,6,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-06-08,false
179,6,1,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-12-11,true
180,4,2,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-03-02,false
181,1,1,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2026-06-06,false
182,5,5,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2026-08-03,true
183,4,2,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-02-08,false
184,6,3,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-06-07,false
185,5,4,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2026-08-13,false
186,1,5,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-03-04,true
187,4,5,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-04-26,false
188,1,4,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-04-27,true
189,1,5,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-03-25,false
190,2,5,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2024-07-18,true
191,5,2,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-07-24,true
192,3,6,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-06-30,false
193,1,4,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-10-09,true
194,6,3,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-10-19,false
195,6,4,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-03-05,true
196,2,4,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-06-29,true
197,3,2,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2025-09-02,true
198,2,2,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-11-17,true
199,3,3,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2024-04-24,false
200,5,6,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-07-17,false
201,4,3,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-08-28,true
202,5,5,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2026-03-17,false
203,3,5,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2025-04-10,true
204,1,4,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-01-24,false
205,4,2,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2025-02-24,true
206,4,3,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2025-10-15,false
207,6,1,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2026-05-01,false
208,5,2,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-01-04,true
209,1,6,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2026-02-04,false
210,1,5,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-01-19,true
211,1,4,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-04-07,true
212,2,3,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2024-10-16,true
213,2,2,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2026-04-05,false
214,6,4,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-09-27,true
215,1,1,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-11-15,false
216,1,1,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2026-08-01,true
217,3,2,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-05-19,false
218,2,2,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-02-25,true
219,1,4,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-05-13,false
220,4,2,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-04-29,false
221,1,3,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-07-14,true
222,2,1,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2024-03-06,false
223,1,6,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-05-03,false
224,3,4,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-02-17,false
225,1,5,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2024-01-30,true
226,5,6,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2024-01-06,false
227,4,4,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-10-14,false
228,2,4,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-01-08,false
229,1,4,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-09-01,false
230,2,3,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-09-02,true
231,2,6,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-04-05,false
232,4,1,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-02-10,false
233,3,6,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-01-23,true
234,3,5,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-07-16,false
235,4,4,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-10-21,true
236,6,3,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-01-11,false
237,1,4,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2024-07-15,true
238,2,6,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2026-06-03,false
239,6,6,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2024-06-16,false
240,1,3,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2026-08-24,true
241,4,6,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-04-11,false
242,1,3,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-04-05,true
243,3,2,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-04-28,true
244,3,6,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2025-01-08,false
245,4,4,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-03-17,true
246,4,1,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2026-07-06,false
247,1,5,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-11-29,false
248,4,5,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2024-11-13,false
249,6,1,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2025-05-02,true
250,2,3,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-07-03,true
251,6,1,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-02-16,true
252,4,1,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-04-16,true
253,6,1,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-04-16,true
254,4,2,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2026-05-27,true
255,6,5,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-04-10,true
256,1,2,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2025-04-26,false
257,3,4,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-01-13,true
258,1,5,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-11-12,false
259,3,2,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2026-01-10,true
260,6,4,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-05-22,false
261,1,1,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2026-06-09,false
262,2,3,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-11-06,true
263,1,3,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-11-20,false
264,6,4,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-05-27,false
265,5,2,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-08-22,true
266,6,4,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-05-09,true
267,1,4,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2025-02-13,true
268,2,5,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2024-04-10,false
269,5,2,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-10-12,false
270,4,3,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-03-07,false
271,3,4,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-11-28,true
272,2,1,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2026-02-09,false
273,5,3,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-03-16,true
274,3,6,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-04-15,true
275,6,2,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2026-08-08,true
276,2,6,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2025-10-18,false
277,6,2,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2026-02-14,true
278,4,5,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-10-16,false
279,5,4,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2025-04-08,false
280,1,1,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-01-15,false
281,1,6,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2025-10-11,false
282,6,3,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-11-09,false
283,2,2,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2025-12-19,true
284,3,6,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-09-11,false
285,5,4,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2024-04-06,false
286,5,3,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-05-06,false
287,2,1,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2026-03-27,false
288,1,3,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-03-25,true
289,4,1,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2026-07-22,true
290,5,3,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2025-07-24,false
291,3,6,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2026-01-25,false
292,2,5,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2024-12-01,false
293,1,5,Invoice Follow-up,VendorIQ communication regarding procurement and supplier operations.,2025-05-09,true
294,5,1,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2025-04-02,true
295,4,4,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-02-10,true
296,6,5,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2024-10-21,true
297,4,6,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-04-02,false
298,3,1,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-06-30,false
299,5,6,Delivery Update,VendorIQ communication regarding procurement and supplier operations.,2025-06-06,true
300,4,5,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-04-01,true
301,2,6,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2025-04-16,false
302,5,2,Contract Clarification,VendorIQ communication regarding procurement and supplier operations.,2026-03-08,true
303,2,2,Purchase Order Query,VendorIQ communication regarding procurement and supplier operations.,2024-07-08,false
304,4,4,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2024-05-20,false
305,1,6,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2025-06-15,false
306,4,1,Quality Issue,VendorIQ communication regarding procurement and supplier operations.,2024-06-28,false
307,6,1,Supplier Documentation,VendorIQ communication regarding procurement and supplier operations.,2024-04-04,true
308,3,2,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2025-10-30,false
309,2,2,Performance Review,VendorIQ communication regarding procurement and supplier operations.,2024-11-19,false
310,2,6,Delivery Delay,VendorIQ communication regarding procurement and supplier operations.,2026-06-02,false
