id,invoiceNumber,vendorId,poNumber,amount,status,invoiceDate,dueDate,paymentDate
149,INV-2026-000149,91,PO-2026-000149,298089,Paid,2024-10-28,2025-01-13,2024-12-29
150,INV-2026-000150,42,PO-2026-000150,250573,Paid,2024-10-08,2025-01-03,2024-12-30
151,INV-2026-000151,20,PO-2026-000151,160017,Paid,2026-04-19,2026-06-07,2026-06-07
152,INV-2026-000152,65,PO-2026-000152,389647,Pending,2024-07-08,2024-09-15,
153,INV-2026-000153,9,PO-2026-000153,287568,Pending,2026-04-18,2026-05-25,
154,INV-2026-000154,20,PO-2026-000154,153441,Paid,2024-11-26,2025-01-04,2025-01-01
155,INV-2026-000155,9,PO-2026-000155,442881,Paid,2026-08-18,2026-10-02,2026-09-26
156,INV-2026-000156,63,PO-2026-000156,56775,Paid,2024-02-02,2024-03-04,2024-02-19
157,INV-2026-000157,90,PO-2026-000157,139185,Paid,2024-02-20,2024-05-19,2024-05-16
158,INV-2026-000158,27,PO-2026-000158,262638,Paid,2026-08-08,2026-10-07,2026-10-02
159,INV-2026-000159,47,PO-2026-000159,394796,Pending,2026-08-18,2026-11-09,
160,INV-2026-000160,79,PO-2026-000160,282359,Pending,2024-02-11,2024-03-28,
161,INV-2026-000161,28,PO-2026-000161,277359,Pending,2024-04-09,2024-06-21,
162,INV-2026-000162,68,PO-2026-000162,135423,Paid,2025-08-06,2025-10-17,2025-10-14
163,INV-2026-000163,99,PO-2026-000163,307285,Paid,2025-01-01,2025-03-12,2025-03-12
164,INV-2026-000164,24,PO-2026-000164,215531,Paid,2025-05-31,2025-08-21,2025-08-14
165,INV-2026-000165,41,PO-2026-000165,175212,Paid,2026-05-15,2026-07-31,2026-07-25
166,INV-2026-000166,78,PO-2026-000166,300250,Paid,2025-07-12,2025-08-29,2025-08-20
167,INV-2026-000167,58,PO-2026-000167,213189,Pending,2024-01-01,2024-03-08,
168,INV-2026-000168,67,PO-2026-000168,163251,Paid,2024-01-07,2024-03-19,2024-03-11
169,INV-2026-000169,99,PO-2026-000169,366611,Paid,2026-04-22,2026-07-05,2026-07-02
170,INV-2026-000170,59,PO-2026-000170,86845,Paid,2024-05-21,2024-08-11,2024-07-29
171,INV-2026-000171,39,PO-2026-000171,304099,Paid,2025-02-13,2025-04-02,2025-03-19
172,INV-2026-000172,62,PO-2026-000172,260997,Paid,2026-04-25,2026-06-18,2026-06-18
173,INV-2026-000173,39,PO-2026-000173,388144,Paid,2026-04-07,2026-05-09,2026-04-25
174,INV-2026-000174,99,PO-2026-000174,187415,Paid,2026-06-19,2026-09-15,2026-09-04
175,INV-2026-000175,99,PO-2026-000175,396998,Overdue,2025-10-30,2025-12-28,
176,INV-2026-000176,68,PO-2026-000176,172413,Overdue,2025-07-06,2025-09-03,
177,INV-2026-000177,29,PO-2026-000177,31486,Paid,2025-11-20,2025-12-30,2025-12-19
178,INV-2026-000178,74,PO-2026-000178,52229,Paid,2024-08-15,2024-11-08,2024-11-02
179,INV-2026-000179,44,PO-2026-000179,254484,Paid,2025-08-08,2025-10-22,2025-10-10
180,INV-2026-000180,52,PO-2026-000180,232798,Paid,2026-03-03,2026-04-13,2026-04-09
181,INV-2026-000181,26,PO-2026-000181,212260,Paid,2025-10-29,2026-01-13,2026-01-03
182,INV-2026-000182,35,PO-2026-000182,230478,Paid,2024-11-27,2025-02-19,2025-02-15
183,INV-2026-000183,45,PO-2026-000183,173159,Paid,2024-12-18,2025-03-06,2025-02-25
184,INV-2026-000184,79,PO-2026-000184,425896,Overdue,2025-03-28,2025-05-01,
185,INV-2026-000185,30,PO-2026-000185,364325,Overdue,2025-01-17,2025-03-29,
186,INV-2026-000186,7,PO-2026-000186,330584,Paid,2026-08-06,2026-10-05,2026-09-30
187,INV-2026-000187,89,PO-2026-000187,63341,Paid,2024-11-08,2025-02-05,2025-01-28
188,INV-2026-000188,95,PO-2026-000188,116083,Paid,2024-07-27,2024-09-15,2024-09-04
189,INV-2026-000189,19,PO-2026-000189,371348,Paid,2025-11-15,2026-02-06,2026-01-25
190,INV-2026-000190,8,PO-2026-000190,110222,Paid,2026-03-19,2026-04-19,2026-04-14
191,INV-2026-000191,2,PO-2026-000191,208761,Paid,2025-11-07,2026-01-18,2026-01-15
192,INV-2026-000192,38,PO-2026-000192,345478,Paid,2025-01-30,2025-04-13,2025-03-29
193,INV-2026-000193,77,PO-2026-000193,51148,Paid,2024-07-09,2024-08-22,2024-08-15
194,INV-2026-000194,68,PO-2026-000194,179886,Paid,2025-05-16,2025-08-10,2025-08-05
195,INV-2026-000195,46,PO-2026-000195,163506,Pending,2024-08-29,2024-10-22,
196,INV-2026-000196,50,PO-2026-000196,432220,Pending,2024-01-31,2024-03-27,
197,INV-2026-000197,51,PO-2026-000197,76964,Overdue,2024-03-30,2024-05-02,
198,INV-2026-000198,74,PO-2026-000198,228590,Pending,2024-11-15,2024-12-22,
199,INV-2026-000199,27,PO-2026-000199,77654,Paid,2025-08-17,2025-11-02,2025-10-31
200,INV-2026-000200,91,PO-2026-000200,279624,Paid,2026-07-20,2026-09-11,2026-09-11
201,INV-2026-000201,73,PO-2026-000201,87862,Overdue,2024-11-21,2025-01-10,
202,INV-2026-000202,19,PO-2026-000202,20457,Paid,2026-02-22,2026-04-21,2026-04-09
203,INV-2026-000203,96,PO-2026-000203,435806,Paid,2026-07-04,2026-09-12,2026-09-06
204,INV-2026-000204,24,PO-2026-000204,404742,Paid,2025-09-18,2025-11-18,2025-11-04
205,INV-2026-000205,30,PO-2026-000205,18675,Pending,2025-01-02,2025-02-15,
206,INV-2026-000206,78,PO-2026-000206,378303,Paid,2025-10-27,2025-12-06,2025-11-23
207,INV-2026-000207,18,PO-2026-000207,106323,Pending,2024-08-19,2024-11-08,
208,INV-2026-000208,53,PO-2026-000208,394213,Pending,2025-11-18,2025-12-23,
209,INV-2026-000209,57,PO-2026-000209,328516,Paid,2025-05-16,2025-07-25,2025-07-22
210,INV-2026-000210,52,PO-2026-000210,26929,Paid,2025-09-14,2025-12-04,2025-11-30
211,INV-2026-000211,51,PO-2026-000211,394266,Overdue,2025-08-08,2025-09-30,
212,INV-2026-000212,58,PO-2026-000212,438591,Pending,2026-06-17,2026-08-22,
213,INV-2026-000213,72,PO-2026-000213,275599,Paid,2026-02-22,2026-03-28,2026-03-18
214,INV-2026-000214,51,PO-2026-000214,164674,Paid,2026-03-03,2026-05-18,2026-05-03
215,INV-2026-000215,38,PO-2026-000215,33598,Paid,2025-12-07,2026-01-19,2026-01-04
216,INV-2026-000216,12,PO-2026-000216,267488,Paid,2024-04-25,2024-06-16,2024-06-12
217,INV-2026-000217,42,PO-2026-000217,18061,Pending,2024-07-02,2024-08-29,
218,INV-2026-000218,33,PO-2026-000218,367659,Paid,2025-10-26,2025-12-19,2025-12-17
219,INV-2026-000219,16,PO-2026-000219,64855,Paid,2025-12-24,2026-01-31,2026-01-22
220,INV-2026-000220,66,PO-2026-000220,88833,Paid,2025-01-22,2025-03-24,2025-03-17
221,INV-2026-000221,43,PO-2026-000221,350783,Paid,2026-06-02,2026-08-05,2026-07-26
222,INV-2026-000222,92,PO-2026-000222,224981,Paid,2024-11-11,2025-02-01,2025-01-23
223,INV-2026-000223,24,PO-2026-000223,73981,Overdue,2024-07-26,2024-09-10,
224,INV-2026-000224,64,PO-2026-000224,428338,Paid,2024-01-06,2024-02-27,2024-02-25
225,INV-2026-000225,85,PO-2026-000225,242889,Overdue,2025-02-23,2025-04-04,
226,INV-2026-000226,71,PO-2026-000226,329935,Overdue,2025-10-05,2025-11-08,
227,INV-2026-000227,19,PO-2026-000227,347505,Paid,2024-12-23,2025-02-06,2025-01-28
228,INV-2026-000228,78,PO-2026-000228,178597,Paid,2026-07-31,2026-09-02,2026-08-30
229,INV-2026-000229,21,PO-2026-000229,154097,Paid,2025-09-17,2025-12-15,2025-12-07
230,INV-2026-000230,75,PO-2026-000230,23790,Pending,2024-04-05,2024-05-07,
231,INV-2026-000231,49,PO-2026-000231,40476,Paid,2026-02-15,2026-04-02,2026-03-27
232,INV-2026-000232,18,PO-2026-000232,369180,Paid,2026-05-30,2026-08-16,2026-08-15
233,INV-2026-000233,90,PO-2026-000233,325892,Paid,2024-02-29,2024-05-04,2024-04-24
234,INV-2026-000234,89,PO-2026-000234,418235,Overdue,2025-12-24,2026-03-06,
235,INV-2026-000235,74,PO-2026-000235,190521,Overdue,2026-08-07,2026-09-09,
236,INV-2026-000236,24,PO-2026-000236,324504,Paid,2024-08-26,2024-09-29,2024-09-28
237,INV-2026-000237,4,PO-2026-000237,332921,Paid,2026-03-26,2026-04-29,2026-04-16
238,INV-2026-000238,43,PO-2026-000238,298819,Paid,2026-04-05,2026-06-13,2026-06-11
239,INV-2026-000239,89,PO-2026-000239,138388,Overdue,2026-03-20,2026-05-19,
240,INV-2026-000240,42,PO-2026-000240,8214,Overdue,2024-04-26,2024-06-12,
241,INV-2026-000241,73,PO-2026-000241,20265,Pending,2026-05-02,2026-06-07,
242,INV-2026-000242,87,PO-2026-000242,253774,Paid,2026-03-27,2026-05-28,2026-05-21
243,INV-2026-000243,69,PO-2026-000243,180693,Pending,2025-04-18,2025-06-14,
244,INV-2026-000244,67,PO-2026-000244,301192,Paid,2026-01-12,2026-04-02,2026-03-26
245,INV-2026-000245,88,PO-2026-000245,424186,Paid,2026-07-27,2026-08-29,2026-08-29
246,INV-2026-000246,4,PO-2026-000246,201734,Pending,2025-10-03,2025-12-23,
247,INV-2026-000247,50,PO-2026-000247,317051,Paid,2024-04-29,2024-07-06,2024-06-24
248,INV-2026-000248,41,PO-2026-000248,21582,Pending,2024-10-05,2024-12-21,
249,INV-2026-000249,58,PO-2026-000249,163664,Paid,2024-08-09,2024-10-08,2024-10-07
250,INV-2026-000250,5,PO-2026-000250,110957,Paid,2026-07-24,2026-09-16,2026-09-12
251,INV-2026-000251,65,PO-2026-000251,104725,Paid,2024-12-14,2025-02-09,2025-02-05
252,INV-2026-000252,19,PO-2026-000252,56512,Paid,2026-04-21,2026-05-28,2026-05-17
253,INV-2026-000253,59,PO-2026-000253,379172,Paid,2026-06-04,2026-07-25,2026-07-12
254,INV-2026-000254,6,PO-2026-000254,449661,Overdue,2025-08-31,2025-10-15,
255,INV-2026-000255,67,PO-2026-000255,350497,Paid,2026-02-02,2026-04-10,2026-04-10
256,INV-2026-000256,27,PO-2026-000256,110148,Paid,2024-07-16,2024-10-01,2024-09-30
257,INV-2026-000257,86,PO-2026-000257,147949,Overdue,2024-06-01,2024-07-01,
258,INV-2026-000258,80,PO-2026-000258,274515,Overdue,2024-04-14,2024-05-29,
259,INV-2026-000259,91,PO-2026-000259,153513,Pending,2025-08-10,2025-09-13,
260,INV-2026-000260,44,PO-2026-000260,237599,Paid,2024-02-21,2024-04-19,2024-04-14
261,INV-2026-000261,14,PO-2026-000261,33206,Paid,2024-03-29,2024-05-18,2024-05-07
262,INV-2026-000262,76,PO-2026-000262,443396,Pending,2025-12-07,2026-03-03,
263,INV-2026-000263,26,PO-2026-000263,402621,Paid,2025-11-17,2026-01-04,2025-12-31
264,INV-2026-000264,12,PO-2026-000264,425662,Pending,2026-07-30,2026-09-28,
265,INV-2026-000265,88,PO-2026-000265,377357,Pending,2026-02-23,2026-05-06,
266,INV-2026-000266,79,PO-2026-000266,195552,Paid,2025-02-05,2025-03-23,2025-03-17
267,INV-2026-000267,63,PO-2026-000267,39270,Paid,2025-05-01,2025-07-17,2025-07-06
268,INV-2026-000268,22,PO-2026-000268,407622,Overdue,2024-12-22,2025-03-16,
269,INV-2026-000269,92,PO-2026-000269,61089,Paid,2024-11-29,2025-02-12,2025-02-03
270,INV-2026-000270,52,PO-2026-000270,221762,Overdue,2024-09-01,2024-11-19,
271,INV-2026-000271,9,PO-2026-000271,114176,Paid,2026-04-13,2026-07-07,2026-06-30
272,INV-2026-000272,44,PO-2026-000272,368925,Paid,2024-08-29,2024-10-15,2024-10-05
273,INV-2026-000273,77,PO-2026-000273,175591,Pending,2025-07-22,2025-09-22,
274,INV-2026-000274,52,PO-2026-000274,318660,Paid,2024-04-21,2024-06-12,2024-05-30
275,INV-2026-000275,83,PO-2026-000275,37234,Pending,2024-04-02,2024-06-10,
276,INV-2026-000276,97,PO-2026-000276,429589,Paid,2024-01-01,2024-02-05,2024-01-30
277,INV-2026-000277,38,PO-2026-000277,327737,Overdue,2025-08-14,2025-11-05,
278,INV-2026-000278,41,PO-2026-000278,303989,Overdue,2026-03-24,2026-05-07,
279,INV-2026-000279,45,PO-2026-000279,310516,Paid,2024-01-09,2024-03-14,2024-03-08
280,INV-2026-000280,48,PO-2026-000280,292773,Paid,2024-02-24,2024-05-10,2024-05-06
281,INV-2026-000281,37,PO-2026-000281,21349,Paid,2024-08-28,2024-10-12,2024-09-28
282,INV-2026-000282,52,PO-2026-000282,233164,Pending,2025-07-12,2025-09-09,
283,INV-2026-000283,50,PO-2026-000283,193894,Overdue,2026-05-10,2026-06-10,
284,INV-2026-000284,18,PO-2026-000284,42615,Paid,2025-10-25,2025-11-26,2025-11-18
285,INV-2026-000285,18,PO-2026-000285,76942,Paid,2025-10-19,2025-12-12,2025-12-03
286,INV-2026-000286,55,PO-2026-000286,99265,Pending,2025-04-10,2025-05-15,
287,INV-2026-000287,29,PO-2026-000287,227702,Paid,2025-09-11,2025-12-04,2025-11-22
288,INV-2026-000288,35,PO-2026-000288,291348,Paid,2025-08-13,2025-11-06,2025-10-25
289,INV-2026-000289,91,PO-2026-000289,64330,Paid,2025-08-17,2025-09-18,2025-09-11
