id,contractNumber,vendorId,title,value,startDate,endDate,status,complianceStatus
62,CTR-2026-00062,45,Supplier Agreement 0062,314635,2024-03-13,2025-04-28,Draft,Compliant
63,CTR-2026-00063,52,Supplier Agreement 0063,174326,2024-05-06,2025-04-06,Active,Review Required
64,CTR-2026-00064,98,Supplier Agreement 0064,570909,2024-12-01,2025-06-10,Active,Review Required
65,CTR-2026-00065,68,Supplier Agreement 0065,484561,2024-04-15,2026-02-06,Active,Review Required
66,CTR-2026-00066,16,Supplier Agreement 0066,947984,2025-07-08,2027-04-14,Active,Review Required
67,CTR-2026-00067,35,Supplier Agreement 0067,292861,2024-02-11,2025-09-03,Expired,Compliant
68,CTR-2026-00068,81,Supplier Agreement 0068,943806,2025-04-22,2026-12-29,Active,Non-Compliant
69,CTR-2026-00069,98,Supplier Agreement 0069,117875,2024-10-25,2025-12-09,Active,Review Required
70,CTR-2026-00070,31,Supplier Agreement 0070,694054,2025-05-21,2027-02-02,Active,Compliant
71,CTR-2026-00071,99,Supplier Agreement 0071,696366,2024-10-13,2026-01-18,Draft,Review Required
72,CTR-2026-00072,54,Supplier Agreement 0072,131043,2024-09-14,2026-03-13,Active,Non-Compliant
73,CTR-2026-00073,32,Supplier Agreement 0073,479837,2025-08-22,2027-07-09,Active,Review Required
74,CTR-2026-00074,14,Supplier Agreement 0074,937673,2025-05-14,2026-11-29,Active,Non-Compliant
75,CTR-2026-00075,6,Supplier Agreement 0075,148179,2024-04-20,2025-01-25,Active,Compliant
76,CTR-2026-00076,47,Supplier Agreement 0076,778180,2025-08-17,2027-04-20,Expired,Compliant
77,CTR-2026-00077,45,Supplier Agreement 0077,573159,2025-03-26,2027-01-06,Active,Compliant
78,CTR-2026-00078,52,Supplier Agreement 0078,214517,2025-03-18,2025-10-10,Active,Compliant
79,CTR-2026-00079,81,Supplier Agreement 0079,457164,2024-12-02,2025-09-09,Active,Compliant
80,CTR-2026-00080,94,Supplier Agreement 0080,741189,2025-04-12,2026-06-25,Active,Review Required
81,CTR-2026-00081,46,Supplier Agreement 0081,75121,2024-09-11,2025-12-18,Active,Review Required
82,CTR-2026-00082,59,Supplier Agreement 0082,833251,2024-09-26,2025-09-05,Active,Review Required
83,CTR-2026-00083,95,Supplier Agreement 0083,205415,2025-02-14,2026-08-04,Expiring,Non-Compliant
84,CTR-2026-00084,12,Supplier Agreement 0084,800798,2024-12-07,2026-05-31,Active,Compliant
85,CTR-2026-00085,41,Supplier Agreement 0085,119825,2024-11-09,2025-08-19,Draft,Non-Compliant
86,CTR-2026-00086,41,Supplier Agreement 0086,236968,2025-05-24,2026-05-29,Expiring,Review Required
87,CTR-2026-00087,91,Supplier Agreement 0087,484034,2025-05-12,2026-11-02,Active,Review Required
88,CTR-2026-00088,97,Supplier Agreement 0088,141895,2024-06-12,2025-05-30,Active,Compliant
89,CTR-2026-00089,75,Supplier Agreement 0089,612711,2024-11-13,2026-10-12,Expiring,Review Required
90,CTR-2026-00090,97,Supplier Agreement 0090,754427,2025-07-27,2026-07-24,Active,Compliant
91,CTR-2026-00091,26,Supplier Agreement 0091,984129,2024-04-05,2025-01-02,Expiring,Non-Compliant
92,CTR-2026-00092,34,Supplier Agreement 0092,441029,2024-05-29,2025-11-08,Active,Compliant
93,CTR-2026-00093,50,Supplier Agreement 0093,111205,2024-04-16,2025-08-09,Active,Review Required
94,CTR-2026-00094,29,Supplier Agreement 0094,187541,2025-03-29,2025-11-05,Active,Review Required
95,CTR-2026-00095,4,Supplier Agreement 0095,254612,2025-05-21,2026-07-04,Expired,Compliant
96,CTR-2026-00096,29,Supplier Agreement 0096,336210,2025-03-26,2026-05-01,Active,Compliant
97,CTR-2026-00097,3,Supplier Agreement 0097,603002,2025-05-09,2027-01-28,Active,Compliant
98,CTR-2026-00098,53,Supplier Agreement 0098,682724,2024-07-09,2026-06-20,Active,Non-Compliant
99,CTR-2026-00099,96,Supplier Agreement 0099,301359,2024-09-24,2026-03-30,Expired,Non-Compliant
100,CTR-2026-00100,48,Supplier Agreement 0100,399419,2025-01-08,2026-03-04,Active,Compliant
101,CTR-2026-00101,89,Supplier Agreement 0101,761556,2024-05-17,2025-10-08,Expired,Compliant
102,CTR-2026-00102,69,Supplier Agreement 0102,987046,2025-08-15,2026-06-22,Active,Non-Compliant
103,CTR-2026-00103,69,Supplier Agreement 0103,658435,2024-11-17,2025-08-31,Expired,Compliant
104,CTR-2026-00104,93,Supplier Agreement 0104,627154,2024-12-22,2026-02-04,Active,Compliant
105,CTR-2026-00105,59,Supplier Agreement 0105,92798,2025-03-24,2027-02-11,Active,Compliant
106,CTR-2026-00106,3,Supplier Agreement 0106,85341,2025-07-27,2027-04-27,Active,Review Required
107,CTR-2026-00107,62,Supplier Agreement 0107,93590,2024-05-31,2025-01-31,Expiring,Review Required
108,CTR-2026-00108,73,Supplier Agreement 0108,539651,2024-09-15,2025-04-11,Expiring,Non-Compliant
109,CTR-2026-00109,91,Supplier Agreement 0109,499073,2024-05-16,2025-12-22,Active,Review Required
110,CTR-2026-00110,69,Supplier Agreement 0110,862200,2024-11-07,2026-04-09,Active,Non-Compliant
111,CTR-2026-00111,19,Supplier Agreement 0111,664206,2025-07-06,2026-11-20,Expired,Compliant
112,CTR-2026-00112,92,Supplier Agreement 0112,99462,2025-01-01,2025-10-30,Expiring,Compliant
113,CTR-2026-00113,68,Supplier Agreement 0113,285885,2025-02-27,2026-02-07,Expiring,Compliant
114,CTR-2026-00114,24,Supplier Agreement 0114,372907,2024-01-31,2025-12-17,Expiring,Compliant
115,CTR-2026-00115,13,Supplier Agreement 0115,424812,2025-02-17,2026-09-16,Expired,Non-Compliant
116,CTR-2026-00116,18,Supplier Agreement 0116,397409,2024-12-17,2025-12-19,Active,Compliant
117,CTR-2026-00117,91,Supplier Agreement 0117,218531,2025-03-16,2026-05-28,Active,Review Required
118,CTR-2026-00118,52,Supplier Agreement 0118,703664,2024-07-24,2025-09-09,Active,Compliant
119,CTR-2026-00119,44,Supplier Agreement 0119,46391,2025-04-07,2026-01-08,Active,Compliant
120,CTR-2026-00120,72,Supplier Agreement 0120,26812,2024-03-01,2025-09-14,Active,Compliant
121,CTR-2026-00121,1,Supplier Agreement 0121,863900,2024-11-30,2026-06-26,Active,Review Required
122,CTR-2026-00122,9,Supplier Agreement 0122,547401,2024-06-25,2025-07-03,Active,Compliant
123,CTR-2026-00123,69,Supplier Agreement 0123,741367,2024-08-11,2026-01-26,Active,Compliant
124,CTR-2026-00124,77,Supplier Agreement 0124,765680,2025-01-18,2026-01-14,Expired,Compliant
125,CTR-2026-00125,65,Supplier Agreement 0125,65657,2024-06-01,2026-02-26,Active,Compliant
126,CTR-2026-00126,40,Supplier Agreement 0126,214180,2024-10-25,2025-08-11,Active,Compliant
127,CTR-2026-00127,13,Supplier Agreement 0127,667978,2025-05-24,2026-06-05,Active,Review Required
128,CTR-2026-00128,59,Supplier Agreement 0128,147034,2025-07-15,2027-02-13,Expiring,Compliant
129,CTR-2026-00129,44,Supplier Agreement 0129,882300,2024-09-09,2026-03-17,Active,Non-Compliant
130,CTR-2026-00130,25,Supplier Agreement 0130,986135,2025-02-17,2025-09-27,Active,Non-Compliant
131,CTR-2026-00131,85,Supplier Agreement 0131,120371,2025-08-28,2026-06-05,Expired,Review Required
132,CTR-2026-00132,68,Supplier Agreement 0132,818691,2025-07-30,2027-07-24,Active,Compliant
133,CTR-2026-00133,37,Supplier Agreement 0133,232661,2024-11-24,2025-10-08,Active,Review Required
134,CTR-2026-00134,81,Supplier Agreement 0134,111391,2025-03-12,2026-10-26,Active,Non-Compliant
135,CTR-2026-00135,4,Supplier Agreement 0135,532620,2025-05-18,2026-02-28,Active,Non-Compliant
136,CTR-2026-00136,40,Supplier Agreement 0136,757851,2025-05-24,2026-09-10,Expiring,Compliant
137,CTR-2026-00137,68,Supplier Agreement 0137,347038,2024-02-12,2025-02-18,Draft,Compliant
138,CTR-2026-00138,83,Supplier Agreement 0138,74500,2024-11-17,2025-07-04,Active,Review Required
139,CTR-2026-00139,50,Supplier Agreement 0139,79982,2024-07-11,2026-01-02,Draft,Non-Compliant
140,CTR-2026-00140,95,Supplier Agreement 0140,558458,2025-06-04,2027-05-21,Expired,Review Required
141,CTR-2026-00141,88,Supplier Agreement 0141,219726,2024-02-15,2025-03-20,Active,Compliant
142,CTR-2026-00142,92,Supplier Agreement 0142,544333,2024-11-23,2025-08-04,Expiring,Compliant
143,CTR-2026-00143,74,Supplier Agreement 0143,241037,2024-01-16,2024-08-29,Draft,Compliant
144,CTR-2026-00144,38,Supplier Agreement 0144,984703,2024-01-05,2025-03-06,Expiring,Review Required
145,CTR-2026-00145,23,Supplier Agreement 0145,903483,2025-02-03,2026-03-23,Active,Non-Compliant
146,CTR-2026-00146,6,Supplier Agreement 0146,676966,2024-06-08,2025-04-29,Active,Review Required
147,CTR-2026-00147,55,Supplier Agreement 0147,946363,2025-08-07,2026-12-17,Active,Review Required
148,CTR-2026-00148,53,Supplier Agreement 0148,420451,2024-01-11,2025-09-07,Expired,Review Required
149,CTR-2026-00149,25,Supplier Agreement 0149,681971,2025-05-14,2026-07-27,Active,Non-Compliant
150,CTR-2026-00150,6,Supplier Agreement 0150,258805,2025-04-04,2026-02-09,Expiring,Compliant
151,CTR-2026-00151,82,Supplier Agreement 0151,854622,2024-04-27,2025-02-19,Active,Non-Compliant
152,CTR-2026-00152,9,Supplier Agreement 0152,801043,2024-07-06,2026-07-05,Active,Review Required
153,CTR-2026-00153,88,Supplier Agreement 0153,323534,2025-02-11,2026-05-28,Active,Review Required
154,CTR-2026-00154,14,Supplier Agreement 0154,951969,2024-05-02,2025-12-07,Expired,Compliant
155,CTR-2026-00155,12,Supplier Agreement 0155,568398,2025-07-22,2027-06-11,Active,Compliant
156,CTR-2026-00156,61,Supplier Agreement 0156,64878,2025-05-05,2026-02-20,Active,Non-Compliant
157,CTR-2026-00157,24,Supplier Agreement 0157,670210,2024-03-26,2024-11-30,Active,Review Required
158,CTR-2026-00158,57,Supplier Agreement 0158,68046,2024-05-26,2026-02-17,Active,Compliant
159,CTR-2026-00159,99,Supplier Agreement 0159,39901,2024-08-03,2025-12-21,Active,Compliant
160,CTR-2026-00160,44,Supplier Agreement 0160,235396,2024-09-13,2025-09-07,Active,Compliant
161,CTR-2026-00161,51,Supplier Agreement 0161,555154,2025-01-24,2025-12-26,Draft,Compliant
162,CTR-2026-00162,29,Supplier Agreement 0162,781213,2024-07-07,2025-07-21,Active,Non-Compliant
163,CTR-2026-00163,4,Supplier Agreement 0163,655886,2025-03-27,2025-12-03,Expired,Review Required
164,CTR-2026-00164,72,Supplier Agreement 0164,357979,2024-06-13,2025-05-05,Active,Compliant
165,CTR-2026-00165,15,Supplier Agreement 0165,43310,2024-03-07,2025-10-27,Active,Compliant
166,CTR-2026-00166,93,Supplier Agreement 0166,970311,2024-11-25,2026-06-07,Active,Compliant
167,CTR-2026-00167,88,Supplier Agreement 0167,615045,2024-08-27,2025-03-01,Active,Compliant
168,CTR-2026-00168,50,Supplier Agreement 0168,824199,2025-08-03,2026-06-01,Expired,Compliant
169,CTR-2026-00169,73,Supplier Agreement 0169,889024,2025-07-12,2026-03-24,Active,Non-Compliant
170,CTR-2026-00170,74,Supplier Agreement 0170,430554,2025-01-30,2026-05-14,Expiring,Non-Compliant
171,CTR-2026-00171,96,Supplier Agreement 0171,386912,2024-08-31,2026-07-14,Active,Non-Compliant
172,CTR-2026-00172,62,Supplier Agreement 0172,402629,2024-06-05,2026-03-12,Active,Compliant
173,CTR-2026-00173,19,Supplier Agreement 0173,432321,2024-10-20,2025-10-13,Draft,Review Required
174,CTR-2026-00174,21,Supplier Agreement 0174,339423,2025-01-11,2025-07-31,Active,Compliant
175,CTR-2026-00175,6,Supplier Agreement 0175,592802,2025-04-15,2026-12-06,Expiring,Compliant
176,CTR-2026-00176,52,Supplier Agreement 0176,450504,2024-05-08,2025-10-31,Active,Non-Compliant
177,CTR-2026-00177,54,Supplier Agreement 0177,432311,2025-04-16,2027-01-19,Active,Non-Compliant
178,CTR-2026-00178,47,Supplier Agreement 0178,164580,2024-12-11,2026-05-08,Expiring,Compliant
179,CTR-2026-00179,32,Supplier Agreement 0179,941042,2024-08-10,2025-08-20,Active,Review Required
180,CTR-2026-00180,60,Supplier Agreement 0180,346806,2025-07-15,2027-03-05,Active,Compliant
181,CTR-2026-00181,51,Supplier Agreement 0181,708920,2024-05-24,2026-03-16,Active,Non-Compliant
182,CTR-2026-00182,39,Supplier Agreement 0182,379086,2025-02-26,2025-10-16,Active,Compliant
183,CTR-2026-00183,85,Supplier Agreement 0183,489498,2025-01-28,2027-01-07,Active,Compliant
184,CTR-2026-00184,89,Supplier Agreement 0184,205712,2024-07-30,2026-02-25,Active,Review Required
185,CTR-2026-00185,96,Supplier Agreement 0185,628003,2025-07-30,2026-07-04,Active,Compliant
186,CTR-2026-00186,20,Supplier Agreement 0186,935195,2025-02-25,2026-07-14,Active,Compliant
187,CTR-2026-00187,98,Supplier Agreement 0187,825475,2025-05-13,2026-09-28,Active,Compliant
188,CTR-2026-00188,87,Supplier Agreement 0188,34089,2024-04-09,2024-12-11,Active,Compliant
189,CTR-2026-00189,43,Supplier Agreement 0189,399023,2024-04-02,2025-08-15,Draft,Compliant
190,CTR-2026-00190,96,Supplier Agreement 0190,94230,2024-06-03,2025-07-06,Active,Review Required
191,CTR-2026-00191,80,Supplier Agreement 0191,762781,2024-11-19,2026-08-18,Active,Compliant
192,CTR-2026-00192,38,Supplier Agreement 0192,192575,2024-11-06,2025-08-16,Expired,Compliant
193,CTR-2026-00193,21,Supplier Agreement 0193,673322,2025-03-01,2025-12-27,Active,Non-Compliant
194,CTR-2026-00194,21,Supplier Agreement 0194,319895,2025-07-29,2027-05-20,Expiring,Compliant
195,CTR-2026-00195,15,Supplier Agreement 0195,66291,2024-05-30,2026-02-24,Active,Compliant
196,CTR-2026-00196,49,Supplier Agreement 0196,829402,2025-04-29,2026-11-18,Active,Compliant
197,CTR-2026-00197,76,Supplier Agreement 0197,215666,2025-01-06,2026-09-29,Active,Non-Compliant
198,CTR-2026-00198,3,Supplier Agreement 0198,114139,2025-05-18,2026-11-01,Expired,Review Required
199,CTR-2026-00199,9,Supplier Agreement 0199,735277,2024-06-30,2025-05-14,Active,Non-Compliant
200,CTR-2026-00200,20,Supplier Agreement 0200,361276,2024-04-23,2025-05-09,Draft,Review Required
